"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Calm1",2.61712887447203e-11,0.555392246395066,0.978,0.934,9.12514324662164e-07,5.2604359649035e-10,-0.513825167675824,0.956,0.978,1.8341562078829e-05
"2","Calm2",3.82693477161971e-11,0.507628481578751,0.963,0.878,1.33433734682065e-06,6.39585246389268e-09,-0.416340447066326,0.889,0.963,0.000223004187858546
"3","Hsp90ab1",2.03183101245824e-14,0.734737393922502,0.966,0.878,7.08438519113814e-10,3.90562751428116e-10,-0.598754545449009,0.895,0.966,1.36177514540441e-05
"4","mt-Nd2",4.54170400884992e-09,0.594668840713373,0.801,0.638,0.00015835559367657,3.99755473693436e-09,-0.601092135513079,0.655,0.801,0.00013938274101269
"5","Nrgn",2.98692245245366e-13,0.683850574303756,0.831,0.613,1.04145025149702e-08,2.92355569841176e-13,-0.650343935890729,0.681,0.831,1.01935616536523e-08
"6","Ppia",4.68484987286649e-12,0.629756742709391,0.869,0.668,1.63346660517236e-07,7.95817067318941e-09,-0.493090982977371,0.716,0.869,0.000277477536862095
"7","Tmem267",7.4842417650968e-16,1.08479017693981,0.27,0.026,2.6095305762363e-11,1.58408870966525e-19,-1.10679623196168,0.023,0.27,5.52324210398984e-15
"8","Tmsb4x",3.253121813142e-10,0.627063672678804,0.738,0.498,1.13426598258822e-05,2.69117372665418e-07,-0.501579350860495,0.588,0.738,0.00938331543272513
