"","inchikey","subclass"
"66","InChIKey=WQZGKKKJIJFFOK-QTVWNMPRSA-N","Organic oxygen compounds"
"67","InChIKey=WQZGKKKJIJFFOK-DVKNGEFBSA-N","Organic oxygen compounds"
"68","InChIKey=CDAISMWEOUEBRE-UHFFFAOYSA-N","Organic oxygen compounds"
"69","InChIKey=BBEWSMNRCUXQRF-UHFFFAOYSA-N","Benzenoids"
"70","InChIKey=BZQFBWGGLXLEPQ-REOHCLBHSA-N","Organic acids and derivatives"
"71","InChIKey=LSPKYLAFTPBWIL-BYPYZUCNSA-N","Organic acids and derivatives"
"72","InChIKey=OSJPPGNTCRNQQC-UHFFFAOYSA-N","Organic oxygen compounds"
"73","InChIKey=DKEXFJVMVGETOO-LURJTMIESA-N","Organic acids and derivatives"
"74","InChIKey=KSMRODHGGIIXDV-YFKPBYRVSA-N","Organic acids and derivatives"
"75","InChIKey=BDJRBEYXGGNYIS-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"76","InChIKey=XUYPXLNMDZIRQH-LURJTMIESA-N","Organic acids and derivatives"
"77","InChIKey=ODBLHEXUDAPZAU-UHFFFAOYSA-N","Organic acids and derivatives"
"78","InChIKey=AEMOLEFTQBMNLQ-AQKNRBDQSA-N","Organic oxygen compounds"
"79","InChIKey=KBOJOGQFRVVWBH-ZETCQYMHSA-N","Organic acids and derivatives"
"80","InChIKey=XKJVEVRQMLKSMO-UHFFFAOYSA-N","Organic acids and derivatives"
"81","InChIKey=CBQJSKKFNMDLON-JTQLQIEISA-N","Organic acids and derivatives"
"82","InChIKey=DRBBFCLWYRJSJZ-UHFFFAOYSA-N","Organic acids and derivatives"
"83","InChIKey=YIWFXZNIBQBFHR-LURJTMIESA-N","Organic acids and derivatives"
"84","InChIKey=JZNWSCPGTDBMEW-YFKPBYRVSA-N","Lipids and lipid-like molecules"
"85","InChIKey=VYZAGTDAHUIRQA-WHFBIAKZSA-N","Organic acids and derivatives"
"86","InChIKey=GHOKWGTUZJEAQD-ZETCQYMHSA-N","Organic oxygen compounds"
"87","InChIKey=MBLBDJOUHNCFQT-LXGUWJNJSA-N","Organic oxygen compounds"
"88","InChIKey=MXHRCPNRJAMMIM-SHYZEUOFSA-N","Nucleosides, nucleotides, and analogues"
"89","InChIKey=FNZLKVNUWIIPSJ-UHNVWZDZSA-N","Organic oxygen compounds"
"90","InChIKey=RNEMLJPSSOJRHX-UHFFFAOYSA-N","Organic acids and derivatives"
"91","InChIKey=IIRJJZHHNGABMQ-WPRPVWTQSA-N","Organic acids and derivatives"
"92","InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N","Nucleosides, nucleotides, and analogues"
"93","InChIKey=PTJWIQPHWPFNBW-GBNDHIKLSA-N","Nucleosides, nucleotides, and analogues"
"94","InChIKey=PTVXQARCLQPGIR-UHFFFAOYSA-N","Organic oxygen compounds"
"95","InChIKey=VGONTNSXDCQUGY-RRKCRQDMSA-N","Nucleosides, nucleotides, and analogues"
"96","InChIKey=BGWGXPAPYGQALX-ARQDHWQXSA-N","Organic oxygen compounds"
"97","InChIKey=ZKLLSNQJRLJIGT-UYFOZJQFSA-N","Organic oxygen compounds"
"98","InChIKey=NBSCHQHZLSJFNQ-GASJEMHNSA-N","Organic oxygen compounds"
"99","InChIKey=HXXFSFRBOHSIMQ-FPRJBGLDSA-N","Organic oxygen compounds"
"100","InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"101","InChIKey=JGHSBPIZNUXPLA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"102","InChIKey=BIRSGZKFKXLSJQ-UHFFFAOYSA-N","Organic oxygen compounds"
"103","InChIKey=RQNSKRXMANOPQY-BQBZGAKWSA-N","Organic acids and derivatives"
"104","InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"105","InChIKey=NYHBQMYGNKIUIF-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"106","InChIKey=KNYQSFOUGYMRDE-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"107","InChIKey=KIHBGTRZFAVZRV-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"108","InChIKey=FZLJPEPAYPUMMR-RTRLPJTCSA-N","Organic oxygen compounds"
"109","InChIKey=OPVPGKGADVGKTG-BQBZGAKWSA-N","Organic acids and derivatives"
"110","InChIKey=NMPZCCZXCOMSDQ-ZRTZXPPTSA-N","Nucleosides, nucleotides, and analogues"
"111","InChIKey=RWSXRVCMGQZWBV-WDSKDSINSA-N","Organic acids and derivatives"
"112","InChIKey=SQVRNKJHWKZAKO-LUWBGTNYSA-N","Organic oxygen compounds"
"113","InChIKey=BITHHVVYSMSWAG-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"114","InChIKey=IERHLVCPSMICTF-JDNPWWSISA-N","Nucleosides, nucleotides, and analogues"
"115","InChIKey=FUFLCEKSBBHCMO-KJQYFISQSA-N","Lipids and lipid-like molecules"
"116","InChIKey=IVOMOUWHDPKRLL-PKJMTWSGSA-N","Nucleosides, nucleotides, and analogues"
"117","InChIKey=DPUOLQHDNGRHBS-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"118","InChIKey=CZMRCDWAGMRECN-UGDNZRGBSA-N","Organic oxygen compounds"
"119","InChIKey=HDTRYLNUVZCQOY-LIZSDCNHSA-N","Organic oxygen compounds"
"120","InChIKey=DLRVVLDZNNYCBX-CQHUIXDMSA-N","Organic oxygen compounds"
"121","InChIKey=VCWMRQDBPZKXKG-ZNVDUFQESA-N","Organic oxygen compounds"
"122","InChIKey=UDMBCSSLTHHNCD-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"123","InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-N","Nucleosides, nucleotides, and analogues"
"124","InChIKey=GRSZFWQUAKGDAV-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"125","InChIKey=RQFCJASXJCIDSX-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"126","InChIKey=XCCTYIAWTASOJW-XVFCMESISA-N","Nucleosides, nucleotides, and analogues"
"127","InChIKey=CIKGWCTVFSRMJU-KVQBGUIXSA-N","Nucleosides, nucleotides, and analogues"
"128","InChIKey=WNRCJJWBAXNAPE-HXUWFJFHSA-N","Lipids and lipid-like molecules"
"129","InChIKey=OFBHPPMPBOJXRT-VWJPMABRSA-N","Nucleosides, nucleotides, and analogues"
"130","InChIKey=BHYOQNUELFTYRT-DPAQBDIFSA-N","Lipids and lipid-like molecules"
