"","inchikey","subclass"
"274","InChIKey=VBICKXHEKHSIBG-FQEVSTJZSA-N","Lipids and lipid-like molecules"
"275","InChIKey=GUBGYTABKSRVRQ-SINVPGNFSA-N","Organic oxygen compounds"
"276","InChIKey=HZSAJDVWZRBGIF-UHFFFAOYSA-N","Organoheterocyclic compounds"
"277","InChIKey=ZOOGRGPOEVQQDX-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"278","InChIKey=LNQVTSROQXJCDD-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"279","InChIKey=GUBGYTABKSRVRQ-DKBJLJRDSA-N","Organic oxygen compounds"
"280","InChIKey=AVSXSVCZWQODGV-DPAQBDIFSA-N","Lipids and lipid-like molecules"
"281","InChIKey=DBJDCEJXEMUHGM-DHEZTBRESA-N","Lipids and lipid-like molecules"
"282","InChIKey=YIKKMWSQVKJCOP-SBMSYAAPSA-N","Lipids and lipid-like molecules"
"283","InChIKey=NDFRCPCJVUFHCK-LDHFCIDVSA-N","Lipids and lipid-like molecules"
"284","InChIKey=CZDKQKOAHAICSF-JSAMMMMSSA-N","Lipids and lipid-like molecules"
"285","InChIKey=ZJUKTBDSGOFHSH-WFMPWKQPSA-N","Nucleosides, nucleotides, and analogues"
"286","InChIKey=MEFKEPWMEQBLKI-AIRLBKTGSA-N","Nucleosides, nucleotides, and analogues"
"287","InChIKey=ZWIADYZPOWUWEW-ZAKLUEHWSA-N","Nucleosides, nucleotides, and analogues"
"288","InChIKey=LISKWSFNVJTQKH-KTKRTIGZSA-N","Organic nitrogen compounds"
"289","InChIKey=FNPHNLNTJNMAEE-HSZRJFAPSA-N","Lipids and lipid-like molecules"
"290","InChIKey=XTWYTFMLZFPYCI-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"291","InChIKey=WHTCPDAXWFLDIH-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"292","InChIKey=RZZPDXZPRHQOCG-OJAKKHQRSA-N","Nucleosides, nucleotides, and analogues"
"293","InChIKey=XIVOBOJQPNEUSC-UXHICEINSA-N","Lipids and lipid-like molecules"
"294","InChIKey=RWTNPBWLLIMQHL-UHFFFAOYSA-N","Benzenoids"
"295","InChIKey=HEEMBWYZIJABCR-ZXAYODBVSA-N","Lipids and lipid-like molecules"
"296","InChIKey=ZKHQWZAMYRWXGA-KQYNXXCUSA-N","Nucleosides, nucleotides, and analogues"
"297","InChIKey=XKBJVQHMEXMFDZ-AREMUKBSSA-N","Lipids and lipid-like molecules"
"298","InChIKey=YDNKGFDKKRUKPY-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"299","InChIKey=JZWNYZVVZXZRRH-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"300","InChIKey=ZPDQFUYPBVXUKS-YADHBBJMSA-N","Lipids and lipid-like molecules"
"301","InChIKey=GWVZWQQVJIDOHB-KMAVEXBHSA-N","Lipids and lipid-like molecules"
"302","InChIKey=KDXVSDQFHRZPKV-RUZDIDTESA-N","Lipids and lipid-like molecules"
"303","InChIKey=UATOAILWGVYRQS-HHHXNRCGSA-N","Lipids and lipid-like molecules"
"304","InChIKey=MXAFDFDAIFZFET-HULSJBAWSA-N","Lipids and lipid-like molecules"
"305","InChIKey=MVMSCBBUIHUTGJ-GDJBGNAASA-N","Nucleosides, nucleotides, and analogues"
"306","InChIKey=MVMSCBBUIHUTGJ-LRJDVEEWSA-N","Nucleosides, nucleotides, and analogues"
"307","InChIKey=LXUGKKVCSTYZFK-OMWWCDQTSA-N","Lipids and lipid-like molecules"
"308","InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-O","Nucleosides, nucleotides, and analogues"
"309","InChIKey=VJLLLMIZEJJZTE-BFZYYLOBSA-N","Lipids and lipid-like molecules"
"310",NA,NA
"311","InChIKey=RFVFQQWKPSOBED-PSXMRANNSA-N","Lipids and lipid-like molecules"
"312","InChIKey=NLIPNXKQJMHIRD-ROOGKDHUSA-N","Lipids and lipid-like molecules"
"313","InChIKey=RWRDLPDLKQPQOW-UHFFFAOYSA-N","Organoheterocyclic compounds"
"314","InChIKey=LKQLRGMMMAHREN-YJFXYUILSA-N","Lipids and lipid-like molecules"
"315","InChIKey=XJLXINKUBYWONI-NNYOXOHSSA-O","Nucleosides, nucleotides, and analogues"
"316","InChIKey=RTWAYAIMWLNAJW-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"317","InChIKey=BYSIMVBIJVBVPA-RRHRGVEJSA-N","Lipids and lipid-like molecules"
"318","InChIKey=ALHRVKWVHQGCAN-PBONVLCZSA-N","Lipids and lipid-like molecules"
"319","InChIKey=CHJJGSNFBQVOTG-UHFFFAOYSA-N","Organic nitrogen compounds"
"320","InChIKey=WTJKGGKOPKCXLL-RYDYYDTQSA-N","Lipids and lipid-like molecules"
"321","InChIKey=ATHVAWFAEPLPPQ-VRDBWYNSSA-N","Lipids and lipid-like molecules"
"322","InChIKey=ZSLZBFCDCINBPY-ZSJPKINUSA-N","Lipids and lipid-like molecules"
"323","InChIKey=ACTIUHUUMQJHFO-UPTCCGCDSA-N","Lipids and lipid-like molecules"
"324","InChIKey=MOEAEMZLHZJMPV-PSTIVLGWSA-N","Lipids and lipid-like molecules"
"325","InChIKey=BTCSSZJGUNDROE-UHFFFAOYSA-N","Organic acids and derivatives"
"326","InChIKey=ZBCBWPMODOFKDW-UHFFFAOYSA-N","Organic nitrogen compounds"
"327","InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-N","Homogeneous non-metal compounds"
"328","InChIKey=NQPDZGIKBAWPEJ-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"329","InChIKey=GWYFCOCPABKNJV-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"330","InChIKey=QWCKQJZIFLGMSD-VKHMYHEASA-N","Organic acids and derivatives"
"331","InChIKey=QWCKQJZIFLGMSD-VKHMYHEASA-N","Organic acids and derivatives"
"332","InChIKey=YCIMNLLNPGFGHC-UHFFFAOYSA-N","Benzenoids"
"333","InChIKey=QIGBRXMKCJKVMJ-UHFFFAOYSA-N","Benzenoids"
"334","InChIKey=FUZZWVXGSFPDMH-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"335","InChIKey=FGKJLKRYENPLQH-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"336","InChIKey=RGHHSNMVTDWUBI-UHFFFAOYSA-N","Organic oxygen compounds"
"337","InChIKey=IAVREABSGIHHMO-UHFFFAOYSA-N","Organic oxygen compounds"
"338","InChIKey=VTWDKFNVVLAELH-UHFFFAOYSA-N","Organic oxygen compounds"
"339","InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-N","Benzenoids"
"340","InChIKey=JVQYSWDUAOAHFM-UHFFFAOYSA-N","Organic acids and derivatives"
"341","InChIKey=SLXKOJJOQWFEFD-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"342","InChIKey=LJLLAWRMBZNPMO-UHFFFAOYSA-N","Organic acids and derivatives"
"343","InChIKey=LVRFTAZAXQPQHI-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"344","InChIKey=NBZBKCUXIYYUSX-UHFFFAOYSA-N","Organic acids and derivatives"
"345","InChIKey=OFCNXPDARWKPPY-UHFFFAOYSA-N","Organoheterocyclic compounds"
"346","InChIKey=ALYNCZNDIQEVRV-UHFFFAOYSA-N","Benzenoids"
"347","InChIKey=FJKROLUGYXJWQN-UHFFFAOYSA-N","Benzenoids"
"348","InChIKey=IJFXRHURBJZNAO-UHFFFAOYSA-N","Benzenoids"
"349","InChIKey=CLFRCXCBWIQVRN-UHFFFAOYSA-N","Organic oxygen compounds"
"350","InChIKey=YGSDEFSMJLZEOE-UHFFFAOYSA-N","Benzenoids"
"351","InChIKey=UZTFMUBKZQVKLK-UHFFFAOYSA-N","Organic acids and derivatives"
"352","InChIKey=OLNJUISKUQQNIM-UHFFFAOYSA-N","Organoheterocyclic compounds"
"353","InChIKey=WNLRTRBMVRJNCN-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"354","InChIKey=AQYCMVICBNBXNA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"355","InChIKey=XJMMNTGIMDZPMU-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"356","InChIKey=MRABAEUHTLLEML-UHFFFAOYSA-N","Organic acids and derivatives"
"357","InChIKey=GJMPSRSMBJLKKB-UHFFFAOYSA-N","Benzenoids"
"358","InChIKey=XMIIGOLPHOKFCH-UHFFFAOYSA-N","Phenylpropanoids and polyketides"
"359","InChIKey=MWOOGOJBHIARFG-UHFFFAOYSA-N","Benzenoids"
"360","InChIKey=HXNFUBHNUDHIGC-UHFFFAOYSA-N","Organoheterocyclic compounds"
"361","InChIKey=FBUKVWPVBMHYJY-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"362","InChIKey=XLBVNMSMFQMKEY-BYPYZUCNSA-N","Organic acids and derivatives"
"363","InChIKey=ZHMWOVGZCINIHW-FTYOSCRSSA-N","Organoheterocyclic compounds"
"364","InChIKey=OTTXIFWBPRRYOG-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"365","InChIKey=OBKXEAXTFZPCHS-UHFFFAOYSA-N","Benzenoids"
"366","InChIKey=ZZEWMYILWXCRHZ-UHFFFAOYSA-N","Phenylpropanoids and polyketides"
"367","InChIKey=LLLPDUXGHXIXIW-UHFFFAOYSA-N","Benzenoids"
"368","InChIKey=FBWPWWWZWKPJFL-UHFFFAOYSA-N","Benzenoids"
"369","InChIKey=NMHMNPHRMNGLLB-UHFFFAOYSA-N","Phenylpropanoids and polyketides"
"370","InChIKey=NWCHELUCVWSRRS-UHFFFAOYSA-N","Benzenoids"
"371","InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"372","InChIKey=TYFQFVWCELRYAO-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"373","InChIKey=CIWBSHSKHKDKBQ-JLAZNSOCSA-N","Organoheterocyclic compounds"
"374","InChIKey=QIAFMBKCNZACKA-UHFFFAOYSA-N","Benzenoids"
"375","InChIKey=QUNWUDVFRNGTCO-UHFFFAOYSA-N","Organoheterocyclic compounds"
"376","InChIKey=ZFXYFBGIUFBOJW-UHFFFAOYSA-N","Organoheterocyclic compounds"
"377","InChIKey=YAPQBXQYLJRXSA-UHFFFAOYSA-N","Organoheterocyclic compounds"
"378","InChIKey=WRFPVMFCRNYQNR-UHFFFAOYSA-N","Organic acids and derivatives"
"379","InChIKey=JVGVDSSUAVXRDY-UHFFFAOYSA-N","Phenylpropanoids and polyketides"
"380","InChIKey=QRMZSPFSDQBLIX-UHFFFAOYSA-N","Benzenoids"
"381","InChIKey=DZAUWHJDUNRCTF-UHFFFAOYSA-N","Phenylpropanoids and polyketides"
"382","InChIKey=QHBZHVUGQROELI-SOFGYWHQSA-N","Organic acids and derivatives"
"383","InChIKey=ZDPHROOEEOARMN-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"384","InChIKey=WGNAKZGUSRVWRH-UHFFFAOYSA-N","Organic acids and derivatives"
"385","InChIKey=FYSSBMZUBSBFJL-VIFPVBQESA-N","Organic acids and derivatives"
"386","InChIKey=RFMMMVDNIPUKGG-YFKPBYRVSA-N","Organic acids and derivatives"
"387","InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-N","Organic acids and derivatives"
"388","InChIKey=POULHZVOKOAJMA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"389","InChIKey=CXMXRPHRNRROMY-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"390","InChIKey=FBZONXHGGPHHIY-UHFFFAOYSA-N","Organoheterocyclic compounds"
"391","InChIKey=XGILAAMKEQUXLS-UHFFFAOYSA-N","Organoheterocyclic compounds"
"392","InChIKey=MUCMKTPAZLSKTL-NSHDSACASA-N","Organic acids and derivatives"
"393","InChIKey=YZBOVSFWWNVKRJ-UHFFFAOYSA-N","Benzenoids"
"394","InChIKey=ONPXCLZMBSJLSP-CSMHCCOUSA-N","Organic acids and derivatives"
"395","InChIKey=MAZWDMBCPDUFDJ-VQHVLOKHSA-N","Lipids and lipid-like molecules"
"396","InChIKey=TUNFSRHWOTWDNC-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"397","InChIKey=YYVJAABUJYRQJO-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"398","InChIKey=TVIDDXQYHWJXFK-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"399","InChIKey=HXATVKDSYDWTCX-UHFFFAOYSA-N","Organic acids and derivatives"
"400","InChIKey=IQFYYKKMVGJFEH-XLPZGREQSA-N","Nucleosides, nucleotides, and analogues"
"401","InChIKey=ZJTJUVIJVLLGSP-UHFFFAOYSA-N","Organoheterocyclic compounds"
"402","InChIKey=WQEPLUUGTLDZJY-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"403","InChIKey=SECPZKHBENQXJG-FPLPWBNLSA-N","Lipids and lipid-like molecules"
"404","InChIKey=IPCSVZSSVZVIGE-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"405","InChIKey=MYFMARDICOWMQP-YUMQZZPRSA-N","Organic acids and derivatives"
"406","InChIKey=BGWGXPAPYGQALX-ARQDHWQXSA-N","Organic oxygen compounds"
"407","InChIKey=PMTUDJVZIGZBIX-ZXXMMSQZSA-N","Organic oxygen compounds"
"408","InChIKey=KEMQGTRYUADPNZ-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"409","InChIKey=VOXZDWNPVJITMN-SFFUCWETSA-N","Lipids and lipid-like molecules"
"410","InChIKey=VOXZDWNPVJITMN-ZBRFXRBCSA-N","Lipids and lipid-like molecules"
"411","InChIKey=UGAGPNKCDRTDHP-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"412","InChIKey=KOSRFJWDECSPRO-WDSKDSINSA-N","Organic acids and derivatives"
"413","InChIKey=JIWBIWFOSCKQMA-LTKCOYKYSA-N","Lipids and lipid-like molecules"
"414","InChIKey=DTOSIQBPPRVQHS-PDBXOOCHSA-N","Lipids and lipid-like molecules"
"415","InChIKey=VZCCETWTMQHEPK-QNEBEIHSSA-N","Lipids and lipid-like molecules"
"416","InChIKey=OYHQOLUKZRVURQ-HZJYTTRNSA-N","Lipids and lipid-like molecules"
"417","InChIKey=QIQXTHQIDYTFRH-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"418","InChIKey=QQHJDPROMQRDLA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"419","InChIKey=UYQGVDXDXBAABN-FQSPHKRJSA-N","Lipids and lipid-like molecules"
"420","InChIKey=HNICUWMFWZBIFP-IRQZEAMPSA-N","Lipids and lipid-like molecules"
"421","InChIKey=JAZBEHYOTPTENJ-JLNKQSITSA-N","Lipids and lipid-like molecules"
"422","InChIKey=YZXBAPSDXZZRGB-DOFZRALJSA-N","Lipids and lipid-like molecules"
"423","InChIKey=HOBAELRKJCKHQD-QNEBEIHSSA-N","Lipids and lipid-like molecules"
"424","InChIKey=UNSRRHDPHVZAHH-YOILPLPUSA-N","Lipids and lipid-like molecules"
"425","InChIKey=XSXIVVZCUAHUJO-HZJYTTRNSA-N","Lipids and lipid-like molecules"
"426","InChIKey=BITHHVVYSMSWAG-MDZDMXLPSA-N","Lipids and lipid-like molecules"
"427","InChIKey=RLCKHJSFHOZMDR-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"428","InChIKey=BNJOQKFENDDGSC-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"429","InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-N","Nucleosides, nucleotides, and analogues"
"430","InChIKey=MBMBGCFOFBJSGT-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"431","InChIKey=YUFFSWGQGVEMMI-JLNKQSITSA-N","Lipids and lipid-like molecules"
"432","InChIKey=YIBNHAJFJUQSRA-YNNPMVKQSA-N","Lipids and lipid-like molecules"
"433","InChIKey=XEYBRNLFEZDVAW-ARSRFYASSA-N","Lipids and lipid-like molecules"
"434","InChIKey=BHMBVRSPMRCCGG-BVSCNVFUSA-N","Lipids and lipid-like molecules"
"435","InChIKey=MYHXHCUNDDAEOZ-FOSBLDSVSA-N","Lipids and lipid-like molecules"
"436","InChIKey=PXGPLTODNUVGFL-UAAPODJFSA-N","Lipids and lipid-like molecules"
"437","InChIKey=GWHCXVQVJPWHRF-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"438","InChIKey=DUYSYHSSBDVJSM-KRWOKUGFSA-N","Lipids and lipid-like molecules"
"439","InChIKey=VKGZCEJTCKHMRL-VWJPMABRSA-N","Nucleosides, nucleotides, and analogues"
"440","InChIKey=KXGVEGMKQFWNSR-LLQZFEROSA-N","Lipids and lipid-like molecules"
"441","InChIKey=RUDATBOHQWOJDD-BSWAIDMHSA-N","Lipids and lipid-like molecules"
"442","InChIKey=ZHCAAZIHTDCFJX-QLEQUTGBSA-N","Lipids and lipid-like molecules"
"443","InChIKey=LCZBQMKVFQNSJR-UJPCIWJBSA-N","Lipids and lipid-like molecules"
"444","InChIKey=BHQCQFFYRZLCQQ-UTLSPDKDSA-N","Lipids and lipid-like molecules"
"445","InChIKey=DKPMWHFRUGMUKF-NTPBNISXSA-N","Lipids and lipid-like molecules"
"446","InChIKey=DKPMWHFRUGMUKF-GDYCBZMLSA-N","Lipids and lipid-like molecules"
"447","InChIKey=DKPMWHFRUGMUKF-CRKPLTDNSA-N","Lipids and lipid-like molecules"
"448","InChIKey=RPXHXZNGZBHSMJ-GOSISDBHSA-N","Lipids and lipid-like molecules"
"449","InChIKey=BNRXZEPOHPEEAS-UHFFFAOYSA-N","Organic acids and derivatives"
"450","InChIKey=GNTARDAHCXNJEX-UHFFFAOYSA-N","Organic acids and derivatives"
"451","InChIKey=SATGKQGFUDXGAX-MYWFJNCASA-N","Lipids and lipid-like molecules"
"452","InChIKey=LAYXSTYJRSVXIH-HXUWFJFHSA-N","Lipids and lipid-like molecules"
"453","InChIKey=QGWNDRXFNXRZMB-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"454","InChIKey=YVYMBNSKXOXSKW-HXUWFJFHSA-N","Lipids and lipid-like molecules"
"455","InChIKey=FVTCRASFADXXNN-SCRDCRAPSA-N","Nucleosides, nucleotides, and analogues"
"456","InChIKey=PYVRVRFVLRNJLY-MZMPXXGTSA-N","Lipids and lipid-like molecules"
"457","InChIKey=FQQQKGAFQIIGLQ-SNZQZGEVSA-N","Lipids and lipid-like molecules"
"458","InChIKey=XSOLDPYUICCHJX-UZUDEGBHSA-N","Lipids and lipid-like molecules"
"459","InChIKey=XSOLDPYUICCHJX-QZEPYOAJSA-N","Lipids and lipid-like molecules"
"460","InChIKey=OPVZUEPSMJNLOM-QEJMHMKOSA-N","Lipids and lipid-like molecules"
"461","InChIKey=AIJULSRZWUXGPQ-UHFFFAOYSA-N","Organic oxygen compounds"
"462","InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-N","Organic acids and derivatives"
"463","InChIKey=PAZGBAOHGQRCBP-HGWHEPCSSA-N","Lipids and lipid-like molecules"
"464","InChIKey=DSNRWDQKZIEDDB-SQYFZQSCSA-N","Lipids and lipid-like molecules"
"465","InChIKey=WTBFLCSPLLEDEM-JIDRGYQWSA-N","Lipids and lipid-like molecules"
"466","InChIKey=MNQZXJOMYWMBOU-UHFFFAOYSA-N","Organic oxygen compounds"
"467","InChIKey=RXKJFZQQPQGTFL-UHFFFAOYSA-N","Organic oxygen compounds"
"468","InChIKey=JBKVHLHDHHXQEQ-UHFFFAOYSA-N","Organoheterocyclic compounds"
"469","InChIKey=DFPAKSUCGFBDDF-UHFFFAOYSA-N","Organoheterocyclic compounds"
"470","InChIKey=HXEACLLIILLPRG-YFKPBYRVSA-N","Organic acids and derivatives"
"471","InChIKey=DRAVOWXCEBXPTN-UHFFFAOYSA-N","Organoheterocyclic compounds"
"472","InChIKey=OAYXUHPQHDHDDZ-UHFFFAOYSA-N","Organic oxygen compounds"
"473","InChIKey=UCTWMZQNUQWSLP-UHFFFAOYSA-N","Benzenoids"
"474","InChIKey=PNNNRSAQSRJVSB-KCDKBNATSA-N","Organic oxygen compounds"
"475","InChIKey=MMOXZBCLCQITDF-UHFFFAOYSA-N","Benzenoids"
"476","InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N","Organic oxygen compounds"
"477","InChIKey=WQZGKKKJIJFFOK-MCPPVLNHSA-N","Organic oxygen compounds"
"478","InChIKey=BJHIKXHVCXFQLS-PQLUHFTBSA-N","Organic oxygen compounds"
"479","InChIKey=RFSUNEUAIZKAJO-ARQDHWQXSA-N","Organic oxygen compounds"
"480","InChIKey=GZCGUPFRVQAUEE-OBOOZECYSA-N","Organic oxygen compounds"
"481","InChIKey=BJHIKXHVCXFQLS-OTWZMJIISA-N","Organic oxygen compounds"
"482","InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N","Organoheterocyclic compounds"
"483","InChIKey=QWYFHHGCZUCMBN-SECBINFHSA-N","Lipids and lipid-like molecules"
"484","InChIKey=JLFNLZLINWHATN-UHFFFAOYSA-N","Organic oxygen compounds"
"485","InChIKey=BJELTSYBAHKXRW-UHFFFAOYSA-N","Organoheterocyclic compounds"
"486","InChIKey=HSEMFIZWXHQJAE-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"487","InChIKey=QQILFGKZUJYXGS-UHFFFAOYSA-N","Organoheterocyclic compounds"
"488","InChIKey=JHIXEZNTXMFXEK-UHFFFAOYSA-N","Organic nitrogen compounds"
"489","InChIKey=DJDSLBVSSOQSLW-UHFFFAOYSA-N","Benzenoids"
"490","InChIKey=FATBGEAMYMYZAF-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"491","InChIKey=IIRDTKBZINWQAW-UHFFFAOYSA-N","Organic oxygen compounds"
"492","InChIKey=AOMUHOFOVNGZAN-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"493","InChIKey=XHHOHZPNYFQJKL-UHFFFAOYSA-N","Organic acids and derivatives"
"494","InChIKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N","Nucleosides, nucleotides, and analogues"
"495","InChIKey=WFRLANWAASSSFV-FPLPWBNLSA-N","Organic nitrogen compounds"
"496","InChIKey=HXYVTAGFYLMHSO-UHFFFAOYSA-N","Organic acids and derivatives"
"497","InChIKey=DUQXBEFMRJGSKH-PJQYHSPVSA-N","Lipids and lipid-like molecules"
"498","InChIKey=PDSLRCZINIDLMU-UHFFFAOYSA-N","Organic acids and derivatives"
"499","InChIKey=UQOQENZZLBSFKO-POPPZSFYSA-N","Lipids and lipid-like molecules"
"500","InChIKey=VHRUMKCAEVRUBK-GODQJPCRSA-N","Lipids and lipid-like molecules"
"501","InChIKey=KQXDGUVSAAQARU-HZJYTTRNSA-N","Organic nitrogen compounds"
"502","InChIKey=XZZNDPSIHUTMOC-UHFFFAOYSA-N","Organic acids and derivatives"
"503","InChIKey=UAUDZVJPLUQNMU-KTKRTIGZSA-N","Lipids and lipid-like molecules"
"504","InChIKey=STJLVHWMYQXCPB-UHFFFAOYSA-N","Benzenoids"
"505","InChIKey=FUJLYHJROOYKRA-QGZVFWFLSA-N","Lipids and lipid-like molecules"
"506","InChIKey=LGEQQWMQCRIYKG-DOFZRALJSA-N","Organic nitrogen compounds"
"507","InChIKey=OLAOWMDKXPIITQ-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"508","InChIKey=CPXSBHKDEPPWIX-RAYCSJGISA-N","Organoheterocyclic compounds"
"509","InChIKey=BUBHHSHBKWNLLG-FOCLMDBBSA-N","Lipids and lipid-like molecules"
"510","InChIKey=PSHXNVGSVNEJBD-LJQANCHMSA-O","Organic nitrogen compounds"
"511","InChIKey=GEEHOLRSGZPBSM-KUBAVDMBSA-N","Organic nitrogen compounds"
"512","InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-N","Organoheterocyclic compounds"
"513","InChIKey=GMVPRGQOIOIIMI-DWKJAMRDSA-N","Lipids and lipid-like molecules"
"514","InChIKey=DCPCOKIYJYGMDN-HUDVFFLJSA-N","Lipids and lipid-like molecules"
"515","InChIKey=RCRCTBLIHCHWDZ-DOFZRALJSA-N","Lipids and lipid-like molecules"
"516","InChIKey=DCPCOKIYJYGMDN-AAORCBLUSA-N","Lipids and lipid-like molecules"
"517","InChIKey=KXDZDXAUCOWTRV-PEMGLXIVSA-N","Lipids and lipid-like molecules"
"518","InChIKey=CJMUXNONVZSQIX-OUKQBFOZSA-N","Lipids and lipid-like molecules"
"519","InChIKey=MDDWQHVKSHTZTD-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"520",NA,NA
"521","InChIKey=PPUMYPWIWIYYFH-LZFZKRRQSA-N","Lipids and lipid-like molecules"
"522","InChIKey=SOYNLLDADLOGAM-ISLYRVAYSA-N","Lipids and lipid-like molecules"
"523","InChIKey=XOMRRQXKHMYMOC-OAQYLSRUSA-N","Lipids and lipid-like molecules"
"524","InChIKey=OFHCOWSQAMBJIW-AVJTYSNKSA-N","Lipids and lipid-like molecules"
"525","InChIKey=QPDJXUBRZKXAGA-ZBMVRHCNSA-N","Lipids and lipid-like molecules"
"526","InChIKey=OHCROKJBSKGYKW-VHEBQXMUSA-N","Lipids and lipid-like molecules"
"527","InChIKey=HKSKXYQNAKOSAA-CCEZHUSRSA-N","Lipids and lipid-like molecules"
"528","InChIKey=YZUUTMGDONTGTN-UHFFFAOYSA-N","Organic oxygen compounds"
"529",NA,NA
"530","InChIKey=IPOLTUVFXFHAHI-WHIOSMTNSA-N","Lipids and lipid-like molecules"
"531",NA,NA
"532","InChIKey=QYTPGOPLNFESQC-NUTQULCTSA-N","Lipids and lipid-like molecules"
"533","InChIKey=RBFQHRALHSUPIA-JTPUQHSZSA-N","Lipids and lipid-like molecules"
"534","InChIKey=FUYLEEPAFMUPSN-QURGRASLSA-N","Lipids and lipid-like molecules"
"535","InChIKey=QVTUINXDJKGROB-WBAIJMCMSA-N","Lipids and lipid-like molecules"
"536","InChIKey=VXUOFDJKYGDUJI-OAQYLSRUSA-N","Lipids and lipid-like molecules"
"537","InChIKey=HTZINLFNXLXRBC-CQLBIITFSA-N","Lipids and lipid-like molecules"
"538","InChIKey=RJZVWDTYEWCUAR-JOCHJYFZSA-N","Lipids and lipid-like molecules"
"539","InChIKey=FLLAZAZGUOWCEJ-UHAGJGNBSA-N","Lipids and lipid-like molecules"
"540","InChIKey=JBFBGNHYRPBNML-WHIOSMTNSA-N","Lipids and lipid-like molecules"
"541","InChIKey=ASWBNKHCZGQVJV-HSZRJFAPSA-N","Lipids and lipid-like molecules"
"542","InChIKey=KCWGBXXAJHVZNN-KOYQJJOGSA-N","Lipids and lipid-like molecules"
"543","InChIKey=LPMGFNAQZPADDZ-FJIRUFBNSA-N","Lipids and lipid-like molecules"
"544","InChIKey=LRCATMCJQORKNR-DJYGDJEFSA-N","Lipids and lipid-like molecules"
"545","InChIKey=JEAGLCKGAKACCE-HBRDYDSTSA-N","Lipids and lipid-like molecules"
"546","InChIKey=SRRQPVVYXBTRQK-XMMPIXPASA-N","Lipids and lipid-like molecules"
"547","InChIKey=SPJFYYJXNPEZDW-FTJOPAKQSA-N","Lipids and lipid-like molecules"
"548","InChIKey=YAMUFBLWGFFICM-PTGWMXDISA-N","Lipids and lipid-like molecules"
"549","InChIKey=IHNKQIMGVNPMTC-RUZDIDTESA-N","Lipids and lipid-like molecules"
"550",NA,NA
"551","InChIKey=NJHKGJJIKOCCMZ-YMIVKDKMSA-N","Lipids and lipid-like molecules"
"552","InChIKey=MQPMZOIIFNBSDM-AYICAFKVSA-N","Lipids and lipid-like molecules"
"553","InChIKey=WYIMORDZGCUBAA-AREMUKBSSA-N","Lipids and lipid-like molecules"
