,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
E2f2,metacluster_45.4,0.065475541998039,3.6822179407855202,0.0,0.832952,motif is annotated for orthologous gene ENSG00000007968 in H. sapiens (identity = 83%),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Foxj3', 0.4642076681942104), ('Fndc3a', 0.8722002480349204), ('Gm2694', 0.3998547337079037), ('Pkn2', 0.5750449577940631), ('Syne2', 3.6424680056340506), ('Tbl1x', 0.810409406155552), ('Zfp711', 2.3174114395799985), ('Otud4', 0.3939336689574237), ('Pou2f1', 0.6739880023815562), ('Gm12610', 2.556943105539635), ('Morc2a', 0.4367043872467743), ('Pogz', 1.1521467149574038), ('Lbr', 1.0325050092054882), ('2410018L13Rik', 1.206707833213016), ('Sox11', 0.8212932049013961), ('Rbbp8', 0.8453310327949651), ('G3bp1', 0.707574407557556), ('Zfp827', 1.087098908929957), ('Cux1', 2.650925337643673), ('Asap2', 1.0140974946968253), ('Dleu2', 0.7739429714922094), ('Ankrd28', 0.4193611445145344), ('Xpo1', 0.7870949684422117), ('Syt9', 0.9838591390138348), ('Scaf4', 5.000025876466953), ('Tdrd3', 0.9211171269567446), ('Sall3', 0.6398578781234386), ('Sertad4', 0.9094676180734302), ('Mms22l', 2.61551328999289), ('Lrif1', 0.4806424087243672), ('Cep192', 3.317796027196601), ('Cbfb', 0.9472687676070516), ('Lrp6', 0.3981374536398671), ('Cenpf', 1.0500052516671623), ('Knl1', 1.4570077958804326), ('Xpo4', 2.056955750108105), ('Tank', 0.4310242060536364), ('Ehmt1', 0.8855854892124744), ('E2f7', 2.375683662995614), ('Simc1', 0.6937522421931355), ('Uck2', 0.5892181598378682), ('Miga1', 0.3930981916621805), ('Mcph1', 0.6107633942338245), ('Ppm1d', 1.7935135678813774), ('Lockd', 1.0726289385058985), ('Cep78', 0.545164273586647), ('Slc9a7', 0.8478242835059688), ('Nup160', 0.4052275405774857), ('Ube2t', 1.2153859253325785), ('Plk4', 0.3926006986909371), ('Hat1', 2.009175193148532), ('St8sia2', 0.6018618605836955), ('AW554918', 0.7509295570289833), ('Zfp367', 1.3652669032508398), ('Sema5b', 2.887677339097717), ('Ttc28', 0.9232790294984566), ('Prkar2a', 1.6633462452369232), ('Ctnnal1', 1.627283446350508), ('Msantd2', 0.4701522660696975), ('Hmgb2', 0.6032476906299186), ('Plaa', 0.6995712481838082), ('Zfp704', 1.4114628225860797), ('Chek1', 1.2012971359236333), ('Pspc1', 0.5878716445234254), ('Rfx7', 0.3976359114821458), ('Rhbdl3', 1.147081984976425), ('Cdk5rap2', 0.4380163281101783), ('Enpp4', 1.1531084350966954), ('Traf6', 2.558609407633832), ('Parp11', 1.0037668408706493), ('Mis18bp1', 4.438612116730111), ('Bzw2', 0.4180124437039702), ('Ccm2', 0.9798866401891831), ('4930413F20Rik', 0.5658532505838693), ('Sp2', 1.1589137911478349), ('Efr3b', 1.2182853540368557), ('Rbm15', 0.7656046369250243), ('Sec22a', 0.4404549277839997), ('Snd1', 0.43855601703963), ('3110056K07Rik', 1.764994161677215), ('Pdpk1', 0.4464296431269524), ('Eogt', 0.5397964795398391), ('Susd1', 9.773786426681156), ('Hjurp', 0.5780039658313246), ('Cntln', 6.047047582529552), ('Pola1', 4.373827482161704), ('Dpy19l3', 1.972572901417044), ('Ldlrad3', 0.9525078647514214), ('Klf8', 0.5221680711102336), ('Tdp1', 0.3956052816780295), ('Lmln', 1.81459658056019), ('Hdac4', 0.6015286955469004), ('Brip1', 2.9875432926396552), ('Adgrv1', 0.8274556724683624), ('Vwa5b2', 1.2130390594714684), ('Mapk7', 1.069788231916205), ('Nasp', 0.4800360802984107)]",4996
E2f2,metacluster_197.3,0.06605657842175981,3.7412278765707625,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Knl1', 1.4570077958804326), ('Ckap2', 0.8789991358566392), ('Pou3f3', 2.360185698233073), ('St8sia2', 0.6018618605836955), ('Zfp711', 2.3174114395799985), ('Lrif1', 0.4806424087243672), ('Plk5', 0.5166959819848602), ('Syt9', 0.9838591390138348), ('Fanci', 1.5784540382173555), ('Pkn2', 0.5750449577940631), ('Plk4', 0.3926006986909371), ('Ccdc138', 0.6116926780662932), ('Morc2a', 0.4367043872467743), ('Mb21d2', 1.7915616438248745), ('Samd8', 0.7117649018584896), ('Prkar2a', 1.6633462452369232), ('Tbl1x', 0.810409406155552), ('Cux1', 2.650925337643673), ('Pxdn', 0.4490457605803826), ('Calcrl', 0.6040315406856778), ('Rfx7', 0.3976359114821458), ('Pmvk', 0.4850725247660508), ('Pou2f1', 0.6739880023815562), ('Hat1', 2.009175193148532), ('Intu', 0.809895093116158), ('Cep78', 0.545164273586647), ('Msantd2', 0.4701522660696975), ('Ctnnal1', 1.627283446350508), ('Sox11', 0.8212932049013961)]",1097
E2f2,metacluster_67.2,0.06191669390274903,3.3207820841009137,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Rbbp8', 0.8453310327949651), ('Fndc3a', 0.8722002480349204), ('Pkn2', 0.5750449577940631), ('Tank', 0.4310242060536364), ('Actl6a', 0.7631468475159673), ('Cog3', 0.6349173817680747), ('Mms22l', 2.61551328999289), ('Plaa', 0.6995712481838082), ('Foxj3', 0.4642076681942104), ('Haus6', 2.205294013130169), ('Pde12', 0.5077291498999038), ('2410018L13Rik', 1.206707833213016), ('Plk4', 0.3926006986909371), ('Nuf2', 0.4625668273131385), ('Cenph', 4.925607628766498), ('Tpx2', 0.7519005378849557), ('Trip4', 0.5504802711626766), ('Parp11', 1.0037668408706493), ('Rps6kc1', 1.766804911015991), ('Sp2', 1.1589137911478349), ('Scaf4', 5.000025876466953), ('Snd1', 0.43855601703963), ('Pola1', 4.373827482161704), ('Lrif1', 0.4806424087243672), ('G3bp1', 0.707574407557556), ('Zfp711', 2.3174114395799985), ('Otud4', 0.3939336689574237), ('Brip1os', 1.08803335504638), ('Hat1', 2.009175193148532), ('Mki67', 1.3965566660562931), ('3110056K07Rik', 1.764994161677215), ('Pou2f1', 0.6739880023815562), ('Spdl1', 1.3917603094894588), ('Msantd2', 0.4701522660696975), ('Enpp4', 1.1531084350966954), ('Wdr73', 0.4198492275404596), ('Xpnpep1', 2.7224245274242227), ('Traf6', 2.558609407633832), ('Cbfb', 0.9472687676070516), ('Hjurp', 0.5780039658313246), ('Nedd1', 0.5788544198614516), ('Mob3b', 0.6466656626447189), ('Ndufs1', 0.5044584789082275), ('Rtel1', 0.5447922802269672), ('Nup160', 0.4052275405774857), ('Ccdc138', 0.6116926780662932), ('Brip1', 2.9875432926396552), ('Dlgap5', 0.5013163769457157), ('Aste1', 0.8150214003326803), ('Gcc2', 0.4128919493158617), ('Eogt', 0.5397964795398391), ('Hells', 1.3505420270436348), ('Myl4', 0.8802181239110747), ('Ccnb2', 0.8069290815612904), ('Msh3', 1.3516718852940026), ('Aspm', 0.804032414334402), ('Sall3', 0.6398578781234386), ('Ccdc58', 0.4654710228620468), ('Diaph3', 2.673008019441676), ('Nat10', 2.221738501203609), ('Rbm15', 0.7656046369250243), ('Zfp948', 0.4205820786232737), ('Ccm2', 0.9798866401891831), ('Smc4', 3.197792379718185), ('Gpr137c', 1.8146002379166088), ('Ncapd2', 0.6849033307455165), ('Lrrc29', 0.467185902452311), ('Mis18bp1', 4.438612116730111), ('Samd8', 0.7117649018584896), ('Dpy19l3', 1.972572901417044), ('Sec22a', 0.4404549277839997), ('Asf1b', 1.6928892859588582), ('Mb21d2', 1.7915616438248745), ('Zwilch', 0.566200481628647), ('Usp48', 1.95504343316008), ('Incenp', 0.4084220917497955), ('Ehmt1', 0.8855854892124744), ('Uba5', 2.3898361994087325), ('Depdc1a', 2.459821972642379), ('Clspn', 8.827663317426623), ('Sema5b', 2.887677339097717), ('Pgbd1', 1.0264770707778723), ('Prr14', 0.6559120625024851), ('Uck2', 0.5892181598378682), ('Susd1', 9.773786426681156), ('Wdr76', 3.6128264715253113), ('Cep44', 0.7965412700875967), ('Adam18', 1.6391020139397965)]",3894
E2f7,metacluster_15.3,0.060477996756548746,3.5729303898033185,1.97219e-06,0.797566,gene is orthologous to ENSG00000165891 in H. sapiens (identity = 79%) which is annotated for similar motif swissregulon__hs__E2F7 ('hs__E2F7'; q-value = 1.97e-06),"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Prox1', 0.4961145116468626), ('Sox6', 0.9788933810791564), ('Ccnd2', 1.497294610830791), ('Pantr1', 1.122050441898825), ('Sp9', 2.553803644887209), ('Efna5', 1.9791787424538891), ('Rai2', 1.537443868934216), ('Aph1b', 0.7747669491556671), ('Nr2e1', 0.7867644621886223), ('Pou3f3', 3.261799966473151), ('Angpt2', 2.0816528645344547), ('Zfp800', 1.7406918617658045), ('Ptbp2', 0.7883285577992426), ('Mki67', 13.161171012419578), ('Tox3', 6.237878780161084), ('Dach1', 0.7306962442894337), ('Lockd', 8.914560502544118), ('Mis18bp1', 5.49830049575543), ('Mapk7', 0.4824444483260202), ('Arx', 9.216377081431691), ('Cd24a', 3.074057522604714), ('Dyrk1a', 0.706238568392751)]",450
E2f7,metacluster_15.1,0.06111019488194387,3.647064784022469,0.0,0.797566,gene is orthologous to ENSG00000165891 in H. sapiens (identity = 79%) which is directly annotated for motif,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Larp1b', 0.4107399182062349), ('Ezh2', 11.108094326052004), ('Ctcf', 1.344178553488149), ('Zfp800', 1.7406918617658045), ('Pum2', 0.4448281438831358), ('Pds5b', 0.6711485415884777), ('Utp14b', 3.0787347837978336), ('Dclk2', 0.878512506033367), ('Syne2', 0.4443100177688925), ('Efna5', 1.9791787424538891), ('Supt3', 1.1562265448991371), ('Cep83os', 1.1688851292607094), ('Atp11c', 0.935820244550261), ('Gm12610', 5.102787177215054), ('Zmynd11', 0.8231032608035513), ('Slf1', 1.4477523414117317), ('Mex3c', 0.7260660986351283), ('Dyrk1a', 0.706238568392751), ('Dek', 0.8128777924472764), ('Rnf144a', 1.0622522457881547), ('Lmnb1', 5.130195573034352), ('Tmpo', 7.446450620019767), ('Phip', 0.4645347364420692), ('Dach1', 0.7306962442894337), ('Mgat5b', 0.7665026761901228), ('9030624G23Rik', 1.2131048342581348), ('Hnrnpr', 1.7457940310206324), ('Mybl1', 1.298357676161105), ('Xpo1', 9.368609210802706), ('Syt9', 8.0631885281622), ('Adamts20', 1.2306498079881336), ('Hmg20a', 0.6654494898400215), ('Rad54b', 0.4436075780157171), ('Tex10', 1.3550585795602308), ('Rcbtb2', 2.1065752887654177), ('Trim37', 0.4159940010430784), ('Zc3h12b', 0.4659255268290545), ('Ubap1', 0.4777247580405481), ('Srebf2', 1.7153001934534922), ('Ep400', 1.2909286934456408), ('Hfm1', 1.3020439788270115), ('Dhx9', 1.982351777357976), ('Casp8ap2', 0.6533512260511236), ('Smchd1', 0.6179574185700036), ('Cep192', 2.213479258031845), ('Cenpf', 4.940909616648729), ('Caprin1', 0.6818717941833514), ('Knl1', 4.579641421804201), ('Trim33', 0.5926720133114343), ('Eaf2', 1.3123745454287417), ('Ndc80', 0.4744274938885875), ('Rb1', 0.9766066744414652), ('Zc3h12c', 1.2595574046391755), ('Sec63', 0.603958418034142), ('Ranbp17', 2.9910291424000013), ('Scaf8', 0.4364700164259205), ('4932441J04Rik', 5.695366590763384), ('E2f7', 1.0), ('Sncaip', 0.9143456358857472), ('Mcph1', 5.915564900263786), ('G2e3', 0.9530233436679816), ('Ska2', 0.9187911877126786), ('Ppm1d', 1.5119023022069136), ('Smarca4', 1.161006967445912), ('Rai2', 1.537443868934216), ('Lockd', 8.914560502544118), ('Naa35', 2.464585246406065), ('Rcc1', 2.85710697906804), ('Slc9a7', 0.5441109167594281), ('Rasgef1a', 0.6946647792588551), ('Ubp1', 0.5713731985616058), ('Sox6', 0.9788933810791564), ('Cenpc1', 1.9332912899098509), ('Stk3', 1.237742213089356), ('Ect2', 2.199020655487897), ('Hat1', 0.531102726717345), ('AW554918', 4.123490390431543), ('Sh3bp4', 0.438657949510723), ('Zfp367', 0.5597153677951298), ('Arl4c', 1.1845952181092256), ('Acot7', 0.4227686876706966), ('Dlx1', 2.850515100948103), ('Tmem201', 0.6115990585487048), ('Hmgb2', 3.0384898466236585), ('Adcy6', 1.007601991587148), ('Tox3', 6.237878780161084), ('Zfp704', 0.6387366466109283), ('Cenpi', 0.5450224396222653), ('Brca2', 1.798046784569021), ('Cdc25a', 0.7705416970874653), ('Srsf1', 1.6665923285198825), ('Tnfrsf21', 0.3965278664573101), ('Zfp507', 2.385402664236955), ('Cdk5rap2', 1.9850465652698213), ('St3gal2', 2.082902227674394), ('Cd24a', 3.074057522604714), ('Gmcl1', 0.4962648001440928), ('Uba2', 1.6428146143256157), ('Zfp786', 2.675146398823873), ('Zfp41', 0.6042997111566113), ('Stpg2', 0.4762602180959888), ('Ttc21b', 0.6099638209178273), ('Parp11', 0.625291727292329), ('Tspan14', 0.4211699961278809), ('Mis18bp1', 5.49830049575543), ('Kif23', 2.7368966892951767), ('Bzw2', 1.3979972184683944), ('Slc32a1', 0.603953856973528), ('Kdm1a', 0.5960141991136727), ('Capn15', 1.9233892732639275), ('Stil', 8.913840324935082), ('Ptbp2', 0.7883285577992426), ('Racgap1', 2.7558933800924024), ('4930520O04Rik', 1.177934097292819), ('Ddias', 3.2728884620169976), ('Hjurp', 2.1629700768530364), ('Cntln', 1.2749389623021952), ('Klhdc2', 1.0633480627715572), ('2700099C18Rik', 3.7782927644839983), ('Pola1', 10.69942686247165), ('Cdc7', 3.6272943482130806), ('Iqgap1', 1.7797834782092867), ('Prox1', 0.4961145116468626), ('Nelfa', 0.9566416739551704), ('Zc3h7b', 0.7881520495384741), ('Epb41l4aos', 8.820399563331256), ('Fam174b', 0.6256402674027824), ('Cbx5', 6.871413542994019), ('Pi4k2a', 0.40189076715347), ('Ldlrad3', 2.3579533896701563), ('Lrrc51', 1.0543216974698004), ('BC055324', 0.90403361575733), ('Dhrs4', 0.4594239205758761), ('Mllt1', 0.9301726625785028), ('Primpol', 0.7143933122485653), ('Uvrag', 0.626193375015888), ('Adgrv1', 1.22514547255043), ('Mapk7', 0.4824444483260202), ('Sp9', 2.553803644887209), ('Nasp', 9.95695339576597)]",4996
E2f7,metacluster_15.2,0.05608238732671816,3.057481467678137,0.0,0.797566,gene is orthologous to ENSG00000165891 in H. sapiens (identity = 79%) which is directly annotated for motif,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Ezh2', 11.108094326052004), ('Larp1b', 0.4107399182062349), ('Dach1', 0.7306962442894337), ('Pum2', 0.4448281438831358), ('Ctcf', 1.344178553488149), ('Efna5', 1.9791787424538891), ('Supt3', 1.1562265448991371), ('Ubap1', 0.4777247580405481), ('4932441J04Rik', 5.695366590763384), ('Zc3h12b', 0.4659255268290545), ('Lockd', 8.914560502544118), ('Slf1', 1.4477523414117317), ('Rcbtb2', 2.1065752887654177), ('Utp14b', 3.0787347837978336), ('Mybl1', 1.298357676161105), ('Cbx5', 6.871413542994019), ('Ccnd2', 1.497294610830791), ('Tmpo', 7.446450620019767), ('Ska2', 0.9187911877126786), ('Atp11c', 0.935820244550261), ('Cep83os', 1.1688851292607094), ('Tex10', 1.3550585795602308), ('Hnrnpr', 1.7457940310206324), ('Ddias', 3.2728884620169976), ('Dclk2', 0.878512506033367), ('Zmynd11', 0.8231032608035513), ('Syne2', 0.4443100177688925), ('Phip', 0.4645347364420692), ('E2f7', 1.0), ('Pds5b', 0.6711485415884777), ('Stpg2', 0.4762602180959888), ('Eaf2', 1.3123745454287417), ('Scaf8', 0.4364700164259205), ('Gm12610', 5.102787177215054), ('Cep192', 2.213479258031845), ('G2e3', 0.9530233436679816), ('Zfp800', 1.7406918617658045), ('Sox6', 0.9788933810791564), ('Mex3c', 0.7260660986351283), ('Casp8ap2', 0.6533512260511236), ('Zfp367', 0.5597153677951298), ('Srsf1', 1.6665923285198825), ('Dhx9', 1.982351777357976), ('Cdc7', 3.6272943482130806), ('Mid1', 0.7447738713308198), ('Trim37', 0.4159940010430784), ('Dek', 0.8128777924472764), ('Sncaip', 0.9143456358857472), ('Sec63', 0.603958418034142), ('Ppm1d', 1.5119023022069136), ('Hmg20a', 0.6654494898400215), ('Rad54b', 0.4436075780157171), ('Ndc80', 0.4744274938885875), ('Caprin1', 0.6818717941833514), ('L3mbtl4', 4.3380362365534975), ('Xpo1', 9.368609210802706), ('Pola1', 10.69942686247165), ('Trim33', 0.5926720133114343), ('Cntln', 1.2749389623021952), ('Rcor1', 2.4194882774607738), ('Smchd1', 0.6179574185700036), ('Naa35', 2.464585246406065), ('Ttc21b', 0.6099638209178273), ('Prox1', 0.4961145116468626), ('Kif18a', 6.234162257379999), ('Knl1', 4.579641421804201), ('Parp11', 0.625291727292329), ('Ranbp17', 2.9910291424000013), ('Adamts20', 1.2306498079881336), ('Syt9', 8.0631885281622), ('Epb41l4aos', 8.820399563331256), ('Ect2', 2.199020655487897), ('Smc2', 17.584000392489322), ('Ep400', 1.2909286934456408), ('Rnf144a', 1.0622522457881547), ('Rai2', 1.537443868934216), ('Lmnb1', 5.130195573034352), ('Zc3h7b', 0.7881520495384741), ('Atm', 0.5982980295938901), ('Zc3h12c', 1.2595574046391755), ('Stil', 8.913840324935082), ('2700099C18Rik', 3.7782927644839983), ('Tox3', 6.237878780161084), ('AW554918', 4.123490390431543), ('Terb1', 1.4431846641227115), ('Cenpf', 4.940909616648729), ('Hfm1', 1.3020439788270115), ('Nasp', 9.95695339576597), ('Cenpc1', 1.9332912899098509), ('9030624G23Rik', 1.2131048342581348), ('Magef1', 0.4616890728485425), ('Slc9a7', 0.5441109167594281), ('Bard1', 2.813330372011707), ('Arl4c', 1.1845952181092256), ('Stk3', 1.237742213089356), ('Ttk', 6.245889082772373), ('Rad51b', 5.390991048950228), ('Lrrc51', 1.0543216974698004), ('Bzw2', 1.3979972184683944), ('Kif11', 25.48935845023564), ('Hat1', 0.531102726717345), ('Srebf2', 1.7153001934534922), ('Rb1', 0.9766066744414652), ('Esco2', 5.225152952202303), ('Tpx2', 0.6298903110496772), ('Zfp507', 2.385402664236955), ('Cep128', 10.558838910405283), ('Pou3f3', 3.261799966473151), ('Smarca4', 1.161006967445912), ('Adgrv1', 1.22514547255043), ('Mis18bp1', 5.49830049575543), ('Igfbp5', 0.8398357725306851), ('Cdk5rap2', 1.9850465652698213), ('Mrps9', 0.7497612811661538), ('Mcph1', 5.915564900263786), ('Diaph3', 10.446914332134888), ('Pi4k2a', 0.40189076715347), ('Cd24a', 3.074057522604714), ('Rab21', 0.6566665778895853), ('Ptbp2', 0.7883285577992426), ('St3gal2', 2.082902227674394), ('Mns1', 2.52331865806998), ('Pclaf', 5.288896238881682), ('Ncapd2', 4.551389457138709), ('Tnfrsf21', 0.3965278664573101)]",4554
E2f7,metacluster_197.3,0.06433303097770815,4.024989032813575,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Slf1', 1.4477523414117317), ('Kif11', 25.48935845023564), ('Atp11c', 0.935820244550261), ('Knl1', 4.579641421804201), ('2700099C18Rik', 3.7782927644839983), ('Zc3h12b', 0.4659255268290545), ('Ndc80', 0.4744274938885875), ('Ubap1', 0.4777247580405481), ('Utp14b', 3.0787347837978336), ('Phip', 0.4645347364420692), ('Larp1b', 0.4107399182062349), ('Kif18a', 6.234162257379999), ('Ppm1d', 1.5119023022069136), ('Ezh2', 11.108094326052004), ('Tmem183a', 0.4288616114588204), ('Srsf1', 1.6665923285198825), ('Rad51ap1', 2.132698883624905), ('Cenpc1', 1.9332912899098509), ('Aurkb', 3.824470839814889), ('Eaf2', 1.3123745454287417), ('Cep83os', 1.1688851292607094), ('Rab21', 0.6566665778895853), ('Stk3', 1.237742213089356), ('Pclaf', 5.288896238881682), ('Mex3c', 0.7260660986351283), ('Pum2', 0.4448281438831358), ('Dach1', 0.7306962442894337), ('Tex10', 1.3550585795602308), ('Parpbp', 0.4185567369432797), ('Cbx5', 6.871413542994019), ('Hmg20a', 0.6654494898400215), ('Stpg2', 0.4762602180959888), ('Kif15', 23.76025459742724), ('Ccl25', 0.8749944311980761), ('Sec63', 0.603958418034142), ('Klhdc2', 1.0633480627715572), ('Ska2', 0.9187911877126786), ('Prox1', 0.4961145116468626), ('Rpp14', 0.6614715752315573), ('Stil', 8.913840324935082), ('G2e3', 0.9530233436679816), ('Adamts20', 1.2306498079881336), ('Mrps9', 0.7497612811661538), ('9530077C05Rik', 0.9721081313679296), ('Zfp367', 0.5597153677951298), ('Cenpk', 4.786641908477049), ('Traip', 1.1427872900529117), ('Mthfd1l', 1.661414391242163), ('Ddias', 3.2728884620169976), ('Cdc7', 3.6272943482130806), ('Nr2e1', 0.7867644621886223), ('Gtf3c5', 4.148253920886207), ('Tox3', 6.237878780161084), ('Iqgap1', 1.7797834782092867), ('Cenpf', 4.940909616648729), ('Ttc21b', 0.6099638209178273), ('Mllt1', 0.9301726625785028), ('Sncaip', 0.9143456358857472), ('Scrg1', 1.2423853724137657), ('Gm12610', 5.102787177215054), ('Ska1', 1.043918543547072), ('Atad5', 1.649336368127433), ('Dek', 0.8128777924472764), ('Brca2', 1.798046784569021), ('Kntc1', 0.9247900289692792), ('Nuf2', 7.642564944107085), ('Asf1b', 3.748847804536401), ('Mid1', 0.7447738713308198), ('Fip1l1', 3.501237890403732), ('Aph1b', 0.7747669491556671), ('Ctcf', 1.344178553488149), ('BC055324', 0.90403361575733), ('Ska3', 0.5269817758203089), ('Sycp3', 0.8635183505313325), ('Rcor1', 2.4194882774607738)]",2724
E2f7,swissregulon__mm__E2f7,0.07320900103533896,5.0658251835353445,0.0,1.0,gene is directly annotated,"frozenset({'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating', 'weight>75.0%'})","[('Ezh2', 11.108094326052004), ('Pum2', 0.4448281438831358), ('Ctcf', 1.344178553488149), ('Larp1b', 0.4107399182062349), ('Efna5', 1.9791787424538891), ('4932441J04Rik', 5.695366590763384), ('Zmynd11', 0.8231032608035513), ('Supt3', 1.1562265448991371), ('Mex3c', 0.7260660986351283), ('Syne2', 0.4443100177688925), ('Utp14b', 3.0787347837978336), ('Hnrnpr', 1.7457940310206324), ('Ddias', 3.2728884620169976), ('Slf1', 1.4477523414117317), ('Dach1', 0.7306962442894337), ('Dek', 0.8128777924472764), ('Tex10', 1.3550585795602308), ('Stpg2', 0.4762602180959888), ('Rcbtb2', 2.1065752887654177), ('Atp11c', 0.935820244550261), ('Xpo1', 9.368609210802706), ('Ppm1d', 1.5119023022069136), ('Ubap1', 0.4777247580405481), ('Dclk2', 0.878512506033367), ('Tmpo', 7.446450620019767), ('Gm12610', 5.102787177215054), ('Trim37', 0.4159940010430784), ('Ttc21b', 0.6099638209178273), ('Cbx5', 6.871413542994019), ('Mybl1', 1.298357676161105), ('Scaf8', 0.4364700164259205), ('Lockd', 8.914560502544118), ('Ska2', 0.9187911877126786), ('Sec63', 0.603958418034142), ('Zc3h12b', 0.4659255268290545), ('Srsf1', 1.6665923285198825), ('Epb41l4aos', 8.820399563331256), ('Zfp367', 0.5597153677951298), ('Cep83os', 1.1688851292607094), ('Phip', 0.4645347364420692), ('Ect2', 2.199020655487897), ('Pds5b', 0.6711485415884777), ('Parp11', 0.625291727292329), ('Lmnb1', 5.130195573034352), ('Cntln', 1.2749389623021952), ('Bard1', 2.813330372011707), ('Ndc80', 0.4744274938885875), ('Rad54b', 0.4436075780157171), ('Stk3', 1.237742213089356), ('Adamts20', 1.2306498079881336), ('Rnf144a', 1.0622522457881547), ('Zc3h12c', 1.2595574046391755), ('E2f7', 1.0), ('G2e3', 0.9530233436679816), ('Zfp800', 1.7406918617658045), ('Caprin1', 0.6818717941833514), ('Eaf2', 1.3123745454287417), ('Sox6', 0.9788933810791564), ('Arl4c', 1.1845952181092256), ('Cdc7', 3.6272943482130806), ('Pola1', 10.69942686247165), ('Atm', 0.5982980295938901), ('Sncaip', 0.9143456358857472), ('Cenpc1', 1.9332912899098509), ('Kntc1', 0.9247900289692792), ('Syt9', 8.0631885281622), ('Knl1', 4.579641421804201), ('Atad5', 1.649336368127433), ('Magef1', 0.4616890728485425), ('Esco2', 5.225152952202303), ('Srebf2', 1.7153001934534922), ('Tpx2', 0.6298903110496772), ('Bzw2', 1.3979972184683944), ('Polq', 1.1354269059918658), ('Uhrf1', 2.1587804751183737), ('Hfm1', 1.3020439788270115), ('Trim33', 0.5926720133114343), ('Mcph1', 5.915564900263786), ('Stil', 8.913840324935082), ('Tox3', 6.237878780161084), ('Ranbp17', 2.9910291424000013), ('Casp8ap2', 0.6533512260511236), ('Atad2', 38.54573790965119), ('Slc9a7', 0.5441109167594281), ('Brca2', 1.798046784569021), ('Prox1', 0.4961145116468626), ('Cep192', 2.213479258031845), ('Ptbp2', 0.7883285577992426), ('Primpol', 0.7143933122485653), ('9030624G23Rik', 1.2131048342581348), ('Nelfa', 0.9566416739551704), ('Ccnd2', 1.497294610830791), ('Adgrv1', 1.22514547255043), ('Kif18a', 6.234162257379999), ('Smchd1', 0.6179574185700036), ('Smc2', 17.584000392489322), ('Ep400', 1.2909286934456408), ('Rab21', 0.6566665778895853), ('Rcc1', 2.85710697906804), ('Dhx9', 1.982351777357976), ('Lig1', 0.8392163214494671), ('Terb1', 1.4431846641227115), ('Hat1', 0.531102726717345), ('Rcor1', 2.4194882774607738), ('Gtf3c5', 4.148253920886207), ('2700099C18Rik', 3.7782927644839983), ('Uba2', 1.6428146143256157), ('Naa35', 2.464585246406065), ('Diaph3', 10.446914332134888), ('Fip1l1', 3.501237890403732), ('Klhdc2', 1.0633480627715572), ('Cdk5rap2', 1.9850465652698213), ('Ttk', 6.245889082772373), ('Sp9', 2.553803644887209), ('Zfp786', 2.675146398823873), ('Nasp', 9.95695339576597), ('Mns1', 2.52331865806998), ('Gmcl1', 0.4962648001440928), ('Pclaf', 5.288896238881682), ('Cops3', 0.7269058444424729), ('Dyrk1a', 0.706238568392751), ('AW554918', 4.123490390431543), ('Rb1', 0.9766066744414652), ('Mthfd1l', 1.661414391242163), ('Rai2', 1.537443868934216), ('L3mbtl4', 4.3380362365534975), ('Hmg20a', 0.6654494898400215), ('Cenpf', 4.940909616648729), ('Mrps9', 0.7497612811661538), ('Lrrcc1', 2.0275102072323268), ('Nr2e1', 0.7867644621886223), ('Tubgcp2', 0.5413032328497784), ('Neil3', 41.47213340787045), ('Mapk7', 0.4824444483260202), ('Cdc25a', 0.7705416970874653), ('Aurkb', 3.824470839814889), ('Pa2g4', 0.9252180983344362), ('Melk', 10.259073993028682), ('Asf1b', 3.748847804536401)]",4864
