"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Galnt2",1.19987206791556e-22,0.358596078087135,0.387,0.188,4.18359393920119e-18,"6","Galnt2"
"Scn3a1",1.36156382477481e-22,0.349982810560208,0.507,0.275,4.74736458784232e-18,"6","Scn3a"
"Gm433161",1.67206035569815e-22,0.370731193883243,0.344,0.162,5.82997284221274e-18,"6","Gm43316"
"Vat1l",2.42366028122368e-22,0.439378214584962,0.265,0.112,8.4505763025426e-18,"6","Vat1l"
"Pitpnc12",3.06952545310564e-22,0.344516658915397,0.699,0.429,1.07025143973434e-17,"6","Pitpnc1"
"Chst1",3.12680060841605e-22,0.364568608232471,0.31,0.138,1.09022156813642e-17,"6","Chst1"
"Sez61",5.35602459756846e-22,0.276155181470472,0.38,0.174,1.86748509643419e-17,"6","Sez6"
"St7",6.41855484981236e-22,0.467635605360472,0.645,0.422,2.23795751948408e-17,"6","St7"
"Col4a2",6.78039707804117e-22,0.318286804474827,0.314,0.139,2.36412104920062e-17,"6","Col4a2"
"Ank2",1.2363738168651e-21,0.326843672507081,0.989,0.951,4.31086458726353e-17,"6","Ank2"
"Parm11",1.43511482303859e-21,0.728129526542589,0.475,0.291,5.00381485348865e-17,"6","Parm1"
"Sh3bgrl2",1.50717381474694e-21,0.253897435459419,0.296,0.129,5.25506293987814e-17,"6","Sh3bgrl2"
"Rims2",2.24796006822884e-21,0.378029174895653,0.977,0.898,7.83796236989351e-17,"6","Rims2"
"Sulf21",2.67619268360105e-21,0.398941379502827,0.43,0.232,9.33108102991179e-17,"6","Sulf2"
"Dscaml11",2.81760412157337e-21,0.370239296501516,0.878,0.657,9.82414029068986e-17,"6","Dscaml1"
"2900064K03Rik1",3.02991004903795e-21,0.381447995980659,0.326,0.153,1.05643873679806e-16,"6","2900064K03Rik"
"Pantr1",3.70281934988686e-21,0.323085915910712,0.346,0.164,1.29106202272505e-16,"6","Pantr1"
"Tafa51",4.4806502294741e-21,0.489489188417847,0.618,0.414,1.56226831551073e-16,"6","Tafa5"
"Ptpn3",4.59986209961477e-21,0.330717580115174,0.26,0.11,1.60383391827268e-16,"6","Ptpn3"
"Shank21",7.60622149019745e-21,0.421257503063851,0.586,0.357,2.65206124698714e-16,"6","Shank2"
"Plppr3",1.37967649210893e-20,0.317621368354657,0.398,0.2,4.81051802503622e-16,"6","Plppr3"
"Tmem132b2",1.56217619115672e-20,0.414073678586313,0.835,0.616,5.44683972570613e-16,"6","Tmem132b"
"Gm10048",2.83789730631343e-20,0.305287956269015,0.26,0.112,9.89489653792302e-16,"6","Gm10048"
"Slco3a11",3.4689330171172e-20,0.362475416714714,0.624,0.398,1.20951287507825e-15,"6","Slco3a1"
"Ablim11",3.48031429190227e-20,0.470483016828597,0.799,0.604,1.21348118415756e-15,"6","Ablim1"
"Sdc2",6.21789293953875e-20,0.30349253832087,0.262,0.113,2.16799273122898e-15,"6","Sdc2"
"Pdzrn31",1.76420200363818e-19,0.45771870504468,0.412,0.223,6.15124312608526e-15,"6","Pdzrn3"
"Tcf121",2.7561705081084e-19,0.336091673350382,0.817,0.615,9.60993971062157e-15,"6","Tcf12"
"C030017B01Rik1",3.17744269667765e-19,0.333550499343501,0.371,0.188,1.1078789450506e-14,"6","C030017B01Rik"
"St6gal1",5.13428583698415e-19,0.253348712453958,0.253,0.109,1.79017144278126e-14,"6","St6gal1"
"Samd4",6.08239727111054e-19,0.36641654319369,0.468,0.267,2.12074945651811e-14,"6","Samd4"
"Tnks",8.06125150145665e-19,0.400475291683315,0.57,0.36,2.81071656101289e-14,"6","Tnks"
"Gm281753",9.41996646677967e-19,0.281969512531134,0.357,0.173,3.28445970797207e-14,"6","Gm28175"
"Nfix2",1.42053051557493e-18,0.309023453036516,0.412,0.212,4.95296374865511e-14,"6","Nfix"
"Kazn1",1.59940291925266e-18,0.377094901886258,0.83,0.594,5.57663815855826e-14,"6","Kazn"
"Nrcam1",1.76510041870149e-18,0.394578036238856,0.88,0.711,6.15437562988649e-14,"6","Nrcam"
"Usp292",4.15382348528588e-18,0.422366577403657,0.787,0.621,1.44831363461463e-13,"6","Usp29"
"Cers51",4.58105259909033e-18,0.353812845298066,0.493,0.292,1.59727560972482e-13,"6","Cers5"
"Dpysl5",8.7016352022719e-18,0.328828760337676,0.425,0.236,3.03399914597614e-13,"6","Dpysl5"
"Srgap11",1.10844840816117e-17,0.418019133438539,0.357,0.191,3.86482706473557e-13,"6","Srgap1"
"Vstm2a2",1.15219538806769e-17,0.399059205267111,0.713,0.505,4.01735965957563e-13,"6","Vstm2a"
"Cdk141",1.29057873058882e-17,0.361272724041744,0.733,0.557,4.49986085994403e-13,"6","Cdk14"
"Grid11",1.31253410436033e-17,0.45525445526524,0.776,0.58,4.57641266167316e-13,"6","Grid1"
"Gm42770",3.54584653852679e-17,0.301563707654413,0.287,0.139,1.23633031258814e-12,"6","Gm42770"
"Gm114181",2.22699043623931e-16,0.318932487878278,0.281,0.138,7.76484755403561e-12,"6","Gm11418"
"Cdh92",2.3397775110325e-16,0.330020662356257,0.548,0.346,8.15810224771701e-12,"6","Cdh9"
"Ndn",4.24291383804894e-16,0.397642184682996,0.421,0.246,1.47937676791252e-11,"6","Ndn"
"Nmt21",5.33278561927654e-16,0.328575868824056,0.631,0.434,1.85938236187315e-11,"6","Nmt2"
"Socs5",1.10113787080971e-15,0.365288177500179,0.385,0.222,3.83933741415221e-11,"6","Socs5"
"Scrn1",2.46976579730473e-15,0.316964953688636,0.484,0.299,8.61133240546239e-11,"6","Scrn1"
"Pacrg1",3.22163717781089e-15,0.328542593880937,0.511,0.323,1.12328823478732e-10,"6","Pacrg"
"Kif1b",3.38228762160598e-15,0.297066811427501,0.889,0.725,1.17930222502536e-10,"6","Kif1b"
"Flrt1",2.76345045363149e-14,0.287453591086848,0.328,0.177,9.6353226966769e-10,"6","Flrt1"
"Bex11",3.70082761495862e-14,0.287556602848006,0.403,0.235,1.29036756450762e-09,"6","Bex1"
"Fyn1",3.97609939890964e-14,0.284494396468131,0.654,0.455,1.38634657741783e-09,"6","Fyn"
"Wscd2",4.23098285625078e-14,0.292239466686381,0.296,0.156,1.47521679248896e-09,"6","Wscd2"
"Ak51",4.52777229376938e-14,0.321197777583765,0.48,0.301,1.57869836566857e-09,"6","Ak5"
"Ypel2",6.75186166142204e-14,0.263115003673183,0.346,0.194,2.35417160548802e-09,"6","Ypel2"
"Fabp5",6.86180132282168e-14,0.262768564447544,0.271,0.137,2.39250426722824e-09,"6","Fabp5"
"Arnt23",6.99720483991922e-14,0.306983185914056,0.787,0.582,2.43971541153464e-09,"6","Arnt2"
"Csmd22",1.00098206720376e-13,0.328319595017304,0.55,0.364,3.49012417371936e-09,"6","Csmd2"
"Large1",1.21190225744379e-13,0.286732541355813,0.943,0.839,4.22553960102928e-09,"6","Large1"
"Abat",1.64540952776294e-13,0.368253051108812,0.543,0.382,5.73704940045105e-09,"6","Abat"
"A230006K03Rik2",1.71544298977751e-13,0.344512111942644,0.738,0.528,5.98123507245725e-09,"6","A230006K03Rik"
"Nhs2",2.03992039025022e-13,0.321794792308991,0.706,0.521,7.11259042468544e-09,"6","Nhs"
"Prkca2",2.14793913321805e-13,0.428520205897352,0.771,0.61,7.48921937579137e-09,"6","Prkca"
"mt-Nd5",2.22985229984503e-13,0.36109052229752,0.398,0.242,7.77482601386967e-09,"6","mt-Nd5"
"Nbea1",2.49383346908391e-13,0.326830620332683,0.95,0.888,8.69524915665487e-09,"6","Nbea"
"A330102I10Rik2",2.92632186663779e-13,0.2899159807331,0.554,0.36,1.0203206452406e-08,"6","A330102I10Rik"
"Phf20l1",3.18791608789574e-13,0.411182050855435,0.805,0.676,1.11153070236661e-08,"6","Phf20l1"
"Alcam2",3.81117358741283e-13,0.394607552276029,0.717,0.518,1.32884189472323e-08,"6","Alcam"
"Gm98661",3.87472678450847e-13,0.293646155909987,0.303,0.167,1.35100098795457e-08,"6","Gm9866"
"Timp21",4.71939891551559e-13,0.256089100626699,0.33,0.185,1.64551281987282e-08,"6","Timp2"
"Elmo11",5.0625587611507e-13,0.495475657393921,0.482,0.32,1.76516236325041e-08,"6","Elmo1"
"Gm139441",5.07499137382075e-13,0.302928547312418,0.396,0.239,1.76949724231008e-08,"6","Gm13944"
"Plxna21",6.48803245453899e-13,0.350760273067682,0.6,0.428,2.26218227592411e-08,"6","Plxna2"
"D430041D05Rik2",7.11848145171249e-13,0.40427775504905,0.679,0.512,2.48200092776859e-08,"6","D430041D05Rik"
"Hivep31",8.2343420261988e-13,0.288211001117418,0.751,0.582,2.87106803427474e-08,"6","Hivep3"
"Mgat5b",9.03742287031854e-13,0.274534251359455,0.281,0.15,3.15107823219396e-08,"6","Mgat5b"
