"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"6330411D24Rik",0,2.58046211347384,0.77,0.115,0,"0","6330411D24Rik"
"Dock4",0,2.36316292198692,0.952,0.455,0,"0","Dock4"
"Slit2",0,2.29010220506581,0.829,0.088,0,"0","Slit2"
"Cemip",0,2.02700311404192,0.778,0.13,0,"0","Cemip"
"Kcnc2",0,1.88337734333262,0.992,0.698,0,"0","Kcnc2"
"Cntnap4",0,1.60704889613014,0.912,0.332,0,"0","Cntnap4"
"Scn9a",0,1.60655879597579,0.824,0.206,0,"0","Scn9a"
"Esrrg",0,1.57291561223305,0.884,0.4,0,"0","Esrrg"
"Fam135b",0,1.50975831377748,0.898,0.345,0,"0","Fam135b"
"Gm13629",0,1.45498444215411,0.771,0.202,0,"0","Gm13629"
"Iqgap2",0,1.41350562188024,0.765,0.214,0,"0","Iqgap2"
"Kazn",0,1.40810202855379,0.917,0.491,0,"0","Kazn"
"Tmem108",0,1.40610811400514,0.69,0.236,0,"0","Tmem108"
"Ndst3",0,1.38339907194905,0.661,0.192,0,"0","Ndst3"
"Lrrc4c",0,1.38158725532358,0.98,0.779,0,"0","Lrrc4c"
"Me3",0,1.37023730344326,0.9,0.415,0,"0","Me3"
"Eya4",0,1.36113224547596,0.566,0.133,0,"0","Eya4"
"Btbd11",0,1.35065702416588,0.871,0.397,0,"0","Btbd11"
"Tafa2",0,1.33906943457131,0.922,0.43,0,"0","Tafa2"
"Ntrk3",0,1.29724267245139,0.903,0.527,0,"0","Ntrk3"
"Sox5",0,1.28809005290486,0.9,0.383,0,"0","Sox5"
"Nek7",0,1.27173069241971,0.654,0.128,0,"0","Nek7"
"Tmem132d",0,1.26596599248563,0.724,0.234,0,"0","Tmem132d"
"Erbb4",0,1.15382912713256,0.998,0.841,0,"0","Erbb4"
"ENSMUSG00000120164",0,1.1445856716206,0.761,0.252,0,"0","ENSMUSG00000120164"
"Gpr176",0,1.14407109168285,0.723,0.241,0,"0","Gpr176"
"Gm45904",0,1.13391898296854,0.569,0.115,0,"0","Gm45904"
"Sox6",0,1.13131168175747,0.915,0.316,0,"0","Sox6"
"Sox5os4",0,1.12049858475299,0.514,0.065,0,"0","Sox5os4"
"Kcnc1",0,1.1035600895115,0.889,0.505,0,"0","Kcnc1"
"Atrnl1",0,1.09418315979234,0.931,0.59,0,"0","Atrnl1"
"Mitf",0,1.0807129689268,0.59,0.131,0,"0","Mitf"
"Slc24a2",0,1.07260794832456,0.955,0.62,0,"0","Slc24a2"
"Plxna4",0,1.06228877502744,0.939,0.551,0,"0","Plxna4"
"Hcn1",0,1.06204600227967,0.975,0.688,0,"0","Hcn1"
"Cacna2d2",0,1.05650010285131,0.695,0.212,0,"0","Cacna2d2"
"Plcxd3",0,1.03871375138539,0.667,0.174,0,"0","Plcxd3"
"Myo5b",0,1.0361408950124,0.471,0.04,0,"0","Myo5b"
"Fgf12",0,1.03473485530816,0.991,0.889,0,"0","Fgf12"
"Man1c1",0,1.02629486129641,0.598,0.154,0,"0","Man1c1"
"Cntnap5a",0,1.01495727586263,0.925,0.526,0,"0","Cntnap5a"
"Tac1",0,1.01492654753877,0.376,0.046,0,"0","Tac1"
"Rapgef5",0,0.989256150599691,0.696,0.239,0,"0","Rapgef5"
"Tmem44",0,0.980023489233063,0.598,0.159,0,"0","Tmem44"
"Rbms3",0,0.95401326078252,0.96,0.729,0,"0","Rbms3"
"Srrm4",0,0.944850430230605,0.864,0.45,0,"0","Srrm4"
"Enox1",0,0.942619034052968,0.946,0.659,0,"0","Enox1"
"Pvalb",0,0.940129194548332,0.408,0.041,0,"0","Pvalb"
"Tmem132c",0,0.929184952881029,0.514,0.119,0,"0","Tmem132c"
"Myo1e",0,0.903858660389225,0.362,0.029,0,"0","Myo1e"
"Syt2",0,0.891274065150346,0.322,0.019,0,"0","Syt2"
"Kcnma1",0,0.875815729609848,0.974,0.765,0,"0","Kcnma1"
"Frmpd1",0,0.858585800898999,0.409,0.058,0,"0","Frmpd1"
"Rbfox1",0,0.856564661086646,0.997,0.89,0,"0","Rbfox1"
"Adgrb3",0,0.846105750761632,0.993,0.935,0,"0","Adgrb3"
"Magi2",0,0.822476481390724,0.995,0.937,0,"0","Magi2"
"Gm28501",0,0.8072197842206,0.37,0.043,0,"0","Gm28501"
"Dlgap2",0,0.804850394891507,0.99,0.831,0,"0","Dlgap2"
"Mypn",0,0.6905125375806,0.293,0.022,0,"0","Mypn"
"Phlda1",6.43858308938859e-307,0.781191286967576,0.394,0.061,2.24494076577712e-302,"0","Phlda1"
"Slit3",8.5021123158778e-300,1.00326350338545,0.557,0.153,2.96443150117711e-295,"0","Slit3"
"Il1rapl1",1.24732064544558e-299,0.759119935033279,0.987,0.9,4.3490328944751e-295,"0","Il1rapl1"
"Mkx",1.12127919348728e-294,0.916464144817973,0.708,0.267,3.9095641639321e-290,"0","Mkx"
"Rnf144b",2.39339508703481e-290,0.879561405280716,0.641,0.215,8.34505064996428e-286,"0","Rnf144b"
"6330576A10Rik",4.59913361212216e-284,0.872320787626371,0.577,0.17,1.60357991653863e-279,"0","6330576A10Rik"
"Flt3",4.65041493294716e-282,0.742160307549322,0.398,0.074,1.62146017467069e-277,"0","Flt3"
"Epb41",3.70421805597533e-276,0.859132304912615,0.556,0.173,1.29154970957692e-271,"0","Epb41"
"Etv6",1.4850010422847e-275,0.97037905290534,0.584,0.196,5.17775313413406e-271,"0","Etv6"
"Specc1",5.20459488147638e-273,0.868308152165699,0.751,0.334,1.81468609732437e-268,"0","Specc1"
"Kcnh7",1.08050848467867e-272,0.796272067450869,0.969,0.714,3.76740893352911e-268,"0","Kcnh7"
"Ppp2r2b",9.0528388659218e-271,0.839511720830492,0.953,0.728,3.15645332738095e-266,"0","Ppp2r2b"
"St3gal6",2.36578420314037e-270,0.758109672691002,0.422,0.089,8.24877978108953e-266,"0","St3gal6"
"Gabrg3",7.70492131094402e-269,0.806491502886441,0.973,0.721,2.68647491348685e-264,"0","Gabrg3"
"Ppargc1a",1.24556377103775e-262,0.855886276904079,0.685,0.276,4.34290720047731e-258,"0","Ppargc1a"
"Ptpre",1.70912325927616e-262,0.828066038285846,0.599,0.195,5.9592000681182e-258,"0","Ptpre"
"Mef2c",3.91307074936146e-262,0.743893125483094,0.976,0.82,1.36437037817986e-257,"0","Mef2c"
"Slc35f3",1.3334332288682e-255,0.866192116861993,0.582,0.195,4.64928163909474e-251,"0","Slc35f3"
"Dlgap1",1.95395844555179e-252,0.539135222324062,0.995,0.965,6.81286691210543e-248,"0","Dlgap1"
"Hunk",1.46747363754665e-250,0.819909413120308,0.488,0.14,5.1166403320339e-246,"0","Hunk"
"Fgf1",1.25151206533685e-249,0.974826015928715,0.717,0.347,4.36364711820998e-245,"0","Fgf1"
"Kcnab1",8.63394497388233e-248,0.913749773559784,0.87,0.549,3.01039759404355e-243,"0","Kcnab1"
"Kcnip2",2.77409106057874e-246,0.658042565355635,0.394,0.083,9.67242330091988e-242,"0","Kcnip2"
"Gm1604a",1.34747503744276e-244,0.805975375515983,0.62,0.227,4.69824121305167e-240,"0","Gm1604a"
"Tnr",5.12737462648492e-244,0.795641440810604,0.807,0.409,1.7877617110165e-239,"0","Tnr"
"Zfp804a",1.17744304299468e-243,0.844357186741163,0.853,0.479,4.10539065800954e-239,"0","Zfp804a"
"A330015K06Rik",3.01511563062226e-236,0.961576316042618,0.795,0.448,1.05128036692906e-231,"0","A330015K06Rik"
"Opcml",3.42605121363334e-235,0.846299132784496,0.987,0.832,1.19456127665754e-230,"0","Opcml"
"Arl15",2.25588501723072e-234,0.821514563766159,0.834,0.473,7.86559428957835e-230,"0","Arl15"
"Cntnap5c",1.17524460458934e-232,1.10898731581494,0.763,0.41,4.09772536282164e-228,"0","Cntnap5c"
"Elavl2",4.48542085819536e-232,0.783171203451646,0.932,0.591,1.56393169062697e-227,"0","Elavl2"
"Trpc4",1.37977740259318e-231,0.837039528178999,0.673,0.272,4.81086986962163e-227,"0","Trpc4"
"Runx2",3.7598322154918e-229,0.981570104729041,0.724,0.356,1.31094069857553e-224,"0","Runx2"
"Oprd1",3.90185543458445e-227,0.713443945915517,0.423,0.11,1.36045993437656e-222,"0","Oprd1"
"Il1rapl2",6.96105899477755e-226,1.83973257225444,0.493,0.17,2.42711243970909e-221,"0","Il1rapl2"
"Slc4a4",2.39114969123847e-223,0.695317001491714,0.694,0.284,8.33722162844118e-219,"0","Slc4a4"
"Cntnap3",2.87633033739728e-223,0.763665738435947,0.65,0.256,1.00289009874031e-218,"0","Cntnap3"
"4930445B16Rik",3.28866785406106e-223,0.874954385693252,0.561,0.2,1.14665982067547e-218,"0","4930445B16Rik"
"Itpr1",2.19315275963023e-220,0.78431324095415,0.74,0.347,7.64686572700274e-216,"0","Itpr1"
"Trps1",4.93748547811834e-219,0.864744903529473,0.659,0.287,1.72155306165552e-214,"0","Trps1"
"Klf12",1.600684557032e-217,0.697323334535473,0.942,0.734,5.58110684500348e-213,"0","Klf12"
"Scn1a",3.73792148145033e-217,0.731872225343339,0.913,0.645,1.30330108293728e-212,"0","Scn1a"
"Arhgap26",2.22976316341203e-216,0.822417316701053,0.643,0.282,7.77451522186874e-212,"0","Arhgap26"
"Tm6sf1",9.0654856242866e-213,0.717980095222141,0.633,0.26,3.16086287262001e-208,"0","Tm6sf1"
"Adgra3",1.15669720335925e-211,0.576706878091023,0.28,0.043,4.03305613895269e-207,"0","Adgra3"
"St6galnac5",2.00930337782609e-210,0.723285676944654,0.61,0.226,7.00583808746622e-206,"0","St6galnac5"
"Klhl32",2.8276913328389e-207,0.812908288891656,0.738,0.383,9.85931137020938e-203,"0","Klhl32"
"ENSMUSG00000120285",6.51888018920454e-205,0.864207092529709,0.451,0.139,2.27293795556995e-200,"0","ENSMUSG00000120285"
"Chchd3",3.58075802366013e-204,0.751421783986284,0.723,0.365,1.24850290010958e-199,"0","Chchd3"
"Coro6",3.68906267407683e-204,0.706285747475613,0.478,0.157,1.28626548257037e-199,"0","Coro6"
"Sh3rf3",6.06577144454668e-204,0.710529433324606,0.882,0.542,2.11495252957009e-199,"0","Sh3rf3"
"Meg3",2.83715318333141e-199,0.431588814824713,1,0.982,9.89230200432161e-195,"0","Meg3"
"Gm55122",4.71519817742957e-199,0.810653570333489,0.864,0.549,1.64404814852437e-194,"0","Gm55122"
"Denn2b",2.03255057311166e-198,0.66314972341093,0.444,0.136,7.08689408326841e-194,"0","Denn2b"
"Snhg11",2.07908464190453e-198,0.430947398825735,1,0.962,7.24914442092851e-194,"0","Snhg11"
