"","N1","N2","N3","N4","N5"
"0",480,463,425,430,481
"1",358,366,338,290,348
"2",285,300,310,255,262
"3",271,267,342,243,241
"4",34,191,37,706,46
"5",37,100,52,99,40
"6",23,101,2,71,71
"7",10,26,7,18,17
