"","N1","N2","N3","N4","N5"
"0",423,395,383,382,444
"1",241,260,273,225,231
"2",229,245,205,173,198
"3",34,191,37,706,46
"4",203,185,221,157,157
"5",186,184,173,161,185
"6",68,82,121,86,85
"7",23,101,2,71,71
"8",22,79,34,79,19
"9",44,40,37,30,30
"10",15,26,20,24,23
"11",10,26,7,18,17
