"","N1","N2","N3","N4","N5"
"0",1643,1762,1338,1191,1306
"1",1008,1167,1422,1316,1314
"2",1287,795,1180,1155,1514
"3",1319,1178,1152,909,1021
"4",1050,761,1392,995,1314
"5",1087,1087,851,672,870
"6",883,924,818,787,884
"7",962,1070,810,703,727
"8",557,571,652,505,503
"9",509,502,667,516,570
"10",172,398,416,297,246
"11",321,328,302,272,299
"12",351,396,226,188,247
"13",58,319,43,820,119
"14",112,167,259,215,131
"15",86,217,13,317,179
"16",95,113,212,157,97
"17",53,72,96,66,54
"18",37,58,91,70,43
"19",30,108,31,26,29
"20",66,52,23,39,36
"21",29,63,34,41,45
"22",3,12,14,5,7
