"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ror12",1.2037878707637e-76,0.542418271458083,0.296,0.04,4.19724716899178e-72,"20","Ror1"
"Nr2f21",1.38600123448129e-76,0.321931147916697,0.25,0.029,4.8325705042659e-72,"20","Nr2f2"
"Lnx12",1.71081874071047e-76,1.03406464285876,0.736,0.231,5.96511170323519e-72,"20","Lnx1"
"Sh3d193",5.51722196723829e-76,0.819383283200041,0.796,0.243,1.92368978331697e-71,"20","Sh3d19"
"Cux23",5.74234029684612e-76,1.17668505658603,0.769,0.248,2.00218179130134e-71,"20","Cux2"
"Nell1os1",7.06601068891427e-76,0.618010836044176,0.407,0.074,2.46370594690374e-71,"20","Nell1os"
"B3glct1",1.69678518410043e-74,0.769556385039546,0.602,0.149,5.91618090140297e-70,"20","B3glct"
"Grm15",3.26098792934869e-74,1.06056326072398,0.898,0.326,1.13700866132601e-69,"20","Grm1"
"6530403H02Rik3",6.02889304059379e-72,0.896667656798456,0.463,0.096,2.10209413646384e-67,"20","6530403H02Rik"
"A330008L17Rik5",7.46450750288503e-72,0.957377564477598,0.644,0.174,2.60264983103092e-67,"20","A330008L17Rik"
"Mgat55",6.82721822771359e-71,1.057119701792,0.921,0.392,2.3804461794569e-66,"20","Mgat5"
"Gm26673",5.05446692116945e-70,0.658204487070848,0.426,0.085,1.76234098140415e-65,"20","Gm26673"
"Brinp17",7.70055214425152e-70,1.30270994410299,0.977,0.541,2.68495151613618e-65,"20","Brinp1"
"Gm487493",1.20282224073687e-69,0.717855149531287,0.574,0.142,4.19388030677725e-65,"20","Gm48749"
"Runx25",4.4301081460433e-69,1.09255353307022,0.894,0.368,1.54464580728092e-64,"20","Runx2"
"Tnr3",2.51511957048125e-68,0.859275487415367,0.977,0.522,8.76946740639696e-64,"20","Tnr"
"Xpr15",2.94238698826385e-68,0.930558866431235,0.866,0.326,1.02592207119796e-63,"20","Xpr1"
"Col25a13",5.01957428990938e-68,0.786195074704724,0.676,0.198,1.7501749676627e-63,"20","Col25a1"
"Slc16a101",2.77115002835607e-67,0.602199663779079,0.468,0.103,9.6621688038691e-63,"20","Slc16a10"
"Zc3h12c1",3.75751517067961e-67,0.710790094386105,0.519,0.125,1.31013281456086e-62,"20","Zc3h12c"
"Itpkb",4.13925790733358e-67,0.284935312859695,0.269,0.037,1.44323505455e-62,"20","Itpkb"
"Satb26",6.37543144497291e-67,1.07278213801804,0.88,0.345,2.2229216819187e-62,"20","Satb2"
"Sox57",5.55157963754168e-66,1.18103272963788,0.972,0.527,1.93566927222166e-61,"20","Sox5"
"Gm504033",6.51203882869477e-66,0.689438938691375,0.546,0.139,2.270552578401e-61,"20","Gm50403"
"Sh3gl25",1.26659149207411e-65,1.10585961389818,0.981,0.514,4.41622455541479e-61,"20","Sh3gl2"
"Gsg1l3",3.45336800514932e-65,0.811028638604885,0.694,0.208,1.20408582235541e-60,"20","Gsg1l"
"Slit24",4.26736420774632e-65,0.900794327017939,0.787,0.271,1.48790187831491e-60,"20","Slit2"
"Cntnap5b6",7.24962197561705e-65,1.32495020777022,0.787,0.285,2.5277256942384e-60,"20","Cntnap5b"
"Kremen11",3.82046621867164e-64,0.392497823689037,0.301,0.048,1.33208195646424e-59,"20","Kremen1"
"Kcnv11",7.79008535040878e-64,0.638569663276054,0.519,0.128,2.71616905912703e-59,"20","Kcnv1"
"Grid16",1.75256566073725e-63,1.07773796203244,0.958,0.533,6.11067068929257e-59,"20","Grid1"
"Igsf213",2.5898913289469e-63,0.693261451285198,0.588,0.159,9.03017409663916e-59,"20","Igsf21"
"Aopep3",5.81980525707061e-63,1.04853383671148,0.968,0.497,2.02919149898281e-58,"20","Aopep"
"ENSMUSG00000120215",2.0578340198875e-61,0.497016108470841,0.31,0.054,7.17504987714173e-57,"20","ENSMUSG00000120215"
"Slc2a136",2.5104314835148e-61,1.1140948578378,0.917,0.437,8.75312145357104e-57,"20","Slc2a13"
"Phactr17",5.45211083835189e-61,1.00187038485879,1,0.733,1.90098748600815e-56,"20","Phactr1"
"Adgrb38",7.39611409885604e-61,0.943660049036787,1,0.763,2.57880310284814e-56,"20","Adgrb3"
"Epha34",1.98688749728199e-60,0.797455669505008,0.69,0.219,6.92768063677311e-56,"20","Epha3"
"Cacna1e5",5.82761280334286e-60,1.00555955574231,0.981,0.498,2.03191375614155e-55,"20","Cacna1e"
"Fstl46",1.16959711698424e-59,1.02480082850062,0.875,0.342,4.07803426778896e-55,"20","Fstl4"
"Adcy25",1.27361341877978e-59,1.0288215253518,0.977,0.548,4.44070790725945e-55,"20","Adcy2"
"Zdhhc144",2.54555481836449e-59,0.928047012577774,0.926,0.42,8.87558598519146e-55,"20","Zdhhc14"
"Rnf1522",5.21404397777276e-58,0.586996998522501,0.343,0.066,1.81798071373003e-53,"20","Rnf152"
"Gm15083",6.39132786841235e-58,0.615662535006252,0.426,0.099,2.22846428787933e-53,"20","Gm15083"
"Grin3a3",7.87015929771583e-58,0.503516226697788,0.597,0.161,2.74408844233458e-53,"20","Grin3a"
"Astn26",8.80288206476241e-58,0.982707171974252,0.958,0.509,3.06930088952071e-53,"20","Astn2"
"Tenm37",1.05548460587578e-57,0.92166478806759,0.843,0.338,3.6801581753071e-53,"20","Tenm3"
"4933424G05Rik4",2.07342084626723e-57,0.788705720522422,0.736,0.247,7.22939646467996e-53,"20","4933424G05Rik"
"9130024F11Rik4",2.21880253051388e-57,0.841030150386402,0.722,0.248,7.73629878314275e-53,"20","9130024F11Rik"
"Setbp18",3.59124490086385e-57,1.04872858605614,0.958,0.593,1.2521593595842e-52,"20","Setbp1"
"Gm156804",3.73953559268487e-57,0.776402026218662,0.542,0.149,1.30386387510143e-52,"20","Gm15680"
"Nav37",3.24546136089815e-56,0.985105346493705,0.991,0.741,1.13159501270436e-51,"20","Nav3"
"Actr3b3",3.8166590377294e-56,0.875296323950521,0.75,0.28,1.33075450668511e-51,"20","Actr3b"
"Pde1a6",6.54054671326748e-56,0.994322966423534,0.981,0.482,2.28049242251497e-51,"20","Pde1a"
"4930578G10Rik6",1.05605148642843e-54,0.947158722064005,0.921,0.428,3.68213471773001e-50,"20","4930578G10Rik"
"Tmtc18",4.89860969350221e-54,0.95634640339855,0.769,0.306,1.70799824183341e-49,"20","Tmtc1"
"Lingo15",1.29142571098185e-53,0.805289847526435,0.843,0.345,4.5028140264804e-49,"20","Lingo1"
"Mmp166",1.3029312298889e-53,0.970969233599865,0.972,0.562,4.54293031925363e-49,"20","Mmp16"
"Gpd2",1.30927119737639e-53,0.486186367663076,0.505,0.131,4.56503588389227e-49,"20","Gpd2"
"Gm374071",1.81127820286445e-53,0.672062554364141,0.5,0.14,6.31538370992748e-49,"20","Gm37407"
"Gm123945",6.00633014785758e-53,0.929451787692048,0.866,0.376,2.0942271326535e-48,"20","Gm12394"
"Lypd63",7.35731861633973e-53,0.331670400715213,0.412,0.089,2.56527628195917e-48,"20","Lypd6"
"Socs21",7.69702443820932e-53,0.547529967056716,0.5,0.135,2.68372151087044e-48,"20","Socs2"
"Homer17",1.02320302298953e-52,1.12448913576656,0.898,0.423,3.56760198025759e-48,"20","Homer1"
"Luzp23",1.48142248449869e-52,0.286951589421968,0.963,0.42,5.1652757767016e-48,"20","Luzp2"
"Clmp6",3.24219099332625e-52,0.58687387571202,0.565,0.165,1.13045473364306e-47,"20","Clmp"
"Chrna72",1.35878441689852e-51,0.575489808998877,0.495,0.134,4.73767362640006e-47,"20","Chrna7"
"Rasgef1b5",1.78649996074705e-51,0.964678822699967,0.856,0.375,6.22898941313674e-47,"20","Rasgef1b"
"Man2a12",2.72488973523731e-51,0.789202799364177,0.676,0.24,9.50087303985192e-47,"20","Man2a1"
"Cntnap26",7.75338568374856e-51,0.84854231893345,0.995,0.643,2.70337298635261e-46,"20","Cntnap2"
"Cacna1c6",1.76391272785085e-50,0.940221780925883,0.972,0.574,6.15023450819755e-46,"20","Cacna1c"
"Tmem178b4",4.15443088316834e-50,0.886549347772506,0.991,0.619,1.4485254160343e-45,"20","Tmem178b"
"Rapgef46",6.49242399041922e-50,0.91932132021178,0.954,0.505,2.26371347273947e-45,"20","Rapgef4"
"ENSMUSG00000121444",7.48637882071029e-50,0.520538601854249,0.394,0.094,2.61027570341706e-45,"20","ENSMUSG00000121444"
"Ccnt2",8.45994913036418e-50,0.777711938368411,0.88,0.409,2.94973046328408e-45,"20","Ccnt2"
"Chst111",2.61162132450493e-49,0.610625254665576,0.62,0.199,9.10594007215133e-45,"20","Chst11"
"D430041D05Rik7",5.3427841993377e-49,0.929135586377997,0.94,0.488,1.86286856678308e-44,"20","D430041D05Rik"
"Fhod34",8.7129095380591e-49,0.839173568868465,0.833,0.364,3.03793016863507e-44,"20","Fhod3"
"Bdnf",1.32991330799662e-48,0.546700139600465,0.375,0.089,4.6370087309918e-44,"20","Bdnf"
"Ivns1abp1",1.92021267994265e-48,0.286853824427823,0.694,0.238,6.69520555115604e-44,"20","Ivns1abp"
"Rasgrp15",2.05797236353007e-48,0.750272971363667,0.731,0.28,7.1755322399203e-44,"20","Rasgrp1"
"Pcsk26",2.18550063920829e-48,0.958623398116677,0.995,0.6,7.62018507872755e-44,"20","Pcsk2"
"Gm160832",3.7148486053306e-48,0.712408715222351,0.463,0.129,1.29525626322062e-43,"20","Gm16083"
"Cntn48",1.35704892295975e-47,0.917235356585164,0.991,0.579,4.73162247968377e-43,"20","Cntn4"
"Nbea7",1.98481899291372e-47,0.807023131703675,0.986,0.732,6.92046838259226e-43,"20","Nbea"
"Unc807",2.69859185923212e-47,0.95643064224692,0.958,0.548,9.40918023558465e-43,"20","Unc80"
"Rtl46",5.28658587416885e-47,0.829303783923044,0.782,0.315,1.84327389674645e-42,"20","Rtl4"
"Gnao13",7.19553060467254e-47,0.66586988511747,0.977,0.614,2.50886565593117e-42,"20","Gnao1"
"Adam226",7.20929586073886e-47,0.931322654377756,0.921,0.538,2.51366518776382e-42,"20","Adam22"
"Malat15",2.08002858231747e-46,0.49239444523719,1,1,7.25243565796631e-42,"20","Malat1"
"Pid15",4.50708460187129e-46,0.726139409023885,0.903,0.425,1.57148518813446e-41,"20","Pid1"
"Tpd52",1.3552102125515e-45,0.585030807603199,0.644,0.232,4.72521144810332e-41,"20","Tpd52"
"Stxbp5l8",2.41483477122619e-45,0.938802454759246,0.954,0.558,8.41980439683435e-41,"20","Stxbp5l"
"Gm480031",3.70546985802779e-45,0.498855832412945,0.37,0.091,1.29198617539855e-40,"20","Gm48003"
"Rasa3",9.14307977348693e-45,0.481002876052841,0.537,0.163,3.18791762462169e-40,"20","Rasa3"
"Ptprk7",1.30494704014273e-44,0.723133957619592,0.949,0.433,4.54995884486564e-40,"20","Ptprk"
"Rbfox16",3.00479844774811e-44,0.843060757778211,0.991,0.734,1.04768307477633e-39,"20","Rbfox1"
"Focad6",3.38728332662459e-44,0.907747405999964,0.815,0.372,1.18104407749419e-39,"20","Focad"
"Cpne53",6.59591302627886e-44,0.556150493449223,0.569,0.186,2.29979699487265e-39,"20","Cpne5"
"Ica19",7.72412178132257e-44,0.767211892820836,0.856,0.412,2.69316954149374e-39,"20","Ica1"
"Svet1",7.86036947279974e-44,0.359358393885555,0.255,0.049,2.74067502408108e-39,"20","Svet1"
"Epb415",1.11650245918061e-43,0.57821597676298,0.671,0.241,3.89290912442502e-39,"20","Epb41"
"Stt3b1",1.5467651806866e-43,0.577275667747354,0.63,0.221,5.39310615549998e-39,"20","Stt3b"
"Lrrfip21",3.31249765887856e-43,0.737254101777965,0.644,0.253,1.15496855872119e-38,"20","Lrrfip2"
"Gm146363",3.74949744490147e-43,0.608334856670475,0.514,0.163,1.3073372741138e-38,"20","Gm14636"
"Trpc33",6.35684735882182e-43,0.453135088106348,0.356,0.086,2.2164419686004e-38,"20","Trpc3"
"Kcnip45",6.41371685201051e-43,0.974525782068677,1,0.728,2.2362706547905e-38,"20","Kcnip4"
"Gm17231",8.34697605719666e-43,0.473810666656766,0.523,0.162,2.91034014186276e-38,"20","Gm17231"
"4921511C10Rik2",1.17048374254093e-42,0.621661066393262,0.528,0.173,4.08112566511747e-38,"20","4921511C10Rik"
"Inpp4a3",3.03603279236211e-42,0.649419424266941,0.731,0.298,1.0585735537129e-37,"20","Inpp4a"
"Dgki7",3.99900889860652e-42,0.815332251913423,0.981,0.588,1.39433443267713e-37,"20","Dgki"
"Ak54",4.98298129035758e-42,0.827054531791168,0.819,0.377,1.73741608650898e-37,"20","Ak5"
"Tenm27",7.03838021690045e-42,0.791703009966019,0.991,0.626,2.45407203022668e-37,"20","Tenm2"
"Camkk24",2.05159293787241e-41,0.62253491445347,0.75,0.315,7.15328909647974e-37,"20","Camkk2"
"Rbfox38",2.37943212596409e-41,0.801424125456467,0.944,0.492,8.29636599359901e-37,"20","Rbfox3"
"Iqsec14",5.41006766418711e-41,0.781387214329049,0.912,0.477,1.88632829247212e-36,"20","Iqsec1"
"Rtn4r3",1.12336454389756e-40,0.497468122051934,0.486,0.15,3.91683515520764e-36,"20","Rtn4r"
"Smarca22",1.17108852635738e-40,0.776123458342627,0.884,0.445,4.08323436485029e-36,"20","Smarca2"
"Sestd12",2.28295493419378e-40,0.648235418588933,0.644,0.249,7.95997896905344e-36,"20","Sestd1"
"Kctd14",2.77195175664213e-40,0.636654071816773,0.801,0.341,9.6649641898841e-36,"20","Kctd1"
"Kcnc12",4.384741254282e-40,0.537812071133799,0.667,0.248,1.52882773313051e-35,"20","Kcnc1"
"Rapgef25",8.17855081375235e-40,0.774266826247904,0.907,0.486,2.85161531223103e-35,"20","Rapgef2"
"Grm58",8.85708396514913e-40,0.781906661564193,1,0.657,3.08819946612855e-35,"20","Grm5"
"C030017B01Rik3",9.57244595643883e-40,0.551172397819699,0.514,0.168,3.33762473163153e-35,"20","C030017B01Rik"
"Mapk112",1.1585756676879e-39,0.495276675609915,0.407,0.116,4.03960578052738e-35,"20","Mapk11"
"Csmd2os3",1.47400806611367e-39,0.57794684556557,0.431,0.129,5.13942392411855e-35,"20","Csmd2os"
"Gabra34",1.85612732899334e-39,0.62750056128698,0.694,0.275,6.47175915800107e-35,"20","Gabra3"
"Gm154143",2.27825939854869e-39,0.556083533126649,0.486,0.157,7.94360704491973e-35,"20","Gm15414"
"Cacna1b7",2.64549619831399e-39,0.751387046201977,0.815,0.404,9.22405159466139e-35,"20","Cacna1b"
"Sulf13",3.28455562591428e-39,0.41036873492708,0.366,0.093,1.14522601008753e-34,"20","Sulf1"
"Nfasc2",1.29602287352223e-38,0.582842039847191,0.884,0.448,4.51884295310997e-34,"20","Nfasc"
"Nol4l2",3.06940604449788e-38,0.561102804589463,0.588,0.214,1.07020980553507e-33,"20","Nol4l"
"Sox11",3.22406556933166e-38,0.411606470453034,0.347,0.089,1.12413494205887e-33,"20","Sox11"
"Gm456452",3.27189653396774e-38,0.503886395871744,0.431,0.129,1.14081216449853e-33,"20","Gm45645"
"Arpp217",4.00592891008863e-38,0.825565220985258,0.995,0.616,1.3967472330806e-33,"20","Arpp21"
"Rims17",9.93337171150914e-38,0.766599238886411,0.995,0.625,3.46346871465189e-33,"20","Rims1"
"Gm303824",1.08454683367434e-37,0.602862266134907,0.653,0.25,3.78148944497234e-33,"20","Gm30382"
"Klf75",1.20288798988967e-37,0.585218578420287,0.778,0.347,4.19410955434831e-33,"20","Klf7"
"Nell25",2.69623611866875e-37,0.74424830772881,0.931,0.496,9.40096647496233e-33,"20","Nell2"
"ENSMUSG000001209265",4.91203205754176e-37,0.591563723326649,0.694,0.273,1.71267821750308e-32,"20","ENSMUSG00000120926"
"Adgrl25",5.65789117966012e-37,0.639823625243617,0.833,0.386,1.97273691761209e-32,"20","Adgrl2"
"Abcc8",8.07882445678176e-37,0.445437416200774,0.343,0.092,2.8168437233461e-32,"20","Abcc8"
"B3gat14",1.18225056731882e-36,0.571217608741448,0.574,0.212,4.12215305307053e-32,"20","B3gat1"
"Gap436",1.24749659904554e-36,0.563469397742471,0.815,0.372,4.3496463918921e-32,"20","Gap43"
"Kcnma16",1.34420681154791e-36,0.742618746660074,0.991,0.687,4.68684588982411e-32,"20","Kcnma1"
"Lrfn24",3.1358104753771e-36,0.801608696378566,0.681,0.303,1.09336303844973e-31,"20","Lrfn2"
"Bsn6",3.18672649989974e-36,0.626097426203443,0.819,0.381,1.11111592872004e-31,"20","Bsn"
"Hivep27",1.03039146369196e-35,0.743740629960913,0.977,0.665,3.59266591645475e-31,"20","Hivep2"
"Opcml6",2.50798493936417e-35,0.739722463430826,1,0.714,8.74459108808104e-31,"20","Opcml"
"Slitrk1",3.31103531606153e-35,0.523224046888253,0.523,0.186,1.15445868365117e-30,"20","Slitrk1"
"Fmn15",3.37748506067233e-35,0.638574325057341,0.676,0.279,1.17762771610462e-30,"20","Fmn1"
"Aff38",3.52952821169397e-35,0.666909002429134,0.894,0.477,1.23064060157134e-30,"20","Aff3"
"Npas24",3.959212454952e-35,0.690380733165548,0.708,0.315,1.38045860666812e-30,"20","Npas2"
"Cplx26",4.69039040062364e-35,0.465877285705531,0.662,0.259,1.63539842098544e-30,"20","Cplx2"
"Grik46",6.26365704321584e-35,0.668210024093263,0.653,0.265,2.18394930125807e-30,"20","Grik4"
"Gm473394",8.47133242001163e-35,0.486324838993737,0.5,0.171,2.95369947488546e-30,"20","Gm47339"
"ENSMUSG000001200371",1.15921171596616e-34,0.511945476755922,0.315,0.083,4.0418234900592e-30,"20","ENSMUSG00000120037"
"Kcnt27",1.94872016055592e-34,0.640263032754719,0.931,0.477,6.79460258381032e-30,"20","Kcnt2"
"Arhgef17",5.21220086834644e-34,0.407797179039399,0.417,0.129,1.81733807676635e-29,"20","Arhgef17"
"Ctdspl2",5.56133885849822e-34,0.603713217819615,0.694,0.303,1.93907201979257e-29,"20","Ctdspl"
"Gm266524",5.68052070355285e-34,0.478634538749484,0.477,0.163,1.98062715370777e-29,"20","Gm26652"
"Jdp2",8.40711892367038e-34,0.475046318893655,0.407,0.125,2.93131015511615e-29,"20","Jdp2"
"Adamtsl12",9.73503621647836e-34,0.409204125841341,0.468,0.152,3.39431507759951e-29,"20","Adamtsl1"
"Dock93",1.55754680765891e-33,0.551981716612769,0.81,0.398,5.43069845426431e-29,"20","Dock9"
"Srrm38",1.92169763405724e-33,0.613708706105717,0.759,0.367,6.70038314066738e-29,"20","Srrm3"
"Slc24a23",3.3287215806659e-33,0.477040228621387,0.926,0.583,1.16062535353078e-28,"20","Slc24a2"
"Rimbp26",3.56630489742869e-33,0.624431252406054,0.852,0.409,1.24346352858646e-28,"20","Rimbp2"
"Hace12",4.16262396365577e-33,0.579012956257261,0.769,0.345,1.45138209740786e-28,"20","Hace1"
"Enox16",4.26742659799828e-33,0.626398643292187,0.94,0.546,1.48792363192406e-28,"20","Enox1"
"Sgcz6",4.93886568949926e-33,0.726308527823402,0.986,0.576,1.72203429995771e-28,"20","Sgcz"
"Kcnj92",4.96069179038452e-33,0.46722549427889,0.556,0.207,1.72964440655337e-28,"20","Kcnj9"
"Dgkz5",6.70372480659654e-33,0.573300402558285,0.741,0.332,2.33738772831602e-28,"20","Dgkz"
"Syt166",7.06139815754685e-33,0.635422812343496,0.861,0.434,2.46209769559186e-28,"20","Syt16"
"Pcdh94",7.59889652294371e-33,0.477279863760034,1,0.871,2.64950725065478e-28,"20","Pcdh9"
"Ppm1l5",9.76505337551013e-33,0.731786203449475,0.792,0.412,3.40478116043912e-28,"20","Ppm1l"
"Pdp11",1.59923718309705e-32,0.439930759225832,0.449,0.15,5.57606028630447e-28,"20","Pdp1"
"Kcnt17",1.96157349220232e-32,0.51180486570239,0.606,0.245,6.83941829526183e-28,"20","Kcnt1"
"Gk5",1.99834598554776e-32,0.306204137673996,0.278,0.068,6.96763294780939e-28,"20","Gk5"
"Rab8b",2.0626039903444e-32,0.336550593691498,0.505,0.177,7.19168133313383e-28,"20","Rab8b"
"Fhl22",2.57271787944247e-32,0.455442179545831,0.528,0.197,8.97029543025206e-28,"20","Fhl2"
"Lin7a7",3.42804480530421e-32,0.538072678892616,0.713,0.308,1.19525638226542e-27,"20","Lin7a"
"4930567K20Rik2",3.54204921002318e-32,0.469693457315854,0.356,0.105,1.23500629805878e-27,"20","4930567K20Rik"
"Kcnh77",4.87291213131468e-32,0.699489966699968,0.991,0.626,1.69903827282549e-27,"20","Kcnh7"
"Kcnq57",5.41276750272314e-32,0.652792739251417,1,0.576,1.88726964517448e-27,"20","Kcnq5"
