"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"29","Eci2",5.10673874539299e-07,0.252868779377561,0.271,0.181,0.0178056659835617,0.252868779377561,0.000143259416382824,-0.222272118805531,0.21,0.271,1,-0.222272118805531,"non-sig","#00AFBB"
"30","Erc1",8.18895989094935e-07,0.253668577154747,0.381,0.282,0.0285524464517731,0.253668577154747,0.235594178763353,0.0721216274222616,0.406,0.381,1,0.0721216274222616,"non-sig","#00AFBB"
"31","Etnppl",7.27971659346264e-33,0.878710680696399,0.238,0.066,2.53821878464262e-28,0.878710680696399,0.000689782443866838,-0.261879752789554,0.191,0.238,1,-0.261879752789554,"non-sig","#00AFBB"
"32","Fam184a",4.20148971376051e-10,0.386488126208502,0.465,0.343,1.46493341849688e-05,0.386488126208502,0.137434464244771,-0.103806689916458,0.44,0.465,1,-0.103806689916458,"non-sig","#00AFBB"
"33","Fgf13",9.27916997151452e-10,0.463244206536329,0.45,0.339,3.23536819396797e-05,0.463244206536329,0.576074855366858,-0.0732351699121701,0.444,0.45,1,-0.0732351699121701,"non-sig","#00AFBB"
"34","Fkbp5",9.62731508568591e-13,0.458452028439664,0.08,0.017,3.35675595092611e-08,0.458452028439664,0.000192597024645214,-0.255370134809528,0.047,0.08,1,-0.255370134809528,"non-sig","#00AFBB"
"35","Galnt18",8.69815131434845e-18,0.548377601597302,0.272,0.131,3.03278441877387e-13,0.548377601597302,0.0125688044633849,-0.184341223917177,0.233,0.272,1,-0.184341223917177,"non-sig","#00AFBB"
"36","Gm11417",1.74973236783332e-13,0.347978284798228,0.1,0.027,6.10079184692444e-09,0.347978284798228,0.00181941514956149,-0.146316216826786,0.069,0.1,1,-0.146316216826786,"non-sig","#00AFBB"
"37","Gm20713",2.99315980132964e-09,-0.251609278147856,0.748,0.817,0.00010436250279296,-0.251609278147856,8.41520695383685e-07,0.191183642882384,0.803,0.748,0.0293413020859429,0.191183642882384,"sig","#E7B800"
"38","Gm29683",1.52092838957021e-09,0.685006542577835,0.088,0.031,5.30302101591446e-05,0.685006542577835,4.83620363197004e-06,-0.388278084314095,0.046,0.088,0.168623912035899,-0.388278084314095,"non-sig","#00AFBB"
"39","Gm36944",4.00960622182522e-10,0.346836879919705,0.142,0.065,1.3980294013638e-05,0.346836879919705,0.00735329585262248,-0.141878792080968,0.11,0.142,1,-0.141878792080968,"non-sig","#00AFBB"
"40","Gm47283",4.74336517468303e-19,0.408133354890745,0.075,0.003,1.65386913545673e-14,0.408133354890745,2.8054252522065e-24,-0.408359840636968,0.003,0.075,9.7816762268684e-20,-0.408359840636968,"sig","#E7B800"
"41","Gm49599",5.16144303438799e-08,0.280298202664825,0.15,0.078,0.00179964034280006,0.280298202664825,0.0996052191233343,-0.0759064551716554,0.128,0.15,1,-0.0759064551716554,"non-sig","#00AFBB"
"42","Gm49708",2.93561762676917e-07,0.340158645241638,0.202,0.125,0.0102356179792561,0.340158645241638,0.243300894110356,0.071915299948303,0.217,0.202,1,0.071915299948303,"non-sig","#00AFBB"
"43","Gm9925",7.86398543137512e-09,0.311261965283667,0.315,0.211,0.000274193580035756,0.311261965283667,0.0312668903978693,-0.114369932294069,0.28,0.315,1,-0.114369932294069,"non-sig","#00AFBB"
"44","Gnao1",3.77811559294942e-11,-0.276387274487547,0.782,0.848,1.31731556379367e-06,-0.276387274487547,9.34787298297891e-07,0.197275022603873,0.83,0.782,0.0325932287297526,0.197275022603873,"sig","#E7B800"
"45","Gphn",1.83939051751682e-13,0.329669744531823,0.843,0.77,6.41340291742589e-09,0.329669744531823,0.252076506675308,-0.0621081667105496,0.841,0.843,1,-0.0621081667105496,"non-sig","#00AFBB"
"46","Gpr158",7.79945430111997e-08,-0.419289074124638,0.155,0.23,0.0027194357311715,-0.419289074124638,0.000237177655398521,0.258714876654967,0.204,0.155,1,0.258714876654967,"non-sig","#00AFBB"
"47","Grm3",2.65458869813481e-35,-0.562340386221835,0.761,0.85,9.25575441378664e-31,-0.562340386221835,2.40289463465528e-30,0.503501084592592,0.837,0.761,8.37817272265258e-26,0.503501084592592,"sig","#E7B800"
"48","Hif3a",4.42810582967886e-39,0.849884689362401,0.336,0.117,1.54394765963413e-34,0.849884689362401,0.0415070249337155,-0.0950161417097708,0.296,0.336,1,-0.0950161417097708,"non-sig","#00AFBB"
"49","Hmgcr",3.29952927113621e-07,-0.384445192199535,0.202,0.273,0.0115044687096706,-0.384445192199535,0.826938874937661,0.00931627071044194,0.204,0.202,1,0.00931627071044194,"non-sig","#00AFBB"
"50","Hmgcs1",1.20055019191239e-11,-0.502874619716063,0.167,0.263,4.18595835414093e-07,-0.502874619716063,0.0550123280301869,0.0965880036834095,0.193,0.167,1,0.0965880036834095,"non-sig","#00AFBB"
"51","Id3",1.54528567508823e-07,0.337059452846538,0.213,0.133,0.00538794756333013,0.337059452846538,0.00688651515618934,-0.145633304574571,0.175,0.213,1,-0.145633304574571,"non-sig","#00AFBB"
"52","Kcnd3",7.42515675148485e-08,0.338545301657832,0.145,0.077,0.00258892940454022,0.338545301657832,0.00045188454614425,-0.245166104342514,0.104,0.145,1,-0.245166104342514,"non-sig","#00AFBB"
"53","Kcnip4",1.06934862403528e-07,-0.265376089876356,0.45,0.534,0.00372849784742382,-0.265376089876356,0.591988815494312,-0.129923668113261,0.444,0.45,1,-0.129923668113261,"non-sig","#00AFBB"
"54","Lama3",1.16235887419865e-07,-0.384966004231259,0.305,0.382,0.00405279668666845,-0.384966004231259,7.22983379521698e-13,0.446480405530961,0.413,0.305,2.52082614937831e-08,0.446480405530961,"sig","#E7B800"
"55","Lama4",3.24314302629684e-09,0.370370658739622,0.075,0.023,0.000113078667897892,0.370370658739622,0.000310251092983855,-0.214661949107735,0.044,0.075,1,-0.214661949107735,"non-sig","#00AFBB"
"56","Lrmda",1.144387510663e-07,0.554120264720852,0.286,0.199,0.00399013593342867,0.554120264720852,2.09054752666617e-09,-0.593911166026328,0.197,0.286,7.28911206122693e-05,-0.593911166026328,"sig","#E7B800"
