"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"29","Gm11149",1.19800257832353e-08,0.36676883324602,0.412,0.292,0.000417707558984063,0.36676883324602,0.00221164569362881,-0.208710044852543,0.356,0.412,1,-0.208710044852543,"non-sig","#00AFBB"
"30","Gm19439",1.25569858761201e-09,0.381786931142339,0.135,0.061,4.37824426542679e-05,0.381786931142339,2.65730537774383e-05,-0.261352626477267,0.083,0.135,0.926522666057941,-0.261352626477267,"non-sig","#00AFBB"
"31","Gm20319",9.54393723242268e-07,0.354776470909756,0.275,0.188,0.0332768459482882,0.354776470909756,0.896440742006246,0.0154179122238984,0.268,0.275,1,0.0154179122238984,"non-sig","#00AFBB"
"32","Gm21984",5.11691895372343e-07,0.345846186866554,0.279,0.186,0.0178411613159475,0.345846186866554,0.128832608863569,-0.0813167118255775,0.247,0.279,1,-0.0813167118255775,"non-sig","#00AFBB"
"33","Gm29114",1.22985967084079e-08,0.280308629618048,0.044,0.008,0.00042881517143206,0.280308629618048,0.0402935493292084,-0.0863137609115475,0.03,0.044,1,-0.0863137609115475,"non-sig","#00AFBB"
"34","Gm37459",1.76528293254941e-08,0.297051762155856,0.524,0.391,0.000615501200092004,0.297051762155856,0.000260743345182885,-0.182615171020507,0.445,0.524,1,-0.182615171020507,"non-sig","#00AFBB"
"35","Gm38642",9.25408492768429e-07,0.289841086393786,0.166,0.097,0.0322662179173568,0.289841086393786,0.0613548546160532,-0.0599069358012934,0.137,0.166,1,-0.0599069358012934,"non-sig","#00AFBB"
"36","Gm42756",2.58503111500178e-07,0.349527058115257,0.235,0.15,0.0090132279886767,0.349527058115257,0.0454867378630713,-0.0907410084508993,0.199,0.235,1,-0.0907410084508993,"non-sig","#00AFBB"
"37","Gm44866",8.46497299741406e-09,0.418835432040015,0.164,0.087,0.000295148213500836,0.418835432040015,1.09725550295917e-05,-0.328793644937889,0.107,0.164,0.382580076216773,-0.328793644937889,"non-sig","#00AFBB"
"38","Gm47283",2.40722273650345e-12,0.33031082960361,0.053,0.006,8.39326351536658e-08,0.33031082960361,5.92699746984586e-15,-0.352149727752699,0.005,0.053,2.06656620781115e-10,-0.352149727752699,"sig","#E7B800"
"39","Gm9895",1.76979325092307e-17,0.633594263774697,0.196,0.078,6.17073812799348e-13,0.633594263774697,0.000210468724033206,-0.257835049548038,0.141,0.196,1,-0.257835049548038,"non-sig","#00AFBB"
"40","Gpm6b",1.2554604962063e-07,0.275096915637063,0.774,0.661,0.00437741411212252,0.275096915637063,0.213580677416878,0.071983671626334,0.761,0.774,1,0.071983671626334,"non-sig","#00AFBB"
"41","Hecw2",3.03958468821486e-27,0.619721018712096,0.697,0.493,1.05981199323988e-22,0.619721018712096,0.118559052682435,-0.0886105771113574,0.67,0.697,1,-0.0886105771113574,"non-sig","#00AFBB"
"42","Hif3a",8.36312491562703e-08,0.243530470006478,0.026,0.002,0.00291597076433167,0.243530470006478,0.000530277904033126,-0.161015596140973,0.009,0.026,1,-0.161015596140973,"non-sig","#00AFBB"
"43","Hsp90ab1",1.41282489465645e-06,-0.312018554292239,0.556,0.61,0.0492609656019866,-0.312018554292239,0.653338344156317,0.0166445647397566,0.559,0.556,1,0.0166445647397566,"non-sig","#00AFBB"
"44","Hspa8",8.51434004046277e-07,-0.388362705540224,0.387,0.451,0.0296869494190815,-0.388362705540224,0.776013136921961,0.0222966491045593,0.375,0.387,1,0.0222966491045593,"non-sig","#00AFBB"
"45","Ikzf2",1.38810325350263e-12,0.535694855399334,0.22,0.113,4.83989961398762e-08,0.535694855399334,0.000437416318098063,-0.230901404782515,0.165,0.22,1,-0.230901404782515,"non-sig","#00AFBB"
"46","Il18",3.04806179114636e-07,0.266145395610198,0.221,0.137,0.01062767704719,0.266145395610198,0.114575328408567,-0.0444704927849178,0.192,0.221,1,-0.0444704927849178,"non-sig","#00AFBB"
"47","Insr",3.48966635878947e-08,0.324480195158525,0.257,0.161,0.00121674196931912,0.324480195158525,0.021791945047857,-0.118344433311937,0.216,0.257,1,-0.118344433311937,"non-sig","#00AFBB"
"48","Itpk1",5.87597581129053e-09,0.361992088500994,0.196,0.109,0.000204877648612267,0.361992088500994,0.0315365821918951,-0.120514445752417,0.162,0.196,1,-0.120514445752417,"non-sig","#00AFBB"
"49","Kazn",8.35233414612155e-13,0.546755145263449,0.338,0.211,2.9122083467282e-08,0.546755145263449,2.0581143007267e-06,-0.345084926039436,0.259,0.338,0.0717602713234379,-0.345084926039436,"non-sig","#00AFBB"
"50","Kcna1",2.27852552231374e-10,0.445846895862516,0.444,0.319,7.9445349386513e-06,0.445846895862516,0.145892788578002,-0.088322661413121,0.417,0.444,1,-0.088322661413121,"non-sig","#00AFBB"
"51","Kcnab1",3.18248388713204e-21,0.66896409290455,0.469,0.278,1.10963665692633e-16,0.66896409290455,6.93536055772246e-07,-0.366200479047085,0.376,0.469,0.0241815216566109,-0.366200479047085,"sig","#E7B800"
"52","Kcnip4",3.52776228923678e-07,-0.152771993518697,0.39,0.46,0.0123002487738819,-0.152771993518697,0.94503011501207,-0.156741363054657,0.38,0.39,1,-0.156741363054657,"non-sig","#00AFBB"
"53","Kif13a",5.24288325986625e-09,-0.406952374018129,0.489,0.558,0.000182803610621757,-0.406952374018129,0.035093291819576,0.155982738384078,0.504,0.489,1,0.155982738384078,"non-sig","#00AFBB"
"54","Map7",8.89514084208441e-25,0.455371504799544,0.866,0.717,3.10146875740957e-20,0.455371504799544,2.48190971929075e-05,-0.156965614064329,0.813,0.866,0.865367461825107,-0.156965614064329,"non-sig","#00AFBB"
"55","Mast4",2.31273346784418e-37,0.476611306626848,0.949,0.854,8.06380778233231e-33,0.476611306626848,0.265807239833599,-0.0082145160415239,0.936,0.949,1,-0.0082145160415239,"non-sig","#00AFBB"
"56","Mettl7a1",9.01551614252654e-09,0.404375571463498,0.295,0.191,0.000314344001341473,0.404375571463498,0.00218356482688961,-0.191821736168898,0.24,0.295,1,-0.191821736168898,"non-sig","#00AFBB"
"57","Mir6236",7.59204058617009e-07,-0.453454465191505,0.272,0.344,0.0264711679117992,-0.453454465191505,0.448884372733324,-0.024031936860849,0.255,0.272,1,-0.024031936860849,"non-sig","#00AFBB"
"58","Mobp",1.02148601034451e-08,0.296952886345173,0.732,0.616,0.000356161527226819,0.296952886345173,9.66079358959415e-11,-0.324565030927005,0.643,0.732,3.36842890088379e-06,-0.324565030927005,"sig","#E7B800"
"59","Mog",5.23969737322424e-09,0.243716173148587,0.808,0.695,0.00018269252831221,0.243716173148587,0.94408271630177,0.0310436578872562,0.782,0.808,1,0.0310436578872562,"non-sig","#00AFBB"
"60","Mt1",2.67907985337014e-07,0.331998505895465,0.125,0.063,0.00934114772474567,0.331998505895465,0.00907408101014554,-0.126996931883831,0.091,0.125,1,-0.126996931883831,"non-sig","#00AFBB"
"61","Myo6",2.91837488125399e-09,0.342227342666698,0.591,0.465,0.000101754976984683,0.342227342666698,0.00112374499679795,-0.174735346814097,0.534,0.591,1,-0.174735346814097,"non-sig","#00AFBB"
"62","Nkain2",5.75530282672101e-12,0.192637946828849,0.996,0.993,2.00670143659281e-07,0.192637946828849,0.404880973954626,0.015912345450098,0.996,0.996,1,0.015912345450098,"non-sig","#00AFBB"
"63","Nrg3",3.47761869589487e-08,-0.418545147988941,0.254,0.337,0.00121254131069767,-0.418545147988941,0.029389206469184,0.108227200216264,0.287,0.254,1,0.108227200216264,"non-sig","#00AFBB"
"64","Nrgn",9.3072583014458e-14,-0.511846238312776,0.527,0.612,3.24516175196511e-09,-0.511846238312776,0.0730566262747238,0.155195815277534,0.53,0.527,1,0.155195815277534,"non-sig","#00AFBB"
"65","Nrxn1",3.5857206978297e-09,-0.342802425278544,0.411,0.499,0.000125023323571228,-0.342802425278544,0.030830512639841,0.0443963707932569,0.443,0.411,1,0.0443963707932569,"non-sig","#00AFBB"
"66","Otud7a",3.94161699418115e-22,0.721024434047522,0.436,0.255,1.37432359736114e-17,0.721024434047522,0.0424326325383171,-0.102235673781121,0.39,0.436,1,-0.102235673781121,"non-sig","#00AFBB"
"67","Oxr1",1.31127791041524e-12,0.504603968990828,0.553,0.413,4.57203269024482e-08,0.504603968990828,0.000304315113306849,-0.232758412479173,0.484,0.553,1,-0.232758412479173,"non-sig","#00AFBB"
"68","Pcdh11x",1.55452909700014e-14,0.720642997576729,0.283,0.159,5.42017660251038e-10,0.720642997576729,1.91111721385759e-06,-0.390352726843518,0.207,0.283,0.0666349238955726,-0.390352726843518,"non-sig","#00AFBB"
"69","Pcdh9",3.12573875588811e-28,0.319383090617086,0.998,0.996,1.08985133201551e-23,0.319383090617086,0.000561558246612677,-0.0936316838566995,0.999,0.998,1,-0.0936316838566995,"non-sig","#00AFBB"
"70","Per3",1.39188966884894e-10,0.376682166668694,0.062,0.014,4.8531017083756e-06,0.376682166668694,0.0075752090605501,-0.182659101164798,0.04,0.062,1,-0.182659101164798,"non-sig","#00AFBB"
"71","Plcl1",2.3714826494996e-38,0.509277298318824,0.97,0.926,8.26864855401026e-34,0.509277298318824,0.0179447154484013,-0.0848290153563651,0.955,0.97,1,-0.0848290153563651,"non-sig","#00AFBB"
"72","Plin4",3.26768169491585e-15,0.449533692726968,0.059,0.005,1.13934257656631e-10,0.449533692726968,6.95389327086276e-09,-0.319850321237186,0.017,0.059,0.000242461396675172,-0.319850321237186,"sig","#E7B800"
"73","Ppp2r3a",2.23241243367419e-07,0.306265831357488,0.529,0.415,0.00778375243249181,0.306265831357488,0.86723147927508,0.00997525876667993,0.509,0.529,1,0.00997525876667993,"non-sig","#00AFBB"
"74","Ptgds",2.13850284357321e-35,0.717042914288505,0.861,0.733,7.45631786468671e-31,0.717042914288505,5.84005624654906e-08,-0.259280784547717,0.82,0.861,0.00203625241148426,-0.259280784547717,"sig","#E7B800"
"75","Ptprk",1.13126502749708e-22,0.556267483180338,0.686,0.512,3.94438177137408e-18,0.556267483180338,2.78135646473148e-05,-0.179254661229219,0.602,0.686,0.969775558557926,-0.179254661229219,"non-sig","#00AFBB"
"76","Rhoj",1.35741188639373e-06,0.313734526628588,0.069,0.027,0.04732888024289,0.313734526628588,0.0131020951654314,-0.119106040092718,0.046,0.069,1,-0.119106040092718,"non-sig","#00AFBB"
"77","Rlim",4.64783868067935e-07,0.289344602912135,0.11,0.053,0.0162056191279247,0.289344602912135,0.0356468039933466,-0.107439397594963,0.085,0.11,1,-0.107439397594963,"non-sig","#00AFBB"
"78","Rn18s-rs5",3.50931389220717e-100,-0.53172767102566,0.998,0.998,1.22359247479587e-95,-0.53172767102566,1.61586687718812e-06,-0.122722142243543,0.997,0.998,0.056340430406918,-0.122722142243543,"non-sig","#00AFBB"
"79","Rnf220",7.34769586697362e-23,-0.520654722812685,0.676,0.774,2.56192111793769e-18,-0.520654722812685,1.25535985250024e-09,0.32474692014284,0.727,0.676,4.37706319771258e-05,0.32474692014284,"sig","#E7B800"
"80","Sec14l5",8.74999021080678e-08,0.272001308557431,0.64,0.526,0.003050859086802,0.272001308557431,0.0114336750160649,-0.112760556485495,0.598,0.64,1,-0.112760556485495,"non-sig","#00AFBB"
"81","Sgk1",1.85702709417016e-41,1.06421168751855,0.278,0.074,6.47489636924308e-37,1.06421168751855,7.54639685099422e-37,-0.96257048470201,0.093,0.278,2.63120219003616e-32,-0.96257048470201,"sig","#E7B800"
"82","Slc13a1",7.72501747240174e-07,0.334646668187386,0.237,0.155,0.0269348184210231,0.334646668187386,0.000189296002020458,-0.325509725844543,0.18,0.237,1,-0.325509725844543,"non-sig","#00AFBB"
"83","Slc1a3",7.20362340000733e-07,0.339787563908122,0.188,0.114,0.0251168737088056,0.339787563908122,0.0889423630339264,-0.100802350667054,0.161,0.188,1,-0.100802350667054,"non-sig","#00AFBB"
"84","Slc8a1",4.03613832861661e-23,0.570590401367463,0.748,0.584,1.40728035103875e-18,0.570590401367463,0.0161707332969148,-0.124506990317551,0.718,0.748,1,-0.124506990317551,"non-sig","#00AFBB"
"85","Ssh2",2.8682573705987e-14,0.446139157580105,0.577,0.41,1.00007529740665e-09,0.446139157580105,0.19086183978364,-0.0690914636239799,0.541,0.577,1,-0.0690914636239799,"non-sig","#00AFBB"
"86","Stmn2",3.00380298226148e-11,-0.616446203732814,0.216,0.315,1.04733598582511e-06,-0.616446203732814,0.000131822251580935,0.336297741966703,0.269,0.216,1,0.336297741966703,"non-sig","#00AFBB"
"87","Syt1",2.73167229018193e-10,-0.395190890805757,0.461,0.545,9.52452177417735e-06,-0.395190890805757,0.0128167127029418,0.1914345934466,0.487,0.461,1,0.1914345934466,"non-sig","#00AFBB"
"88","Sytl2",1.52160942294439e-09,-0.421746650490793,0.437,0.52,5.30539557498021e-05,-0.421746650490793,0.000295456229791343,0.281541158594462,0.479,0.437,1,0.281541158594462,"non-sig","#00AFBB"
"89","Tbc1d5",1.37005561299172e-15,0.385593577081584,0.748,0.603,4.77697290581824e-11,0.385593577081584,0.101683519200287,-0.0303012348371872,0.718,0.748,1,-0.0303012348371872,"non-sig","#00AFBB"
"90","Tef",1.02412877001112e-15,0.513163089641395,0.259,0.127,3.57082978239779e-11,0.513163089641395,8.8495576557909e-07,-0.293343656752723,0.178,0.259,0.0308557526784461,-0.293343656752723,"sig","#E7B800"
"91","Tmod2",2.02906330921437e-25,0.673689553951947,0.578,0.364,7.07473504023773e-21,0.673689553951947,0.000369992248657748,-0.236993366891594,0.505,0.578,1,-0.236993366891594,"non-sig","#00AFBB"
"92","Tsc22d3",2.61951806984505e-09,0.359725598710916,0.212,0.119,9.13347365412873e-05,0.359725598710916,0.00299951853644879,-0.162071701815132,0.163,0.212,1,-0.162071701815132,"non-sig","#00AFBB"
"93","Unc5c",4.54662003503535e-10,0.341342198704863,0.717,0.599,1.58527000761578e-05,0.341342198704863,0.786951314123114,0.0228255265761308,0.693,0.717,1,0.0228255265761308,"non-sig","#00AFBB"
"94","Vps8",6.7573337790436e-11,0.472590151646213,0.315,0.196,2.35607956873913e-06,0.472590151646213,0.00320364038082099,-0.224719181738473,0.262,0.315,1,-0.224719181738473,"non-sig","#00AFBB"
"95","Wac",6.50650331276669e-07,0.27269733832225,0.268,0.178,0.0226862251006236,0.27269733832225,0.169839162041255,-0.0715522963531283,0.243,0.268,1,-0.0715522963531283,"non-sig","#00AFBB"
"96","Wdfy3",5.25417314617666e-07,0.280244624940808,0.301,0.206,0.0183197255087742,0.280244624940808,0.0769196297447395,-0.110482146700881,0.269,0.301,1,-0.110482146700881,"non-sig","#00AFBB"
"97","Zbtb16",1.37797485547363e-13,0.47324389128293,0.141,0.052,4.80458492857991e-09,0.47324389128293,0.722353372550202,0.0745226261006722,0.143,0.141,1,0.0745226261006722,"non-sig","#00AFBB"
"98","Zfand4",1.29069985993387e-10,0.408944085404699,0.076,0.021,4.50028320163142e-06,0.408944085404699,4.22766338708658e-06,-0.317636011296868,0.037,0.076,0.147405939317548,-0.317636011296868,"non-sig","#00AFBB"
