,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
ENSMUSG00000120094,0.019139298,-0.01843926,0.009,0.013,1,,,,,
Hmga2-ps1,0.019145408,0.004907641,0.002,0,1,,,,,
Copg1,0.019149009,0.030539948,0.305,0.274,1,,,,,
Gm49008,0.01914964,0.007474763,0.01,0.006,1,,,,,
Gm9932,0.019151593,0.002171397,0.002,0,1,,,,,
Gm19187,0.019151593,0.002280517,0.002,0,1,,,,,
Gm56414,0.019151593,0.003812294,0.002,0,1,,,,,
A330072L02Rik,0.01915778,0.003601383,0.002,0,1,,,,,
Siglece,0.019163968,0.002254916,0.002,0,1,,,,,
Odc1,0.019165363,0.004699586,0.053,0.043,1,,,,,
Gm13314,0.019170158,0.00193364,0.002,0,1,,,,,
ENSMUSG00000120806,0.019170158,0.00199891,0.002,0,1,,,,,
ENSMUSG00000120549,0.019170158,0.001984805,0.002,0,1,,,,,
Mettl9,0.019179204,0.024418322,0.172,0.151,1,,,,,
Gm45838,0.019179453,0.007172292,0.011,0.006,1,,,,,
Gm34609,0.019182544,0.001622011,0.002,0,1,,,,,
Lpin2,0.019186026,-0.056087806,0.468,0.466,1,,,,,
Rnf215,0.019217216,0.005371103,0.11,0.094,1,,,,,
Pex6,0.019217292,0.017116316,0.121,0.103,1,,,,,
Wdr62,0.019220355,0.004782865,0.011,0.006,1,,,,,
Npy2r,0.019221767,0.011616704,0.01,0.006,1,,,,,
Cmbl,0.019252153,0.008628686,0.015,0.01,1,,,,,
Esr2,0.019253919,0.008847521,0.01,0.006,1,,,,,
Gm29036,0.019256747,-0.005990153,0.001,0.004,1,,,,,
Gm31172,0.019258272,0.004614722,0.05,0.04,1,,,,,
Rnf112,0.019262402,-0.036350558,0.64,0.635,1,,,,,
Atg5,0.019265386,0.01631743,0.22,0.195,1,,,,,
Cluap1,0.019266674,0.027484031,0.242,0.215,1,,,,,
Gm4366,0.019267902,-0.005334467,0.001,0.004,1,,,,,
Rad52,0.019269434,0.010111347,0.188,0.167,1,,,,,
Slc23a4,0.019270047,0.007289228,0.01,0.006,1,,,,,
Gm26511,0.019272965,0.006132079,0.01,0.006,1,,,,,
Tmeff2,0.019279872,0.082142848,0.858,0.866,1,,,,,
Sdf4,0.019282828,0.010405875,0.252,0.222,1,,,,,
Ctf1,0.019311454,0.007288042,0.009,0.005,1,,,,,
Gm42441,0.019325504,0.011907295,0.02,0.014,1,,,,,
Nelfa,0.019333566,0.006037618,0.123,0.106,1,,,,,
Hkdc1,0.019334612,-0.049217431,0.117,0.129,1,,,,,
Gm38142,0.01933674,0.005505227,0.009,0.005,1,,,,,
ENSMUSG00000120160,0.019345018,0.014988629,0.088,0.074,1,,,,,
Abcc12,0.01935097,0.008096818,0.005,0.002,1,,,,,
Aph1a,0.019362097,0.014648936,0.106,0.092,1,,,,,
1700086O06Rik,0.019378789,0.005149226,0.105,0.09,1,,,,,
Mprip,0.019382281,-0.040555962,0.626,0.622,1,,,,,
Fiz1,0.019393056,0.003899043,0.086,0.073,1,,,,,
Rif1,0.019401308,0.020676749,0.252,0.224,1,,,,,
Jpt2,0.019411504,0.013263729,0.022,0.016,1,,,,,
Wdr64,0.019423785,-0.020594312,0.013,0.019,1,,,,,
Hmces,0.01942939,0.01370231,0.145,0.126,1,,,,,
Smap2,0.019429927,-0.054062758,0.41,0.411,1,,,,,
Gm43168,0.019441346,0.004178605,0.005,0.002,1,,,,,
Gm2155,0.019453314,0.003794395,0.009,0.005,1,,,,,
A830008E24Rik,0.019464836,0.009472624,0.005,0.002,1,,,,,
Upk1a,0.019466873,0.004080921,0.01,0.006,1,,,,,
Gm5427,0.019470118,-0.007688978,0.002,0.005,1,,,,,
Gm45293,0.019474912,0.005446114,0.005,0.002,1,,,,,
Gm44625,0.019481278,0.004712038,0.009,0.005,1,,,,,
Gm5655,0.019508528,0.004195252,0.005,0.002,1,,,,,
Noc2l,0.019521883,0.01495832,0.226,0.201,1,,,,,
Gm38126,0.019527329,0.026642026,0.112,0.096,1,,,,,
Map3k8,0.019528652,0.00835858,0.022,0.016,1,,,,,
Gm30251,0.019535458,0.004052476,0.005,0.002,1,,,,,
Gm15798,0.019565053,-0.005248608,0.002,0.005,1,,,,,
Slc35c2,0.01956595,0.008675938,0.122,0.105,1,,,,,
Gm38115,0.019569498,0.003705408,0.036,0.027,1,,,,,
Cd83,0.019573257,0.021833949,0.029,0.022,1,,,,,
Gm49767,0.019588029,-0.00622764,0.002,0.005,1,,,,,
Wipf2,0.019594389,0.034113531,0.33,0.299,1,,,,,
Gm49870,0.019632555,0.003752439,0.009,0.005,1,,,,,
Hid1,0.019644862,-0.059742623,0.149,0.16,1,,,,,
Mybpc3,0.019656174,-0.007042188,0.002,0.004,1,,,,,
Gm44790,0.019671977,0.007473713,0.015,0.01,1,,,,,
Gm10406,0.019733469,0.005818819,0.031,0.024,1,,,,,
1700123O20Rik,0.019737189,0.006677399,0.028,0.021,1,,,,,
Slc17a5,0.019738303,0.004144284,0.347,0.308,1,,,,,
5530401A14Rik,0.019766191,0.02694896,0.335,0.302,1,,,,,
Gm36995,0.019773667,0.009080358,0.017,0.012,1,,,,,
4930551O13Rik,0.019775441,0.013858424,0.015,0.01,1,,,,,
Gm45509,0.019791771,0.013004332,0.043,0.034,1,,,,,
Gm49555,0.019815872,0.011156331,0.081,0.068,1,,,,,
Fxyd6,0.019822987,0.018786633,0.222,0.196,1,,,,,
Taf1a,0.019834138,0.001569099,0.156,0.136,1,,,,,
Traf6,0.019838485,0.012670233,0.172,0.151,1,,,,,
Gm45853,0.019843237,-0.020759786,0.024,0.031,1,,,,,
Gm4924,0.019856672,0.019035203,0.252,0.224,1,,,,,
Nlgn2,0.019866772,-0.044457625,0.235,0.248,1,,,,,
Mok,0.019877338,0.031181515,0.252,0.226,1,,,,,
H1f10,0.019878333,0.016044639,0.039,0.03,1,,,,,
Gm4419,0.019884807,0.010599161,0.027,0.02,1,,,,,
4931419H13Rik,0.019909939,-0.015297231,0.01,0.015,1,,,,,
Tmem161b,0.019957762,0.035588831,0.427,0.39,1,,,,,
Gm10676,0.01997118,-0.011893063,0.012,0.018,1,,,,,
Gpr171,0.019985243,0.00621418,0.039,0.031,1,,,,,
Fbxw17,0.019997636,0.003031412,0.101,0.086,1,,,,,
Pde4a,0.020004183,-0.052850128,0.451,0.453,1,,,,,
Sde2,0.020006691,0.0182046,0.115,0.099,1,,,,,
Trip11,0.020011187,0.037226979,0.421,0.382,1,,,,,
ENSMUSG00000121178,0.020019638,0.003071032,0.044,0.035,1,,,,,
Slc4a8,0.020049698,-0.055615804,0.334,0.339,1,,,,,
Cdk5,0.020050145,0.026902801,0.203,0.179,1,,,,,
Nprl2,0.020063326,0.011730753,0.103,0.089,1,,,,,
Usp48,0.020068996,0.015786082,0.394,0.355,1,,,,,
Entpd7,0.020071353,0.003419825,0.137,0.118,1,,,,,
Gm13572,0.020115494,0.014055364,0.022,0.016,1,,,,,
Coq6,0.020131023,0.00779785,0.055,0.045,1,,,,,
Gm42895,0.02013741,0.007103728,0.02,0.014,1,,,,,
Zfand3,0.020165405,-0.043942002,0.604,0.596,1,,,,,
Cd101,0.020176125,-0.008129939,0.004,0.008,1,,,,,
Ttc26,0.020184089,0.026151638,0.168,0.147,1,,,,,
Gm31333,0.020186381,0.011267404,0.056,0.046,1,,,,,
ENSMUSG00000120580,0.020256014,-4.48E-05,0.262,0.232,1,,,,,
Slc9a6,0.020275718,0.019887394,0.158,0.138,1,,,,,
2510046G10Rik,0.020278814,0.016979812,0.033,0.025,1,,,,,
Gm47826,0.020297646,0.007331546,0.018,0.012,1,,,,,
Rab9b,0.020297705,0.013302294,0.046,0.037,1,,,,,
Fem1c,0.020305108,0.017028584,0.097,0.082,1,,,,,
Rnf103,0.020308904,0.031559331,0.258,0.23,1,,,,,
Cygb,0.020313927,0.020159523,0.058,0.047,1,,,,,
Entpd5,0.020319522,0.00484862,0.078,0.066,1,,,,,
Atp23,0.020352206,0.013375045,0.071,0.059,1,,,,,
Mmab,0.02035483,0.006203841,0.054,0.044,1,,,,,
Drap1,0.020378121,0.046279144,0.162,0.142,1,,,,,
Id3,0.020395772,0.023315887,0.014,0.009,1,,,,,
Zfp267,0.020431729,0.027744319,0.091,0.077,1,,,,,
Gm4632,0.020433824,0.007939717,0.022,0.016,1,,,,,
Vamp1,0.020445121,-0.002249903,0.107,0.092,1,,,,,
4933404O12Rik,0.020453347,0.006395803,0.045,0.036,1,,,,,
Irak2,0.020457234,-0.004315245,0.071,0.059,1,,,,,
Utp14b,0.020468484,-0.028402649,0.026,0.033,1,,,,,
Mnt,0.020498706,-0.039845489,0.079,0.091,1,,,,,
Lsm4,0.020525523,0.01714132,0.082,0.069,1,,,,,
Gm41664,0.020528475,0.006181015,0.019,0.014,1,,,,,
Pgap1,0.020551233,0.042824607,0.302,0.274,1,,,,,
Spef2,0.020554957,0.008409359,0.014,0.009,1,,,,,
Pigl,0.020557919,0.014493613,0.117,0.101,1,,,,,
Glul,0.02056429,0.029794166,0.1,0.086,1,,,,,
Pou2f2,0.020611784,-0.0600819,0.357,0.361,1,,,,,
Gm9945,0.020619597,0.007283025,0.044,0.035,1,,,,,
Gm37717,0.020627828,0.012944644,0.185,0.163,1,,,,,
Mapk8ip1,0.020629511,-0.069452764,0.284,0.292,1,,,,,
Zbtb41,0.020661338,0.020932702,0.106,0.091,1,,,,,
2210016L21Rik,0.020665334,0.033859645,0.26,0.232,1,,,,,
AV356131,0.02066974,0.019418087,0.073,0.061,1,,,,,
Gm43766,0.020670329,0.016063548,0.077,0.065,1,,,,,
Col24a1,0.020678109,0.001703268,0.047,0.037,1,,,,,
Zfp605,0.020684906,0.02000247,0.093,0.079,1,,,,,
Gm45646,0.020708521,0.003959425,0.003,0.001,1,,,,,
Rpl3l,0.020712799,0.004810046,0.003,0.001,1,,,,,
Gm5914,0.02071284,0.018925973,0.049,0.04,1,,,,,
Kctd4,0.020716003,0.01600162,0.151,0.132,1,,,,,
Gm37909,0.020732673,-0.002366773,0,0.001,1,,,,,
Gm29667,0.020732673,-0.002253429,0,0.001,1,,,,,
Platr29,0.020732673,-0.002670626,0,0.001,1,,,,,
Pklr,0.020732673,-0.002249023,0,0.001,1,,,,,
Sult2a-ps4,0.020732673,-0.002239748,0,0.001,1,,,,,
6330537M06Rik,0.020732673,-0.002417639,0,0.001,1,,,,,
ENSMUSG00000120944,0.020732673,-0.003708671,0,0.001,1,,,,,
Gm48738,0.020732673,-0.002985518,0,0.001,1,,,,,
Gm11978,0.020732673,-0.002169924,0,0.001,1,,,,,
Gm6750,0.020732673,-0.002408972,0,0.001,1,,,,,
ENSMUSG00000121229,0.020732673,-0.002592769,0,0.001,1,,,,,
Gm36993,0.020759909,0.004504924,0.003,0.001,1,,,,,
Rrp1b,0.020766684,0.011388003,0.074,0.062,1,,,,,
Degs1,0.020791783,0.014289481,0.118,0.102,1,,,,,
Cwc15,0.02079571,0.020234706,0.197,0.174,1,,,,,
Il1rl2,0.020802817,0.003603322,0.003,0.001,1,,,,,
Gm47782,0.020802817,0.003491112,0.003,0.001,1,,,,,
AU017674,0.020811407,0.003882136,0.003,0.001,1,,,,,
Gm42480,0.020813758,0.005085115,0.06,0.049,1,,,,,
Slc35f3,0.020822973,-0.048406292,0.452,0.463,1,,,,,
Vmn2r56,0.020841911,0.005572743,0.014,0.009,1,,,,,
Gm47446,0.020845802,0.008588579,0.003,0.001,1,,,,,
Xpo4,0.020853803,0.01787617,0.212,0.187,1,,,,,
Tent5b,0.020854408,0.002857551,0.003,0.001,1,,,,,
Garin3,0.020854408,0.002658365,0.003,0.001,1,,,,,
Ghr,0.020872152,-0.07017924,0.262,0.273,1,,,,,
Psg16,0.020903468,0.009030903,0.085,0.072,1,,,,,
C1qbp,0.020917163,0.048880602,0.11,0.095,1,,,,,
Erich2,0.020919054,0.003396869,0.003,0.001,1,,,,,
Abcb8,0.020920377,0.004340727,0.123,0.107,1,,,,,
Nup62,0.020935345,0.014848288,0.021,0.015,1,,,,,
Oma1,0.020938694,0.02065991,0.1,0.087,1,,,,,
Mtmr7,0.020946393,0.027628816,0.378,0.343,1,,,,,
Vipas39,0.02094779,0.004279299,0.201,0.177,1,,,,,
Fcsk,0.020957231,0.007914181,0.104,0.089,1,,,,,
Nubpl,0.020960708,0.015067314,0.106,0.091,1,,,,,
Tmem147os.1,0.02096471,0.006192081,0.05,0.04,1,,,,,
1700087M22Rik,0.020983764,0.008683714,0.036,0.027,1,,,,,
Rbis,0.021006537,0.013213865,0.252,0.224,1,,,,,
Dhps,0.021007397,0.004585184,0.242,0.215,1,,,,,
Zrsr2,0.021037302,0.03685579,0.152,0.133,1,,,,,
Arhgap26.1,0.021055509,0.050307052,0.671,0.644,1,,,,,
Rnf128,0.02108035,0.037067404,0.066,0.055,1,,,,,
Gm43875,0.021100429,0.016586396,0.019,0.013,1,,,,,
Arel1,0.02114285,0.016818053,0.278,0.25,1,,,,,
Gpx7,0.02116315,0.016810538,0.031,0.024,1,,,,,
Gm15489,0.021163974,0.014819132,0.136,0.118,1,,,,,
Ccnb2-ps,0.021170372,0.015100967,0.027,0.02,1,,,,,
Gm6807,0.021193842,0.010101785,0.014,0.009,1,,,,,
Serpina10,0.021209732,0.007141461,0.014,0.009,1,,,,,
Fancl,0.021234739,0.016338898,0.167,0.146,1,,,,,
Gm10544,0.02125901,0.014908392,0.205,0.182,1,,,,,
AW554918,0.02126934,0.041196735,0.461,0.422,1,,,,,
Slirp,0.021274656,0.020626326,0.073,0.061,1,,,,,
Gm10033,0.021281911,0.004278547,0.191,0.169,1,,,,,
Zfp59,0.021290354,0.012310174,0.036,0.028,1,,,,,
Hnrnph1,0.021324832,0.045605981,0.546,0.504,1,,,,,
Rpl8,0.021340328,0.07411023,0.288,0.26,1,,,,,
Limk2,0.021365653,0.017185409,0.238,0.212,1,,,,,
Cpeb4,0.021389604,-0.020582954,0.581,0.583,1,,,,,
Gm19466,0.021420022,0.011195751,0.037,0.029,1,,,,,
Ciao3,0.021430098,0.008839128,0.1,0.086,1,,,,,
Slc35b4,0.021434425,0.021312867,0.101,0.086,1,,,,,
Mtch2,0.021435635,0.025330616,0.373,0.336,1,,,,,
Gm45885,0.021444962,0.010170014,0.053,0.043,1,,,,,
Morc3,0.021498212,0.019624629,0.195,0.173,1,,,,,
Fam241b,0.021510666,0.007928521,0.105,0.09,1,,,,,
Mios,0.021513907,0.029018651,0.228,0.203,1,,,,,
Tsacc,0.021522065,0.006352912,0.095,0.081,1,,,,,
Fam189b,0.021579199,0.013676302,0.248,0.221,1,,,,,
Macroh2a1,0.021583486,0.027919043,0.23,0.206,1,,,,,
ENSMUSG00000120749,0.02158452,0.007405178,0.014,0.009,1,,,,,
Sh2d4b,0.021588723,0.00499182,0.072,0.06,1,,,,,
Taf4,0.021591472,-0.04881703,0.099,0.111,1,,,,,
Rab14,0.021612544,-0.034799586,0.502,0.5,1,,,,,
Dlgap1,0.021674707,0.062337599,0.954,0.978,1,,,,,
Bcl2l1,0.02168617,0.00886017,0.252,0.224,1,,,,,
Itga1,0.021714598,0.011088725,0.014,0.009,1,,,,,
Cyp4x1os,0.021727192,0.012256796,0.023,0.017,1,,,,,
Tmx2,0.021738061,0.06597846,0.153,0.136,1,,,,,
BC005624,0.021759691,0.022511572,0.194,0.171,1,,,,,
Gas8,0.021760937,0.011762421,0.183,0.161,1,,,,,
Mphosph10,0.021807808,0.013711274,0.171,0.15,1,,,,,
Rasgef1c,0.021815472,-0.076359041,0.169,0.179,1,,,,,
Tnnc1,0.021846622,-0.039915471,0.075,0.086,1,,,,,
ENSMUSG00000120051,0.021849143,0.026450033,0.039,0.03,1,,,,,
Dpm3,0.021900298,0.027223723,0.082,0.069,1,,,,,
Sptssb,0.021903879,-0.020382731,0.014,0.019,1,,,,,
Pnn,0.021907457,0.04495023,0.638,0.598,1,,,,,
Lamtor4,0.021907701,0.020924217,0.215,0.191,1,,,,,
Dnah5,0.021926948,0.014547236,0.077,0.065,1,,,,,
Ltb4r2,0.021933471,-0.003870178,0,0.002,1,,,,,
Eif3c,0.021935842,0.057915022,0.349,0.318,1,,,,,
Trappc10,0.021976823,0.034380698,0.291,0.26,1,,,,,
Gm43613,0.021979985,-0.002865908,0,0.002,1,,,,,
Adgre4,0.021981545,0.007356753,0.005,0.003,1,,,,,
Mxd1,0.021983092,0.000600169,0.069,0.057,1,,,,,
Eloa,0.022030116,0.021715043,0.067,0.055,1,,,,,
ENSMUSG00000121092,0.022030556,0.009957476,0.019,0.013,1,,,,,
Cul7,0.022033538,0.00994113,0.039,0.031,1,,,,,
Gm46440,0.02204379,0.022755744,0.072,0.06,1,,,,,
Efhd2,0.022053653,-0.074401803,0.216,0.226,1,,,,,
Npm1,0.02208107,0.063181384,0.302,0.273,1,,,,,
Gm7858,0.022096283,0.001438644,0.001,0,1,,,,,
Gm28536,0.022096283,0.002142003,0.001,0,1,,,,,
Gm37950,0.022096283,0.001511567,0.001,0,1,,,,,
Gm13594,0.022096283,0.001429131,0.001,0,1,,,,,
Olfr1258,0.022096283,0.002007466,0.001,0,1,,,,,
Gm14141,0.022096283,0.001765276,0.001,0,1,,,,,
Rem1,0.022096283,0.001817602,0.001,0,1,,,,,
Gm14243,0.022096283,0.001303746,0.001,0,1,,,,,
Bhlhe23,0.022096283,0.008744176,0.001,0,1,,,,,
Gm22009,0.022096283,0.001905272,0.001,0,1,,,,,
S100a5,0.022096283,0.002015187,0.001,0,1,,,,,
Gm43065,0.022096283,0.001935164,0.001,0,1,,,,,
Gstm3,0.022096283,0.006835297,0.001,0,1,,,,,
Gm12956,0.022096283,0.001916207,0.001,0,1,,,,,
4933421A08Rik,0.022096283,0.002175578,0.001,0,1,,,,,
Gm16057,0.022096283,0.002701835,0.001,0,1,,,,,
Gm42553,0.022096283,0.001317831,0.001,0,1,,,,,
Gm6517,0.022096283,0.002236005,0.001,0,1,,,,,
Gm43333,0.022096283,0.001754765,0.001,0,1,,,,,
Dmp1,0.022096283,0.00133662,0.001,0,1,,,,,
Gm42863,0.022096283,0.001228614,0.001,0,1,,,,,
Gm10400,0.022096283,0.001230519,0.001,0,1,,,,,
Slco1a5,0.022096283,0.00124419,0.001,0,1,,,,,
Mrgprx1,0.022096283,0.001467186,0.001,0,1,,,,,
Gm45170,0.022096283,0.00184777,0.001,0,1,,,,,
Olfr657,0.022096283,0.001315257,0.001,0,1,,,,,
Gm45473,0.022096283,0.00159673,0.001,0,1,,,,,
Gm29507,0.022096283,0.001638839,0.001,0,1,,,,,
Gm44776,0.022096283,0.001330927,0.001,0,1,,,,,
Gm54906,0.022096283,0.001550475,0.001,0,1,,,,,
Foxc2,0.022096283,0.001626564,0.001,0,1,,,,,
Gm25346,0.022096283,0.001240778,0.001,0,1,,,,,
Gm3428,0.022096283,0.001490393,0.001,0,1,,,,,
Gm47077,0.022096283,0.002519431,0.001,0,1,,,,,
D9Wsu149,0.022096283,0.002106219,0.001,0,1,,,,,
Gm16073,0.022096283,0.001537845,0.001,0,1,,,,,
Gm30165,0.022096283,0.00174981,0.001,0,1,,,,,
Gm11954,0.022096283,0.001324648,0.001,0,1,,,,,
Upp1,0.022096283,0.001650041,0.001,0,1,,,,,
Chrne,0.022096283,0.001692731,0.001,0,1,,,,,
Gm25867,0.022096283,0.002004277,0.001,0,1,,,,,
Krt27,0.022096283,0.001541555,0.001,0,1,,,,,
Gcgr,0.022096283,0.003537412,0.001,0,1,,,,,
Gm17821,0.022096283,0.001341514,0.001,0,1,,,,,
Gm47541,0.022096283,0.00169985,0.001,0,1,,,,,
Akr1c14,0.022096283,0.00111784,0.001,0,1,,,,,
Vmn1r200,0.022096283,0.002121715,0.001,0,1,,,,,
Gm8277,0.022096283,0.001858905,0.001,0,1,,,,,
Gm48581,0.022096283,0.00124753,0.001,0,1,,,,,
Gm2244,0.022096283,0.001649131,0.001,0,1,,,,,
Kcnk16,0.022096283,0.002307801,0.001,0,1,,,,,
Gm47601,0.022096283,0.001793429,0.001,0,1,,,,,
Gm41118,0.022096283,0.001855761,0.001,0,1,,,,,
Gm2990,0.022096283,0.001314855,0.001,0,1,,,,,
Gm48134,0.022096283,0.001746398,0.001,0,1,,,,,
4933429O19Rik,0.022096283,0.00161126,0.001,0,1,,,,,
Gm49020,0.022096283,0.001120666,0.001,0,1,,,,,
Nfatc4,0.022096283,0.001961491,0.001,0,1,,,,,
Gm49116,0.022096283,0.001622436,0.001,0,1,,,,,
Olfr15,0.022096283,0.001702144,0.001,0,1,,,,,
Gm9525,0.022096283,0.001669558,0.001,0,1,,,,,
Gm15845,0.022096283,0.00181135,0.001,0,1,,,,,
Gm49715,0.022096283,0.00148472,0.001,0,1,,,,,
Mir6360,0.022096283,0.001391909,0.001,0,1,,,,,
Gm50122,0.022096283,0.001519369,0.001,0,1,,,,,
Gm8642,0.022096283,0.00134663,0.001,0,1,,,,,
Iigp1,0.022096283,0.002089847,0.001,0,1,,,,,
ENSMUSG00000120682,0.022096283,0.001468631,0.001,0,1,,,,,
Slc22a29,0.022096283,0.00084594,0.001,0,1,,,,,
Pitx3,0.022096283,0.00162381,0.001,0,1,,,,,
Calhm1,0.022096283,0.001630134,0.001,0,1,,,,,
Gm16410,0.022096283,0.001582062,0.001,0,1,,,,,
Il13ra2,0.022096283,0.001700333,0.001,0,1,,,,,
Ace2,0.022096283,0.001532919,0.001,0,1,,,,,
Ufl1,0.022097455,0.012161351,0.215,0.191,1,,,,,
ENSMUSG00000120451,0.022098112,0.007104727,0.064,0.053,1,,,,,
Cd59b,0.022099905,0.012246001,0.022,0.016,1,,,,,
Tctn1,0.022167378,-0.042872152,0.061,0.072,1,,,,,
Fhl2,0.022179228,-0.049820378,0.382,0.391,1,,,,,
Nebl,0.022208843,-0.017209907,0.668,0.676,1,,,,,
Mrtfa,0.022217956,-0.019366852,0.491,0.495,1,,,,,
Cab39,0.022269324,-0.047300515,0.384,0.386,1,,,,,
Fbxo25,0.022280708,0.023699933,0.173,0.151,1,,,,,
Tubd1,0.022291294,-0.004828085,0.083,0.07,1,,,,,
Ankrd50,0.022296943,0.017462514,0.087,0.074,1,,,,,
Fam171b,0.022309322,0.066873422,0.643,0.606,1,,,,,
ENSMUSG00000120300,0.022311793,0.01150848,0.021,0.015,1,,,,,
6430511E19Rik,0.02231313,-0.002113314,0.079,0.066,1,,,,,
Rpl22l1,0.022319383,0.036849871,0.198,0.176,1,,,,,
AI597479,0.022320198,0.002050107,0.084,0.071,1,,,,,
Resf1,0.022323545,0.022811428,0.202,0.179,1,,,,,
Gm12953,0.02232892,0.003825737,0.005,0.003,1,,,,,
Pithd1,0.02233802,0.0167204,0.115,0.099,1,,,,,
Ppp2r1a,0.022341822,0.029320292,0.202,0.179,1,,,,,
Slc9b2,0.022364252,0.005566335,0.098,0.084,1,,,,,
Nudt13,0.022389124,0.015626036,0.125,0.108,1,,,,,
Gm14022,0.022440332,0.006756226,0.013,0.008,1,,,,,
1700022I11Rik,0.022444377,0.006072466,0.023,0.017,1,,,,,
Zfp787,0.022449167,0.002962425,0.072,0.06,1,,,,,
Akt3,0.022454885,-0.014840272,0.833,0.841,1,,,,,
Styxl1,0.02246749,0.007261231,0.03,0.023,1,,,,,
Nedd4,0.022491132,0.044574602,0.616,0.572,1,,,,,
Gm53065,0.022503717,0.010259612,0.046,0.037,1,,,,,
Nnt,0.022550651,0.009428289,0.025,0.018,1,,,,,
Oscar,0.022554866,0.012511852,0.034,0.026,1,,,,,
Zcchc3,0.022603795,0.01814792,0.039,0.031,1,,,,,
Fst,0.022604787,0.033154546,0.024,0.017,1,,,,,
Sec16a,0.022642682,0.014750855,0.185,0.163,1,,,,,
ENSMUSG00000121056,0.02265514,0.00965522,0.048,0.038,1,,,,,
Gm14325,0.022656901,0.018446699,0.096,0.082,1,,,,,
Gatad2a,0.022659312,0.024818922,0.091,0.078,1,,,,,
Ska2,0.022660892,0.015815382,0.093,0.079,1,,,,,
Syne1,0.022668878,-0.018806719,0.869,0.877,1,,,,,
Gm37964,0.02268717,0.002170788,0.025,0.018,1,,,,,
Gm9895,0.022702149,0.010924196,0.006,0.003,1,,,,,
Hmgxb4,0.022717202,0.012775086,0.212,0.187,1,,,,,
Gm45137,0.022720374,0.004262269,0.019,0.013,1,,,,,
Prkcg,0.022762858,0.012460224,0.494,0.453,1,,,,,
2610206C17Rik,0.022771675,-0.007865416,0.004,0.007,1,,,,,
Setd2,0.022781256,-0.044296043,0.482,0.476,1,,,,,
Gm16973,0.022791218,0.010453896,0.04,0.031,1,,,,,
Wdr89,0.022825435,0.01325297,0.072,0.061,1,,,,,
Gm49906,0.022842537,0.064042069,0.073,0.062,1,,,,,
Scamp3,0.022846172,0.019169271,0.085,0.072,1,,,,,
Crym,0.02284748,0.031911856,0.232,0.209,1,,,,,
Rlbp1,0.022860969,0.005418439,0.004,0.001,1,,,,,
Morf4l1,0.022878175,0.076972541,0.468,0.425,1,,,,,
Pcdhb8,0.022878894,0.004210157,0.004,0.001,1,,,,,
Kdm4c,0.022885091,0.061539436,0.59,0.546,1,,,,,
Smim9,0.022901317,0.003383873,0.004,0.001,1,,,,,
E2f7,0.022903898,0.00860028,0.006,0.003,1,,,,,
Potefam3b,0.022923759,0.003894411,0.004,0.001,1,,,,,
Ms4a20,0.02292825,0.005499396,0.004,0.001,1,,,,,
Dnajb9,0.022956905,0.014582169,0.083,0.07,1,,,,,
Zfp354c,0.022964069,0.011281841,0.165,0.144,1,,,,,
Col14a1,0.02297181,0.000804653,0.013,0.008,1,,,,,
Abi2,0.022984027,-0.024160414,0.732,0.726,1,,,,,
BC060293,0.022998345,0.005255912,0.006,0.003,1,,,,,
Gm26866,0.023009213,0.003525154,0.004,0.001,1,,,,,
Eif2ak1,0.023030502,-0.002859308,0.201,0.178,1,,,,,
Gm15687,0.023040766,0.003405674,0.004,0.001,1,,,,,
Gm47865,0.023040766,0.003445876,0.004,0.001,1,,,,,
Gm32515,0.023047855,0.003671127,0.003,0.001,1,,,,,
Meikin,0.023053432,0.003867747,0.003,0.001,1,,,,,
Gm50137,0.023059011,0.005496985,0.003,0.001,1,,,,,
9130019P16Rik,0.023084027,0.021388283,0.066,0.055,1,,,,,
C130083M11Rik,0.023086098,0.007669692,0.006,0.003,1,,,,,
Ctps2,0.023091161,0.004107538,0.307,0.273,1,,,,,
Gm45060,0.023094943,0.002813355,0.004,0.001,1,,,,,
Nxpe5,0.023098094,0.003138531,0.003,0.001,1,,,,,
Gm13062,0.023103984,0.001900087,0.004,0.001,1,,,,,
Katnb1,0.023111792,0.017013415,0.07,0.059,1,,,,,
Stimate,0.023119086,0.032909171,0.25,0.224,1,,,,,
Gm19076,0.023120453,0.003708861,0.003,0.001,1,,,,,
Ssu2,0.023126046,0.003864679,0.003,0.001,1,,,,,
Th,0.02313164,0.008843954,0.003,0.001,1,,,,,
Rnf5,0.023131859,0.025025973,0.056,0.046,1,,,,,
Upk1b,0.023137235,0.003120593,0.003,0.001,1,,,,,
Ralbp1,0.02314624,0.035527681,0.376,0.339,1,,,,,
Gm20751,0.023154025,0.007927801,0.016,0.011,1,,,,,
Nr5a1os,0.023154027,0.002992672,0.003,0.001,1,,,,,
Gm38105,0.023165228,0.002642799,0.003,0.001,1,,,,,
Zmym6,0.023182493,0.010246085,0.303,0.271,1,,,,,
Ccpg1,0.023200304,0.008826114,0.096,0.082,1,,,,,
Gm43708,0.023200632,0.019682169,0.027,0.02,1,,,,,
Snta1,0.023224455,0.023034823,0.252,0.226,1,,,,,
2810405F17Rik,0.023236549,0.00411483,0.126,0.109,1,,,,,
Rnf139,0.023238733,0.015074791,0.056,0.046,1,,,,,
