,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Pdzrn3,1.25E-34,-0.378015813,0.531,0.596,4.36E-30,,Arid4b,Arid4b,0.017149948,1
9630028H03Rik,3.91E-34,-0.275825396,0.679,0.741,1.36E-29,,Lmnb1,Lmnb1,-0.036318595,1
Tnr,1.60E-33,0.267238676,0.851,0.814,5.57E-29,,Cdk8,Cdk8,-0.019978771,1
Fgf1,4.59E-33,0.237981333,0.211,0.125,1.60E-28,,Rad51,Rad51,0.006353098,1
Prkn,9.33E-33,0.222357883,0.874,0.845,3.25E-28,,Insm1,Insm1,-0.004532152,1
Rbm39,1.08E-32,0.197446566,0.918,0.9,3.77E-28,,Hes1,Hes1,-0.008416185,1
Ntrk2,2.19E-32,-0.18598217,0.862,0.895,7.63E-28,,Tead1,Tead1,-0.047035359,1
Tmem132d,4.00E-32,-0.163296739,0.742,0.805,1.39E-27,,Rbpj,Rbpj,-0.044892712,1
Tenm4,3.65E-31,0.243176193,0.88,0.867,1.27E-26,,Srebf1,Srebf1,0.001814035,1
Dtna,1.12E-30,-0.218713275,0.659,0.717,3.90E-26,,Tfap4,Tfap4,0.000993091,1
Slc9a9,4.87E-30,-0.30120333,0.644,0.694,1.70E-25,,Jun,Jun,-0.052876638,1
Spred2,6.44E-30,-0.228543079,0.57,0.635,2.25E-25,,Mafk,Mafk,-0.010505713,1
Arntl,8.38E-30,-0.258436959,0.322,0.405,2.92E-25,,Srsf2,Srsf2,0.056084759,1
Kcnd2,1.52E-29,-0.093513014,0.943,0.975,5.29E-25,,Klf4,Klf4,0.001929152,1
Pak5,4.07E-29,-0.1832267,0.839,0.881,1.42E-24,,Bach2,Bach2,-0.128074561,0.001283082
Tacc1,7.16E-29,-0.205603098,0.668,0.723,2.50E-24,,Setd1a,Setd1a,0.011704973,1
Mlip,9.11E-29,-0.232828888,0.598,0.661,3.18E-24,,Pknox1,Pknox1,-0.008048326,1
Prickle1,1.08E-28,-0.179984988,0.886,0.937,3.75E-24,,Maz,Maz,-0.008316814,1
Trhde,1.21E-28,-0.23276271,0.406,0.508,4.21E-24,,Wdr43,Wdr43,0.006187399,1
Sema6d,1.24E-28,-0.21827233,0.587,0.664,4.32E-24,,Rfx2,Rfx2,-0.002316903,1
Cdh4,1.03E-27,0.263215308,0.347,0.248,3.60E-23,,Dr1,Dr1,0.004127148,1
Adamts17,1.88E-27,0.19530213,0.328,0.229,6.57E-23,,Hey1,Hey1,-0.016357311,1
Slc1a2,2.79E-27,-0.17194392,0.763,0.832,9.73E-23,,Chd4,Chd4,0.033009589,1
Diaph2,9.82E-27,-0.210154105,0.675,0.727,3.42E-22,,Chd2,Chd2,0.083716255,0.631383754
Gm42439,1.54E-26,0.258119025,0.521,0.425,5.38E-22,,Hoxb5,#N/A,,
Mir6236,2.80E-26,-0.154042222,0.297,0.379,9.77E-22,,Foxp1,Foxp1,0.099737775,1
B230303A05Rik,4.40E-26,0.363868216,0.618,0.556,1.54E-21,,Ssrp1,Ssrp1,0.019809487,1
Csmd1,7.60E-26,-0.105537465,0.969,0.991,2.65E-21,,Kmt2c,Kmt2c,0.034092226,1
Pou6f2,9.05E-26,-0.258827174,0.246,0.331,3.15E-21,,Zfp217,Zfp217,-0.010113616,1
Nell1,3.89E-25,-0.313756705,0.39,0.469,1.36E-20,,Dnmt3b,Dnmt3b,0.004761497,1
Ndst4,4.61E-25,0.563094459,0.058,0.02,1.61E-20,,Ncoa2,Ncoa2,-0.012973289,1
Zbtb20,4.85E-25,0.52132551,0.273,0.189,1.69E-20,,Six2,Six2,0.001410955,1
Gm6994,9.01E-25,0.192771187,0.3,0.208,3.14E-20,,Bhlha15,Bhlha15,-0.000846319,1
Thap3,9.48E-25,0.174076494,0.371,0.268,3.30E-20,,Taf2,Taf2,0.026243712,1
Gm13269,1.27E-24,0.206436877,0.34,0.245,4.42E-20,,Irf8,Irf8,-0.000286663,1
Tef,1.42E-24,0.181049909,0.513,0.402,4.95E-20,,Pou5f1,Pou5f1,0.000987383,1
A230057D06Rik,2.17E-24,0.208373635,0.876,0.866,7.56E-20,,Gabpa,Gabpa,0.025535652,1
Unc13a,3.55E-24,-0.191445256,0.489,0.551,1.24E-19,,Ebf1,Ebf1,0.170754902,4.3437E-06
Atp2b2,3.61E-24,-0.144371073,0.893,0.919,1.26E-19,,Tfap2c,Tfap2c,0.009920061,1
Khdrbs3,4.16E-24,-0.173105071,0.764,0.838,1.45E-19,,Smad3,Smad3,0.047568639,1
Ptprd,7.68E-24,-0.08829541,0.984,0.995,2.68E-19,,Zbtb2,Zbtb2,-0.015550086,1
Mkln1os,8.03E-24,0.136773464,0.298,0.206,2.80E-19,,Kdm5b,Kdm5b,-0.024027673,1
Lhfp,1.40E-23,-0.195216152,0.349,0.427,4.87E-19,,Msl1,Msl1,-0.034699328,1
Dtnbos,3.99E-23,0.173700216,0.433,0.329,1.39E-18,,Med23,Med23,0.038831923,1
Nrn1,4.48E-23,-0.239467436,0.442,0.5,1.56E-18,,Rorc,Rorc,-0.000505985,1
Upp2,6.67E-23,0.200290257,0.754,0.684,2.33E-18,,Gfi1,#N/A,,
Chsy3,9.43E-23,-0.179909613,0.765,0.845,3.29E-18,,Ehf,Ehf,-0.00088596,1
Iqsec1,2.08E-22,-0.171491856,0.703,0.751,7.24E-18,,Cat,Cat,0.008337163,1
Mthfd1l,2.70E-22,0.135856114,0.253,0.17,9.43E-18,,Myt1l,Myt1l,0.204834079,2.08039E-30
Nol4,4.88E-22,-0.178790085,0.814,0.844,1.70E-17,,Wt1,Wt1,-3.48106E-05,1
Camk4,5.40E-22,-0.186061858,0.707,0.765,1.88E-17,,Men1,Men1,-0.003698597,1
Nr4a1,5.60E-22,-0.21386748,0.241,0.311,1.95E-17,,Arntl,Arntl,-0.258436959,2.92238E-25
Prmt8,6.56E-22,-0.202193032,0.367,0.436,2.29E-17,,Zeb1,Zeb1,0.046677447,1
Ube3a,7.67E-22,0.153628205,0.916,0.927,2.67E-17,,Pou3f1,Pou3f1,0.011296943,1
Gm47423,8.13E-22,-0.246866693,0.252,0.322,2.83E-17,,Jund,Jund,-0.078703114,1
Spred1,1.08E-21,-0.20610333,0.538,0.583,3.77E-17,,Ncor1,Ncor1,0.072929733,1
Hmgcr,1.09E-21,-0.215561614,0.367,0.434,3.80E-17,,Vdr,Vdr,9.77658E-05,1
Arhgap10,1.25E-21,-0.201701918,0.468,0.531,4.34E-17,,Fbxl19,Fbxl19,-0.001789946,1
Map1b,1.91E-21,-0.135641283,0.876,0.912,6.65E-17,,Ubtf,Ubtf,0.029232297,1
4930555F03Rik,2.53E-21,0.227377549,0.069,0.03,8.83E-17,,Kdm2a,Kdm2a,-0.005518188,1
Mast3,2.65E-21,-0.219657952,0.507,0.564,9.24E-17,,Zmiz1,Zmiz1,0.009207654,1
Trim9,2.78E-21,-0.154427143,0.778,0.807,9.70E-17,,Atoh1,Atoh1,0.000244668,1
Numb,3.77E-21,-0.174869498,0.711,0.75,1.31E-16,,Bhlhe40,Bhlhe40,-0.055694199,1
Ptprn2,4.98E-21,0.160988845,0.897,0.912,1.74E-16,,Ascl1,Ascl1,-0.014309429,1
Hivep2,5.14E-21,-0.123910258,0.927,0.949,1.79E-16,,Rad21,Rad21,0.024421382,1
Gm26871,6.25E-21,0.221090386,0.887,0.874,2.18E-16,,Smarcad1,Smarcad1,0.081818184,0.116112824
Egr1,7.09E-21,-0.137674075,0.123,0.187,2.47E-16,,Nr5a2,Nr5a2,-0.001376657,1
Btbd9,1.37E-20,0.185206605,0.578,0.486,4.77E-16,,Lhx2,Lhx2,-0.027760842,1
Rph3a,1.47E-20,-0.193013099,0.426,0.491,5.14E-16,,Cdk6,Cdk6,-0.014653005,1
Otud7a,1.82E-20,-0.135122354,0.86,0.903,6.34E-16,,Tbx21,Tbx21,0.013691677,1
Cdk14,2.25E-20,0.191478143,0.835,0.824,7.86E-16,,Esr1,Esr1,0.043236879,2.538E-06
Nell1os,2.72E-20,-0.191438777,0.134,0.198,9.49E-16,,Morc3,Morc3,0.019624629,1
Cacnb4,2.75E-20,-0.128939196,0.901,0.937,9.59E-16,,Creb1,Creb1,0.074097589,0.0597396
Pcdh11x,3.36E-20,-0.241933203,0.359,0.43,1.17E-15,,Hdac3,Hdac3,-0.004616507,1
1700087I21Rik,4.43E-20,0.12744784,0.248,0.171,1.55E-15,,Atf2,Atf2,-0.016385346,1
Hdac9,4.79E-20,-0.116560127,0.787,0.836,1.67E-15,,Atf4,Atf4,-0.032050436,1
Cacna1c,5.40E-20,0.206050356,0.876,0.876,1.88E-15,,Elf5,Elf5,-0.000804381,1
Scn1a,5.79E-20,-0.183908705,0.701,0.734,2.02E-15,,Klf5,Klf5,0.022730563,1
Nlk,6.17E-20,-0.151370684,0.808,0.834,2.15E-15,,Nr4a1,Nr4a1,-0.21386748,1.95411E-17
Dpp6,6.95E-20,0.288548231,0.799,0.767,2.42E-15,,E2f4,E2f4,-0.00277543,1
Bdnf,1.00E-19,-0.159116519,0.12,0.181,3.49E-15,,Nr1h3,Nr1h3,-0.001920239,1
Map3k5,1.24E-19,-0.192904924,0.41,0.469,4.32E-15,,Fli1,Fli1,0.00529211,1
Nkain3,1.41E-19,0.196912086,0.307,0.225,4.92E-15,,Nr1d1,Nr1d1,0.016609449,1
Shc3,1.96E-19,-0.175121531,0.402,0.461,6.83E-15,,Klf1,Klf1,-0.001790276,1
Camkv,2.10E-19,0.203068673,0.654,0.566,7.32E-15,,Runx1,Runx1,0.003444148,1
Dclk1,2.62E-19,-0.103319623,0.94,0.965,9.13E-15,,Hcfc1,Hcfc1,0.013849588,1
Lyst,2.64E-19,0.194194651,0.579,0.486,9.21E-15,,Brd9,Brd9,0.080185909,0.597731898
