,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Calm2,2.80E-08,-0.264956393,0.55,0.626,0.000976313,,Tfap4,Tfap4,-0.002560486,1
Mybpc1,3.72E-08,0.443489625,0.028,0.001,0.001296794,,Jun,Jun,-0.089127568,1
Nrcam,3.81E-08,-0.266050848,0.684,0.742,0.001328394,,Mafk,Mafk,0.010159722,1
Rtn1,3.87E-08,-0.25215752,0.558,0.635,0.001348586,,Srsf2,Srsf2,0.164420014,1
Apba2,4.00E-08,-0.384582084,0.374,0.441,0.001395283,,Klf4,Klf4,0.017184191,1
Pitpnm2,4.27E-08,0.308562764,0.174,0.098,0.001487705,,Bach2,Bach2,-0.283481355,0.241383183
Ptprd,4.50E-08,-0.255687911,0.62,0.67,0.00156982,,Setd1a,Setd1a,0.016709783,1
Plcb4,4.87E-08,0.290276991,0.432,0.321,0.001697677,,Pknox1,Pknox1,0.075435977,1
Gm49599,5.16E-08,0.280298203,0.15,0.078,0.00179964,,Maz,Maz,-0.056196898,1
Coq10b,5.64E-08,0.227118737,0.121,0.057,0.001966842,,Wdr43,Wdr43,-0.081452461,1
Macf1,7.27E-08,-0.181431729,0.888,0.925,0.002534095,,Rfx2,Rfx2,-0.085777856,1
Kcnd3,7.43E-08,0.338545302,0.145,0.077,0.002588929,,Dr1,Dr1,0.009875263,1
Pdgfd,7.73E-08,0.397760247,0.17,0.096,0.002693546,,Hey1,Hey1,0.02817061,1
Gpr158,7.80E-08,-0.419289074,0.155,0.23,0.002719436,,Chd4,Chd4,-0.064591169,1
Car8,7.86E-08,-0.369700745,0.116,0.186,0.002739643,,Chd2,Chd2,0.23702173,1
Zbtb16,1.01E-07,0.278578727,0.111,0.052,0.003508888,,Hoxb5,#N/A,,
Kcnip4,1.07E-07,-0.26537609,0.45,0.534,0.003728498,,Foxp1,Foxp1,0.011252918,1
2610035D17Rik,1.14E-07,0.296085273,0.268,0.175,0.003961416,,Ssrp1,Ssrp1,-0.0207043,1
Lrmda,1.14E-07,0.554120265,0.286,0.199,0.003990136,,Kmt2c,Kmt2c,-0.104513564,1
Lama3,1.16E-07,-0.384966004,0.305,0.382,0.004052797,,Zfp217,Zfp217,0.019899936,1
Naaladl2,1.45E-07,0.360638032,0.403,0.299,0.005046525,,Dnmt3b,Dnmt3b,0.051015641,1
Id3,1.55E-07,0.337059453,0.213,0.133,0.005387948,,Ncoa2,Ncoa2,-0.145484642,1
Mir6236,1.55E-07,-0.385004254,0.263,0.339,0.005416933,,Six2,Six2,0.0024873,1
Lrrk1,1.95E-07,0.577799743,0.111,0.055,0.006810291,,Bhlha15,Bhlha15,0,1
Nrg3,2.18E-07,-0.325028115,0.275,0.351,0.007595037,,Taf2,Taf2,0.016452183,1
Slc24a3,2.42E-07,0.207097916,0.327,0.223,0.008453229,,Irf8,Irf8,0.009391596,1
Atxn1,2.72E-07,0.296698182,0.431,0.328,0.009468077,,Pou5f1,Pou5f1,-0.01900519,1
Zcchc7,2.80E-07,0.253059049,0.574,0.462,0.009759163,,Gabpa,Gabpa,0.032790563,1
Gm49708,2.94E-07,0.340158645,0.202,0.125,0.010235618,,Ebf1,Ebf1,0.079625048,1
Mertk,2.97E-07,0.263629064,0.776,0.764,0.010345589,,Tfap2c,Tfap2c,-0.004494555,1
Pld1,3.00E-07,0.319620714,0.175,0.103,0.010472764,,Smad3,Smad3,-0.105262849,1
Stard4,3.23E-07,-0.261838793,0.022,0.059,0.011253616,,Zbtb2,Zbtb2,0.024752788,1
Phldb2,3.24E-07,0.492175073,0.149,0.084,0.011305224,,Kdm5b,Kdm5b,0.149429614,1
Hmgcr,3.30E-07,-0.384445192,0.202,0.273,0.011504469,,Msl1,Msl1,-0.068393497,1
Arglu1,3.49E-07,0.222708145,0.632,0.507,0.012162627,,Med23,Med23,-0.01031333,1
Per2,4.06E-07,0.242969529,0.138,0.074,0.014147304,,Rorc,Rorc,0.026980272,1
Ogn,4.61E-07,0.222980082,0.047,0.012,0.016074209,,Gfi1,#N/A,,
Eci2,5.11E-07,0.252868779,0.271,0.181,0.017805666,,Ehf,Ehf,0,1
Prr5,5.55E-07,0.216890319,0.105,0.05,0.019340732,,Cat,Cat,0.058518207,1
Nr2f2,5.56E-07,0.388027856,0.073,0.029,0.019392054,,Myt1l,Myt1l,-0.02586043,1
St6galnac5,6.10E-07,-0.295094452,0.462,0.541,0.021260779,,Wt1,Wt1,0,1
Mat2a,6.17E-07,0.292417565,0.41,0.304,0.021517606,,Men1,Men1,-0.020314166,1
Spacdr,7.67E-07,0.272795926,0.421,0.312,0.026745036,,Arntl,Arntl,-0.200273238,1
Zfhx4,8.17E-07,0.406727123,0.143,0.081,0.028491867,,Zeb1,Zeb1,-0.059897105,1
Erc1,8.19E-07,0.253668577,0.381,0.282,0.028552446,,Pou3f1,Pou3f1,-0.041995876,1
Clk1,8.23E-07,0.254046408,0.383,0.282,0.028708756,,Jund,Jund,-0.050791753,1
9330159F19Rik,8.33E-07,0.264180389,0.22,0.139,0.029034423,,Ncor1,Ncor1,-0.047744122,1
Msmo1,9.46E-07,-0.348373741,0.284,0.355,0.032982648,,Vdr,Vdr,0.002805958,1
Mgat5,9.67E-07,-0.34570736,0.367,0.432,0.033727635,,Fbxl19,Fbxl19,-0.008803994,1
Nxn,9.84E-07,0.273086922,0.332,0.234,0.03429584,,Ubtf,Ubtf,-0.023475659,1
Crlf3,1.09E-06,0.27683618,0.45,0.343,0.03802355,,Kdm2a,Kdm2a,-0.006229593,1
Cep164,1.10E-06,0.210438509,0.094,0.043,0.038194732,,Zmiz1,Zmiz1,-0.017052298,1
Ccdc85a,1.16E-06,0.329893747,0.389,0.299,0.040495622,,Atoh1,Atoh1,0,1
Apod,1.24E-06,0.586212269,0.22,0.149,0.04329461,,Bhlhe40,Bhlhe40,0.035322466,1
