Accession
Q569K6
Q96AG3
O95477
Q0P5P2
P78381
Q9NQV5
Q9NQ66
Q96NL6
Q14203
P28223
Q9H116
O15084
Q9H8U3
O95376
Q8NE28
Q8WYN3
Q6ZMI0
P11362
Q96IZ5
Q9HAH7
P61296
P31321
Q8WWK9
Q53HI1
Q8TDX6
Q6UX04
Q7Z6K3
P04637
Q9NUW8
Q96LL4
O14617
Q08257
Q9NQE9
Q7Z4H9
Q96HZ4
P82909
Q8TCX5
P53814
Q9P2K2
Q8NC26
Q7Z5K2
Q9Y2J8
Q9H2C2
Q9NTW7
Q14515
Q06136
Q6S5L8
Q8N5M1
O43734
Q9UJA9
O94808
O95073
Q8NB25
Q93052
P12814
Q9UQE7
Q6P6B7
Q13889
Q9Y2M0
Q96FZ2
O43633
O60309
P50452
Q5SQN1
Q5VU97
Q8NCA9
O94830
O15194
P33552
Q6IQ21
P25788
Q9BRK5
Q07812
O96011
Q4VC44
Q96GI7
O95486
Q4U2R6
P04233
O60331
Q9NQ75
O14828
Q9H7S9
P31431
A1X283
P30291
Q9HCL0
O00512
Q9NP74
Q86X53
Q9UPT9
Q9H0R3
Q499Z3
Q13586
Q9NRF9
Q01167
P49585
Q6NUN9
Q86VR8
Q9NYJ7
Q9NSI2
O00411
Q6EMK4
Q7Z2Z2
P26010
Q13485
Q969S6
Q8IZ07
F6VJS9
P09110
Q8NCS4
Q6NYC1
Q9Y2K7
P00505
Q14524
Q9C0F1
P33763
Q9NPF7
Q8IWA0
O94817
Q8NBS3
O76039
Q5CZC0
Q8TDH9
Q9NS86
Q9H3S5
Q9UM47
Q08AM6
Q13283
Q5W0Q7
O60318
P53621
Q8IX05
Q9UN70
P32298
Q9NRX4
Q16342
Q9UL46
P54277
Q9BXM9
O43541
Q9UHB6
O96020
P49796
P13378
Q8NFT6
Q9NUJ3
Q02641
O00622
Q9NQ84
Q9NQX3
Q6PIL6
Q12816
Q969E2
Q9UKT4
Q7Z6J9
Q86UD3
P48200
Q8NCE0
P09936
Q96B86
P04141
Q9P2J8
Q13595
P14316
Q8WWM7
A6NCL1
Q9UHQ9
Q7Z6M1
Q9UBP4
P04040
O95069
Q9NQG7
P50549
Q9H1B7
Q96S21
O94927
Q8IZQ5
P51812
Q9UPX0
Q6P9G0
A1KXE4
Q8NC44
Q8NCT3
Q9Y2L6
Q16553
Q9H446
Q9P0J6
H7BY64
Q13393
Q86XE5
Q9H0B6
O94826
Q92805
Q4G148
P0DP24
Q8NBT2
Q8TDI8
P08493
A0PK00
Q96EY7
O60551
Q96JN0
Q04771
Q96SA4
Q9Y6M9
Q6ZUM4
O43427
Q14331
Q12926
Q9H244
Q9ULU4
P43007
Q13191
Q68CQ7
P23786
Q6P1R4
P49190
Q8NFU5
O00631
Q9BY12
Q86TB9
Q9H5F2
C9J1V9
Q969F1
Q04446
Q96LL9
Q92502
Q9NZL6
P26006
Q9NTK1
Q9UNG2
P04150
P30085
O14745
Q9H6U6
Q6UWP7
Q9UJU2
P48723
Q9NYL5
Q9NSK0
Q96AY3
A0A1W2PQS6
P19404
Q14643
Q9BUN5
Q02962
Q9Y2M5
Q96FZ7
O14543
P28562
P24522
Q8NA29
Q9H0C5
P13598
Q6WBX8
Q14318
Q659C4
Q07817
O75915
P78395
O60336
P13497
A0A0B4J2F0
Q4G0U5
Q96SB3
P41220
Q9H2U2
Q9ULV3
Q6ZMJ4
Q9C073
Q9NP79
Q9H0R8
P0DPB6
Q6NXT1
Q96N03
Q12834
P52789
P16455
Q86UF1
Q49AA0
Q9NZM5
Q96QB1
Q8N6N6
A8MW92
Q96M02
P51808
Q9UPW6
Q10713
P33992
P50053
P12314
P10909
Q9H2D6
Q16549
Q86VU5
Q64LD2
P60228
Q9UBR2
Q8IWA5
Q8TBY8
M0R135
Q86YG4
O60547
Q8NCV1
E0CX11
Q9H8H3
Q96Q15
O75410
P51606
Q8IYS2
Q8IY33
P45985
P09651
P28347
Q9H2S9
B4DEV8
P10606
P80723
Q9NQ89
Q709C8
Q9NVM1
Q9UKT9
O00750
P61803
O14965
Q14964
Q9BVA1
Q8IV08
O95399
Q9HCM4
O00526
O60244
Q92621
Q709F0
O95298
Q6P4F1
Q99720
Q9Y620
P07205
P52798
Q7RTU0
Q9UBP9
O00425
A0A087WZK3
Q96AX9
Q16659
Q6N022
Q86WV5
Q92520
P26639
Q9NZN4
Q96QC0
Q96M11
P61601
O14763
O95197
Q9UJW0
Q3C1V1
P00519
Q13398
Q5ST30
P25398
Q96RR4
O14662
P62995
P62380
H0YIP1
Q93075
Q9UKF5
Q2NL68
P07741
Q8TEL6
Q15700
Q6ICL7
O14561
Q8NA47
Q9NPJ3
Q6I9Y2
Q9H0E3
E7ESA3
O76075
Q712K3
Q99808
R4GMT4
Q9UBB5
Q5TA31
Q92608
Q8WXB1
Q5U649
Q5BKT4
Q5SVQ8
P06276
Q92731
Q75QN2
Q9UK59
Q99707
Q66K64
P61812
O75832
O14974
H0YL14
Q53EZ4
P43034
P07315
Q9HCN3
Q00534
P08195
Q8WYQ5
Q96BY9
Q9C091
Q9Y3A0
Q16769
Q9NP97
Q8IW40
Q86X76
Q8NHG8
Q96N21
Q14872
Q12852
Q5VVM6
P09234
Q5TCQ9
Q08289
P09972
P98170
Q9UIU6
P04792
Q58EX2
P19532
O14772
Q9UP95
Q6P9H4
P37088
Q9NXL9
Q5H9R4
Q09328
Q70EL1
O14548
P53007
A6BM72
Q5EBL2
Q9H9J2
O43766
Q16690
Q92819
Q9H583
Q93084
P14866
O00232
Q969X1
P10826
Q9UKG4
Q96PP9
Q8IZ52
O43665
Q8NEG5
Q96BK5
Q96SB8
O00746
Q8N2M8
Q6P3V2
Q9NRZ7
Q8N7B1
O75204
A0A096LNW5
Q8N302
Q86VF7
P56703
Q9UQK1
Q9UHD9
Q9UMY1
Q9BYR5
O94761
Q6NXT6
Q14244
Q969G5
Q8N201
Q6UWE0
O43463
Q12962
Q5VWN6
Q8NEV8
Q8WYR4
Q96BZ8
Q16778
P02144
P36542
Q86XX4
P54098
Q99615
Q4KMX7
P37198
Q8NDV7
Q86WX3
Q8WZA9
Q06278
Q8TAM1
Q8N614
P23497
O43261
Q96S44
Q96ST3
Q9H6Y2
Q9UPZ3
P07737
P12956
O60675
Q6NUT3
Q16576
Q9NNZ3
Q96KP4
P55036
Q8ND90
Q7L5A3
P16157
Q7LFX5
Q8WV22
Q6GQQ9
Q969Y0
A6NH21
Q9NX01
Q6VAB6
Q9Y2Q1
P22415
O43674
Q07954
Q96Q42
Q7Z7A1
Q9BVA6
O76093
Q8NDH3
Q9UHE8
Q8IW36
Q92626
Q96GM8
P51532
Q8NFW8
Q00653
A0A1W2PSA9
O75112
Q9Y6R4
Q9Y625
Q6P047
Q8IV35
Q15907
O60271
P38571
Q16787
P36551
