,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Abracl,0.177905475,0.185143,0.03,0,1,,
Hddc2,0.177905475,0.177155894,0.03,0,1,,
Prdm1,0.177905475,0.13762665,0.03,0,1,,
Plekhj1,0.177905475,0.179998326,0.03,0,1,,
Rfx4,0.177905475,0.250573367,0.03,0,1,,
Ctns,0.177905475,0.146891891,0.03,0,1,,
Mrm3,0.177905475,0.168129672,0.03,0,1,,
Efcab5,0.177905475,0.174231367,0.03,0,1,,
Car4,0.177905475,0.196345895,0.03,0,1,,
Smarcd2,0.177905475,0.14549347,0.03,0,1,,
Ccdc137,0.177905475,0.163863305,0.03,0,1,,
Ccdc177,0.177905475,0.174391147,0.03,0,1,,
Fos,0.177905475,0.171008391,0.03,0,1,,
ENSMUSG00000120869,0.177905475,0.189269482,0.03,0,1,,
Cinp,0.177905475,0.168135661,0.03,0,1,,
Ipo4,0.177905475,0.151234768,0.03,0,1,,
Chadl,0.177905475,0.1577797,0.03,0,1,,
Ppm1f,0.177905475,0.170690973,0.03,0,1,,
Map6d1,0.177905475,0.168988821,0.03,0,1,,
Trmt10c,0.177905475,0.167137613,0.03,0,1,,
Gm50250,0.177905475,0.165602438,0.03,0,1,,
ENSMUSG00000121479,0.177905475,0.16836717,0.03,0,1,,
Epb41l4aos,0.177905475,0.166955499,0.03,0,1,,
Dnajc4,0.177905475,0.175986779,0.03,0,1,,
Papss2,0.177905475,0.156601506,0.03,0,1,,
Prps2,0.177905475,0.150996971,0.03,0,1,,
Zfp560,0.178046579,-0.775085494,0.095,0.138,1,,
Baz1b,0.178246678,0.037789343,0.229,0.138,1,,
Psmd3,0.178274559,0.143709825,0.061,0.017,1,,
Sgk1,0.178278461,-0.115455492,0.088,0.034,1,,
Pot1a,0.178278478,0.134373435,0.088,0.034,1,,
Dusp11,0.178516086,0.111681702,0.163,0.086,1,,
Ccs,0.178522644,-0.508426016,0.049,0.086,1,,
AI593442,0.178549311,-0.592334969,0.09,0.138,1,,
Snx21,0.178615742,0.179216792,0.085,0.034,1,,
Snx6,0.178619843,-0.066989239,0.161,0.086,1,,
Itch,0.178654398,0.182081625,0.321,0.207,1,,
Tcea1,0.178660378,0.037589198,0.14,0.069,1,,
Txn1,0.178701117,0.144841184,0.061,0.017,1,,
Ralgapa1,0.178785768,0.019180067,0.522,0.345,1,,
Ugcg,0.178927606,0.067085786,0.113,0.052,1,,
Rspo3,0.178979642,0.120680241,0.085,0.034,1,,
Mepce,0.179063843,-0.181194112,0.023,0.052,1,,
Gca,0.179128435,0.162484556,0.061,0.017,1,,
Morn1,0.17915835,0.213827214,0.06,0.017,1,,
Tnk2,0.179167638,-0.004549799,0.115,0.052,1,,
Unc5c,0.179296335,0.513469677,0.129,0.069,1,,
Creld1,0.17935664,0.089298911,0.088,0.034,1,,
Ncoa7,0.179436078,-0.208916457,0.346,0.207,1,,
Usp38,0.179556511,0.122660766,0.061,0.017,1,,
Marchf1,0.179596075,-0.336224927,0.288,0.362,1,,
Zfp738,0.179805769,-0.037710992,0.115,0.052,1,,
Aff4,0.179983093,-0.652690563,0.34,0.345,1,,
Gm37629,0.179985348,0.040953348,0.061,0.017,1,,
Pccb,0.179985348,0.049563879,0.061,0.017,1,,
Dhx8,0.179985348,0.058733691,0.061,0.017,1,,
Snx25,0.180013575,-0.002120453,0.111,0.052,1,,
Ice2,0.180240147,0.203256825,0.06,0.017,1,,
Sltm,0.180285401,-0.131004285,0.388,0.241,1,,
Rnh1,0.180347667,-0.153068871,0.023,0.052,1,,
Socs2,0.18045709,0.29044259,0.06,0.017,1,,
Camta1,0.180545673,0.123697511,0.612,0.414,1,,
Dennd6b,0.18066295,0.113201248,0.111,0.052,1,,
Srp9,0.180706938,0.174485722,0.11,0.052,1,,
Lsm14a,0.180735959,0.271543815,0.109,0.052,1,,
Gm26901,0.180796304,-0.403862323,0.049,0.086,1,,
Gpr61,0.180801732,0.119501124,0.088,0.034,1,,
Ywhab,0.180807031,-0.628165555,0.198,0.241,1,,
Nxf1,0.181085643,0.25969187,0.083,0.034,1,,
Scn3b,0.181115738,-0.021808417,0.163,0.086,1,,
Spryd3,0.181329031,0.225185136,0.059,0.017,1,,
Srsf6,0.181370414,0.1443151,0.133,0.069,1,,
Golga1,0.181464188,-0.459224707,0.109,0.155,1,,
Itprid2,0.181762833,0.190216338,0.06,0.017,1,,
Trit1,0.181891212,0.096437101,0.088,0.034,1,,
Brd7,0.181983152,0.184601934,0.135,0.069,1,,
Gm15155,0.182069225,0.289781996,0.084,0.034,1,,
Dynll2,0.182458583,-0.623642244,0.161,0.207,1,,
Dbn1,0.182774491,-0.617053887,0.163,0.207,1,,
E430024I08Rik,0.183075561,0.184370469,0.06,0.017,1,,
Prpf40a,0.183217364,0.127294661,0.307,0.19,1,,
Yipf1,0.183351418,0.020129616,0.088,0.034,1,,
Selenos,0.1834464,0.030065301,0.113,0.052,1,,
Gm4128,0.183954608,0.18445704,0.06,0.017,1,,
Elavl3,0.184065845,0.047765935,0.274,0.172,1,,
Nxph1,0.184148733,-0.739960796,0.516,0.5,1,,
Aip,0.184198476,-0.52485628,0.037,0.069,1,,
Apex2,0.184234832,0.057272047,0.162,0.086,1,,
Gm10558,0.184395302,0.185873396,0.06,0.017,1,,
C230057M02Rik,0.184504351,0.220050148,0.085,0.034,1,,
Ldb1,0.184504351,0.196338324,0.085,0.034,1,,
Psmd12,0.184539767,0.043789161,0.135,0.069,1,,
Acss2,0.184820944,0.086366302,0.137,0.069,1,,
Psmc6,0.184823232,0.051214931,0.305,0.19,1,,
Meis2,0.185168558,0.0332678,0.962,0.862,1,,
Dnmt3a,0.18520863,0.017410904,0.359,0.224,1,,
Nudcd3,0.185215493,0.011942931,0.23,0.138,1,,
Gm9831,0.185250423,0.203295994,0.085,0.034,1,,
Spg21,0.185381026,-0.301881798,0.035,0.069,1,,
Uck2,0.185417163,0.142529981,0.087,0.034,1,,
Cc2d2a,0.185424765,0.074362358,0.137,0.069,1,,
Snx32,0.185597594,0.083421186,0.206,0.121,1,,
Zbtb41,0.185624282,0.090484407,0.085,0.034,1,,
Fhod3,0.185830788,0.180146884,0.22,0.138,1,,
Mthfd1l,0.1863407,-0.448942271,0.049,0.086,1,,
Lsm4,0.186610499,0.137163024,0.06,0.017,1,,
Ndufs8,0.186610499,0.177418233,0.06,0.017,1,,
Ccar1,0.186835336,-0.105587117,0.278,0.172,1,,
Ralb,0.187055888,0.135848587,0.06,0.017,1,,
Ccdc173,0.187055888,0.145190812,0.06,0.017,1,,
Gpld1,0.187055888,0.137120752,0.06,0.017,1,,
Clybl,0.187055888,0.120684436,0.06,0.017,1,,
Kremen1,0.187096824,0.169605188,0.029,0,1,,
Tulp2,0.187096848,0.18996135,0.029,0,1,,
Gm26862,0.187096848,0.149756363,0.029,0,1,,
Pde2a,0.187096848,0.126872261,0.029,0,1,,
Shisa5,0.187096848,0.152458439,0.029,0,1,,
Atic,0.187096873,0.146921242,0.029,0,1,,
Nifk,0.187096873,0.165450289,0.029,0,1,,
ENSMUSG00000120522,0.187096873,0.20935957,0.029,0,1,,
Cobll1,0.187096873,0.203468479,0.029,0,1,,
Mroh8,0.187096873,0.136061153,0.029,0,1,,
Zbtb10,0.187096873,0.178289676,0.029,0,1,,
Chmp4c,0.187096873,0.157300327,0.029,0,1,,
Kcnd3os,0.187096873,0.1824729,0.029,0,1,,
Gm43765,0.187096873,0.132575382,0.029,0,1,,
Bcl10,0.187096873,0.181495295,0.029,0,1,,
Spata1,0.187096873,0.178454861,0.029,0,1,,
Tstd2,0.187096873,0.162078834,0.029,0,1,,
B4galt2,0.187096873,0.149058321,0.029,0,1,,
Rnf207,0.187096873,0.147513187,0.029,0,1,,
Drc1,0.187096873,0.131609113,0.029,0,1,,
Igfbp7,0.187096873,0.183916004,0.029,0,1,,
Muc3a,0.187096873,0.164081163,0.029,0,1,,
Rbak,0.187096873,0.180184638,0.029,0,1,,
Tfpt,0.187096873,0.149122543,0.029,0,1,,
Isoc2b,0.187096873,0.12872148,0.029,0,1,,
Mrps11,0.187096873,0.152411747,0.029,0,1,,
Gm18959,0.187096873,0.168961601,0.029,0,1,,
Il18bp,0.187096873,0.147807284,0.029,0,1,,
Stxbp2,0.187096873,0.156153087,0.029,0,1,,
Snapc2,0.187096873,0.163536151,0.029,0,1,,
Tex15,0.187096873,0.183714529,0.029,0,1,,
Lama2,0.187096873,0.297241988,0.029,0,1,,
Polrmt,0.187096873,0.151541511,0.029,0,1,,
Gm47477,0.187096873,0.129499641,0.029,0,1,,
Gm12068,0.187096873,0.163705531,0.029,0,1,,
Map2k3,0.187096873,0.15327653,0.029,0,1,,
Galk1,0.187096873,0.152872754,0.029,0,1,,
Fam228a,0.187096873,0.127900048,0.029,0,1,,
Gm35755,0.187096873,0.154174848,0.029,0,1,,
Gm29361,0.187096873,0.12995859,0.029,0,1,,
Fam161b,0.187096873,0.135724414,0.029,0,1,,
Gm48838,0.187096873,0.166951819,0.029,0,1,,
Rarb,0.187096873,0.158733527,0.029,0,1,,
Rabggta,0.187096873,0.151793013,0.029,0,1,,
Nop9,0.187096873,0.148362393,0.029,0,1,,
Lpar6,0.187096873,0.156962865,0.029,0,1,,
Gm49191,0.187096873,0.142819746,0.029,0,1,,
4833412C15Rik,0.187096873,0.155934743,0.029,0,1,,
Adamts20,0.187096873,0.156767114,0.029,0,1,,
Alg1,0.187096873,0.149666411,0.029,0,1,,
Nsun3,0.187096873,0.166981659,0.029,0,1,,
Gm10548,0.187096873,0.154702973,0.029,0,1,,
ENSMUSG00000120167,0.187096873,0.168320643,0.029,0,1,,
Zfp449,0.187096873,0.139358132,0.029,0,1,,
Taf7l,0.187096873,0.20526955,0.029,0,1,,
Filip1l,0.187178003,0.161829463,0.323,0.207,1,,
Polg,0.187281488,0.051549418,0.087,0.034,1,,
Myo3b,0.187502061,0.127745012,0.06,0.017,1,,
Kcnk9,0.187502061,0.13917021,0.06,0.017,1,,
Prdm15,0.187502061,0.143852884,0.06,0.017,1,,
Gm7072,0.187502061,0.142281097,0.06,0.017,1,,
2900060N12Rik,0.187549764,-0.340118509,0.062,0.103,1,,
Sem1,0.187808256,0.038532488,0.163,0.086,1,,
Sparc,0.18793297,-0.538101691,0.037,0.069,1,,
Serac1,0.187949008,0.038649634,0.06,0.017,1,,
Rnf123,0.18794902,0.107670243,0.06,0.017,1,,
Akap5,0.18794902,0.072476302,0.06,0.017,1,,
Gm37735,0.188230429,-0.825739192,0.024,0.052,1,,
Reps2,0.188250008,-0.504321353,0.161,0.207,1,,
Ppat,0.188396704,-0.013193793,0.06,0.017,1,,
Noct,0.188396764,0.058040564,0.06,0.017,1,,
Fads1,0.188396764,0.044193174,0.06,0.017,1,,
Tmem67,0.188406692,0.082742579,0.087,0.034,1,,
Zfand4,0.188460979,0.143753039,0.084,0.034,1,,
Notch2,0.188467651,0.209500849,0.059,0.017,1,,
Wdr1,0.188467651,0.209767588,0.059,0.017,1,,
Rmdn3,0.188617929,-0.507949919,0.063,0.103,1,,
Lrrc1,0.188782878,0.029732318,0.087,0.034,1,,
Zfp871,0.18897117,0.097148922,0.161,0.086,1,,
Smpd3,0.189036658,-0.426105938,0.063,0.103,1,,
Gpm6a,0.189125302,-0.025595682,0.663,0.431,1,,
Brd9,0.189143563,0.075517456,0.134,0.069,1,,
Minpp1,0.1891596,0.066586981,0.087,0.034,1,,
Angptl1,0.189374355,0.215831314,0.059,0.017,1,,
Usf1,0.189550462,-0.459088211,0.037,0.069,1,,
Xkr6,0.189988061,-0.453661224,0.077,0.121,1,,
Kcnj13,0.190091899,-0.389800414,0.037,0.069,1,,
Neb,0.190091899,-0.542397998,0.037,0.069,1,,
Rab31,0.190104105,0.129213961,0.109,0.052,1,,
Agl,0.190188188,-0.374647026,0.024,0.052,1,,
Gtf3a,0.190208621,-0.270603473,0.013,0.034,1,,
Sfrp1,0.190208621,-0.226106551,0.013,0.034,1,,
Igf1,0.190208621,-0.483535017,0.013,0.034,1,,
ENSMUSG00000121247,0.190208621,-0.314084825,0.013,0.034,1,,
Fbxl21,0.190208621,-0.31041662,0.013,0.034,1,,
Tmtc3,0.190284271,0.180763145,0.059,0.017,1,,
Jmjd1c,0.190333101,-0.023159555,0.462,0.293,1,,
Eif1b,0.190463446,-0.676535248,0.166,0.207,1,,
Slc17a7,0.190507204,-0.004616694,0.163,0.086,1,,
Wasf3,0.190570781,-0.060027513,0.182,0.103,1,,
Prkar1a,0.190571604,-0.134183126,0.241,0.138,1,,
Gm42669,0.190672074,0.024315674,0.087,0.034,1,,
Ccdc88c,0.190844095,-0.316304288,0.024,0.052,1,,
Elp2,0.190869887,0.044631846,0.138,0.069,1,,
Gm26930,0.190932273,-0.349586237,0.062,0.103,1,,
Bcor,0.191051577,-0.075367181,0.087,0.034,1,,
Gm12216,0.191076494,-0.388360016,0.013,0.034,1,,
Lrrc75aos1,0.191076494,-0.321269166,0.013,0.034,1,,
Ddah2,0.191076494,-0.440097075,0.013,0.034,1,,
Rps6ka6,0.191076494,-0.245745446,0.013,0.034,1,,
Pdrg1,0.19117819,-0.412344158,0.037,0.069,1,,
Cdc27,0.191233989,0.023390707,0.137,0.069,1,,
Gm33366,0.191501666,-0.381004383,0.024,0.052,1,,
Ptp4a3,0.191501666,-0.330561204,0.024,0.052,1,,
St3gal2,0.19170737,0.236246741,0.057,0.017,1,,
Gm15327,0.191947279,-0.222678347,0.013,0.034,1,,
H2-T23,0.191947279,-0.326291953,0.013,0.034,1,,
Sdhb,0.191948956,-0.301706004,0.138,0.069,1,,
Unc80,0.192082545,-0.024840255,0.528,0.345,1,,
Sub1,0.192159352,-0.594503493,0.218,0.259,1,,
Mcoln1,0.192160902,-0.291417586,0.024,0.052,1,,
Kif26a,0.192160902,-0.328903655,0.024,0.052,1,,
Elp1,0.192531719,0.037890777,0.112,0.052,1,,
Dgat1,0.192573139,0.170626075,0.059,0.017,1,,
Xpo1,0.192682292,-0.212532536,0.213,0.121,1,,
Eml6,0.192809514,-0.039927229,0.615,0.414,1,,
Chchd3,0.193005167,0.09740164,0.277,0.172,1,,
Sphkap,0.1930606,-0.029530882,0.33,0.224,1,,
Raly,0.193484378,-0.421901133,0.024,0.052,1,,
Gm43188,0.193484378,-0.329772716,0.024,0.052,1,,
Dip2a,0.194129579,0.142054334,0.11,0.052,1,,
Herc4,0.194136152,0.151654428,0.134,0.069,1,,
Acly,0.194236932,0.179648801,0.084,0.034,1,,
Dmxl2,0.194361591,-0.178350679,0.29,0.172,1,,
Acvr2a,0.194402985,0.038113199,0.16,0.086,1,,
Kcnj11,0.194577137,-0.210785007,0.013,0.034,1,,
Npffr1,0.194577137,-0.289055714,0.013,0.034,1,,
Fkbp1b,0.194577137,-0.23222116,0.013,0.034,1,,
Tbce,0.194606793,0.049009062,0.207,0.121,1,,
Zrsr2,0.194626564,0.033834772,0.084,0.034,1,,
Cul3,0.19515037,0.035974343,0.256,0.155,1,,
Edf1,0.195152519,-0.510264035,0.124,0.172,1,,
Ctcf,0.195188829,0.184070806,0.22,0.138,1,,
Ncam1,0.195247767,-0.400357795,0.74,0.638,1,,
Pcdh19,0.195346412,0.130153521,0.059,0.017,1,,
Arfgap2,0.195407539,0.14301233,0.084,0.034,1,,
Sft2d3,0.195407557,0.151545949,0.084,0.034,1,,
Utp3,0.195435696,0.23849113,0.057,0.017,1,,
Abhd10,0.195435696,0.203712459,0.057,0.017,1,,
Bri3bp,0.195453248,-0.427091364,0.05,0.086,1,,
Gm16958,0.195459604,-0.233095645,0.013,0.034,1,,
Dkkl1,0.195459604,-0.196386679,0.013,0.034,1,,
Gm15856,0.195472401,0.224968899,0.056,0.017,1,,
Micall1,0.195482124,-0.349074701,0.024,0.052,1,,
Lpgat1,0.195516418,0.092835342,0.205,0.121,1,,
Tpst1,0.195639565,0.17225635,0.083,0.034,1,,
Nrbp2,0.195798901,-0.526487051,0.078,0.121,1,,
Snapin,0.195811457,0.156316862,0.059,0.017,1,,
Smim8,0.195811457,0.143144573,0.059,0.017,1,,
Gnaz,0.196277288,0.121545156,0.059,0.017,1,,
Pck2,0.196344041,-0.329289923,0.049,0.086,1,,
Gm45457,0.196345003,-0.15829404,0.013,0.034,1,,
Ptms,0.196377825,-0.176848241,0.265,0.155,1,,
Brd8,0.196454458,0.106146798,0.207,0.121,1,,
Cdkn1b,0.19647567,-0.420358188,0.063,0.103,1,,
Sae1,0.196710441,0.093472169,0.085,0.034,1,,
1500035N22Rik,0.196743956,0.142003081,0.059,0.017,1,,
Pdik1l,0.196743968,0.079572673,0.059,0.017,1,,
Setd3,0.196788909,0.213782076,0.129,0.069,1,,
Tcea2,0.196822304,0.158437933,0.028,0,1,,
A930037H05Rik,0.196822304,0.158960418,0.028,0,1,,
Dnah7b,0.19682233,0.133608746,0.028,0,1,,
D630023F18Rik,0.19682233,0.145737757,0.028,0,1,,
Gm29114,0.19682233,0.143888495,0.028,0,1,,
Qsox1,0.19682233,0.147868697,0.028,0,1,,
Usp21,0.19682233,0.172074099,0.028,0,1,,
Ttpal,0.19682233,0.142311743,0.028,0,1,,
Gm37465,0.19682233,0.135405164,0.028,0,1,,
Zfp687,0.19682233,0.169912543,0.028,0,1,,
S1pr1,0.19682233,0.148781611,0.028,0,1,,
ENSMUSG00000120150,0.19682233,0.206243403,0.028,0,1,,
Tmem38b,0.19682233,0.124769324,0.028,0,1,,
Hsdl2,0.19682233,0.151155753,0.028,0,1,,
Tceanc2,0.19682233,0.147168776,0.028,0,1,,
Noa1,0.19682233,0.146016667,0.028,0,1,,
Gm28039,0.19682233,0.141253501,0.028,0,1,,
Gm43359,0.19682233,0.15681419,0.028,0,1,,
Stx2,0.19682233,0.128708153,0.028,0,1,,
Tbl2,0.19682233,0.155470851,0.028,0,1,,
Plod3,0.19682233,0.156790727,0.028,0,1,,
Gm43872,0.19682233,0.133294217,0.028,0,1,,
Edem1,0.19682233,0.175641512,0.028,0,1,,
Tamm41,0.19682233,0.15893233,0.028,0,1,,
Arntl2,0.19682233,0.149447152,0.028,0,1,,
Ssc5d,0.19682233,0.143402417,0.028,0,1,,
Zfp574,0.19682233,0.157872618,0.028,0,1,,
Tarsl2,0.19682233,0.153868351,0.028,0,1,,
Gm44847,0.19682233,0.13469911,0.028,0,1,,
Gm39090,0.19682233,0.150718076,0.028,0,1,,
ENSMUSG00000120204,0.19682233,0.146763484,0.028,0,1,,
Mt2,0.19682233,0.178636277,0.028,0,1,,
A130014A01Rik,0.19682233,0.151714569,0.028,0,1,,
Gm17545,0.19682233,0.157210882,0.028,0,1,,
Slc37a4,0.19682233,0.148272142,0.028,0,1,,
Pigbos1,0.19682233,0.149882433,0.028,0,1,,
Gm16126,0.19682233,0.133957653,0.028,0,1,,
Kif9,0.19682233,0.151238495,0.028,0,1,,
Mir22hg,0.19682233,0.173647191,0.028,0,1,,
Axin2,0.19682233,0.14652646,0.028,0,1,,
Fasn,0.19682233,0.152917967,0.028,0,1,,
Hs1bp3,0.19682233,0.137648744,0.028,0,1,,
Degs2,0.19682233,0.160082415,0.028,0,1,,
Gm36839,0.19682233,0.165250065,0.028,0,1,,
Gm15813,0.19682233,0.151544485,0.028,0,1,,
Phf7,0.19682233,0.172395228,0.028,0,1,,
Cmtm5,0.19682233,0.144830035,0.028,0,1,,
Scrib,0.19682233,0.152837642,0.028,0,1,,
Sp7,0.19682233,0.142821816,0.028,0,1,,
Ehhadh,0.19682233,0.156238251,0.028,0,1,,
Cfap44,0.19682233,0.13599634,0.028,0,1,,
H2-D1,0.19682233,0.178580505,0.028,0,1,,
Gtf2h4,0.19682233,0.157098566,0.028,0,1,,
Bysl,0.19682233,0.132216534,0.028,0,1,,
Dync2li1,0.19682233,0.143032601,0.028,0,1,,
Cndp1,0.19682233,0.137011038,0.028,0,1,,
Gm27151,0.19682233,0.166618878,0.028,0,1,,
Dusp5,0.19682233,0.143533697,0.028,0,1,,
4933407K13Rik,0.19682233,0.161144399,0.028,0,1,,
Rtf1,0.196851422,-0.016162825,0.237,0.138,1,,
Gm49353,0.19685997,-0.050441313,0.137,0.069,1,,
Dop1a,0.196926583,0.077708454,0.252,0.155,1,,
ENSMUSG00000121395,0.197101198,0.035046142,0.085,0.034,1,,
Ap1s2,0.197101198,0.09100891,0.085,0.034,1,,
Mtfr1l,0.197211435,0.044267915,0.059,0.017,1,,
AU022252,0.19721146,0.07592027,0.059,0.017,1,,
Ube2z,0.19721146,0.080706701,0.059,0.017,1,,
Jdp2,0.19721146,-0.027873631,0.059,0.017,1,,
Fahd1,0.19721146,-0.019850366,0.059,0.017,1,,
Gin1,0.197492514,0.06037498,0.085,0.034,1,,
Npat,0.197569246,-0.040497314,0.138,0.069,1,,
Banp,0.197581243,0.050129154,0.13,0.069,1,,
Sppl3,0.197808643,0.074069762,0.23,0.138,1,,
Coq2,0.197946,0.037661509,0.11,0.052,1,,
Hat1,0.198159085,0.095412235,0.084,0.034,1,,
Arhgef37,0.198169252,-0.579088655,0.024,0.052,1,,
Syt4,0.198491835,-0.748138776,0.161,0.207,1,,
Kiz,0.19864575,-0.040768787,0.11,0.052,1,,
Fam133b,0.198693646,-0.140982044,0.21,0.121,1,,
Gm14372,0.198741354,0.184479392,0.057,0.017,1,,
Sppl2a,0.198903927,0.081359864,0.134,0.069,1,,
Mark1,0.1989285,0.055208104,0.159,0.086,1,,
Phax,0.198950419,0.111846172,0.084,0.034,1,,
Traf6,0.199049436,0.109870221,0.107,0.052,1,,
Nisch,0.199060063,-0.506904311,0.333,0.345,1,,
Prag1,0.199510578,-0.409791992,0.063,0.103,1,,
ENSMUSG00000121205,0.199522903,-0.239563749,0.024,0.052,1,,
Nudc,0.199644119,-0.618261077,0.113,0.155,1,,
Glrx3,0.199675566,0.194498887,0.106,0.052,1,,
Gm1673,0.199908022,0.009075114,0.111,0.052,1,,
Plat,0.20017051,0.200849849,0.057,0.017,1,,
Pitpnc1,0.200232628,-0.787435831,0.109,0.155,1,,
Iglon5,0.200255608,0.212394334,0.056,0.017,1,,
Psmg2,0.200255621,0.228229309,0.056,0.017,1,,
Nlgn2,0.200292211,0.137719817,0.107,0.052,1,,
Pde1a,0.200380457,0.260152311,0.223,0.138,1,,
Ddx21,0.200409071,0.242926081,0.083,0.034,1,,
Dvl3,0.20064832,0.217397085,0.107,0.052,1,,
Erlin1,0.200738602,0.219047369,0.056,0.017,1,,
Suclg1,0.200834825,0.060491396,0.134,0.069,1,,
H13,0.201068531,0.162346358,0.156,0.086,1,,
Ankrd13a,0.201127439,0.177562218,0.057,0.017,1,,
Neo1,0.201155438,0.003765469,0.254,0.155,1,,
Mad2l2,0.201566027,-0.239862285,0.024,0.052,1,,
ENSMUSG00000120766,0.201566027,-0.162307193,0.024,0.052,1,,
Slc25a28,0.201738284,0.087372636,0.084,0.034,1,,
Polr2j,0.201752005,-0.470805802,0.05,0.086,1,,
Eef1akmt1,0.202017617,0.174761762,0.083,0.034,1,,
Tmem260,0.202080026,-0.116667837,0.159,0.086,1,,
5330439K02Rik,0.202087689,0.153739231,0.057,0.017,1,,
Csnk2b,0.202087702,0.180125485,0.057,0.017,1,,
Myo9b,0.202129659,0.056420715,0.134,0.069,1,,
Dot1l,0.202337257,-0.01362301,0.183,0.103,1,,
Mapk8ip3,0.202429902,-0.125596513,0.188,0.103,1,,
4930579G18Rik,0.202569085,0.178856581,0.057,0.017,1,,
Dennd11,0.202734035,-0.378563568,0.05,0.086,1,,
Rps5,0.20279604,0.1547879,0.13,0.069,1,,
Coq3,0.202825401,0.170571056,0.083,0.034,1,,
Sox5os2,0.202936559,-0.220159745,0.024,0.052,1,,
Ogfod1,0.202941733,0.099044061,0.084,0.034,1,,
Ptchd4,0.203025532,0.163172156,0.109,0.052,1,,
Pex3,0.20356752,0.087853092,0.132,0.069,1,,
Zbtb26,0.204018245,0.138658113,0.057,0.017,1,,
Rbks,0.204018245,0.139051286,0.057,0.017,1,,
Gemin5,0.204018245,0.143896816,0.057,0.017,1,,
Kifc2,0.204150456,0.090096988,0.084,0.034,1,,
Ttc9c,0.204150456,0.099460838,0.084,0.034,1,,
Pik3ca,0.204466856,-0.064161676,0.206,0.121,1,,
Cpsf2,0.204502958,0.145798939,0.057,0.017,1,,
Lrrc8c,0.204502971,0.1559543,0.057,0.017,1,,
Plpp3,0.204554516,0.065843186,0.084,0.034,1,,
Jade3,0.204554516,0.07893504,0.084,0.034,1,,
Rfc2,0.204633085,-0.464035118,0.051,0.086,1,,
Trappc4,0.204819604,0.027971111,0.109,0.052,1,,
Stk4,0.204855172,0.101317173,0.083,0.034,1,,
Rpgrip1l,0.204878289,-0.477961217,0.051,0.086,1,,
Nsf,0.204939946,0.048330603,0.435,0.276,1,,
Ncor1,0.204953989,-0.008738296,0.568,0.362,1,,
Tab1,0.205188353,-0.530725046,0.038,0.069,1,,
Stx1b,0.205338337,-0.084741145,0.156,0.086,1,,
Rpsa,0.205383074,-0.802884616,0.2,0.241,1,,
Rnf24,0.205383741,-0.087027524,0.11,0.052,1,,
Sorbs2os,0.205409387,0.146374178,0.251,0.155,1,,
B230206I08Rik,0.205474934,0.097850445,0.057,0.017,1,,
Faim,0.205615235,0.231292219,0.056,0.017,1,,
Wdfy2,0.205682444,0.175208519,0.107,0.052,1,,
Sbk1,0.205697961,-0.180593122,0.024,0.052,1,,
ENSMUSG00000121184,0.20596216,0.079683116,0.057,0.017,1,,
Gm11817,0.205962173,0.118309785,0.057,0.017,1,,
Rpap2,0.205962173,0.087450272,0.057,0.017,1,,
Irf2bpl,0.205962173,0.025868968,0.057,0.017,1,,
Clint1,0.206032125,-0.018537826,0.159,0.086,1,,
Klhl18,0.20645025,0.049954292,0.057,0.017,1,,
Spag6l,0.20645025,0.020373785,0.057,0.017,1,,
Carf,0.206489584,0.159729762,0.083,0.034,1,,
Tardbp,0.20651103,-0.14526107,0.24,0.138,1,,
Atg4b,0.206583545,0.014895311,0.084,0.034,1,,
Hyi,0.206600807,-0.451500141,0.051,0.086,1,,
Rptor,0.206951684,-0.167116529,0.254,0.155,1,,
Mex3c,0.20699108,-0.048874109,0.084,0.034,1,,
Nabp2,0.207093361,-0.626746429,0.08,0.121,1,,
Elof1,0.207094876,-0.541742968,0.051,0.086,1,,
Gm42441,0.207121339,0.136425424,0.027,0,1,,
Ubxn8,0.207121339,0.139027092,0.027,0,1,,
Gm3235,0.207121339,0.151443162,0.027,0,1,,
Tagap1,0.207121339,0.143761004,0.027,0,1,,
Ighmbp2,0.207121339,0.124451599,0.027,0,1,,
Ccdc115,0.207121367,0.136148518,0.027,0,1,,
9330175M20Rik,0.207121367,0.150765134,0.027,0,1,,
Sag,0.207121367,0.123762275,0.027,0,1,,
Gm32391,0.207121367,0.145453468,0.027,0,1,,
Pigm,0.207121367,0.147948906,0.027,0,1,,
Dusp10,0.207121367,0.159051683,0.027,0,1,,
Grin1os,0.207121367,0.119276541,0.027,0,1,,
Tnfaip6,0.207121367,0.142400766,0.027,0,1,,
Selenoh,0.207121367,0.17150877,0.027,0,1,,
Fahd2a,0.207121367,0.13416165,0.027,0,1,,
Ogfr,0.207121367,0.151011713,0.027,0,1,,
Rit1,0.207121367,0.153324297,0.027,0,1,,
Ndst4,0.207121367,0.146788742,0.027,0,1,,
Tyw3,0.207121367,0.140613673,0.027,0,1,,
Leprot,0.207121367,0.167327753,0.027,0,1,,
Zbtb8a,0.207121367,0.139126224,0.027,0,1,,
Abcb4,0.207121367,0.136181152,0.027,0,1,,
Selplg,0.207121367,0.156074303,0.027,0,1,,
P2rx4,0.207121367,0.134400333,0.027,0,1,,
Aacs,0.207121367,0.15906448,0.027,0,1,,
Ccdc126,0.207121367,0.128529845,0.027,0,1,,
