"","N1","N2","N3","N4","N5"
"0",301,282,302,281,328
"1",189,178,170,157,182
"2",109,115,77,101,79
"3",83,94,83,65,90
"4",85,86,76,65,69
"5",69,78,62,53,72
"6",16,29,21,22,24
"7",10,25,8,20,17
"8",11,28,12,15,13
"9",7,6,6,10,9
