"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Myo6",3.8575491161314e-12,0.298416897943887,0.474,0.315,1.34501165032154e-07,"2","Myo6"
"Ttc39c",3.89314317996792e-12,0.347931308620611,0.366,0.231,1.35742223255941e-07,"2","Ttc39c"
"Tmem164",4.35785572043562e-12,0.313793788121511,0.385,0.243,1.51945355404429e-07,"2","Tmem164"
"Sox51",4.91849248410917e-12,0.333598266031538,0.778,0.573,1.71493077443435e-07,"2","Sox5"
"1700111E14Rik",7.09022658815796e-12,0.323052251342375,0.609,0.459,2.47214930449304e-07,"2","1700111E14Rik"
"Atp1b1",7.499807964642e-12,0.282937519469922,0.975,0.941,2.61495804303173e-07,"2","Atp1b1"
"Osbpl9",1.16326371467355e-11,0.31094880771638,0.809,0.703,4.05595159395226e-07,"2","Osbpl9"
"Ncald",1.54574404620929e-11,0.293700953488062,0.705,0.574,5.38954576591793e-07,"2","Ncald"
"Ammecr1",1.60537225867143e-11,0.317750928711774,0.468,0.321,5.59745145430967e-07,"2","Ammecr1"
"Gm377351",1.67005118324359e-11,0.282210099282613,0.293,0.168,5.82296746061544e-07,"2","Gm37735"
"Hivep2",1.79913029213941e-11,0.262540629016395,0.938,0.902,6.27302758960248e-07,"2","Hivep2"
"Ankrd55",2.07230031909594e-11,0.296652933885455,0.501,0.342,7.22548952259181e-07,"2","Ankrd55"
"Tnr",2.54253142039564e-11,0.29658872631386,0.836,0.764,8.86504430349349e-07,"2","Tnr"
"Man2a1",2.63506759406162e-11,0.321795921402126,0.401,0.262,9.18769018021463e-07,"2","Man2a1"
"Lactb2",4.04380981524547e-11,0.267666319771372,0.301,0.177,1.40995516828164e-06,"2","Lactb2"
"Sgk11",4.79514349707714e-11,0.287784933940544,0.574,0.421,1.67192268312589e-06,"2","Sgk1"
"Pacrg",5.08144681495163e-11,0.340732955337262,0.545,0.409,1.77174806096918e-06,"2","Pacrg"
"Flt31",5.35624465991197e-11,0.318485179966392,0.401,0.266,1.86756182557151e-06,"2","Flt3"
"Chn21",6.40376439536484e-11,0.299564532742746,0.38,0.242,2.23280053173186e-06,"2","Chn2"
"Chchd31",6.72474722954225e-11,0.308049357035582,0.732,0.595,2.3447176165245e-06,"2","Chchd3"
"Ppm1e",6.88468907810008e-11,0.2848540380149,0.802,0.694,2.40048454086116e-06,"2","Ppm1e"
"Gpr1761",8.09609310143433e-11,0.315511989004023,0.64,0.504,2.82286478167711e-06,"2","Gpr176"
"Csmd2",9.95535427936145e-11,0.514217387534915,0.516,0.387,3.47113337658496e-06,"2","Csmd2"
"Inpp5j1",1.01663519380938e-10,0.252377864584033,0.31,0.183,3.54470193025518e-06,"2","Inpp5j"
