,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
48,Rplp1,6.53E-16,0.462965961,0.463,0.356,2.28E-11,4.75E-08,0.215971624,0.449,0.356,0.001657254,0
49,Rps10,7.50E-11,0.33585443,0.144,0.075,2.62E-06,5.40E-08,0.236935613,0.135,0.075,0.001883684,0
50,Rps14,4.54E-14,0.406711022,0.37,0.266,1.58E-09,8.32E-07,0.246835054,0.346,0.266,0.029022571,0
51,Rps2,2.94E-08,0.308160313,0.323,0.249,0.001024211,4.04E-09,0.214857463,0.351,0.249,0.000140828,0
52,Rps24,6.47E-17,0.483758803,0.4,0.282,2.26E-12,1.84E-07,0.22191328,0.375,0.282,0.006407231,0
53,Rps27a,2.91E-16,0.430665767,0.402,0.284,1.01E-11,5.46E-07,0.187451037,0.37,0.284,0.019046065,0
54,Rps3a1,7.21E-12,0.405087798,0.38,0.287,2.51E-07,3.39E-09,0.285280121,0.386,0.287,0.000118119,0
55,Rps4x,2.49E-14,0.423391257,0.307,0.202,8.69E-10,1.19E-06,0.220078774,0.275,0.202,0.041646568,0
56,Slc25a4,1.10E-29,0.478445042,0.744,0.645,3.83E-25,6.79E-09,0.227245417,0.723,0.645,0.000236827,0
57,Snhg11,3.19E-115,-0.476511371,0.949,0.987,1.11E-110,4.66E-46,-0.225967661,0.993,0.987,1.63E-41,1
58,Snrpn,5.62E-08,0.288443577,0.636,0.595,0.001958953,3.91E-07,0.239719498,0.671,0.595,0.013639502,0
59,Stmn3,5.83E-15,0.3482769,0.764,0.711,2.03E-10,6.22E-07,0.195137367,0.775,0.711,0.021690134,0
60,Tmsb4x,8.68E-56,0.753693121,0.746,0.559,3.03E-51,2.07E-08,0.2322193,0.65,0.559,0.000722775,0
61,Tpt1,7.84E-22,0.525116033,0.498,0.364,2.73E-17,5.44E-13,0.325970318,0.491,0.364,1.90E-08,0
62,Tspyl4,1.94E-22,0.475382671,0.658,0.575,6.78E-18,1.13E-15,0.350503197,0.681,0.575,3.93E-11,0
63,Tubb2a,2.55E-17,0.455210353,0.633,0.545,8.91E-13,5.30E-10,0.271631417,0.657,0.545,1.85E-05,0
64,Ubb,1.63E-40,0.619309517,0.721,0.553,5.68E-36,2.55E-09,0.240478532,0.655,0.553,8.89E-05,0
65,Ywhab,5.75E-15,0.376668511,0.482,0.379,2.00E-10,5.20E-09,0.21282856,0.486,0.379,0.000181367,0
