,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
202,Fgf12,3.14E-105,-0.281771824,0.947,0.978,1.09E-100,1.67E-12,-0.081433731,0.936,0.978,5.82E-08,0
203,Fmn1,3.08E-35,-0.218209046,0.334,0.443,1.07E-30,7.38E-10,-0.075181229,0.386,0.443,2.57E-05,0
204,Fndc3b,1.92E-11,-0.09603099,0.289,0.346,6.69E-07,8.51E-09,-0.092128248,0.304,0.346,0.00029678,0
205,Fntb,2.00E-12,-0.125842984,0.331,0.39,6.96E-08,2.86E-07,-0.099115466,0.355,0.39,0.009971951,1
206,Fos,1.44E-38,0.196498721,0.101,0.042,5.01E-34,2.84E-19,-0.068919335,0.013,0.042,9.91E-15,3
207,Fosl2,6.75E-08,0.060170027,0.053,0.034,0.002354659,8.85E-13,-0.048214064,0.013,0.034,3.09E-08,1
208,Foxo3,2.38E-10,-0.10447386,0.211,0.259,8.32E-06,9.61E-07,-0.103102511,0.226,0.259,0.033513668,0
209,Fras1,1.94E-20,-0.186873413,0.375,0.458,6.78E-16,5.78E-07,-0.12272535,0.416,0.458,0.020160639,0
210,Frmd4a,2.55E-53,-0.213955582,0.895,0.943,8.90E-49,7.39E-08,-0.041818084,0.905,0.943,0.002575055,0
211,Frmd5,2.82E-42,-0.242245357,0.664,0.761,9.84E-38,2.97E-11,-0.10282331,0.716,0.761,1.04E-06,0
212,Fscn1,6.57E-10,0.136797411,0.19,0.151,2.29E-05,1.31E-06,-0.06467298,0.121,0.151,0.045684609,0
213,Fth1,0,0.847968549,0.906,0.759,0,2.16E-38,0.386901918,0.823,0.759,7.53E-34,0
214,Fut9,1.44E-11,0.1573816,0.839,0.836,5.01E-07,1.73E-10,0.187479479,0.833,0.836,6.05E-06,0
215,Gapdh,0,0.910754102,0.857,0.664,0,5.08E-58,0.491355451,0.764,0.664,1.77E-53,0
216,Gclc,6.22E-07,-0.061338468,0.188,0.225,0.021701786,2.61E-07,-0.089814058,0.19,0.225,0.009112628,0
217,Gdpd5,1.15E-07,-0.072190357,0.102,0.133,0.003998841,1.60E-09,-0.103648205,0.098,0.133,5.58E-05,0
218,Gfpt2,8.39E-15,-0.044956059,0.018,0.042,2.93E-10,1.91E-08,-0.041462104,0.023,0.042,0.000664399,0
219,Gins2,2.26E-22,0.118722108,0.118,0.067,7.87E-18,1.59E-07,0.04621283,0.095,0.067,0.005527803,0
220,Git2,3.22E-13,-0.113635972,0.182,0.235,1.12E-08,7.36E-07,-0.082473365,0.2,0.235,0.025676679,0
221,Gm10130,2.90E-08,0.085065093,0.117,0.088,0.001010082,4.15E-08,0.065460809,0.12,0.088,0.001446618,0
222,Gm10848,2.22E-27,0.218113297,0.146,0.087,7.75E-23,7.84E-11,0.119474193,0.124,0.087,2.73E-06,0
223,Gm11290,1.41E-18,0.158401469,0.108,0.065,4.93E-14,3.19E-12,-0.083676839,0.036,0.065,1.11E-07,0
224,Gm12394,2.11E-07,-0.081418281,0.638,0.69,0.007354446,9.36E-12,0.172499912,0.723,0.69,3.26E-07,0
225,Gm13269,3.60E-08,0.139442177,0.281,0.245,0.001255941,2.78E-09,0.118940785,0.295,0.245,9.70E-05,0
226,Gm15398,2.19E-08,0.233945203,0.506,0.476,0.000765304,5.54E-18,0.252700245,0.544,0.476,1.93E-13,0
227,Gm15414,1.02E-23,0.197752554,0.315,0.242,3.55E-19,2.20E-08,0.089375012,0.291,0.242,0.000766133,0
228,Gm15425,5.51E-09,0.083565004,0.129,0.097,0.000192288,2.83E-07,0.058277426,0.129,0.097,0.009854202,0
229,Gm15680,1.51E-08,-0.140450481,0.216,0.257,0.000525547,4.11E-09,0.161881547,0.305,0.257,0.000143203,0
230,Gm16204,7.21E-28,-0.11511697,0.054,0.107,2.51E-23,1.34E-19,-0.111224183,0.06,0.107,4.69E-15,0
231,Gm16599,8.77E-22,-0.273154167,0.337,0.412,3.06E-17,1.38E-17,-0.271612301,0.348,0.412,4.80E-13,0
232,Gm20752,8.95E-119,-0.460702181,0.051,0.18,3.12E-114,2.42E-41,-0.289790619,0.093,0.18,8.45E-37,0
233,Gm26691,1.39E-26,-0.21953894,0.249,0.33,4.85E-22,4.77E-08,0.116970314,0.383,0.33,0.001663672,0
234,Gm26911,2.74E-18,-0.12887918,0.148,0.207,9.55E-14,3.97E-10,-0.09356339,0.163,0.207,1.39E-05,0
235,Gm27032,4.79E-64,-0.272364552,0.361,0.511,1.67E-59,7.78E-15,-0.135727093,0.448,0.511,2.71E-10,0
236,Gm2824,4.75E-12,-0.124234333,0.292,0.348,1.66E-07,3.44E-10,0.13104734,0.408,0.348,1.20E-05,0
237,Gm30313,9.42E-15,-0.038336771,0.008,0.025,3.29E-10,1.23E-06,-0.026116365,0.012,0.025,0.042732304,0
238,Gm32442,9.00E-11,-0.093762473,0.141,0.184,3.14E-06,7.56E-07,0.10692834,0.22,0.184,0.026360645,0
239,Gm32880,5.18E-14,0.074035142,0.066,0.036,1.81E-09,6.46E-07,0.044209273,0.056,0.036,0.022515424,0
240,Gm33228,6.63E-77,-0.382867355,0.306,0.459,2.31E-72,1.07E-10,-0.145927512,0.409,0.459,3.73E-06,0
241,Gm34237,1.21E-131,-0.305084077,0.047,0.185,4.21E-127,7.00E-35,-0.186923757,0.104,0.185,2.44E-30,0
242,Gm3728,3.74E-19,-0.02670055,0.001,0.016,1.30E-14,3.87E-09,-0.021726503,0.004,0.016,0.000135066,0
243,Gm37340,1.85E-97,-0.395253524,0.527,0.692,6.46E-93,8.73E-17,-0.150909091,0.624,0.692,3.05E-12,0
244,Gm37407,5.23E-19,-0.139381312,0.221,0.292,1.82E-14,2.36E-08,-0.110534912,0.251,0.292,0.000823041,0
245,Gm39326,7.25E-07,-0.054632589,0.086,0.113,0.02529467,1.30E-06,-0.069139401,0.086,0.113,0.045471235,0
246,Gm41231,2.91E-09,-0.030581171,0.007,0.019,0.000101394,2.28E-08,-0.035685831,0.007,0.019,0.000794178,0
247,Gm41505,4.14E-25,0.235335267,0.391,0.315,1.44E-20,1.66E-08,0.137367856,0.369,0.315,0.000577143,0
248,Gm42439,8.94E-56,0.380554216,0.532,0.425,3.12E-51,3.66E-18,0.251863172,0.49,0.425,1.28E-13,0
249,Gm42993,4.49E-07,0.080753715,0.126,0.099,0.015658317,5.40E-07,0.072186739,0.129,0.099,0.018810978,0
250,Gm43192,2.20E-14,-0.067598692,0.076,0.118,7.67E-10,9.45E-07,0.094746662,0.15,0.118,0.032952444,0
251,Gm43507,1.63E-31,0.221635561,0.321,0.233,5.68E-27,2.55E-17,0.185863528,0.305,0.233,8.89E-13,0
252,Gm43670,7.40E-96,-0.415435325,0.38,0.547,2.58E-91,1.27E-40,-0.284267064,0.445,0.547,4.43E-36,0
253,Gm43684,2.60E-08,-0.032896207,0.025,0.043,0.000904874,3.37E-09,-0.036448007,0.023,0.043,0.000117371,0
254,Gm45153,9.73E-09,-0.081241655,0.134,0.171,0.000339186,4.84E-07,-0.076620491,0.139,0.171,0.016892955,0
255,Gm47155,9.96E-17,0.089235411,0.084,0.048,3.47E-12,7.80E-08,0.056273659,0.072,0.048,0.002719577,0
256,Gm47283,7.24E-103,0.285620496,0.124,0.023,2.52E-98,0,0.645052843,0.286,0.023,0,0
257,Gm47423,1.30E-14,-0.099606719,0.254,0.322,4.54E-10,1.38E-54,-0.348331922,0.202,0.322,4.82E-50,0
258,Gm48006,4.78E-27,0.154480574,0.139,0.08,1.67E-22,4.87E-14,0.087105401,0.124,0.08,1.70E-09,0
259,Gm48512,5.49E-09,-0.076333535,0.412,0.47,0.00019157,1.07E-14,-0.139849198,0.409,0.47,3.72E-10,0
260,Gm49334,2.54E-10,0.045431211,0.04,0.02,8.87E-06,1.05E-07,0.038144552,0.037,0.02,0.003665581,0
261,Gm49678,1.09E-23,-0.235950114,0.428,0.511,3.81E-19,1.94E-07,-0.084887875,0.47,0.511,0.006779009,0
262,Gm50469,2.71E-09,0.046785105,0.045,0.026,9.46E-05,2.10E-09,0.047239345,0.047,0.026,7.33E-05,0
263,Gm55122,2.52E-09,-0.107409137,0.734,0.778,8.80E-05,3.96E-14,0.191916976,0.791,0.778,1.38E-09,0
264,Gmcl1,4.78E-14,-0.11846823,0.387,0.457,1.67E-09,1.59E-07,-0.094182827,0.422,0.457,0.005532505,0
265,Gng3,1.06E-38,0.321248494,0.439,0.341,3.68E-34,7.75E-07,0.165953325,0.387,0.341,0.027022869,0
266,Golga4,2.78E-32,-0.187227675,0.363,0.466,9.68E-28,1.07E-12,-0.123527851,0.41,0.466,3.71E-08,0
267,Gpm6a,4.22E-35,0.221344147,0.895,0.883,1.47E-30,1.40E-35,0.250074049,0.89,0.883,4.89E-31,0
268,Grb14,6.92E-18,0.211641228,0.342,0.281,2.41E-13,4.96E-07,0.128497181,0.32,0.281,0.017309348,0
269,Gria1,6.16E-31,0.219393887,0.898,0.896,2.15E-26,1.01E-23,0.237509034,0.892,0.896,3.52E-19,0
270,Gria2,3.36E-16,-0.081695869,0.979,0.992,1.17E-11,2.28E-09,-0.057513906,0.974,0.992,7.95E-05,0
271,Grik5,2.35E-27,-0.182705174,0.473,0.567,8.18E-23,7.73E-08,-0.098865322,0.532,0.567,0.00269647,1
272,Grin1,3.34E-80,-0.279919122,0.802,0.88,1.17E-75,2.24E-12,-0.09000582,0.838,0.88,7.80E-08,0
273,Grm1,2.10E-38,0.390818149,0.574,0.498,7.32E-34,2.59E-21,0.334850267,0.556,0.498,9.04E-17,0
274,Grm3,6.66E-36,-0.224786606,0.722,0.803,2.32E-31,3.65E-08,-0.105436499,0.77,0.803,0.00127099,1
275,Grm5,2.83E-28,0.186844248,0.94,0.955,9.88E-24,2.32E-27,0.2202024,0.93,0.955,8.09E-23,0
276,Gstm5,3.52E-27,0.195747271,0.152,0.09,1.23E-22,2.89E-08,0.153170328,0.122,0.09,0.001008795,0
277,Gtf2i,8.83E-11,-0.087335702,0.481,0.545,3.08E-06,1.73E-13,-0.105669233,0.488,0.545,6.02E-09,0
278,H3f3b,2.07E-37,0.330977536,0.55,0.468,7.21E-33,1.10E-12,0.210937126,0.531,0.468,3.83E-08,1
279,Has1,5.48E-07,0.044398282,0.066,0.045,0.01911815,5.24E-07,0.039394741,0.068,0.045,0.018279695,0
280,Hdac4,1.01E-06,-0.048647689,0.408,0.46,0.035315961,9.41E-11,-0.091842362,0.406,0.46,3.28E-06,1
281,Hectd4,1.82E-09,-0.076996596,0.529,0.593,6.36E-05,4.29E-09,-0.077874213,0.548,0.593,0.000149496,0
282,Hecw2,3.58E-160,-0.416257885,0.825,0.913,1.25E-155,1.54E-93,-0.328742783,0.841,0.913,5.35E-89,0
283,Hipk3,9.70E-07,-0.074610959,0.299,0.342,0.033830157,3.13E-09,-0.110453491,0.298,0.342,0.000109249,0
284,Hnrnph1,2.00E-30,0.260148311,0.569,0.504,6.96E-26,3.07E-07,0.153070342,0.548,0.504,0.01072069,1
285,Hnrnpl,3.19E-08,-0.054074031,0.346,0.399,0.001112583,3.28E-08,-0.061474045,0.355,0.399,0.001144864,0
286,Hnrnpu,2.47E-26,-0.143391259,0.739,0.807,8.61E-22,1.23E-10,-0.09029838,0.77,0.807,4.28E-06,0
287,Homer1,6.33E-71,0.455211262,0.785,0.738,2.21E-66,5.21E-28,-0.249094654,0.68,0.738,1.82E-23,1
288,Hprt,9.55E-09,0.16117579,0.321,0.284,0.000332989,2.97E-08,0.141611172,0.334,0.284,0.001035206,0
289,Hs2st1,1.28E-18,-0.128060177,0.549,0.623,4.47E-14,1.54E-11,-0.084260363,0.574,0.623,5.38E-07,0
290,Hs6st3,3.39E-57,-0.501178326,0.647,0.737,1.18E-52,2.16E-21,-0.260970179,0.67,0.737,7.55E-17,0
291,Hsp90aa1,4.51E-201,0.687401754,0.785,0.637,1.57E-196,1.67E-09,0.246529415,0.669,0.637,5.82E-05,0
292,Hsp90ab1,0,0.884319311,0.924,0.818,0,1.75E-14,0.273842086,0.834,0.818,6.10E-10,0
293,Hunk,4.21E-73,-0.234815539,0.085,0.197,1.47E-68,1.72E-23,-0.153745643,0.128,0.197,6.00E-19,2
294,Ica1,6.63E-20,-0.15188711,0.624,0.695,2.31E-15,1.04E-09,-0.102523611,0.655,0.695,3.63E-05,0
295,Ier2,4.73E-07,0.049310613,0.055,0.036,0.016497294,1.11E-08,-0.044703292,0.018,0.036,0.000385719,0
296,Iffo1,1.67E-15,-0.112131534,0.221,0.284,5.84E-11,1.80E-08,-0.09637364,0.242,0.284,0.000626577,0
297,Ifrd1,2.85E-10,-0.079368547,0.279,0.335,9.94E-06,8.01E-21,-0.152678049,0.262,0.335,2.79E-16,0
298,Igfn1,3.05E-15,-0.082446898,0.055,0.092,1.06E-10,1.61E-09,-0.07150186,0.061,0.092,5.62E-05,0
299,Ina,2.80E-08,0.173093445,0.344,0.304,0.00097647,8.74E-13,-0.117323037,0.251,0.304,3.05E-08,0
300,Ino80,9.64E-21,-0.14731981,0.397,0.477,3.36E-16,6.71E-07,-0.068833785,0.442,0.477,0.023409331,1
301,Iqsec1,8.14E-27,-0.170499621,0.668,0.751,2.84E-22,1.34E-16,-0.125870025,0.691,0.751,4.67E-12,1
302,Itga8,4.59E-24,0.244009833,0.291,0.219,1.60E-19,2.10E-38,0.317594099,0.324,0.219,7.34E-34,1
303,Itgav,6.07E-09,-0.064959754,0.206,0.251,0.000211739,3.59E-16,-0.133118357,0.19,0.251,1.25E-11,0
304,Itm2b,1.21E-84,0.420894598,0.717,0.611,4.23E-80,1.61E-12,0.273518835,0.663,0.611,5.60E-08,0
305,Jag2,7.71E-11,-0.072855803,0.104,0.143,2.69E-06,1.37E-06,-0.065128132,0.114,0.143,0.047886194,0
306,Jakmip1,8.38E-10,-0.073687556,0.289,0.343,2.92E-05,1.06E-06,-0.067176091,0.308,0.343,0.036872028,0
307,Jakmip2,2.37E-28,-0.165523371,0.639,0.723,8.26E-24,6.21E-11,-0.095337553,0.685,0.723,2.16E-06,0
308,Jakmip3,4.92E-17,-0.136495604,0.381,0.455,1.72E-12,7.45E-11,-0.115504258,0.407,0.455,2.60E-06,0
309,Junb,1.05E-58,0.372650174,0.259,0.148,3.68E-54,2.12E-24,-0.162018524,0.086,0.148,7.40E-20,1
310,Kalrn,5.77E-58,-0.184912077,0.949,0.979,2.01E-53,5.45E-40,-0.152970837,0.937,0.979,1.90E-35,1
311,Kat6b,5.10E-13,-0.105407383,0.58,0.653,1.78E-08,4.61E-07,-0.064962593,0.607,0.653,0.01605773,0
312,Kcnd2,2.35E-70,-0.212163344,0.947,0.975,8.19E-66,1.65E-11,-0.07610773,0.932,0.975,5.75E-07,0
313,Kcnh1,3.30E-44,-0.24475465,0.606,0.712,1.15E-39,3.91E-22,-0.180283092,0.655,0.712,1.36E-17,0
314,Kcnh7,1.17E-46,-0.190790989,0.942,0.972,4.08E-42,2.32E-08,0.120257893,0.944,0.972,0.000808374,0
315,Kcnma1,6.77E-151,-0.315333235,0.946,0.976,2.36E-146,4.06E-163,-0.335290459,0.931,0.976,1.41E-158,0
316,Khdrbs2,3.97E-28,0.228777019,0.813,0.789,1.38E-23,1.08E-25,0.260529762,0.811,0.789,3.77E-21,0
317,Klf10,2.89E-10,-0.086616016,0.205,0.255,1.01E-05,3.96E-59,-0.276870619,0.137,0.255,1.38E-54,0
318,Klhl29,1.46E-10,-0.087281287,0.756,0.809,5.07E-06,3.24E-18,-0.120081028,0.746,0.809,1.13E-13,0
319,Kmt2a,9.07E-15,0.167376066,0.718,0.696,3.16E-10,1.75E-09,-0.085074413,0.658,0.696,6.09E-05,0
320,Ksr2,3.84E-14,-0.104355342,0.676,0.742,1.34E-09,8.22E-08,-0.059119686,0.695,0.742,0.002865001,0
321,Ktn1,3.97E-11,-0.096490601,0.65,0.7,1.38E-06,2.36E-15,-0.114123196,0.651,0.7,8.24E-11,0
322,Lars2,3.02E-09,-0.030566644,0.28,0.333,0.000105453,4.09E-12,-0.071859593,0.277,0.333,1.43E-07,0
323,Ldb2,8.61E-52,0.296724771,0.779,0.718,3.00E-47,7.44E-27,0.260445808,0.769,0.718,2.59E-22,0
324,Ldlr,5.47E-11,-0.072065657,0.069,0.101,1.91E-06,1.79E-11,-0.086626716,0.067,0.101,6.23E-07,1
325,Lepr,1.65E-16,-0.069832938,0.033,0.065,5.74E-12,1.15E-07,-0.056812299,0.043,0.065,0.004024193,0
326,Lgi2,4.40E-24,-0.088486082,0.066,0.119,1.54E-19,2.06E-16,-0.073862775,0.073,0.119,7.19E-12,0
327,Lingo1,1.35E-06,0.128340334,0.633,0.627,0.047138554,4.04E-08,-0.081158743,0.594,0.627,0.001409587,0
328,Lmo4,1.61E-55,0.334173547,0.785,0.74,5.62E-51,2.15E-37,0.283275694,0.786,0.74,7.49E-33,1
329,Lmtk2,2.52E-27,-0.170792977,0.547,0.634,8.80E-23,8.56E-18,-0.135453725,0.573,0.634,2.99E-13,0
330,Lncpint,6.59E-14,-0.126790504,0.801,0.857,2.30E-09,2.76E-11,-0.088978056,0.799,0.857,9.64E-07,0
331,Lrp1b,1.17E-17,-0.168515663,0.934,0.968,4.07E-13,3.01E-19,0.211771345,0.938,0.968,1.05E-14,0
332,Lrp8os2,1.71E-07,-0.048901259,0.08,0.107,0.005973945,4.20E-08,-0.073569721,0.078,0.107,0.001465165,0
333,Lrrc8b,1.89E-07,-0.074583002,0.397,0.449,0.006581298,7.62E-10,-0.10652184,0.401,0.449,2.66E-05,0
334,Lrrfip2,6.69E-09,-0.097362128,0.321,0.37,0.000233399,3.64E-08,-0.102626689,0.333,0.37,0.001270189,0
335,Lrrtm4,3.55E-33,-0.34907464,0.868,0.89,1.24E-28,1.52E-09,-0.157593386,0.852,0.89,5.30E-05,0
336,Luc7l3,2.65E-30,-0.16171904,0.587,0.687,9.25E-26,2.35E-17,-0.126297085,0.624,0.687,8.18E-13,0
337,Ly6h,1.49E-78,0.446548786,0.696,0.592,5.19E-74,9.28E-09,0.1919254,0.631,0.592,0.00032352,0
338,Macf1,2.30E-25,-0.148400388,0.88,0.925,8.03E-21,2.70E-12,-0.084447404,0.882,0.925,9.43E-08,0
339,Macrod2,7.10E-10,-0.081374946,0.947,0.976,2.48E-05,1.22E-14,0.117310429,0.941,0.976,4.26E-10,0
340,Macrod2os1,1.97E-07,0.12305993,0.443,0.411,0.00685977,1.43E-19,0.1875701,0.488,0.411,4.99E-15,0
341,Madd,1.21E-13,-0.115232346,0.469,0.538,4.20E-09,2.51E-19,-0.15949611,0.473,0.538,8.75E-15,0
342,Magi2,4.36E-09,-0.074805538,0.952,0.977,0.000151957,1.15E-06,0.064870614,0.935,0.977,0.040224577,0
343,Malat1,4.77E-17,-0.075667982,1,1,1.66E-12,3.24E-39,-0.131837621,1,1,1.13E-34,0
344,Map1b,3.65E-20,0.183846438,0.906,0.912,1.27E-15,1.38E-13,-0.089396818,0.87,0.912,4.80E-09,0
345,Map3k5,2.10E-14,-0.131013432,0.401,0.469,7.33E-10,2.82E-15,-0.135094543,0.41,0.469,9.85E-11,0
346,Mapkapk2,4.92E-13,-0.078736456,0.088,0.129,1.71E-08,2.46E-07,-0.070114377,0.099,0.129,0.008583499,0
347,Mapt,6.43E-23,-0.120130905,0.844,0.892,2.24E-18,1.67E-15,-0.099676431,0.856,0.892,5.81E-11,0
348,Mark1,8.39E-16,-0.105459947,0.468,0.542,2.93E-11,5.67E-15,-0.14225583,0.485,0.542,1.98E-10,0
349,Mast3,5.32E-17,0.198300858,0.606,0.564,1.86E-12,8.41E-32,-0.219361903,0.478,0.564,2.93E-27,0
350,Mast4,1.19E-80,-0.313760988,0.804,0.883,4.15E-76,3.57E-19,-0.135737128,0.842,0.883,1.24E-14,0
351,Matn2,2.84E-21,0.197132539,0.211,0.15,9.91E-17,4.57E-18,0.160998369,0.213,0.15,1.59E-13,0
352,Mdh2,1.05E-52,0.348948734,0.422,0.307,3.65E-48,1.32E-06,0.182675566,0.35,0.307,0.045867692,0
353,Meg3,1.55E-91,-0.171304225,0.985,0.997,5.41E-87,1.06E-68,-0.16542174,0.989,0.997,3.69E-64,0
354,Meis2,7.88E-19,0.244578046,0.71,0.681,2.75E-14,2.76E-07,0.174560579,0.698,0.681,0.009626773,0
355,Mfsd4a,2.04E-25,-0.153074425,0.289,0.379,7.10E-21,9.66E-16,-0.145481551,0.318,0.379,3.37E-11,1
356,Miat,6.66E-41,-0.207602036,0.659,0.761,2.32E-36,6.72E-32,-0.198206812,0.687,0.761,2.34E-27,0
357,Mical3,3.04E-42,-0.226030056,0.665,0.756,1.06E-37,7.96E-16,-0.114103486,0.703,0.756,2.78E-11,1
358,Mif,1.66E-73,0.423368056,0.341,0.202,5.78E-69,3.06E-11,0.166090809,0.257,0.202,1.07E-06,0
359,Mir6236,1.46E-28,-0.106576888,0.285,0.379,5.09E-24,1.78E-46,-0.157972798,0.258,0.379,6.21E-42,0
360,Mir9-3hg,4.43E-09,-0.072459757,0.409,0.465,0.00015437,6.28E-15,-0.121806796,0.404,0.465,2.19E-10,1
361,Mkln1os,3.10E-10,0.109964507,0.249,0.206,1.08E-05,2.01E-15,0.134321944,0.271,0.206,7.00E-11,0
362,Mkx,6.38E-32,-0.237638042,0.427,0.52,2.22E-27,6.43E-07,-0.081981741,0.483,0.52,0.022404651,0
363,Mlip,4.91E-62,-0.306894231,0.534,0.661,1.71E-57,3.71E-14,-0.12837506,0.604,0.661,1.30E-09,0
364,Mms19,1.06E-20,-0.132160785,0.147,0.212,3.69E-16,3.26E-11,-0.105400149,0.166,0.212,1.14E-06,0
365,Mrtfa,4.10E-17,-0.117148966,0.417,0.495,1.43E-12,1.13E-08,-0.089801124,0.451,0.495,0.000394397,0
366,mt-Co2,4.85E-17,0.104095602,0.081,0.044,1.69E-12,4.78E-07,0.04973113,0.066,0.044,0.016682605,0
367,mt-Rnr1,5.17E-99,0.602658761,0.81,0.75,1.80E-94,9.38E-14,-0.208909116,0.709,0.75,3.27E-09,0
368,Mt3,3.79E-39,0.313263097,0.317,0.218,1.32E-34,2.84E-08,0.181967409,0.263,0.218,0.000989623,0
369,Mtcl1,6.07E-26,-0.180335564,0.437,0.536,2.11E-21,2.11E-11,-0.113307359,0.483,0.536,7.35E-07,0
370,Mthfr,5.68E-21,-0.099810971,0.109,0.167,1.98E-16,6.35E-08,-0.06981597,0.132,0.167,0.002213038,1
371,Mtmr12,4.10E-10,-0.090257809,0.399,0.461,1.43E-05,7.12E-10,-0.106806847,0.415,0.461,2.48E-05,0
372,Mtus2,1.55E-26,-0.16781878,0.534,0.624,5.41E-22,2.30E-14,-0.119019259,0.57,0.624,8.02E-10,0
373,Myo16,1.08E-93,-0.4515034,0.327,0.491,3.77E-89,9.80E-14,-0.15689936,0.434,0.491,3.42E-09,1
374,Myo1b,3.55E-57,-0.272712656,0.164,0.282,1.24E-52,1.28E-23,-0.165333153,0.204,0.282,4.46E-19,0
375,Myt1l,4.50E-17,0.127783764,0.915,0.928,1.57E-12,4.28E-31,0.183534977,0.909,0.928,1.49E-26,0
376,Nagk,5.72E-14,-0.115872825,0.215,0.274,1.99E-09,1.12E-08,-0.111549933,0.232,0.274,0.000389205,0
377,Nalf1,2.89E-19,0.154942863,0.943,0.965,1.01E-14,1.49E-15,0.175311659,0.936,0.965,5.20E-11,0
378,Nav2,6.69E-57,-0.233299217,0.868,0.927,2.33E-52,1.30E-08,-0.078279214,0.883,0.927,0.000452042,0
379,Nav3,0,-0.533993291,0.953,0.983,0,4.01E-107,-0.240023936,0.947,0.983,1.40E-102,0
380,Ncapd3,8.65E-43,-0.21135826,0.269,0.383,3.02E-38,1.95E-09,-0.09340586,0.338,0.383,6.81E-05,0
381,Ncoa2,4.02E-19,-0.151159387,0.553,0.631,1.40E-14,1.67E-07,-0.071874332,0.59,0.631,0.005838245,0
382,Ncoa7,1.42E-08,0.124993056,0.675,0.657,0.00049472,1.07E-08,0.13059105,0.688,0.657,0.000372832,0
383,Ndst3,5.38E-19,0.196729886,0.548,0.489,1.87E-14,5.82E-24,0.25442864,0.569,0.489,2.03E-19,0
384,Ndufa11,4.09E-45,0.298330144,0.28,0.177,1.43E-40,1.03E-06,0.165927076,0.216,0.177,0.035758587,0
385,Ndufa13,1.70E-56,0.364628868,0.334,0.214,5.93E-52,1.94E-17,0.243856052,0.284,0.214,6.75E-13,0
386,Ndufa4,9.27E-91,0.483901361,0.485,0.325,3.23E-86,2.09E-11,0.286421683,0.384,0.325,7.29E-07,0
387,Ndufa7,2.25E-19,0.189997672,0.186,0.129,7.83E-15,1.12E-08,0.147008936,0.17,0.129,0.000390973,0
388,Ndufa8,7.37E-40,0.2962204,0.249,0.157,2.57E-35,9.70E-09,0.146566386,0.199,0.157,0.000338302,0
389,Ndufab1,3.10E-39,0.330438253,0.238,0.149,1.08E-34,1.84E-07,0.162897213,0.186,0.149,0.006415775,0
390,Ndufb10,2.64E-40,0.30618672,0.312,0.216,9.19E-36,5.93E-08,0.165153098,0.259,0.216,0.002067127,0
391,Ndufb11,7.08E-40,0.262706961,0.197,0.112,2.47E-35,7.50E-09,0.183590225,0.149,0.112,0.000261569,0
392,Ndufb3,3.80E-23,0.226600851,0.313,0.24,1.32E-18,1.25E-06,0.130161803,0.284,0.24,0.043705735,0
393,Ndufb7,4.77E-56,0.286306263,0.246,0.137,1.66E-51,3.50E-07,0.127607899,0.172,0.137,0.012200483,0
394,Ndufb9,6.85E-67,0.384587537,0.368,0.235,2.39E-62,1.08E-10,0.20869116,0.288,0.235,3.75E-06,0
395,Ndufc2,1.29E-48,0.33857056,0.325,0.215,4.50E-44,2.13E-08,0.190532135,0.261,0.215,0.000743404,0
396,Ndufs7,2.65E-62,0.35731642,0.312,0.188,9.24E-58,7.94E-12,0.21218782,0.241,0.188,2.77E-07,0
397,Necab3,1.24E-06,-0.069957333,0.255,0.293,0.043072975,2.55E-13,-0.134225672,0.24,0.293,8.90E-09,0
398,Nell1,1.92E-55,-0.462319411,0.348,0.469,6.70E-51,5.59E-22,-0.277255702,0.392,0.469,1.95E-17,0
399,Nell1os,2.87E-51,-0.244039384,0.103,0.198,1.00E-46,2.46E-32,-0.210751907,0.118,0.198,8.58E-28,0
400,Nfasc,2.27E-11,-0.106595545,0.593,0.654,7.93E-07,1.92E-09,-0.086994719,0.62,0.654,6.70E-05,0
401,Ngef,4.97E-10,-0.048348765,0.42,0.483,1.73E-05,1.22E-16,-0.120770612,0.415,0.483,4.27E-12,0
402,Nin,6.42E-16,-0.134175332,0.567,0.635,2.24E-11,2.96E-15,-0.119795872,0.571,0.635,1.03E-10,0
403,Nipa1,7.63E-16,-0.108208452,0.287,0.356,2.66E-11,3.45E-08,-0.111825501,0.318,0.356,0.001204157,0
404,Nkain3,4.57E-15,0.183355287,0.285,0.225,1.59E-10,1.14E-26,0.235707011,0.316,0.225,3.97E-22,0
405,Nlk,1.64E-07,-0.062747968,0.794,0.834,0.005720613,1.98E-18,-0.131132525,0.787,0.834,6.92E-14,0
406,Nln,1.39E-33,-0.192534259,0.257,0.357,4.84E-29,7.06E-08,-0.08379051,0.314,0.357,0.002460498,1
407,Nme1,2.11E-83,0.470336385,0.407,0.258,7.36E-79,3.71E-10,0.214364913,0.312,0.258,1.29E-05,0
408,Npas2,1.83E-16,-0.160795783,0.522,0.588,6.38E-12,8.62E-09,-0.115905594,0.546,0.588,0.000300463,0
409,Npas4,2.03E-10,0.148352935,0.124,0.09,7.09E-06,5.61E-22,-0.151809092,0.045,0.09,1.96E-17,1
410,Nploc4,1.04E-12,-0.092521543,0.23,0.288,3.62E-08,4.94E-09,-0.086391281,0.244,0.288,0.000172226,1
