,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
41,Arhgap23,1.14E-06,-0.068727866,0.272,0.314,0.039910838,5.66E-10,-0.107938015,0.268,0.314,1.97E-05,0
42,Arhgap26,6.67E-85,0.3171089,0.217,0.092,2.32E-80,1.40E-47,0.267506164,0.185,0.092,4.89E-43,0
43,Arhgap29,1.81E-21,-0.087699563,0.062,0.11,6.30E-17,8.28E-09,-0.059389859,0.078,0.11,0.000288561,0
44,Arhgap42,1.15E-52,-0.247213727,0.21,0.329,4.02E-48,7.39E-10,-0.108047666,0.282,0.329,2.58E-05,0
45,Arhgap44,3.42E-32,-0.19585603,0.456,0.552,1.19E-27,4.88E-10,-0.081064648,0.509,0.552,1.70E-05,1
46,Arid1b,2.31E-22,-0.152092753,0.594,0.679,8.04E-18,2.31E-18,-0.140127381,0.624,0.679,8.06E-14,0
47,Arid5b,7.34E-23,0.229054535,0.59,0.538,2.56E-18,3.46E-10,0.181518355,0.58,0.538,1.21E-05,0
48,Arl6ip1,1.03E-137,0.584674688,0.626,0.449,3.58E-133,1.28E-11,0.221592616,0.514,0.449,4.46E-07,0
49,Arnt2,3.85E-37,-0.208632522,0.493,0.596,1.34E-32,6.10E-07,-0.065349798,0.559,0.596,0.02125514,1
50,Arntl,3.64E-23,-0.168092077,0.321,0.405,1.27E-18,2.56E-15,-0.16147485,0.346,0.405,8.91E-11,0
51,Arpp21,1.35E-25,-0.130077392,0.963,0.983,4.71E-21,1.91E-20,-0.111730884,0.947,0.983,6.67E-16,0
52,Arr3,6.29E-29,-0.106315507,0.03,0.073,2.19E-24,6.86E-14,-0.087876053,0.04,0.073,2.39E-09,0
53,Asap1,1.56E-19,-0.11947769,0.822,0.87,5.43E-15,2.26E-36,-0.18865861,0.814,0.87,7.87E-32,0
54,Asic2,1.55E-11,-0.085479924,0.948,0.975,5.40E-07,2.11E-07,-0.054957414,0.936,0.975,0.007343137,0
55,Astn2,2.82E-26,-0.236689148,0.629,0.697,9.84E-22,3.53E-28,-0.239968459,0.621,0.697,1.23E-23,0
56,Atad2,2.10E-14,-0.085249528,0.105,0.152,7.31E-10,1.83E-07,-0.063381062,0.119,0.152,0.006397086,0
57,Atg16l1,1.81E-12,-0.114443073,0.302,0.362,6.31E-08,3.04E-08,-0.10505029,0.324,0.362,0.001059389,0
58,Atp1a1,2.33E-40,0.307989972,0.729,0.68,8.13E-36,5.64E-09,-0.055466716,0.64,0.68,0.000196545,0
