"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Il1rapl2",0,1.81533701155863,0.574,0.083,0,"0","Il1rapl2"
"Hs6st3",0,1.77059220185121,0.887,0.32,0,"0","Hs6st3"
"Car10",0,1.69327893256884,0.984,0.422,0,"0","Car10"
"Fat3",0,1.59373434305392,0.916,0.461,0,"0","Fat3"
"Zfp804b",0,1.58327154575233,0.631,0.208,0,"0","Zfp804b"
"Agbl4",0,1.48920191289415,0.981,0.49,0,"0","Agbl4"
"Ptprd",0,1.48761122066028,1,0.819,0,"0","Ptprd"
"Tenm4",0,1.48655746214172,0.977,0.436,0,"0","Tenm4"
"Kcnip4",0,1.47264673870278,0.998,0.676,0,"0","Kcnip4"
"Nrg1",0,1.46406537158156,0.988,0.526,0,"0","Nrg1"
"Kcnh5",0,1.41611825188955,0.59,0.146,0,"0","Kcnh5"
"Cdh12",0,1.39867438405258,0.892,0.307,0,"0","Cdh12"
"Fhod3",0,1.36361513994698,0.852,0.27,0,"0","Fhod3"
"Nell1",0,1.33824659647914,0.688,0.151,0,"0","Nell1"
"Prr16",0,1.33322561099081,0.788,0.318,0,"0","Prr16"
"Kcnq5",0,1.33041739728443,0.989,0.497,0,"0","Kcnq5"
"Cntn5",0,1.32934845385674,0.924,0.443,0,"0","Cntn5"
"Sgcz",0,1.31870462001109,0.975,0.5,0,"0","Sgcz"
"Arpp21",0,1.28154404424724,0.996,0.543,0,"0","Arpp21"
"Celf2",0,1.27830464064824,0.998,0.823,0,"0","Celf2"
"Gm49678",0,1.26432985593155,0.578,0.161,0,"0","Gm49678"
"Sgcd",0,1.25721585089002,0.84,0.334,0,"0","Sgcd"
"Dpp10",0,1.25271276372806,0.998,0.659,0,"0","Dpp10"
"Cpne4",0,1.25042794393974,0.737,0.216,0,"0","Cpne4"
"R3hdm1",0,1.22191368214999,0.992,0.635,0,"0","R3hdm1"
"Grm7",0,1.22061284776195,0.992,0.583,0,"0","Grm7"
"Camk4",0,1.20207361518308,0.832,0.313,0,"0","Camk4"
"Pcdh15",0,1.1529810253846,0.917,0.415,0,"0","Pcdh15"
"Unc5d",0,1.14764600577007,0.85,0.282,0,"0","Unc5d"
"Sorbs2",0,1.13068663858194,0.986,0.506,0,"0","Sorbs2"
"Cntn4",0,1.12633741036157,0.98,0.502,0,"0","Cntn4"
"Pdzrn3",0,1.12077997993199,0.701,0.234,0,"0","Pdzrn3"
"Gm15398",0,1.1171402547088,0.746,0.24,0,"0","Gm15398"
"Kcnh7",0,1.11262974409678,0.984,0.557,0,"0","Kcnh7"
"Rims1",0,1.0984048797095,0.988,0.555,0,"0","Rims1"
"Kalrn",0,1.09298791393721,0.994,0.596,0,"0","Kalrn"
"Gria4",0,1.08719376281755,0.984,0.585,0,"0","Gria4"
"Lingo2",0,1.08460799513381,0.927,0.452,0,"0","Lingo2"
"Kcnh1",0,1.0830419128414,0.826,0.278,0,"0","Kcnh1"
"Klhl29",0,1.08138788737915,0.886,0.382,0,"0","Klhl29"
"Fam189a1",0,1.08054770895074,0.87,0.365,0,"0","Fam189a1"
"Phactr1",0,1.07712374534902,0.995,0.683,0,"0","Phactr1"
"Scube1",0,1.07451951892695,0.551,0.087,0,"0","Scube1"
"Satb2",0,1.07442337715714,0.828,0.253,0,"0","Satb2"
"Pcsk2",0,1.07354073896171,0.984,0.526,0,"0","Pcsk2"
"Kcnb2",0,1.06584952549161,0.954,0.434,0,"0","Kcnb2"
"Galnt17",0,1.06519134529429,0.756,0.25,0,"0","Galnt17"
"Nyap2",0,1.06329041283776,0.88,0.34,0,"0","Nyap2"
"Tenm2",0,1.06243257951064,0.962,0.561,0,"0","Tenm2"
"Gpr158",0,1.05971154160313,0.903,0.481,0,"0","Gpr158"
"Cacna2d3",0,1.05771293136878,0.922,0.336,0,"0","Cacna2d3"
"Ncam2",0,1.04900985994899,0.981,0.633,0,"0","Ncam2"
"Grm8",0,1.04271795038697,0.805,0.309,0,"0","Grm8"
"Lrfn5",0,1.02890248725078,0.972,0.533,0,"0","Lrfn5"
"Cnksr2",0,1.01755284519444,0.962,0.476,0,"0","Cnksr2"
"Pou6f2",0,1.01604860652648,0.525,0.065,0,"0","Pou6f2"
"Oxr1",0,1.01472822019686,0.988,0.653,0,"0","Oxr1"
"Samd12",0,0.998264848757183,0.968,0.505,0,"0","Samd12"
"Kcnq3",0,0.99293174473795,0.968,0.578,0,"0","Kcnq3"
"Hecw1",0,0.991568228277141,0.922,0.413,0,"0","Hecw1"
"ENSMUSG00000120285",0,0.99077826297075,0.761,0.231,0,"0","ENSMUSG00000120285"
"Syt1",0,0.990377793986831,0.998,0.754,0,"0","Syt1"
"Rasgef1b",0,0.987369053890846,0.827,0.288,0,"0","Rasgef1b"
"Sh3gl2",0,0.98203923978731,0.932,0.433,0,"0","Sh3gl2"
"Gm42303",0,0.981049383236382,0.709,0.21,0,"0","Gm42303"
"Celf4",0,0.980324348031593,0.939,0.506,0,"0","Celf4"
"Sorbs2os",0,0.976313959680308,0.897,0.358,0,"0","Sorbs2os"
"Cdh10",0,0.964299004101464,0.958,0.539,0,"0","Cdh10"
"Rimbp2",0,0.963419000813981,0.834,0.327,0,"0","Rimbp2"
"Kcnt2",0,0.955443267660736,0.909,0.394,0,"0","Kcnt2"
"Efna5",0,0.954505556206324,0.786,0.301,0,"0","Efna5"
"Ntng1",0,0.953416976488973,0.557,0.127,0,"0","Ntng1"
"Gm33228",0,0.952498784645433,0.557,0.151,0,"0","Gm33228"
"Rmst",0,0.947233262257132,0.562,0.122,0,"0","Rmst"
"Lrrc4c",0,0.945787900637708,0.992,0.746,0,"0","Lrrc4c"
"Nrg3",0,0.942756241155139,0.999,0.658,0,"0","Nrg3"
"Chsy3",0,0.939406267240405,0.897,0.394,0,"0","Chsy3"
"Cntnap5b",0,0.927983990194641,0.58,0.229,0,"0","Cntnap5b"
"Gm37340",0,0.92581677996088,0.719,0.225,0,"0","Gm37340"
"A830036E02Rik",0,0.924583083515069,0.514,0.078,0,"0","A830036E02Rik"
"Cdh8",0,0.919804264247332,0.693,0.28,0,"0","Cdh8"
"B230303A05Rik",0,0.914443950177512,0.726,0.258,0,"0","B230303A05Rik"
"Cadps2",0,0.914132676387854,0.609,0.198,0,"0","Cadps2"
"Cacnb4",0,0.91257671610292,0.96,0.528,0,"0","Cacnb4"
"Cobl",0,0.910797502339357,0.869,0.326,0,"0","Cobl"
"Kcnma1",0,0.910272203432327,0.987,0.629,0,"0","Kcnma1"
"Sidt1",0,0.909978162160764,0.747,0.251,0,"0","Sidt1"
"Sv2b",0,0.908297158336134,0.894,0.359,0,"0","Sv2b"
"Brinp1",0,0.904084021012201,0.918,0.468,0,"0","Brinp1"
"Erc2",0,0.902385613734334,0.984,0.557,0,"0","Erc2"
"Khdrbs3",0,0.902316610059252,0.914,0.398,0,"0","Khdrbs3"
"Fstl4",0,0.89782166577643,0.795,0.255,0,"0","Fstl4"
"Ryr2",0,0.891738923195494,0.975,0.489,0,"0","Ryr2"
"Gpc6",0,0.890327115741747,0.755,0.464,0,"0","Gpc6"
"Grin2a",0,0.88436208296373,0.987,0.499,0,"0","Grin2a"
"Ak5",0,0.880894179320671,0.782,0.299,0,"0","Ak5"
"Phf24",0,0.875099299601955,0.852,0.337,0,"0","Phf24"
"Pde10a",0,0.87439457877097,0.952,0.499,0,"0","Pde10a"
"Ext1",0,0.855686057708259,0.933,0.513,0,"0","Ext1"
"Tspan5",0,0.85319698837887,0.933,0.529,0,"0","Tspan5"
"Fras1",0,0.850061620789238,0.599,0.149,0,"0","Fras1"
"Nrg3os",0,0.849606804439733,0.966,0.466,0,"0","Nrg3os"
"Pde1a",0,0.8485969095589,0.906,0.401,0,"0","Pde1a"
"Camk2a",0,0.848502615342832,0.962,0.458,0,"0","Camk2a"
"Miat",0,0.845456048496295,0.801,0.304,0,"0","Miat"
"Nwd2",0,0.845214101342452,0.708,0.221,0,"0","Nwd2"
"Cntn3",0,0.843679183934749,0.892,0.371,0,"0","Cntn3"
"Rtl4",0,0.840807982432002,0.732,0.235,0,"0","Rtl4"
"Zmat4",0,0.835517189022789,0.737,0.263,0,"0","Zmat4"
"Msra",0,0.835088888009138,0.857,0.362,0,"0","Msra"
"Gm20642",0,0.828906839930393,0.962,0.461,0,"0","Gm20642"
"Kctd16",0,0.824951981392718,0.981,0.489,0,"0","Kctd16"
"Negr1",0,0.820582973603578,0.985,0.71,0,"0","Negr1"
"Tenm1",0,0.819835381879315,0.895,0.408,0,"0","Tenm1"
"D430041D05Rik",0,0.819654619008363,0.896,0.41,0,"0","D430041D05Rik"
"Pld5",0,0.817539189878148,0.28,0.062,0,"0","Pld5"
"Lin7a",0,0.81229981552689,0.699,0.233,0,"0","Lin7a"
"Cacna1a",0,0.809340936859804,0.97,0.529,0,"0","Cacna1a"
"Epha4",0,0.805721926249871,0.801,0.302,0,"0","Epha4"
"Cacna2d1",0,0.804130267907239,0.973,0.509,0,"0","Cacna2d1"
"St6gal2",0,0.802190006977925,0.689,0.219,0,"0","St6gal2"
"Brinp2",0,0.797540064770495,0.785,0.305,0,"0","Brinp2"
"Rorb",0,0.797416027673117,0.712,0.215,0,"0","Rorb"
"Fgf14",0,0.796663803997475,0.995,0.681,0,"0","Fgf14"
"Tmem132d",0,0.794132127377127,0.864,0.357,0,"0","Tmem132d"
"Nav3",0,0.793639680003394,0.993,0.693,0,"0","Nav3"
"Ptprr",0,0.79178643935103,0.682,0.245,0,"0","Ptprr"
"Npas2",0,0.789836226681302,0.695,0.242,0,"0","Npas2"
"Lrrc7",0,0.788536806206502,0.987,0.559,0,"0","Lrrc7"
"Lhfp",0,0.787360355118056,0.603,0.146,0,"0","Lhfp"
"Nell2",0,0.785769955378395,0.887,0.42,0,"0","Nell2"
"Smyd3",0,0.78487970835806,0.895,0.475,0,"0","Smyd3"
"Hs3st2",0,0.780710363426283,0.594,0.147,0,"0","Hs3st2"
"Gm55122",0,0.779302611521264,0.909,0.447,0,"0","Gm55122"
"Ahi1",0,0.77735481285121,0.994,0.603,0,"0","Ahi1"
"Dlgap2",0,0.774278964934744,0.987,0.513,0,"0","Dlgap2"
"Pcnx2",0,0.7720040270264,0.698,0.252,0,"0","Pcnx2"
"Adgrb3",0,0.771268416502918,0.995,0.718,0,"0","Adgrb3"
"Rap1gap2",0,0.767188899664663,0.731,0.261,0,"0","Rap1gap2"
"Mapk10",0,0.758688997906931,0.966,0.577,0,"0","Mapk10"
"Slit3",0,0.756502702913424,0.773,0.312,0,"0","Slit3"
"Arhgap15",0,0.755630836372952,0.612,0.184,0,"0","Arhgap15"
"Kcnab1",0,0.755115714073211,0.781,0.284,0,"0","Kcnab1"
"Cnih3",0,0.755082662142673,0.516,0.088,0,"0","Cnih3"
"A330008L17Rik",0,0.754313289944853,0.414,0.129,0,"0","A330008L17Rik"
"ENSMUSG00000120926",0,0.753914037596151,0.643,0.202,0,"0","ENSMUSG00000120926"
"Slit2",0,0.753129518321689,0.671,0.194,0,"0","Slit2"
"9130024F11Rik",0,0.750695730532824,0.615,0.177,0,"0","9130024F11Rik"
"Asic2",0,0.750504665194678,0.985,0.576,0,"0","Asic2"
"Dmd",0,0.748629918036678,0.981,0.661,0,"0","Dmd"
"Csmd1",0,0.748371027262068,0.997,0.68,0,"0","Csmd1"
"Apba2",0,0.739997511578391,0.885,0.441,0,"0","Apba2"
"A330015K06Rik",0,0.735506403827345,0.701,0.216,0,"0","A330015K06Rik"
"Cadps",0,0.733630810087098,0.988,0.589,0,"0","Cadps"
"Shank2",0,0.732527840238521,0.747,0.293,0,"0","Shank2"
"Gm43670",0,0.72763114340146,0.581,0.178,0,"0","Gm43670"
"Cacna1b",0,0.727066488566612,0.791,0.33,0,"0","Cacna1b"
"Etl4",0,0.72290488907755,0.983,0.499,0,"0","Etl4"
"Ano3",0,0.715157260474865,0.857,0.38,0,"0","Ano3"
"Myrip",0,0.711496415441562,0.677,0.244,0,"0","Myrip"
"Khdrbs2",0,0.710682267640873,0.851,0.355,0,"0","Khdrbs2"
"Nol4",0,0.705675389488122,0.895,0.517,0,"0","Nol4"
"Gm2824",0,0.704288050249219,0.512,0.123,0,"0","Gm2824"
"A230006K03Rik",0,0.703746258806436,0.812,0.381,0,"0","A230006K03Rik"
"Gabrb3",0,0.699774618075918,0.971,0.544,0,"0","Gabrb3"
"Thrb",0,0.697175701403963,0.911,0.507,0,"0","Thrb"
"Ankrd33b",0,0.696761421679088,0.614,0.205,0,"0","Ankrd33b"
"Ralyl",0,0.696057835844842,0.982,0.524,0,"0","Ralyl"
"Gm12002",0,0.695848453642989,0.576,0.164,0,"0","Gm12002"
"Snhg11",0,0.695620742707587,1,0.707,0,"0","Snhg11"
"Hivep2",0,0.693431736921505,0.974,0.606,0,"0","Hivep2"
"Lmtk2",0,0.691958879106216,0.732,0.291,0,"0","Lmtk2"
"Nlgn1",0,0.691570891728079,0.996,0.775,0,"0","Nlgn1"
"Osbp2",0,0.6910906492189,0.619,0.2,0,"0","Osbp2"
"Htr1f",0,0.688335804312857,0.703,0.255,0,"0","Htr1f"
"Trpc5",0,0.68749035722504,0.543,0.154,0,"0","Trpc5"
"Stxbp5l",0,0.686925887928956,0.936,0.485,0,"0","Stxbp5l"
"Cdk14",0,0.685109756335094,0.92,0.495,0,"0","Cdk14"
"Sphkap",0,0.685083613652754,0.778,0.308,0,"0","Sphkap"
"Gm16351",0,0.68054784175963,0.568,0.187,0,"0","Gm16351"
"Atp11b",0,0.677556478229672,0.767,0.365,0,"0","Atp11b"
"Robo2",0,0.677478245297589,0.918,0.497,0,"0","Robo2"
"Gm28905",0,0.675991000527234,0.554,0.203,0,"0","Gm28905"
"Lmo4",0,0.674685631860748,0.889,0.418,0,"0","Lmo4"
"Prickle1",0,0.673567987854176,0.96,0.536,0,"0","Prickle1"
"Gm26871",0,0.672122539659654,0.879,0.396,0,"0","Gm26871"
"Hs3st5",0,0.670538307574686,0.551,0.145,0,"0","Hs3st5"
"Ptprk",0,0.669252500715394,0.872,0.348,0,"0","Ptprk"
"Spock1",0,0.666825595115986,0.927,0.484,0,"0","Spock1"
"Syndig1",0,0.666337588990591,0.574,0.174,0,"0","Syndig1"
"Fgf12",0,0.664884548160096,0.99,0.65,0,"0","Fgf12"
"Dlg2",0,0.662869956645705,0.998,0.771,0,"0","Dlg2"
"Ptprn2",0,0.662774342307467,0.943,0.502,0,"0","Ptprn2"
"Sorcs3",0,0.662257828615711,0.717,0.296,0,"0","Sorcs3"
"Bsn",0,0.661053609148618,0.745,0.312,0,"0","Bsn"
"Xkr4",0,0.655263434399746,0.977,0.573,0,"0","Xkr4"
"Macrod2",0,0.65509378225923,0.988,0.69,0,"0","Macrod2"
"Grin2b",0,0.653113171570183,0.992,0.622,0,"0","Grin2b"
"Ldb2",0,0.650391762658174,0.783,0.32,0,"0","Ldb2"
"Rbfox3",0,0.64796912597815,0.861,0.422,0,"0","Rbfox3"
"Kcnj6",0,0.647336389421906,0.776,0.318,0,"0","Kcnj6"
"Lrp1b",0,0.646384423253603,0.991,0.76,0,"0","Lrp1b"
"Rspo2",0,0.64596427805042,0.352,0.086,0,"0","Rspo2"
