"","SYMBOL","ENSEMBL","ENTREZID"
"139","Ldhb","ENSMUSG00000030246","16832"
"140","Homer1","ENSMUSG00000007617","26556"
"141","Kcnd2","ENSMUSG00000060882","16508"
"142","Hint1","ENSMUSG00000020267","15254"
"143","Nefl","ENSMUSG00000022055","18039"
"144","Cpne9","ENSMUSG00000030270","211232"
"145","Gabarapl1","ENSMUSG00000030161","57436"
"146","Sub1","ENSMUSG00000022205","20024"
"147","Cox5b","ENSMUSG00000061518","12859"
"149","Rbm26","ENSMUSG00000022119","74213"
"150","Rpl19","ENSMUSG00000017404","19921"
"151","Uqcrb","ENSMUSG00000021520","67530"
"152","Vamp2","ENSMUSG00000020894","22318"
"153","Iqgap2","ENSMUSG00000021676","544963"
"154","Cox5a","ENSMUSG00000000088","12858"
"155","Rps3a1","ENSMUSG00000028081","20091"
"156","Uchl1","ENSMUSG00000029223","22223"
"157","Nrxn1","ENSMUSG00000024109","18189"
"158","Bc1","ENSMUSG00000115783","100568459"
"159","Xkr4","ENSMUSG00000051951","497097"
"160","Ndufb9","ENSMUSG00000022354","66218"
"161","Zmat4","ENSMUSG00000037492","320158"
"162","Rpl28","ENSMUSG00000030432","19943"
"163","Rps14","ENSMUSG00000024608","20044"
"164","Cfl1","ENSMUSG00000056201","12631"
"165","Rpl8","ENSMUSG00000003970","26961"
"166","Fkbp1a","ENSMUSG00000032966","14225"
"167","Rps24","ENSMUSG00000025290","20088"
"168","Dcx","ENSMUSG00000031285","13193"
"169","Psap","ENSMUSG00000004207","19156"
"171","Elob","ENSMUSG00000055839","67673"
"172","Eif1b","ENSMUSG00000006941","68969"
"173","Gnas","ENSMUSG00000027523","14683"
"174","Zfp804b","ENSMUSG00000092094","207618"
"175","Ttc9b","ENSMUSG00000007944","73032"
"176","Ywhae","ENSMUSG00000020849","22627"
"177","Ndufs7","ENSMUSG00000020153","75406"
"178","Npm1","ENSMUSG00000057113","18148"
"179","Mlip","ENSMUSG00000032355","69642"
"180","Cd2ap","ENSMUSG00000061665","12488"
"182","Ddx17","ENSMUSG00000055065","67040"
"183","Rpl21","ENSMUSG00000041453","19933"
"184","Vwa8","ENSMUSG00000058997","219189"
"185","Atp5j","ENSMUSG00000022890","11957"
"186","Rpsa","ENSMUSG00000032518","16785"
"187","Egr3","ENSMUSG00000033730","13655"
"188","Septin7","ENSMUSG00000001833","235072"
"189","Chgb","ENSMUSG00000027350","12653"
"190","Ranbp17","ENSMUSG00000040594","66011"
"191","Hspe1","ENSMUSG00000073676","15528"
"192","Atp5b","ENSMUSG00000025393","11947"
"193","Pnma8b","ENSMUSG00000070802","434128"
"194","Junb","ENSMUSG00000052837","16477"
"195","Pcca","ENSMUSG00000041650","110821"
"196","Nrg1","ENSMUSG00000062991","211323"
"197","Cox7a2","ENSMUSG00000032330","12866"
"198","Cdk5r1","ENSMUSG00000048895","12569"
"199","Zfyve28","ENSMUSG00000037224","231125"
"200","Rpl11","ENSMUSG00000059291","67025"
"201","Rpl24","ENSMUSG00000098274","68193"
"202","Nrxn3","ENSMUSG00000066392","18191"
"203","Lhfp","ENSMUSG00000048332","108927"
"204","Hs6st3","ENSMUSG00000053465","50787"
"205","Myo1b","ENSMUSG00000018417","17912"
"206","9530062K07Rik","ENSMUSG00000108030","78739"
"207","Pak5","ENSMUSG00000039913","241656"
"208","Nav2","ENSMUSG00000052512","78286"
"209","Pdia3","ENSMUSG00000027248","14827"
"210","Ndufa13","ENSMUSG00000036199","67184"
"211","Rpl6","ENSMUSG00000029614","19988"
"212","Ndufb7","ENSMUSG00000033938","66916"
"213","Specc1","ENSMUSG00000042331","432572"
"214","Aplp1","ENSMUSG00000006651","11803"
"215","Arc","ENSMUSG00000022602","11838"
"217","Cst3","ENSMUSG00000027447","13010"
"218","Nell1","ENSMUSG00000055409","338352"
"219","Atp11b","ENSMUSG00000037400","76295"
"220","Pla2g4e","ENSMUSG00000050211","329502"
"221","Rps4x","ENSMUSG00000031320","20102"
"222","Hsph1","ENSMUSG00000029657","15505"
"223","Uqcr11","ENSMUSG00000020163","66594"
"224","Marchf1","ENSMUSG00000036469","72925"
"225","Prdx5","ENSMUSG00000024953","54683"
"226","Frmd4a","ENSMUSG00000026657","209630"
"227","Rps27a","ENSMUSG00000020460","78294"
"228","Dynll2","ENSMUSG00000020483","68097"
"229","Calr","ENSMUSG00000003814","12317"
"230","Csmd3","ENSMUSG00000022311","239420"
"231","Myl6","ENSMUSG00000090841","17904"
"232","Sorbs2os","ENSMUSG00000085440","319940"
"233","Mdh2","ENSMUSG00000019179","17448"
"234","Ank2","ENSMUSG00000032826","109676"
"235","Arhgap42","ENSMUSG00000050730","71544"
"236","Dock3","ENSMUSG00000039716","208869"
"237","Rplp2","ENSMUSG00000025508","67186"
"238","Naca","ENSMUSG00000061315","17938"
"239","Per2","ENSMUSG00000055866","18627"
"240","Cox6b1","ENSMUSG00000036751","110323"
"241","C730002L08Rik","ENSMUSG00000114469","320155"
"242","Zwint","ENSMUSG00000019923","52696"
"243","Syt4","ENSMUSG00000024261","20983"
"244","Pou6f2","ENSMUSG00000009734","218030"
"245","Gap43","ENSMUSG00000047261","14432"
"246","Bex3","ENSMUSG00000046432","12070"
"247","Spock1","ENSMUSG00000056222","20745"
"248","Rpl3","ENSMUSG00000060036","27367"
"249","Cacna1e","ENSMUSG00000004110","12290"
"250","Pafah1b1","ENSMUSG00000020745","18472"
"251","Vsnl1","ENSMUSG00000054459","26950"
"252","Ypel3","ENSMUSG00000042675","66090"
"253","Tle5","ENSMUSG00000054452","14797"
"254","Rpl10","ENSMUSG00000008682","110954"
"255","Setd4","ENSMUSG00000022948","224440"
"256","Ndufa5","ENSMUSG00000023089","68202"
"257","Itm2c","ENSMUSG00000026223","64294"
"258","Gpcpd1","ENSMUSG00000027346","74182"
"259","Rps2","ENSMUSG00000044533","16898"
"260","Ppp3r1","ENSMUSG00000033953","19058"
"261","Rpl38","ENSMUSG00000057322","67671"
"262","Mrfap1","ENSMUSG00000055302","67568"
"263","Ndufc2","ENSMUSG00000030647","68197"
"264","Slc39a10","ENSMUSG00000025986","227059"
"265","Cdr1os","ENSMUSG00000071753","331424"
"266","Tpi1","ENSMUSG00000023456","21991"
"267","Ndufb8","ENSMUSG00000025204","67264"
"268","Ttc3","ENSMUSG00000040785","22129"
"269","Rpl32","ENSMUSG00000057841","19951"
"270","Sntg1","ENSMUSG00000025909","71096"
"272","Rpl41","ENSMUSG00000093674","67945"
"273","Serbp1","ENSMUSG00000036371","66870"
"274","Baiap2","ENSMUSG00000025372","108100"
"275","Dmd","ENSMUSG00000045103","13405"
"276","Rpl18a","ENSMUSG00000045128","76808"
"277","Rpl14","ENSMUSG00000025794","67115"
"278","Sncb","ENSMUSG00000034891","104069"
"279","Sec62","ENSMUSG00000027706","69276"
"280","Snhg20","ENSMUSG00000086859","76972"
"281","Kcnh7","ENSMUSG00000059742","170738"
"282","9130024F11Rik","ENSMUSG00000087022","329160"
"283","Rpl26","ENSMUSG00000060938","19941"
"284","Zfp706","ENSMUSG00000062397","68036"
"285","Rpl9","ENSMUSG00000047215","20005"
"286","Purb","ENSMUSG00000094483","19291"
"287","Rpl7","ENSMUSG00000043716","19989"
"288","Tagln3","ENSMUSG00000022658","56370"
"289","9530036O11Rik","ENSMUSG00000097726","654796"
"290","Ncl","ENSMUSG00000026234","17975"
"291","Prr16","ENSMUSG00000073565","71373"
"292","Oip5os1","ENSMUSG00000085438","66602"
"293","Tceal9","ENSMUSG00000042712","22381"
"294","Cryab","ENSMUSG00000032060","12955"
"295","Got1","ENSMUSG00000025190","14718"
"296","Slc25a5","ENSMUSG00000016319","11740"
"297","Ndufa11","ENSMUSG00000002379","69875"
"298","Tbc1d5","ENSMUSG00000023923","72238"
"299","Sorcs3","ENSMUSG00000063434","66673"
"300","E230029C05Rik","ENSMUSG00000097585","319711"
"301","Gabarap","ENSMUSG00000018567","56486"
"303","Eif3c","ENSMUSG00000030738","56347"
"304","Psmc5","ENSMUSG00000020708","19184"
"305","Odf2","ENSMUSG00000026790","18286"
"306","Gm32200","ENSMUSG00000103114","102634668"
"307","Rps29","ENSMUSG00000034892","20090"
"308","Zcchc18","ENSMUSG00000031428","66995"
"309","Rab6b","ENSMUSG00000032549","270192"
"311","Sparcl1","ENSMUSG00000029309","13602"
"312","Ran","ENSMUSG00000029430","19384"
"313","Abhd2","ENSMUSG00000039202","54608"
"314","Ctnna3","ENSMUSG00000060843","216033"
"315","Ncapd3","ENSMUSG00000035024","78658"
"316","Egr4","ENSMUSG00000071341","13656"
"317","Psmb5","ENSMUSG00000022193","19173"
"318","Ftl1","ENSMUSG00000050708","14325"
"319","Rps16","ENSMUSG00000037563","20055"
"320","Frmd5","ENSMUSG00000027238","228564"
"321","Cep164","ENSMUSG00000043987","214552"
"322","Mical3","ENSMUSG00000051586","194401"
"323","Bbln","ENSMUSG00000039195","73737"
"325","Scoc","ENSMUSG00000063253","56367"
"326","Mical2","ENSMUSG00000038244","320878"
"327","Psmb4","ENSMUSG00000005779","19172"
"328","Nme7","ENSMUSG00000026575","171567"
"329","Atp5d","ENSMUSG00000003072","66043"
"330","Hpcal4","ENSMUSG00000046093","170638"
"331","Tecr","ENSMUSG00000031708","106529"
"332","Hmgb1","ENSMUSG00000066551","15289"
"333","Atp5md","ENSMUSG00000071528","66477"
"334","Eid1","ENSMUSG00000091337","58521"
"336","Fkbp3","ENSMUSG00000020949","30795"
"337","Cox7b","ENSMUSG00000031231","66142"
"338","Psma7","ENSMUSG00000027566","26444"
"339","A330102I10Rik","ENSMUSG00000086363","77920"
"340","Fam135a","ENSMUSG00000026153","68187"
"341","Dctn3","ENSMUSG00000028447","53598"
"343","Catspere2","ENSMUSG00000091476","545391"
"344","Nucks1","ENSMUSG00000026434","98415"
"345","Prnp","ENSMUSG00000079037","19122"
"346","Uqcrfs1","ENSMUSG00000038462","66694"
"347","Atp1a1","ENSMUSG00000033161","11928"
"348","Ncdn","ENSMUSG00000028833","26562"
"349","Ndufb10","ENSMUSG00000040048","68342"
"350","Rpl7a","ENSMUSG00000062647","27176"
"351","Ubash3b","ENSMUSG00000032020","72828"
"352","Rps11","ENSMUSG00000003429","27207"
"353","Il1rapl1","ENSMUSG00000052372","331461"
"354","Rps3","ENSMUSG00000030744","27050"
"355","Atp5k","ENSMUSG00000050856","11958"
"356","Dnajb6","ENSMUSG00000029131","23950"
"357","Rock2","ENSMUSG00000020580","19878"
"358","Rasgef1b","ENSMUSG00000089809","320292"
"359","Ndufb11","ENSMUSG00000031059","104130"
"360","Ndufa8","ENSMUSG00000026895","68375"
"361","Dph6","ENSMUSG00000057147","66632"
"362","Rab14","ENSMUSG00000026878","68365"
"363","Cacnb4","ENSMUSG00000017412","12298"
"364","Nars","ENSMUSG00000024587","70223"
"365","Dnaaf9","ENSMUSG00000027309","228602"
"366","Scd2","ENSMUSG00000025203","20250"
"367","Samd12","ENSMUSG00000058656","320679"
"368","Ddb2","ENSMUSG00000002109","107986"
"369","Ndufab1","ENSMUSG00000030869","70316"
