"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"213","Astro.circadian","Astro","circadian","GO:0051282","regulation of sequestering of calcium ion","5/149","123/28943",0.000448473793087452,0.00575014990104146,0.00430853992469487,"109676/12313/12314/14225/20617",5
"214","Astro.circadian","Astro","circadian","GO:0000910","cytokinesis","6/149","190/28943",0.000466826015641004,0.00595748527437188,0.00446389461094989,"12313/12314/12631/56431/235072/16765",6
"215","Astro.circadian","Astro","circadian","GO:0007626","locomotory behavior","7/149","266/28943",0.000473736399754436,0.00597893272530937,0.0044799650091547,"100568459/13653/14169/16531/20614/20617/22223",7
"217","Astro.circadian","Astro","circadian","GO:0032507","maintenance of protein location in cell","4/149","70/28943",0.000475074478722861,0.00597893272530937,0.0044799650091547,"103172/14828/64009/19241",4
"219","Astro.circadian","Astro","circadian","GO:0051208","sequestering of calcium ion","5/149","125/28943",0.00048280585360205,0.00602074331592329,0.00451129334007395,"109676/12313/12314/14225/20617",5
"223","Astro.circadian","Astro","circadian","GO:0048640","negative regulation of developmental growth","5/149","126/28943",0.000500695820808757,0.00613183985035299,0.00459453705759841,"12631/16526/19735/68585/214968",5
"239","Astro.circadian","Astro","circadian","GO:0030308","negative regulation of cell growth","6/149","200/28943",0.000611445223992577,0.00695773711134887,0.00521337506772618,"12631/12955/71007/19735/68585/214968",6
"245","Astro.circadian","Astro","circadian","GO:0001558","regulation of cell growth","9/149","459/28943",0.000647507659201035,0.00721772823378786,0.00540818427276825,"11951/12631/12955/71007/56177/19735/68585/214968/11739",9
"250","Astro.circadian","Astro","circadian","GO:0048167","regulation of synaptic plasticity","8/149","378/28943",0.000792154147295518,0.00865349190505623,0.00648399015723152,"12631/13653/14169/14805/64011/19339/20614/20617",8
"267","Astro.circadian","Astro","circadian","GO:0034763","negative regulation of transmembrane transport","5/149","149/28943",0.00106688942063299,0.0109126404784596,0.00817675156203642,"216190/12313/12314/19735/22627",5
"269","Astro.circadian","Astro","circadian","GO:0002931","response to ischemia","3/149","40/28943",0.00114887452240955,0.0115763830969769,0.00867408843513006,"13063/13653/22223",3
"270","Astro.circadian","Astro","circadian","GO:0070849","response to epidermal growth factor","3/149","40/28943",0.00114887452240955,0.0115763830969769,0.00867408843513006,"76709/12631/13627",3
"273","Astro.circadian","Astro","circadian","GO:0048638","regulation of developmental growth","8/149","402/28943",0.00117477030305389,0.0117520062184622,0.00880568139246875,"11951/12631/16526/56177/19735/68585/214968/11739",8
"283","Astro.circadian","Astro","circadian","GO:0051222","positive regulation of protein transport","7/149","321/28943",0.00141731272752672,0.0135971243891763,0.0101882132292234,"76709/66259/56455/15516/268373/26950/22627",7
"286","Astro.circadian","Astro","circadian","GO:0032410","negative regulation of transporter activity","4/149","94/28943",0.00143641442840849,0.0137162510628796,0.0102774738639164,"12313/12314/20617/22627",4
"296","Astro.circadian","Astro","circadian","GO:0050806","positive regulation of synaptic transmission","7/149","335/28943",0.00180588349223681,0.0166617155989822,0.0124844861625475,"14805/64011/18189/19339/20512/20614/20617",7
"308","Astro.circadian","Astro","circadian","GO:0001505","regulation of neurotransmitter levels","6/149","255/28943",0.00212177216951122,0.0188135058277115,0.0140968048445995,"15370/18189/23980/19339/20614/20617",6
"316","Astro.circadian","Astro","circadian","GO:0036093","germ cell proliferation","2/149","14/28943",0.00230027100746698,0.0197548431490325,0.0148021411404032,"16173/22223",2
"327","Astro.circadian","Astro","circadian","GO:0051656","establishment of organelle localization","8/149","455/28943",0.00254281566028417,0.0212367876704467,0.0159125499552307,"12631/18221/19339/20617/64009/22187/22223/22631",8
"342","Astro.circadian","Astro","circadian","GO:0032892","positive regulation of organic acid transport","3/149","55/28943",0.00288371859852517,0.0228940034021859,0.0171542880432652,"54208/12424/14805",3
"343","Astro.circadian","Astro","circadian","GO:0043271","negative regulation of ion transport","5/149","187/28943",0.00288375582949541,0.0228940034021859,0.0171542880432652,"12313/12314/19735/20617/22627",5
"347","Astro.circadian","Astro","circadian","GO:0007638","mechanosensory behavior","2/149","16/28943",0.00301291887216611,0.0234423972646315,0.0175651950442073,"18189/20512",2
"350","Astro.circadian","Astro","circadian","GO:0090128","regulation of synapse maturation","2/149","16/28943",0.00301291887216611,0.0234423972646315,0.0175651950442073,"18189/22631",2
"358","Astro.circadian","Astro","circadian","GO:0006735","NADH regeneration","2/149","17/28943",0.00340314364996436,0.0254629734467197,0.0190791961226553,"11674/14433",2
"360","Astro.circadian","Astro","circadian","GO:0051014","actin filament severing","2/149","17/28943",0.00340314364996436,0.0254629734467197,0.0190791961226553,"12631/56431",2
"361","Astro.circadian","Astro","circadian","GO:0051284","positive regulation of sequestering of calcium ion","2/149","17/28943",0.00340314364996436,0.0254629734467197,0.0190791961226553,"12313/12314",2
"372","Astro.circadian","Astro","circadian","GO:0098739","import across plasma membrane","5/149","198/28943",0.00368052963478984,0.0270202323457286,0.0202460373798286,"54208/11931/12313/19735/20512",5
"383","Astro.circadian","Astro","circadian","GO:0140115","export across plasma membrane","3/149","61/28943",0.00386812766110406,0.027581871129178,0.0206668686909064,"11931/12314/22627",3
"393","Astro.circadian","Astro","circadian","GO:0061077","chaperone-mediated protein folding","3/149","64/28943",0.00442801230233525,0.030705176746836,0.023007135846075,"14225/14828/15481",3
"408","Astro.circadian","Astro","circadian","GO:0006979","response to oxidative stress","7/149","407/28943",0.00526384600802427,0.0352342241370448,0.0264007137244561,"12631/14004/12955/13010/268373/19173/20617",7
"414","Astro.circadian","Astro","circadian","GO:0051602","response to electrical stimulus","2/149","22/28943",0.00568379233557023,0.0370790719932634,0.0277830430167874,"11461/19339",2
"420","Astro.circadian","Astro","circadian","GO:0035966","response to topologically incorrect protein","4/149","138/28943",0.00572578256368249,0.037231219479564,0.0278970458741823,"15519/14828/15481/71853",4
"423","Astro.circadian","Astro","circadian","GO:0007625","grooming behavior","2/149","23/28943",0.00620419593722476,0.0398674331872019,0.0298723390760741,"70503/18189",2
"432","Astro.circadian","Astro","circadian","GO:0040019","positive regulation of embryonic development","2/149","24/28943",0.006745488806424,0.0424468431574745,0.0318050697057683,"12631/14828",2
"444","Astro.circadian","Astro","circadian","GO:0099500","vesicle fusion to plasma membrane","2/149","25/28943",0.00730744503857229,0.0447458125568182,0.0335276685272234,"19339/20614",2
"456","Astro.circadian","Astro","circadian","GO:0042180","cellular ketone metabolic process","5/149","241/28943",0.00833187027840625,0.0498998634437006,0.0373895563740114,"11674/216190/13653/16531/20617",5
"460","Astro.sleep","Astro","sleep","GO:0055094","response to lipoprotein particle","2/17","34/28943",0.0001801599115899,0.0310121006018265,0.0164419978459332,"11816/208715",2
"462","Astro.sleep","Astro","sleep","GO:0071402","cellular response to lipoprotein particle stimulus","2/17","37/28943",0.000213658179096834,0.0310121006018265,0.0164419978459332,"11816/208715",2
"466","Astro.sleep","Astro","sleep","GO:0050803","regulation of synapse structure or activity","3/17","272/28943",0.000506306394624,0.034627876882958,0.0183590103885224,"11816/72289/19266",3
"473","Astro.sleep","Astro","sleep","GO:2000146","negative regulation of cell motility","3/17","325/28943",0.000848755257216076,0.0385334886776099,0.0204296879456221,"11816/260315/18183",3
"474","Astro.sleep","Astro","sleep","GO:0040013","negative regulation of locomotion","3/17","360/28943",0.00114001442821804,0.0456504842182366,0.0242029771803929,"11816/260315/18183",3
"476","Astro.sleep","Astro","sleep","GO:0035383","thioester metabolic process","2/17","88/28943",0.00120662072823533,0.0456504842182366,0.0242029771803929,"60525/208715",2
"479","Exc-neuron.circadian","Exc-neuron","circadian","GO:0006091","generation of precursor metabolites and energy","107/1745","465/28943",4.48803579209409e-34,1.28716866517259e-30,9.13433389896203e-31,"72141/11554/77559/11674/11820/11946/11947/11949/66043/67126/71679/11957/57423/11958/11950/268697/103172/14004/52637/12857/12858/12859/12861/12866/12867/66445/13063/209692/13806/13807/13853/77781/57436/14433/74185/14683/14751/14783/216019/15289/208982/15937/16189/93757/384783/66383/16828/17449/17448/17751/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/102631912/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/18021/347740/18124/57320/18597/18627/18648/18655/18679/18746/19045/66494/56351/71336/67680/54403/20617/20656/56451/21881/21991/67267/66152/66594/67530/67003/66694/66576/22272/269523/381677/16969",107
"499","Exc-neuron.circadian","Exc-neuron","circadian","GO:0050803","regulation of synapse structure or activity","63/1745","272/28943",1.03781292804989e-20,2.70586134331552e-18,1.92020219749709e-18,"210933/11816/11820/11838/11843/216831/108100/70237/227580/232560/12405/12540/12569/12631/75608/65945/170571/56724/12386/217480/13631/333605/14810/14812/15387/26556/15481/331461/242384/70530/228357/216028/243499/50791/72289/17118/58235/17999/18164/100042150/18189/18213/18472/18530/53328/327814/19122/14083/19242/19266/19744/72895/217692/20616/20617/13602/319613/22142/22154/269523/69137/22631/108672",63
"514","Exc-neuron.circadian","Exc-neuron","circadian","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","34/1745","96/28943",6.78206463200425e-18,1.05140331700477e-15,7.46123582701577e-16,"11496/238276/71770/11773/232910/11838/216831/81905/68566/65945/12889/78070/13383/13385/74053/15444/15461/50791/26414/17920/17999/504193/18164/73340/211323/18196/19058/20614/67826/56216/104015/665113/22318/22627",34
"518","Exc-neuron.circadian","Exc-neuron","circadian","GO:0042391","regulation of membrane potential","80/1745","469/28943",2.78894677064838e-17,3.90180455522905e-15,2.76889785933178e-15,"11549/11554/432442/109676/11820/65106/11928/232975/11931/11938/11951/11983/108100/12177/12289/12293/12298/12424/103172/12794/66797/216033/20312/13383/13385/13405/14167/14169/14395/14397/14672/14718/64378/14809/14810/14812/16485/16500/16508/56543/170738/80906/16525/110862/56772/338370/68197/17999/246317/70729/225872/18189/18213/18390/57320/58869/98496/19055/66494/19242/14694/19736/116838/433809/20266/72821/192287/54403/20541/20617/20655/20656/56216/22218/68667/22187/22249/269523/22627/22629",80
"520","Exc-neuron.circadian","Exc-neuron","circadian","GO:0032409","regulation of transporter activity","63/1745","317/28943",3.67202597246817e-17,4.89831185536684e-15,3.47606473330096e-15,"67704/20927/11461/11554/238276/432442/109676/11820/11838/11931/12289/12293/12298/81905/12313/12314/12315/100503659/12631/12794/13383/13385/13405/26903/14167/14169/14225/57780/14697/329152/26556/15444/15512/16485/214162/65113/17992/17999/246317/74513/70729/18189/18390/57320/19052/19055/19057/19058/19122/260297/19418/433809/20266/72821/11739/53881/20617/237611/22218/57816/22318/22627/22629",63
"523","Exc-neuron.circadian","Exc-neuron","circadian","GO:0061077","chaperone-mediated protein folding","26/1745","64/28943",1.04136149051735e-15,1.29853250208859e-13,9.2149768508709e-14,"12017/12461/12462/12464/12465/12466/12468/12469/66917/81489/23950/14225/14228/193740/15511/15512/14828/15481/15528/15505/56330/12304/56351/64136/70356/21454",26
