"","SYMBOL","ENSEMBL","ENTREZID"
"134","Csmd1","ENSMUSG00000060924","94109"
"135","Zkscan2","ENSMUSG00000030757","210162"
"136","A830018L16Rik","ENSMUSG00000057715","320492"
"137","Ankrd24","ENSMUSG00000054708","70615"
"138","Acaca","ENSMUSG00000020532","107476"
"140","Lrp1b","ENSMUSG00000049252","94217"
"141","Kctd16","ENSMUSG00000051401","383348"
"142","Uggt2","ENSMUSG00000042104","66435"
"143","Frmpd3","ENSMUSG00000042425","245643"
"144","Cwc22","ENSMUSG00000027014","80744"
"145","B230303A05Rik","ENSMUSG00000113701","100503142"
"146","Babam2","ENSMUSG00000052139","107976"
"147","Prpf40a","ENSMUSG00000061136","56194"
"148","Xrcc5","ENSMUSG00000026187","22596"
"149","Phf7","ENSMUSG00000021902","71838"
"150","Pvt1","ENSMUSG00000097039","19296"
"151","Ptprd","ENSMUSG00000028399","19266"
"152","Cacybp","ENSMUSG00000014226","12301"
"153","Ntrk2","ENSMUSG00000055254","18212"
"154","Vwa5b2","ENSMUSG00000046613","328643"
"155","Xbp1","ENSMUSG00000020484","22433"
"156","Lingo2","ENSMUSG00000045083","242384"
"157","Atp1a1","ENSMUSG00000033161","11928"
"158","Cpeb1","ENSMUSG00000025586","12877"
"159","Btf3l4","ENSMUSG00000028568","70533"
"161","Fer","ENSMUSG00000000127","14158"
"162","Tmem178b","ENSMUSG00000057716","434008"
"163","Esrrg","ENSMUSG00000026610","26381"
"164","Ptchd4","ENSMUSG00000042256","627626"
"165","Ywhaz","ENSMUSG00000022285","22631"
"166","Gtdc1","ENSMUSG00000036890","227835"
"167","Ptprn2","ENSMUSG00000056553","19276"
"168","Mblac2","ENSMUSG00000051098","72852"
"169","Wrn","ENSMUSG00000031583","22427"
"170","Cntn5","ENSMUSG00000039488","244682"
"171","G630016G05Rik","ENSMUSG00000086308","108168785"
"173","Pbx1","ENSMUSG00000052534","18514"
"174","Purb","ENSMUSG00000094483","19291"
"175","4732471J01Rik","ENSMUSG00000053714","654804"
"176","Sidt1","ENSMUSG00000022696","320007"
"177","Copg2","ENSMUSG00000025607","54160"
"178","Slc2a13","ENSMUSG00000036298","239606"
"179","Rchy1","ENSMUSG00000029397","68098"
"180","Ablim1","ENSMUSG00000025085","226251"
"181","Robo1","ENSMUSG00000022883","19876"
"182","Gm10125","ENSMUSG00000063087","791318"
"183","Limch1","ENSMUSG00000037736","77569"
"184","9530062K07Rik","ENSMUSG00000108030","78739"
