"","SYMBOL","ENSEMBL","ENTREZID"
"137","Gldc","ENSMUSG00000024827","104174"
"138","Dstn","ENSMUSG00000015932","56431"
"139","Rbm39","ENSMUSG00000027620","170791"
"140","Enc1","ENSMUSG00000041773","13803"
"141","Luc7l2","ENSMUSG00000029823","192196"
"142","Tubb4b","ENSMUSG00000036752","227613"
"143","Ermn","ENSMUSG00000026830","77767"
"144","Ctnna2","ENSMUSG00000063063","12386"
"145","Snca","ENSMUSG00000025889","20617"
"146","Nudc","ENSMUSG00000028851","18221"
"147","Rgs2","ENSMUSG00000026360","19735"
"148","Norad","ENSMUSG00000102869","347740"
"149","Kcnk2","ENSMUSG00000037624","16526"
"150","Dock10","ENSMUSG00000038608","210293"
"151","Ywhab","ENSMUSG00000018326","54401"
"152","Arpc2","ENSMUSG00000006304","76709"
"153","Nrxn1","ENSMUSG00000024109","18189"
"154","Dbp","ENSMUSG00000059824","13170"
"155","Dnaaf9","ENSMUSG00000027309","228602"
"156","Nr4a1","ENSMUSG00000023034","15370"
"157","Junb","ENSMUSG00000052837","16477"
"158","Bc1","ENSMUSG00000115783","100568459"
"159","Slc30a10","ENSMUSG00000026614","226781"
"160","Ociad2","ENSMUSG00000029153","433904"
"161","D7Ertd443e","ENSMUSG00000030994","71007"
