"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y","X.1","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","hits.in.circadian.databases"
"15","Fth1",66,6.11e-54,0.829729516,0.798,0.574,2.13e-49,2.12e-53,-0.714245704,0.607,0.798,7.39e-49,"1",32,1.2e-39,0.883750698,0.784,0.55,4.19e-35,2.45e-27,-0.669287331,0.614,0.784,8.53e-23,"1",40,6.83e-38,0.759220598,0.902,0.785,2.38e-33,1.62e-20,-0.543196592,0.812,0.902,5.63e-16,"1"
"16","Gapdh",67,8.94e-49,0.815254604,0.721,0.494,3.12e-44,4.17e-31,-0.52692959,0.568,0.721,1.45e-26,"16",34,5.37e-30,0.825044566,0.671,0.443,1.87e-25,2.45e-13,-0.454055708,0.532,0.671,8.54e-09,"16",43,6.27e-34,0.798298578,0.705,0.467,2.19e-29,5.32e-17,-0.532008222,0.548,0.705,1.86e-12,"16"
"17","Hsp90aa1",78,6.99e-18,0.580957465,0.566,0.427,2.44e-13,7.89e-23,-0.532165571,0.425,0.566,2.75e-18,"15",37,4.09e-12,0.554433208,0.585,0.443,1.42e-07,1.03e-15,-0.615172547,0.425,0.585,3.58e-11,"15",44,1.29e-23,0.664717952,0.663,0.471,4.5e-19,1.1e-28,-0.762647695,0.459,0.663,3.84e-24,"15"
"18","Hsp90ab1",79,1.73e-31,0.618882611,0.725,0.551,6.02e-27,3.65e-36,-0.607862602,0.57,0.725,1.27e-31,"3",38,6.52e-19,0.609599121,0.739,0.566,2.27e-14,1.44e-23,-0.652472974,0.557,0.739,5.02e-19,"3",45,3.68e-45,0.830333558,0.812,0.61,1.28e-40,8.84e-45,-0.843334783,0.629,0.812,3.08e-40,"3"
"19","Hspa5",81,2.58e-17,0.658717818,0.302,0.164,9.01e-13,4.59e-26,-0.750094122,0.157,0.302,1.6e-21,"6",39,5.46e-13,0.746089356,0.313,0.172,1.9e-08,4.12e-13,-0.692672837,0.18,0.313,1.44e-08,"6",46,1.02e-22,0.819682471,0.331,0.152,3.55e-18,4.89e-20,-0.824477946,0.164,0.331,1.7e-15,"6"
"20","Hspa8",82,6.23e-20,0.584809215,0.577,0.416,2.17e-15,5.57e-19,-0.492843142,0.444,0.577,1.94e-14,"10",40,1.27e-14,0.677343728,0.561,0.404,4.44e-10,1.84e-11,-0.551110947,0.442,0.561,6.42e-07,"10",47,1.49e-16,0.589683275,0.614,0.451,5.18e-12,1.93e-18,-0.641667164,0.458,0.614,6.75e-14,"10"
"21","Lmo4",88,1.59e-08,0.38621681,0.384,0.283,0.000555177,2.07e-09,-0.359932481,0.294,0.384,7.23e-05,"2",42,4.67e-11,0.657882996,0.31,0.18,1.63e-06,3.19e-07,-0.45661271,0.21,0.31,0.011109164,"2",52,1.14e-07,0.41975377,0.281,0.18,0.003986363,5.89e-08,-0.471876742,0.181,0.281,0.002052157,"2"
"22","Luc7l2",89,6.26e-08,-0.27609172,0.61,0.697,0.002184295,2.46e-12,0.32989032,0.709,0.61,8.56e-08,"3",45,2.6e-14,-0.593656809,0.34,0.515,9.08e-10,2.81e-13,0.560734284,0.494,0.34,9.78e-09,"3",54,9.47e-10,-0.415027473,0.495,0.603,3.3e-05,3.1e-11,0.436824039,0.624,0.495,1.08e-06,"3"
"23","Malat1",90,3.47e-32,-0.167063564,1,1,1.21e-27,9.49e-13,0.093222379,1,1,3.31e-08,"#N/A",47,3.49e-70,-0.303127062,1,1,1.22e-65,4.47e-23,0.161469073,1,1,1.56e-18,"#N/A",56,2.33e-21,-0.178499641,1,1,8.12e-17,7.79e-16,0.176936085,1,1,2.72e-11,"#N/A"
"24","Myl6",92,6.79e-12,0.511842226,0.295,0.185,2.37e-07,1.63e-10,-0.393006097,0.204,0.295,5.68e-06,"#N/A",51,4.17e-09,0.573775864,0.292,0.178,0.000145394,2.35e-07,-0.481434652,0.197,0.292,0.008184553,"#N/A",63,2.52e-07,0.441048738,0.287,0.194,0.008773753,9.1e-08,-0.469036031,0.192,0.287,0.003173458,"#N/A"
