X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
35,Gm13710,6.18E-08,-0.619403232,0.049,0.123,0.002155345,3.84E-08,0.578375378,0.122,0.049,0.001338064,#N/A
43,Lrmda,3.95E-12,-0.519623698,0.516,0.658,1.38E-07,1.44E-09,0.472728342,0.62,0.516,5.01E-05,#N/A
44,Ltc4s,9.94E-07,-0.537378246,0.162,0.255,0.034671002,6.23E-08,0.572665631,0.262,0.162,0.002170847,#N/A
46,Macf1,7.14E-10,-0.408233892,0.569,0.686,2.49E-05,9.28E-09,0.354103003,0.672,0.569,0.000323418,3
75,Tgfbr1,5.77E-09,-0.329384689,0.748,0.813,0.000201063,9.45E-10,0.345179046,0.815,0.748,3.29E-05,2
