"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"22","Atp5b",188,2.96e-59,0.384309113,0.508,0.385,1.03e-54,9.2e-38,-0.25075884,0.417,0.508,3.21e-33,"#N/A",31,1.26e-17,0.469946491,0.533,0.437,4.38e-13,4.35e-10,-0.371719957,0.476,0.533,1.52e-05,"#N/A"
"23","Atp5g1",192,4.66e-83,0.451739836,0.448,0.296,1.62e-78,2.89e-39,-0.24589366,0.347,0.448,1.01e-34,"2",32,1.34e-20,0.470838095,0.45,0.319,4.68e-16,8.38e-10,-0.305029099,0.371,0.45,2.92e-05,"2"
"24","Atp6v0c",204,6.01e-255,0.689464831,0.901,0.78,2.1e-250,1.86e-96,-0.335933553,0.827,0.901,6.49e-92,"#N/A",33,1.45e-69,0.676133576,0.912,0.82,5.05e-65,1.6e-17,-0.303979978,0.893,0.912,5.57e-13,"#N/A"
"25","Atp6v1d",208,2.58e-86,0.497902946,0.516,0.375,9e-82,9.09e-38,-0.290313988,0.428,0.516,3.17e-33,"5",34,1.31e-17,0.46583109,0.458,0.344,4.57e-13,6.33e-08,-0.318938774,0.402,0.458,0.002205627,"5"
"26","Atp6v1e1",209,2.71e-87,0.481849039,0.526,0.375,9.46e-83,5.41e-58,-0.348570185,0.407,0.526,1.89e-53,"3",35,1.35e-13,0.406035854,0.509,0.429,4.7e-09,9.82e-08,-0.29926804,0.467,0.509,0.003425586,"3"
"27","Babam2",226,2.89e-79,-0.341507121,0.371,0.528,1.01e-74,9.25e-45,0.270648136,0.501,0.371,3.23e-40,"#N/A",39,8.15e-10,-0.188463548,0.294,0.401,2.84e-05,6.2e-10,0.200835254,0.402,0.294,2.16e-05,"#N/A"
"28","Basp1",231,1.02e-82,0.390240113,0.881,0.844,3.54e-78,2.48e-86,-0.364454933,0.831,0.881,8.65e-82,"#N/A",40,1.22e-25,0.472502468,0.766,0.684,4.25e-21,1.01e-24,-0.460732458,0.692,0.766,3.51e-20,"#N/A"
"29","Bbln",232,3.17e-42,0.341843968,0.441,0.341,1.11e-37,3.2e-25,-0.214413296,0.37,0.441,1.12e-20,"#N/A",41,3.56e-13,0.375669869,0.289,0.188,1.24e-08,1.59e-09,-0.358811947,0.212,0.289,5.55e-05,"#N/A"
"30","Bc1",235,1.91e-67,0.368421066,0.576,0.449,6.65e-63,6.46e-149,-0.556699576,0.374,0.576,2.25e-144,"#N/A",42,1.73e-08,0.301171247,0.451,0.378,0.00060197,2.28e-23,-0.498826517,0.307,0.451,7.95e-19,"#N/A"
"31","Bex2",239,1.28e-162,0.634279641,0.682,0.495,4.47e-158,8.18e-81,-0.391429109,0.55,0.682,2.85e-76,"#N/A",43,2.84e-32,0.566160116,0.633,0.482,9.91e-28,7.21e-11,-0.312646108,0.578,0.633,2.51e-06,"#N/A"
"32","Btf3l4",253,4e-11,-0.081383018,0.148,0.193,1.4e-06,4.39e-15,0.128873908,0.206,0.148,1.53e-10,"#N/A",44,1.9e-09,-0.188074569,0.16,0.244,6.62e-05,1.08e-08,0.144283999,0.241,0.16,0.000375065,"#N/A"
"33","C130071C03Rik",258,3.99e-16,-0.104715383,0.691,0.757,1.39e-11,3.43e-14,0.14483522,0.739,0.691,1.2e-09,"#N/A",45,3.04e-15,-0.243503371,0.714,0.822,1.06e-10,2.64e-12,0.187028785,0.833,0.714,9.2e-08,"#N/A"
"34","C1ql3",260,2.35e-88,0.588363747,0.662,0.552,8.2e-84,7.7e-58,-0.450037607,0.57,0.662,2.69e-53,"1",46,9.2e-17,0.456897198,0.304,0.188,3.21e-12,4.18e-20,-0.517259217,0.182,0.304,1.46e-15,"1"
"35","Cacna1b",267,3.13e-29,-0.18461921,0.604,0.688,1.09e-24,3.93e-11,0.139703908,0.656,0.604,1.37e-06,"#N/A",48,5.89e-12,-0.240629246,0.476,0.601,2.05e-07,1.02e-12,0.226394928,0.623,0.476,3.55e-08,"#N/A"
"36","Cacybp",273,2.09e-28,0.217315004,0.232,0.157,7.3e-24,2.4e-13,-0.124022742,0.18,0.232,8.38e-09,"2",49,1.23e-09,0.297072378,0.254,0.174,4.28e-05,8.61e-08,-0.307752283,0.187,0.254,0.003000805,"2"
