"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"93","Gtdc1",905,3.59e-120,-0.412618233,0.552,0.721,1.25e-115,1.28e-110,0.477576568,0.714,0.552,4.48e-106,"#N/A",124,3.75e-09,-0.202674997,0.389,0.493,0.00013085,9.27e-14,0.299473105,0.524,0.389,3.23e-09,"#N/A"
"94","Hacd1",913,1.2e-10,-0.079725631,0.221,0.272,4.19e-06,2.49e-18,0.152107883,0.295,0.221,8.67e-14,"#N/A",125,5.03e-08,-0.18127643,0.171,0.251,0.001754123,2.47e-08,0.125775579,0.258,0.171,0.000861005,"#N/A"
"95","Hecw2",919,3.58e-160,-0.416257885,0.825,0.913,1.25e-155,3.16e-08,0.087515101,0.841,0.825,0.001102262,"#N/A",126,6.5e-12,-0.217740084,0.626,0.745,2.27e-07,6.24e-08,0.172210071,0.732,0.626,0.002176122,"#N/A"
"96","Hibch",924,6.11e-17,-0.098962499,0.119,0.172,2.13e-12,2.15e-15,0.106787284,0.173,0.119,7.49e-11,"#N/A",127,6.47e-07,-0.129740074,0.103,0.163,0.022545268,4.14e-07,0.157563512,0.163,0.103,0.014446855,"#N/A"
"97","Hmgcll1",930,9.56e-18,-0.136159761,0.425,0.503,3.33e-13,4.84e-20,0.178385217,0.511,0.425,1.69e-15,"#N/A",128,2.36e-11,-0.243190604,0.379,0.498,8.23e-07,7.25e-11,0.246878447,0.498,0.379,2.53e-06,"#N/A"
"98","Hook1",939,6.08e-19,-0.127710716,0.434,0.517,2.12e-14,1.08e-13,0.130188981,0.514,0.434,3.76e-09,"2",129,7.4e-07,-0.172784794,0.254,0.336,0.025792182,8.19e-07,0.154016418,0.342,0.254,0.02854465,"2"
"99","Hsp90aa1",953,4.51e-201,0.687401754,0.785,0.637,1.57e-196,1.32e-111,-0.440872339,0.669,0.785,4.62e-107,"15",130,6.92e-26,0.498247519,0.759,0.7,2.41e-21,2.95e-16,-0.348011298,0.717,0.759,1.03e-11,"15"
"100","Hsp90ab1",954,0,0.884319311,0.924,0.818,0,1.1e-222,-0.610477225,0.834,0.924,3.85e-218,"3",131,1.27e-65,0.658084549,0.915,0.848,4.42e-61,1.09e-32,-0.446208145,0.888,0.915,3.79e-28,"3"
"101","Hspa5",960,3.63e-229,0.693203244,0.542,0.283,1.26e-224,2.5e-182,-0.595303789,0.309,0.542,8.71e-178,"6",132,5.63e-36,0.619679116,0.473,0.289,1.96e-31,3.04e-27,-0.566040917,0.325,0.473,1.06e-22,"6"
"102","Hspa8",961,3.68e-218,0.692989056,0.801,0.635,1.28e-213,2.41e-138,-0.467900322,0.671,0.801,8.41e-134,"10",133,2.8e-38,0.552152242,0.795,0.698,9.77e-34,4.53e-12,-0.297185172,0.769,0.795,1.58e-07,"10"
"103","Hsph1",964,1.49e-54,0.358878605,0.392,0.273,5.19e-50,9.19e-60,-0.315803212,0.263,0.392,3.2e-55,"7",134,2.05e-07,0.266612374,0.276,0.206,0.007140043,5.48e-07,-0.269999466,0.212,0.276,0.019111449,"7"
"104","Jph1",1001,8.19e-17,-0.127496391,0.443,0.52,2.86e-12,1.06e-10,0.12996585,0.507,0.443,3.71e-06,"#N/A",136,1.19e-06,-0.182627972,0.126,0.188,0.041502642,1.03e-07,0.153057777,0.196,0.126,0.003608573,"#N/A"
"105","Kcnip4",1016,4.66e-104,-0.33709937,0.96,0.986,1.62e-99,1.87e-62,0.311841928,0.963,0.96,6.52e-58,"1",139,1.91e-15,-0.389789408,0.804,0.905,6.65e-11,2.54e-17,0.434897686,0.878,0.804,8.87e-13,"1"
"106","Kcnt2",1021,1.05e-23,-0.157792952,0.773,0.849,3.67e-19,6.35e-23,0.217561873,0.82,0.773,2.22e-18,"#N/A",142,1.12e-08,-0.33037155,0.399,0.507,0.000390715,8.26e-11,0.407656998,0.513,0.399,2.88e-06,"#N/A"
"107","Lekr1",1052,1.31e-07,-0.076094913,0.274,0.318,0.004553555,5.66e-14,0.146847017,0.34,0.274,1.97e-09,"1",145,6.71e-07,-0.149359283,0.241,0.328,0.023389785,4.69e-08,0.208115243,0.332,0.241,0.00163526,"1"
"108","Lingo2",1058,8.04e-34,-0.308009809,0.803,0.848,2.8e-29,2.83e-11,0.260784768,0.801,0.803,9.85e-07,"#N/A",149,1.58e-09,-0.32575792,0.592,0.697,5.51e-05,2.08e-14,0.525518331,0.681,0.592,7.24e-10,"#N/A"
"109","Lrp1b",1065,1.17e-17,-0.168515663,0.934,0.968,4.07e-13,4.32e-62,0.380287009,0.938,0.934,1.51e-57,"#N/A",150,2.62e-10,-0.176309573,0.814,0.898,9.14e-06,1.46e-12,0.238506301,0.905,0.814,5.08e-08,"#N/A"
"110","Lrrc4c",1068,1.35e-11,-0.138644903,0.94,0.968,4.69e-07,2.41e-16,0.223586741,0.939,0.94,8.42e-12,"#N/A",151,6.97e-13,-0.300545629,0.788,0.896,2.43e-08,1.13e-15,0.357324149,0.887,0.788,3.94e-11,"#N/A"
"111","Luc7l2",1076,4.64e-131,-0.3501772,0.858,0.937,1.62e-126,9.78e-99,0.335824764,0.906,0.858,3.41e-94,"3",154,1.56e-22,-0.292668682,0.795,0.899,5.45e-18,2.82e-24,0.295554994,0.902,0.795,9.84e-20,"3"
"112","Magi2",1081,4.36e-09,-0.074805538,0.952,0.977,0.000151957,1.08e-23,0.139676151,0.935,0.952,3.75e-19,"#N/A",155,4.8e-08,-0.144695895,0.94,0.973,0.001673157,7.54e-07,0.146193409,0.97,0.94,0.026305476,"#N/A"
"113","Map1b",1086,3.65e-20,0.183846438,0.906,0.912,1.27e-15,1.04e-55,-0.273243256,0.87,0.906,3.62e-51,"#N/A",156,5.1e-08,0.249454875,0.789,0.778,0.001777586,2.86e-10,-0.287681458,0.774,0.789,9.98e-06,"#N/A"
"114","Mast4",1101,1.19e-80,-0.313760988,0.804,0.883,4.15e-76,7.27e-20,0.178023859,0.842,0.804,2.53e-15,"1",157,1.86e-07,-0.1722775,0.404,0.507,0.006468572,2.99e-09,0.21259718,0.525,0.404,0.000104419,"1"
"115","Mblac2",1103,1.36e-06,-0.057607408,0.314,0.357,0.047565873,1.14e-07,0.098807929,0.365,0.314,0.003966688,"#N/A",158,5.01e-09,-0.185474199,0.266,0.367,0.000174644,5.51e-10,0.200088077,0.373,0.266,1.92e-05,"#N/A"
"116","Mipol1",1126,4.52e-08,-0.071766305,0.121,0.156,0.001577472,1.09e-13,0.105665774,0.172,0.121,3.81e-09,"#N/A",162,7.07e-11,-0.239375613,0.127,0.212,2.47e-06,1.75e-08,0.148700637,0.202,0.127,0.00060882,"#N/A"
"117","Morf4l1",1134,1.15e-33,0.300789369,0.507,0.425,4e-29,2.67e-26,-0.202477399,0.437,0.507,9.3e-22,"4",164,8.39e-11,0.326227196,0.503,0.424,2.92e-06,3.68e-07,-0.258895562,0.452,0.503,0.012830828,"4"
"118","mt-Nd2",1154,1.55e-110,0.595736705,0.745,0.647,5.42e-106,1.2e-102,-0.575877494,0.645,0.745,4.17e-98,"#N/A",165,8.37e-16,0.461361801,0.684,0.615,2.92e-11,1.27e-08,-0.336872215,0.654,0.684,0.000441862,"#N/A"
"119","mt-Nd4",1156,2.94e-94,0.53126167,0.691,0.575,1.03e-89,1.77e-95,-0.52056275,0.569,0.691,6.16e-91,"#N/A",166,3.1e-16,0.435467892,0.637,0.541,1.08e-11,1.55e-07,-0.307442942,0.596,0.637,0.005405763,"#N/A"
"120","mt-Rnr1",1159,5.17e-99,0.602658761,0.81,0.75,1.8e-94,3.64e-161,-0.811567877,0.709,0.81,1.27e-156,"#N/A",167,1.3e-07,0.244391274,0.776,0.756,0.004545508,1.09e-10,-0.426982402,0.773,0.776,3.79e-06,"#N/A"
"121","mt-Rnr2",1160,1.14e-133,0.682120915,0.882,0.834,3.97e-129,1.34e-169,-0.820738363,0.817,0.882,4.68e-165,"#N/A",168,1.87e-19,0.41475762,0.875,0.856,6.52e-15,9.02e-23,-0.569017439,0.845,0.875,3.15e-18,"#N/A"
"122","Nbea",1190,2.57e-34,-0.150701049,0.928,0.961,8.98e-30,2.71e-21,0.148481349,0.918,0.928,9.44e-17,"#N/A",169,1.57e-07,-0.120298348,0.85,0.928,0.005491237,1.49e-10,0.183672083,0.929,0.85,5.19e-06,"#N/A"
"123","Ndufb9",1217,6.85e-67,0.384587537,0.368,0.235,2.39e-62,2.16e-24,-0.175896377,0.288,0.368,7.53e-20,"1",171,1.13e-24,0.538180362,0.402,0.256,3.94e-20,3.83e-07,-0.273494059,0.337,0.402,0.013358974,"1"
"124","Nek1",1232,1.28e-22,-0.142947954,0.324,0.411,4.46e-18,1.46e-20,0.164215078,0.416,0.324,5.1e-16,"#N/A",173,5.1e-07,-0.193553641,0.338,0.425,0.017786045,5.63e-09,0.185072821,0.442,0.338,0.00019624,"#N/A"
"125","Nprl3",1258,3.72e-24,-0.142250248,0.143,0.212,1.3e-19,5.07e-18,0.126684856,0.207,0.143,1.77e-13,"#N/A",176,7.19e-07,-0.138235963,0.111,0.174,0.025057901,3.3e-08,0.143894903,0.182,0.111,0.001150714,"#N/A"
"126","Nrg3",1265,8.06e-292,-0.349953229,0.97,0.99,2.81e-287,3.75e-146,0.280476338,0.966,0.97,1.31e-141,"#N/A",177,3.05e-18,-0.285111583,0.884,0.974,1.06e-13,1e-31,0.360501554,0.984,0.884,3.5e-27,"#N/A"
"127","Nrgn",1268,0,0.775835226,0.953,0.877,0,9.77e-115,-0.417317078,0.916,0.953,3.41e-110,"#N/A",178,8.08e-76,0.820522357,0.816,0.63,2.82e-71,1.77e-65,-0.730370676,0.666,0.816,6.16e-61,"#N/A"
"128","Nxpe4",1285,5.07e-27,-0.213028631,0.366,0.456,1.77e-22,7.33e-28,0.259801982,0.461,0.366,2.56e-23,"#N/A",180,1.74e-15,-0.243538514,0.195,0.322,6.05e-11,2.92e-10,0.193657506,0.294,0.195,1.02e-05,"#N/A"
"129","Olfm1",1295,1.7e-113,0.476526527,0.887,0.839,5.93e-109,1e-100,-0.388969874,0.821,0.887,3.49e-96,"2",181,1.59e-39,0.597825492,0.732,0.588,5.53e-35,6.44e-20,-0.41393443,0.652,0.732,2.24e-15,"2"
"130","Pcca",1318,1.83e-58,-0.273283284,0.398,0.538,6.38e-54,9.91e-41,0.249289048,0.524,0.398,3.46e-36,"1",184,3.05e-11,-0.218623769,0.369,0.495,1.06e-06,7.09e-11,0.235178471,0.49,0.369,2.47e-06,"1"
"131","Pcp4",1325,3.41e-91,0.555402335,0.565,0.406,1.19e-86,5.41e-49,-0.315899576,0.441,0.565,1.89e-44,"#N/A",185,1.14e-30,0.6320365,0.459,0.291,3.96e-26,4.32e-25,-0.584601835,0.307,0.459,1.51e-20,"#N/A"
"132","Pdia3",1335,1.12e-56,0.34814051,0.41,0.289,3.89e-52,3.96e-46,-0.270914858,0.303,0.41,1.38e-41,"4",186,2.35e-07,0.297876525,0.354,0.288,0.008188933,1.12e-06,-0.272055331,0.293,0.354,0.039068131,"4"
"133","Pdia6",1337,1.29e-100,0.422704399,0.407,0.24,4.51e-96,4.78e-66,-0.320970032,0.271,0.407,1.67e-61,"2",187,4.39e-15,0.428765967,0.304,0.196,1.53e-10,2.47e-08,-0.313100996,0.229,0.304,0.000862512,"2"
"134","Phf7",1361,5.33e-17,-0.073417254,0.039,0.073,1.86e-12,2.48e-12,0.063090728,0.068,0.039,8.66e-08,"#N/A",188,1.11e-09,-0.122553002,0.023,0.065,3.88e-05,2.05e-07,0.096966601,0.058,0.023,0.00713208,"#N/A"
"135","Ppia",1392,4.44e-301,0.794134147,0.842,0.649,1.55e-296,3.83e-126,-0.413570386,0.729,0.842,1.34e-121,"2",190,5.81e-68,0.777281976,0.813,0.644,2.02e-63,1.6e-28,-0.47680209,0.733,0.813,5.58e-24,"2"
"136","Prpf40a",1422,1.74e-08,-0.067040068,0.43,0.481,0.000608112,1.27e-07,0.106213438,0.482,0.43,0.004415865,"1",193,8.49e-10,-0.214074363,0.322,0.427,2.96e-05,3.87e-09,0.223539367,0.426,0.322,0.000134934,"1"
"137","Psma7",1435,6.59e-41,0.322156778,0.367,0.264,2.3e-36,3.91e-19,-0.140256509,0.299,0.367,1.37e-14,"#N/A",194,3.65e-14,0.392455528,0.35,0.24,1.27e-09,8.81e-08,-0.322416131,0.282,0.35,0.00307176,"#N/A"
"138","Ptma",1455,2.51e-76,0.457458835,0.477,0.336,8.75e-72,5.29e-50,-0.333415319,0.365,0.477,1.84e-45,"3",196,3.71e-16,0.486441028,0.456,0.342,1.29e-11,1.49e-10,-0.438442188,0.381,0.456,5.18e-06,"3"
"139","Ptms",1456,7.81e-84,0.483529839,0.563,0.426,2.72e-79,2.87e-37,-0.279387201,0.481,0.563,1e-32,"1",197,1.4e-12,0.37157243,0.429,0.332,4.88e-08,6.52e-08,-0.299115989,0.36,0.429,0.00227364,"1"
"140","Ptn",1457,3.57e-25,0.28775268,0.678,0.633,1.24e-20,1.91e-16,-0.139730299,0.648,0.678,6.66e-12,"#N/A",198,1.25e-12,0.422980838,0.464,0.371,4.37e-08,2.35e-09,-0.342453249,0.387,0.464,8.21e-05,"#N/A"
"141","Ptprd",1460,1.19e-213,-0.371491331,0.979,0.995,4.14e-209,5.38e-156,0.352798042,0.974,0.979,1.87e-151,"3",199,1.19e-09,-0.178576758,0.83,0.916,4.16e-05,3.37e-14,0.276111095,0.907,0.83,1.17e-09,"3"
"142","Purb",1463,2.83e-46,0.342797815,0.429,0.325,9.86e-42,1.44e-44,-0.307602726,0.321,0.429,5.04e-40,"#N/A",201,6.22e-09,0.287520456,0.42,0.346,0.000216805,6.42e-08,-0.304986407,0.363,0.42,0.002237704,"#N/A"
"143","Rab3a",1470,1.24e-130,0.556723665,0.57,0.385,4.34e-126,3.32e-69,-0.336476461,0.438,0.57,1.16e-64,"1",203,3.88e-24,0.493235899,0.567,0.443,1.35e-19,1.95e-07,-0.252497133,0.516,0.567,0.006797645,"1"
"144","Rad51ap2",1481,1.5e-252,-0.61898851,0.166,0.436,5.22e-248,1.3e-58,0.248973008,0.294,0.166,4.52e-54,"#N/A",204,1.25e-07,-0.147101799,0.053,0.103,0.004342981,3.43e-08,0.137494728,0.105,0.053,0.001195036,"#N/A"
"145","Ranbp17",1487,1.5e-59,-0.230886508,0.123,0.236,5.22e-55,5.48e-41,0.192062562,0.22,0.123,1.91e-36,"#N/A",205,4.66e-15,-0.295099117,0.193,0.311,1.63e-10,3.73e-14,0.257300963,0.311,0.193,1.3e-09,"#N/A"
"146","Reps2",1506,3.23e-24,-0.148042232,0.61,0.686,1.13e-19,2.75e-15,0.148925906,0.668,0.61,9.57e-11,"#N/A",209,1.43e-06,-0.17758496,0.524,0.608,0.049716625,2.54e-09,0.218382365,0.635,0.524,8.86e-05,"#N/A"
"147","Robo1",1530,1.97e-07,-0.109348728,0.799,0.842,0.006856009,1.07e-20,0.277142897,0.83,0.799,3.74e-16,"2",213,9.7e-09,-0.155345485,0.809,0.917,0.000338057,9.29e-14,0.244184842,0.909,0.809,3.24e-09,"2"
"148","Rpl19",1543,6.32e-69,0.43876278,0.489,0.352,2.2e-64,3.61e-17,-0.129912013,0.43,0.489,1.26e-12,"1",214,3.69e-20,0.498808529,0.488,0.366,1.29e-15,1.39e-07,-0.298268336,0.432,0.488,0.0048406,"1"
"149","Rsrp1",1608,1.94e-81,-0.269491336,0.762,0.861,6.77e-77,9.13e-44,0.217368806,0.837,0.762,3.18e-39,"#N/A",215,2.55e-16,-0.262048972,0.678,0.808,8.88e-12,6.43e-11,0.176742706,0.812,0.678,2.24e-06,"#N/A"
"150","Rtn1",1613,9.74e-200,0.491319094,0.968,0.942,3.4e-195,1.6e-114,-0.315962995,0.94,0.968,5.58e-110,"#N/A",216,4.45e-36,0.441763223,0.929,0.897,1.55e-31,1.3e-15,-0.270620034,0.92,0.929,4.55e-11,"#N/A"
"151","Rtn4",1614,1.83e-71,0.359819919,0.848,0.802,6.37e-67,3.99e-51,-0.271043309,0.796,0.848,1.39e-46,"#N/A",217,5.97e-22,0.42854502,0.788,0.723,2.08e-17,3.23e-20,-0.423368325,0.738,0.788,1.13e-15,"#N/A"
"152","Scfd2",1626,5.98e-07,-0.076772486,0.346,0.393,0.020837396,2.35e-11,0.12281881,0.416,0.346,8.19e-07,"#N/A",218,1.28e-08,-0.17024465,0.222,0.315,0.000444901,5.96e-07,0.179709677,0.304,0.222,0.020766902,"#N/A"
"153","Slc25a4",1676,5.77e-144,0.590656252,0.707,0.566,2.01e-139,5.65e-50,-0.265994752,0.634,0.707,1.97e-45,"#N/A",222,1.1e-29,0.478445042,0.744,0.645,3.83e-25,4.27e-09,-0.251199625,0.723,0.744,0.000148801,"#N/A"
"154","Snap25",1701,1.18e-71,0.209283033,0.981,0.985,4.11e-67,6.73e-56,-0.187917147,0.973,0.981,2.35e-51,"#N/A",225,9.63e-25,0.334141287,0.934,0.934,3.36e-20,8.21e-14,-0.244609156,0.944,0.934,2.86e-09,"#N/A"
"155","Snhg11",1707,0,-0.336193364,0.98,0.996,0,1.42e-16,0.077827384,0.986,0.98,4.95e-12,"#N/A",226,3.19e-115,-0.476511371,0.949,0.987,1.11e-110,3.42e-28,0.25054371,0.993,0.949,1.19e-23,"#N/A"
"156","Spock1",1734,6.14e-50,-0.237653268,0.826,0.89,2.14e-45,2.14e-17,0.160296273,0.845,0.826,7.46e-13,"#N/A",228,1.09e-13,-0.286700559,0.56,0.69,3.8e-09,6.71e-12,0.261146746,0.697,0.56,2.34e-07,"#N/A"
"157","Stmn1",1754,1.6e-161,0.599869754,0.816,0.686,5.57e-157,3.7e-57,-0.294923186,0.744,0.816,1.29e-52,"#N/A",229,1.88e-44,0.698318594,0.733,0.573,6.56e-40,7.45e-27,-0.516838,0.631,0.733,2.6e-22,"#N/A"
"158","Stmn2",1755,2.2e-110,0.474971976,0.79,0.688,7.69e-106,2.18e-51,-0.285976113,0.723,0.79,7.59e-47,"2",230,2.89e-19,0.420968688,0.69,0.599,1.01e-14,2.96e-09,-0.300781924,0.661,0.69,0.000103323,"2"
"159","Sub1",1762,2.25e-69,0.489015567,0.514,0.386,7.86e-65,5.89e-58,-0.337867029,0.388,0.514,2.05e-53,"1",231,3.29e-14,0.395520632,0.42,0.31,1.15e-09,1.82e-07,-0.295624077,0.355,0.42,0.006354866,"1"
"160","Tenm2",1803,1.54e-25,-0.207311125,0.892,0.941,5.37e-21,1.95e-28,0.264451132,0.915,0.892,6.78e-24,"#N/A",232,2.95e-07,-0.170077514,0.798,0.89,0.010294783,1.66e-12,0.296047809,0.883,0.798,5.79e-08,"#N/A"
"161","Tesc",1806,3.65e-14,0.176668509,0.256,0.202,1.27e-09,4.32e-14,-0.175669007,0.204,0.256,1.51e-09,"#N/A",233,1.89e-08,0.251389562,0.115,0.06,0.00065873,3.17e-08,-0.230948622,0.061,0.115,0.001103726,"#N/A"
"162","Thap3",1809,1.08e-25,-0.14732261,0.187,0.268,3.77e-21,1.18e-37,0.20344293,0.294,0.187,4.1e-33,"#N/A",234,4.99e-07,-0.181217481,0.233,0.314,0.017393876,1.38e-07,0.172094176,0.32,0.233,0.004795923,"#N/A"
"163","Tmem186",1833,8.96e-13,-0.075191797,0.091,0.132,3.13e-08,3.98e-09,0.056679574,0.127,0.091,0.000138695,"#N/A",237,1.62e-11,-0.211427414,0.089,0.167,5.65e-07,1.4e-07,0.152366362,0.149,0.089,0.004871743,"#N/A"
"164","Tmem267",1839,5.52e-226,0.914351791,0.214,0.028,1.92e-221,1.32e-177,-0.880931435,0.037,0.214,4.62e-173,"#N/A",238,3.46e-58,0.999357729,0.2,0.021,1.21e-53,2.83e-61,-1.008417775,0.017,0.2,9.88e-57,"#N/A"
"165","Tmsb4x",1848,7.01e-210,0.721275359,0.775,0.587,2.45e-205,4.29e-95,-0.398195151,0.653,0.775,1.5e-90,"#N/A",239,8.68e-56,0.753693121,0.746,0.559,3.03e-51,3.26e-27,-0.521473822,0.65,0.746,1.14e-22,"#N/A"
"166","Tnrc6c",1852,2e-32,-0.171145626,0.834,0.887,6.99e-28,4.88e-10,0.114321338,0.851,0.834,1.7e-05,"#N/A",240,5.9e-14,-0.244674829,0.662,0.779,2.06e-09,1.83e-07,0.151783753,0.783,0.662,0.00637681,"#N/A"
"167","Ttc9b",1880,1.19e-62,0.371088272,0.383,0.253,4.15e-58,6.63e-30,-0.219007366,0.295,0.383,2.31e-25,"#N/A",241,1.57e-13,0.39060206,0.252,0.154,5.46e-09,4.51e-14,-0.390029883,0.154,0.252,1.57e-09,"#N/A"
"168","Tuba1a",1881,1e-161,0.638572953,0.705,0.537,3.49e-157,4.67e-71,-0.345220524,0.599,0.705,1.63e-66,"4",242,2.47e-42,0.630431085,0.691,0.527,8.6e-38,3.3e-24,-0.480403686,0.592,0.691,1.15e-19,"4"
"169","Tubb5",1887,2.34e-103,0.493483488,0.463,0.296,8.15e-99,8e-56,-0.33530332,0.344,0.463,2.79e-51,"4",243,3.36e-18,0.466198619,0.378,0.254,1.17e-13,1.27e-11,-0.404406113,0.288,0.378,4.43e-07,"4"
"170","Ubb",1893,4.72e-158,0.613534146,0.716,0.553,1.65e-153,4.95e-84,-0.362289606,0.599,0.716,1.73e-79,"#N/A",244,1.63e-40,0.619309517,0.721,0.553,5.68e-36,9.26e-15,-0.378830984,0.655,0.721,3.23e-10,"#N/A"
"171","Uchl1",1905,1.17e-67,0.446554671,0.577,0.455,4.08e-63,1.12e-42,-0.287102702,0.485,0.577,3.91e-38,"1",246,7.22e-13,0.349399838,0.469,0.37,2.52e-08,6.59e-08,-0.335126008,0.412,0.469,0.002296173,"1"
"172","Uggt2",1907,3.37e-29,-0.190975359,0.419,0.515,1.17e-24,8.12e-12,0.112567627,0.492,0.419,2.83e-07,"#N/A",247,4.84e-10,-0.241515677,0.323,0.429,1.69e-05,9.46e-08,0.173748745,0.425,0.323,0.003297538,"#N/A"
"173","Upp2",1911,1.37e-13,-0.108516245,0.625,0.684,4.79e-09,2.52e-41,0.275386252,0.713,0.625,8.79e-37,"7",248,9.01e-11,-0.241016421,0.549,0.662,3.14e-06,3.43e-10,0.235066006,0.669,0.549,1.19e-05,"7"
"174","Uri1",1920,8.29e-18,-0.132169028,0.357,0.436,2.89e-13,7.65e-20,0.177580442,0.447,0.357,2.67e-15,"#N/A",249,1.43e-08,-0.163170635,0.315,0.419,0.000498696,5.91e-09,0.190874891,0.418,0.315,0.000205924,"#N/A"
"175","Vamp2",1924,3.23e-68,0.404859584,0.502,0.372,1.12e-63,2.99e-45,-0.268454812,0.395,0.502,1.04e-40,"1",250,4.82e-13,0.374029133,0.443,0.349,1.68e-08,1.11e-06,-0.2966416,0.395,0.443,0.038717481,"1"
"176","Vps13b",1932,7.42e-07,-0.073202343,0.732,0.776,0.025856597,6.36e-09,0.12818725,0.765,0.732,0.000221615,"#N/A",251,8.83e-07,-0.164886296,0.576,0.661,0.030772921,1.03e-07,0.169978769,0.686,0.576,0.003590133,"#N/A"
"177","Vwa5b2",1939,1.24e-13,-0.107867432,0.193,0.249,4.32e-09,5.23e-07,0.075900083,0.234,0.193,0.018237384,"#N/A",252,1.35e-09,-0.205127914,0.155,0.237,4.7e-05,1.43e-07,0.15220882,0.227,0.155,0.00499488,"#N/A"
"178","Vwa8",1940,8.12e-61,-0.283567868,0.336,0.474,2.83e-56,4.07e-32,0.234466481,0.443,0.336,1.42e-27,"#N/A",253,1.47e-15,-0.303011703,0.374,0.511,5.13e-11,8.56e-13,0.249373063,0.512,0.374,2.99e-08,"#N/A"
"179","Wrn",1949,5.71e-25,-0.157006198,0.191,0.268,1.99e-20,2.62e-21,0.14665116,0.268,0.191,9.15e-17,"#N/A",254,5.11e-09,-0.179260802,0.167,0.252,0.000178011,4.24e-07,0.12934523,0.243,0.167,0.014770743,"#N/A"
"180","Xbp1",1952,2.93e-27,0.212634853,0.24,0.166,1.02e-22,1.2e-30,-0.217374729,0.158,0.24,4.17e-26,"1",256,1.38e-09,0.275620094,0.183,0.111,4.82e-05,6.08e-08,-0.259828373,0.12,0.183,0.002119518,"1"
"181","Xkr4",1953,6.03e-67,-0.281506127,0.897,0.948,2.1e-62,4.86e-47,0.274183467,0.904,0.897,1.7e-42,"#N/A",257,5.4e-18,-0.255141163,0.838,0.952,1.88e-13,7.09e-20,0.280636816,0.95,0.838,2.47e-15,"#N/A"
"182","Xrcc5",1955,2.43e-14,-0.084621454,0.098,0.143,8.48e-10,9.61e-10,0.077029564,0.136,0.098,3.35e-05,"#N/A",259,9.39e-10,-0.167132471,0.078,0.145,3.27e-05,1.43e-08,0.146247166,0.139,0.078,0.000497801,"#N/A"
"183","Ywhae",1959,1.39e-62,0.386752197,0.64,0.543,4.85e-58,1.12e-37,-0.249790393,0.568,0.64,3.91e-33,"#N/A",260,6.59e-13,0.378170496,0.589,0.515,2.3e-08,6.7e-11,-0.333450702,0.516,0.589,2.34e-06,"#N/A"
"184","Ywhah",1961,4.73e-126,0.544651197,0.705,0.574,1.65e-121,1.56e-73,-0.358497204,0.606,0.705,5.45e-69,"5",261,5.02e-27,0.563427977,0.561,0.421,1.75e-22,4.7e-13,-0.376617103,0.488,0.561,1.64e-08,"5"
"185","Ywhaz",1963,2.67e-24,0.251278911,0.689,0.657,9.3e-20,6.64e-30,-0.229034333,0.643,0.689,2.32e-25,"1",262,3.44e-09,0.27154161,0.526,0.46,0.000119781,3.09e-08,-0.273050563,0.476,0.526,0.001078463,"1"
"186","Zc3h15",1970,8.76e-31,0.271643737,0.538,0.461,3.05e-26,1.2e-24,-0.227464848,0.474,0.538,4.2e-20,"#N/A",263,5.97e-07,0.276695258,0.456,0.398,0.020805364,1.31e-06,-0.243004966,0.399,0.456,0.045505659,"#N/A"
"187","Zkscan16",2001,3.3e-19,-0.136582951,0.174,0.241,1.15e-14,6.72e-16,0.115639196,0.24,0.174,2.34e-11,"#N/A",264,1.47e-08,-0.196256456,0.085,0.148,0.000511081,7.73e-09,0.174366686,0.15,0.085,0.000269352,"#N/A"
"188","Zkscan2",2002,1.57e-28,-0.141173089,0.121,0.193,5.46e-24,2.05e-24,0.131338878,0.191,0.121,7.15e-20,"#N/A",265,1.5e-10,-0.193588942,0.153,0.242,5.23e-06,3.44e-08,0.161999622,0.229,0.153,0.001199353,"#N/A"
