"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","5/239","122/28943",0.0034887021192083,0.0398705152081615,0.0312203001753334,"Aldoa/Ndufb9/Atp5g1/Atp5b/Prkn",5
"GO:0015837","amine transport","5/239","122/28943",0.0034887021192083,0.0398705152081615,0.0312203001753334,"Cck/Pcp4/Rab3a/Rtn4/Slc6a1",5
"GO:0046928","regulation of neurotransmitter secretion","5/239","122/28943",0.0034887021192083,0.0398705152081615,0.0312203001753334,"Rab3a/Rims1/Prkn/Cacna1b/Ntrk2",5
"GO:0098659","inorganic cation import across plasma membrane","5/239","122/28943",0.0034887021192083,0.0398705152081615,0.0312203001753334,"Calm1/Atp1b1/Cacna1b/Atp1a1/Slc6a1",5
"GO:0099587","inorganic ion import across plasma membrane","5/239","122/28943",0.0034887021192083,0.0398705152081615,0.0312203001753334,"Calm1/Atp1b1/Cacna1b/Atp1a1/Slc6a1",5
"GO:0051084","'de novo' post-translational protein folding","3/239","37/28943",0.00351199921895501,0.0398705152081615,0.0312203001753334,"Hspa8/Hspa5/Hsph1",3
"GO:0007163","establishment or maintenance of cell polarity","7/239","235/28943",0.0035155860215224,0.0398705152081615,0.0312203001753334,"Hsp90ab1/Actb/Hsp90aa1/Cfl1/Frmd4a/Map1b/Rictor",7
"GO:0010807","regulation of synaptic vesicle priming","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Rab3a/Rims1",2
"GO:0070782","phosphatidylserine exposure on apoptotic cell surface","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Xkr4/Xkr6",2
"GO:0099545","trans-synaptic signaling by trans-synaptic complex","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Ptprd/Tenm2",2
"GO:0099639","neurotransmitter receptor transport, endosome to plasma membrane","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Grip1/Arhgap44",2
"GO:1902915","negative regulation of protein polyubiquitination","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Ppia/Ubr5",2
"GO:1903332","regulation of protein folding","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Hspa8/Pdia3",2
"GO:1903599","positive regulation of autophagy of mitochondrion","2/239","11/28943",0.00355569925622598,0.0398705152081615,0.0312203001753334,"Slc25a4/Prkn",2
"GO:0051962","positive regulation of nervous system development","9/239","366/28943",0.00356391950471347,0.0398705152081615,0.0312203001753334,"Rtn4/Atp5g1/Ptn/Xrcc5/Ptprd/Ntrk2/Lingo2/Robo1/Map1b",9
"GO:0006606","protein import into nucleus","6/239","177/28943",0.00361777453657443,0.0400233057064734,0.0313399415994869,"Hsp90ab1/Hspa8/Cfl1/Ddx5/Ubr5/Xbp1",6
"GO:0051494","negative regulation of cytoskeleton organization","6/239","177/28943",0.00361777453657443,0.0400233057064734,0.0313399415994869,"Tmsb4x/Stmn1/Stmn2/Cfl1/Prkn/Map1b",6
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","6/239","177/28943",0.00361777453657443,0.0400233057064734,0.0313399415994869,"Ppia/Ubb/Dnaja1/Prkn/Xbp1/Uri1",6
"GO:0006458","'de novo' protein folding","3/239","38/28943",0.00379001833293532,0.041620532207639,0.0325906375223772,"Hspa8/Hspa5/Hsph1",3
"GO:0097106","postsynaptic density organization","3/239","38/28943",0.00379001833293532,0.041620532207639,0.0325906375223772,"Hspa8/Cfl1/Ptprd",3
"GO:0007632","visual behavior","4/239","77/28943",0.00383001039112876,0.0419056448289437,0.0328138927668715,"Cck/Meis2/Grin1/Ddhd2",4
"GO:1901890","positive regulation of cell junction assembly","5/239","125/28943",0.00386964543484681,0.0421847843572533,0.0330324708268521,"Fmn1/Cfl1/Ptprd/Ntrk2/Lingo2",5
"GO:0051261","protein depolymerization","5/239","126/28943",0.00400298931419129,0.0434417393344147,0.0340167197508746,"Stmn1/Hspa8/Stmn2/Cfl1/Map1b",5
"GO:0050769","positive regulation of neurogenesis","8/239","305/28943",0.00401403416682238,0.0434417393344147,0.0340167197508746,"Rtn4/Atp5g1/Ptn/Xrcc5/Ptprd/Ntrk2/Robo1/Map1b",8
"GO:0051170","import into nucleus","6/239","181/28943",0.00403414423609377,0.0435017647408379,0.0340637221835469,"Hsp90ab1/Hspa8/Cfl1/Ddx5/Ubr5/Xbp1",6
"GO:0009259","ribonucleotide metabolic process","10/239","445/28943",0.0041086795957562,0.0441461365198696,0.0345682925474073,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp1b1/Atp5g1/Atp5b/Prkn/Upp2/Acaca",10
"GO:0016188","synaptic vesicle maturation","2/239","12/28943",0.00424368393031955,0.0449126937173329,0.0351685392630923,"Rab3a/Slc17a7",2
"GO:0061669","spontaneous neurotransmitter secretion","2/239","12/28943",0.00424368393031955,0.0449126937173329,0.0351685392630923,"Rims1/Prkn",2
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","2/239","12/28943",0.00424368393031955,0.0449126937173329,0.0351685392630923,"Pdia6/Xbp1",2
"GO:1902947","regulation of tau-protein kinase activity","2/239","12/28943",0.00424368393031955,0.0449126937173329,0.0351685392630923,"Hsp90aa1/Egr1",2
"GO:0072659","protein localization to plasma membrane","8/239","308/28943",0.00425520332172923,0.0449126937173329,0.0351685392630923,"Actb/Rab3a/Atp1b1/Grip1/Kcnip4/Vamp2/Arhgap44/Tesc",8
"GO:0032232","negative regulation of actin filament bundle assembly","3/239","40/28943",0.00438538389609651,0.0457014733635224,0.0357861870962757,"Stmn1/Cfl1/Prkn",3
"GO:1901020","negative regulation of calcium ion transmembrane transporter activity","3/239","40/28943",0.00438538389609651,0.0457014733635224,0.0357861870962757,"Calm1/Calm2/Ywhae",3
"GO:1903573","negative regulation of response to endoplasmic reticulum stress","3/239","40/28943",0.00438538389609651,0.0457014733635224,0.0357861870962757,"Pdia6/Prkn/Xbp1",3
"GO:0051865","protein autoubiquitination","4/239","80/28943",0.00439113587389719,0.0457014733635224,0.0357861870962757,"Prkn/Babam2/Rchy1/Sh3rf3",4
"GO:0007631","feeding behavior","5/239","130/28943",0.00456933320021928,0.0473909662119964,0.037109131472541,"Cck/Atp8a2/Uchl1/Grin1/Ntrk2",5
"GO:0140056","organelle localization by membrane tethering","4/239","81/28943",0.00458983079910903,0.0474388394357739,0.0371466182320898,"Rab3a/Rims1/Vamp2/Scfd2",4
