X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
170,Ndufaf7,8.17E-08,-0.190396198,0.288,0.378,0.002850185,4.73E-07,0.158564164,0.378,0.288,0.016503202,#N/A
172,Nebl,6.99E-19,-0.301453702,0.676,0.79,2.44E-14,1.98E-07,0.15886352,0.767,0.676,0.006915838,1
174,Nmnat2,5.96E-07,-0.145397785,0.466,0.577,0.020771996,2.36E-09,0.189423979,0.6,0.466,8.22E-05,#N/A
175,Npffr2,2.73E-08,0.134657143,0.02,0,0.000953099,1.24E-06,-0.11284619,0.002,0.02,0.043392678,#N/A
179,Ntrk2,1.28E-09,-0.195855848,0.811,0.9,4.48E-05,8.15E-08,0.18366603,0.89,0.811,0.002842862,#N/A
182,Pbx1,5.56E-09,0.590119442,0.681,0.653,0.000193992,4.59E-11,-0.716301735,0.645,0.681,1.60E-06,#N/A
183,Pbx3,4.22E-13,0.952458689,0.213,0.126,1.47E-08,3.58E-17,-1.222868174,0.112,0.213,1.25E-12,#N/A
189,Phka2,6.13E-12,-0.247519085,0.214,0.324,2.14E-07,2.66E-08,0.201384587,0.302,0.214,0.000926246,1
191,Ppm1h,1.13E-08,-0.165166282,0.42,0.539,0.000394428,3.73E-09,0.18338868,0.547,0.42,0.000130212,1
195,Ptchd4,3.28E-09,-0.253747763,0.596,0.708,0.000114269,1.10E-07,0.235456384,0.689,0.596,0.003823722,#N/A
200,Ptprn2,4.86E-09,-0.177591238,0.794,0.879,0.000169334,6.79E-07,0.151380976,0.878,0.794,0.0236892,#N/A
206,Rbfox1,6.92E-19,-0.28611814,0.912,0.958,2.41E-14,1.83E-13,0.259448921,0.946,0.912,6.37E-09,2
207,Rbms3,1.78E-11,-0.222466171,0.74,0.864,6.21E-07,4.52E-16,0.299248384,0.87,0.74,1.58E-11,1
208,Rchy1,8.95E-09,-0.217479343,0.182,0.265,0.000312116,6.70E-07,0.132800849,0.258,0.182,0.023346717,#N/A
210,Rictor,7.01E-07,-0.18303984,0.247,0.324,0.024447426,6.22E-07,0.153436732,0.332,0.247,0.021677895,#N/A
211,Rims1,2.88E-20,-0.332504667,0.807,0.935,1.01E-15,7.96E-18,0.332440672,0.933,0.807,2.78E-13,#N/A
212,Rmdn1,5.13E-07,-0.168319257,0.54,0.651,0.01789338,7.04E-07,0.133842572,0.646,0.54,0.024536454,#N/A
219,Sh3rf3,7.26E-08,-0.176885196,0.606,0.712,0.00253278,2.79E-07,0.191017113,0.712,0.606,0.009733684,#N/A
220,Sidt1,6.59E-09,-0.217462761,0.231,0.326,0.000229668,4.29E-10,0.245780931,0.331,0.231,1.50E-05,#N/A
221,Slc17a7,1.25E-06,0.307029938,0.24,0.179,0.043597309,1.94E-09,-0.346085983,0.163,0.24,6.75E-05,#N/A
223,Slc2a13,7.35E-09,-0.233850551,0.673,0.79,0.000256297,3.85E-10,0.31933108,0.789,0.673,1.34E-05,2
224,Slc6a1,2.05E-07,-0.160089116,0.575,0.689,0.007151097,2.18E-08,0.19165333,0.701,0.575,0.000759404,#N/A
227,Snhg14,5.56E-09,-0.164257684,0.86,0.915,0.000193963,8.42E-12,0.197958056,0.926,0.86,2.94E-07,#N/A
235,Tmem132b,6.26E-17,-0.31268552,0.581,0.732,2.18E-12,3.42E-08,0.203443407,0.694,0.581,0.001194131,#N/A
236,Tmem178b,2.88E-09,-0.189572756,0.725,0.823,0.000100576,1.06E-08,0.169878347,0.841,0.725,0.000367859,#N/A
245,Ubr5,7.29E-11,-0.229762093,0.464,0.589,2.54E-06,5.29E-08,0.17246875,0.583,0.464,0.00184466,#N/A
255,Wwox,1.48E-11,-0.267519037,0.596,0.713,5.15E-07,3.09E-10,0.258680091,0.699,0.596,1.08E-05,2
258,Xkr6,1.85E-08,-0.202757323,0.475,0.591,0.000644089,1.72E-09,0.192910322,0.603,0.475,5.99E-05,#N/A
