"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"26","Cst3",8.77e-17,0.417352458,0.853,0.747,3.06e-12,NA,"Yap1","Yap1",0.046916783,1,0.417352458,0.586689002972818,-0.0430477651437311,0.856,0.853,1,-0.0430477651437311,"non-sig","#00AFBB"
"27","Cyp51",4.96e-11,-0.467487334,0.137,0.227,1.73e-06,NA,"Kmt2b","Kmt2b",0.010913285,1,-0.467487334,0.0452153985007504,0.127420684374362,0.161,0.137,1,0.127420684374362,"non-sig","#00AFBB"
"28","Echdc2",5.56e-20,0.548978567,0.173,0.055,1.94e-15,NA,"Esrrg","Esrrg",-0.127946808,1,0.548978567,1.21019517246884e-13,-0.425258302327314,0.083,0.173,4.2195875078471e-09,-0.425258302327314,"sig","#E7B800"
"29","Eci2",5.11e-07,0.252868779,0.271,0.181,0.017805666,NA,"Ehf","Ehf",0,1,0.252868779,0.000143259416382824,-0.222272118805531,0.21,0.271,1,-0.222272118805531,"non-sig","#00AFBB"
"30","Erc1",8.19e-07,0.253668577,0.381,0.282,0.028552446,NA,"Pou3f1","Pou3f1",-0.041995876,1,0.253668577,0.235594178763353,0.0721216274222616,0.406,0.381,1,0.0721216274222616,"non-sig","#00AFBB"
"31","Etnppl",7.28e-33,0.878710681,0.238,0.066,2.54e-28,NA,"Ep300","Ep300",0.078370872,1,0.878710681,0.000689782443866838,-0.261879752789554,0.191,0.238,1,-0.261879752789554,"non-sig","#00AFBB"
"32","Fam184a",4.2e-10,0.386488126,0.465,0.343,1.46e-05,NA,"Rxra","Rxra",0.024163339,1,0.386488126,0.137434464244771,-0.103806689916458,0.44,0.465,1,-0.103806689916458,"non-sig","#00AFBB"
"33","Fgf13",9.28e-10,0.463244207,0.45,0.339,3.24e-05,NA,"Znf143","#N/A",NA,NA,0.463244207,0.576074855366858,-0.0732351699121701,0.444,0.45,1,-0.0732351699121701,"non-sig","#00AFBB"
"34","Fkbp5",9.63e-13,0.458452028,0.08,0.017,3.36e-08,NA,"Foxa2","#N/A",NA,NA,0.458452028,0.000192597024645214,-0.255370134809528,0.047,0.08,1,-0.255370134809528,"non-sig","#00AFBB"
"35","Galnt18",8.7e-18,0.548377602,0.272,0.131,3.03e-13,NA,"Pou2f1","Pou2f1",-0.106168551,1,0.548377602,0.0125688044633849,-0.184341223917177,0.233,0.272,1,-0.184341223917177,"non-sig","#00AFBB"
"36","Gm11417",1.75e-13,0.347978285,0.1,0.027,6.1e-09,NA,"Setdb1","Setdb1",-0.032051246,1,0.347978285,0.00181941514956149,-0.146316216826786,0.069,0.1,1,-0.146316216826786,"non-sig","#00AFBB"
"37","Gm20713",2.99e-09,-0.251609278,0.748,0.817,0.000104363,NA,"Lmnb1","Lmnb1",0.002628942,1,-0.251609278,8.41520695383685e-07,0.191183642882384,0.803,0.748,0.0293413020859429,0.191183642882384,"sig","#E7B800"
"38","Gm29683",1.52e-09,0.685006543,0.088,0.031,5.3e-05,NA,"Dnmt3a","Dnmt3a",0.039257344,1,0.685006543,4.83620363197004e-06,-0.388278084314095,0.046,0.088,0.168623912035899,-0.388278084314095,"non-sig","#00AFBB"
"39","Gm36944",4.01e-10,0.34683688,0.142,0.065,1.4e-05,NA,"Hdac2","Hdac2",-0.025686373,1,0.34683688,0.00735329585262248,-0.141878792080968,0.11,0.142,1,-0.141878792080968,"non-sig","#00AFBB"
"40","Gm47283",4.74e-19,0.408133355,0.075,0.003,1.65e-14,NA,"Cbx7","Cbx7",-0.049704333,1,0.408133355,2.8054252522065e-24,-0.408359840636968,0.003,0.075,9.7816762268684e-20,-0.408359840636968,"sig","#E7B800"
"41","Gm49599",5.16e-08,0.280298203,0.15,0.078,0.00179964,NA,"Maz","Maz",-0.056196898,1,0.280298203,0.0996052191233343,-0.0759064551716554,0.128,0.15,1,-0.0759064551716554,"non-sig","#00AFBB"
"42","Gm49708",2.94e-07,0.340158645,0.202,0.125,0.010235618,NA,"Ebf1","Ebf1",0.079625048,1,0.340158645,0.243300894110356,0.071915299948303,0.217,0.202,1,0.071915299948303,"non-sig","#00AFBB"
"43","Gm9925",7.86e-09,0.311261965,0.315,0.211,0.000274194,NA,"Insm1","Insm1",-0.000685038,1,0.311261965,0.0312668903978693,-0.114369932294069,0.28,0.315,1,-0.114369932294069,"non-sig","#00AFBB"
"44","Gnao1",3.78e-11,-0.276387274,0.782,0.848,1.32e-06,NA,"Etv6","Etv6",0.153313613,1,-0.276387274,9.34787298297891e-07,0.197275022603873,0.83,0.782,0.0325932287297526,0.197275022603873,"sig","#E7B800"
"45","Gphn",1.84e-13,0.329669745,0.843,0.77,6.41e-09,NA,"Rai1","Rai1",-0.008088155,1,0.329669745,0.252076506675308,-0.0621081667105496,0.841,0.843,1,-0.0621081667105496,"non-sig","#00AFBB"
"46","Gpr158",7.8e-08,-0.419289074,0.155,0.23,0.002719436,NA,"Chd4","Chd4",-0.064591169,1,-0.419289074,0.000237177655398521,0.258714876654967,0.204,0.155,1,0.258714876654967,"non-sig","#00AFBB"
"47","Grm3",2.65e-35,-0.562340386,0.761,0.85,9.26e-31,NA,"Kdm5a","Kdm5a",0.005164489,1,-0.562340386,2.40289463465528e-30,0.503501084592592,0.837,0.761,8.37817272265258e-26,0.503501084592592,"sig","#E7B800"
"48","Hif3a",4.43e-39,0.849884689,0.336,0.117,1.54e-34,NA,"Stat3","Stat3",0.094231119,1,0.849884689,0.0415070249337155,-0.0950161417097708,0.296,0.336,1,-0.0950161417097708,"non-sig","#00AFBB"
"49","Hmgcr",3.3e-07,-0.384445192,0.202,0.273,0.011504469,NA,"Msl1","Msl1",-0.068393497,1,-0.384445192,0.826938874937661,0.00931627071044194,0.204,0.202,1,0.00931627071044194,"non-sig","#00AFBB"
"50","Hmgcs1",1.2e-11,-0.50287462,0.167,0.263,4.19e-07,NA,"Ctcf","Ctcf",0.04307546,1,-0.50287462,0.0550123280301869,0.0965880036834095,0.193,0.167,1,0.0965880036834095,"non-sig","#00AFBB"
"51","Id3",1.55e-07,0.337059453,0.213,0.133,0.005387948,NA,"Ncoa2","Ncoa2",-0.145484642,1,0.337059453,0.00688651515618934,-0.145633304574571,0.175,0.213,1,-0.145633304574571,"non-sig","#00AFBB"
"52","Kcnd3",7.43e-08,0.338545302,0.145,0.077,0.002588929,NA,"Dr1","Dr1",0.009875263,1,0.338545302,0.00045188454614425,-0.245166104342514,0.104,0.145,1,-0.245166104342514,"non-sig","#00AFBB"
"53","Kcnip4",1.07e-07,-0.26537609,0.45,0.534,0.003728498,NA,"Foxp1","Foxp1",0.011252918,1,-0.26537609,0.591988815494312,-0.129923668113261,0.444,0.45,1,-0.129923668113261,"non-sig","#00AFBB"
"54","Lama3",1.16e-07,-0.384966004,0.305,0.382,0.004052797,NA,"Zfp217","Zfp217",0.019899936,1,-0.384966004,7.22983379521698e-13,0.446480405530961,0.413,0.305,2.52082614937831e-08,0.446480405530961,"sig","#E7B800"
"55","Lama4",3.24e-09,0.370370659,0.075,0.023,0.000113079,NA,"Cdk8","Cdk8",-0.020588651,1,0.370370659,0.000310251092983855,-0.214661949107735,0.044,0.075,1,-0.214661949107735,"non-sig","#00AFBB"
"56","Lrmda",1.14e-07,0.554120265,0.286,0.199,0.003990136,NA,"Kmt2c","Kmt2c",-0.104513564,1,0.554120265,2.09054752666617e-09,-0.593911166026328,0.197,0.286,7.28911206122693e-05,-0.593911166026328,"sig","#E7B800"
"57","Lrrk1",1.95e-07,0.577799743,0.111,0.055,0.006810291,NA,"Bhlha15","Bhlha15",0,1,0.577799743,1.48454072855128e-08,-0.563260609035803,0.055,0.111,0.000517614815823976,-0.563260609035803,"sig","#E7B800"
"58","Lsamp",3.02e-12,0.168882547,0.908,0.938,1.05e-07,NA,"Foxp3","Foxp3",0.004228049,1,0.168882547,0.0599645324557209,0.0721128254945382,0.934,0.908,1,0.0721128254945382,"non-sig","#00AFBB"
"59","Macf1",7.27e-08,-0.181431729,0.888,0.925,0.002534095,NA,"Rfx2","Rfx2",-0.085777856,1,-0.181431729,0.0201883594693676,0.0859653217931928,0.91,0.888,1,0.0859653217931928,"non-sig","#00AFBB"
