"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"26","Acvr1c",1.78e-09,0.287451632,0.066,0.023,6.19e-05,NA,"","",NA,NA,0.287451632,3.15785531862e-07,-0.253118659509852,0.029,0.066,0.0110104941394324,-0.253118659509852,"sig","#E7B800"
"27","Adam23",1.06e-16,-0.301210732,0.415,0.543,3.69e-12,NA,"Batf","Batf",0.005265468,1,-0.301210732,9.05698575067566e-20,0.30119467182627,0.572,0.415,3.15789922168808e-15,0.30119467182627,"sig","#E7B800"
"28","Adamts17",9.6e-20,-0.443690924,0.292,0.424,3.35e-15,NA,"Nr4a1","Nr4a1",-0.111681864,0.62801869,-0.443690924,2.46115717069667e-10,0.250664116285116,0.392,0.292,8.58131670706808e-06,0.250664116285116,"sig","#E7B800"
"29","Adamts19",1e-42,0.998099936,0.122,0.002,3.49e-38,NA,"Brd2","Brd2",0.065312967,1,0.998099936,7.2507532638379e-40,-0.934749689145676,0.005,0.122,2.52812014050236e-35,-0.934749689145676,"sig","#E7B800"
"30","Adamts3",1.91e-09,0.328231074,0.179,0.109,6.65e-05,NA,"","",NA,NA,0.328231074,4.3856069529293e-05,-0.2715798777589,0.134,0.179,1,-0.2715798777589,"non-sig","#00AFBB"
"31","Adcy1",3.21e-18,-0.365625654,0.305,0.426,1.12e-13,NA,"Zfx","Zfx",0.007684521,1,-0.365625654,1.03549881393942e-11,0.264796850771753,0.405,0.305,3.61047371456257e-07,0.264796850771753,"sig","#E7B800"
"32","Adgrl2",7.9e-09,-0.234657638,0.245,0.33,0.000275287,NA,"","",NA,NA,-0.234657638,5.32527445915444e-07,0.173343383757497,0.322,0.245,0.0185676344567338,0.173343383757497,"sig","#E7B800"
"33","Adgrl3",7.95e-07,-0.128955428,0.845,0.924,0.027711236,NA,"","",NA,NA,-0.128955428,2.88312929827847e-22,0.287114772223645,0.925,0.845,1.00526069243075e-17,0.287114772223645,"sig","#E7B800"
"34","Afap1",3.35e-15,-0.298236684,0.27,0.385,1.17e-10,NA,"Nelfe","Nelfe",0.016429899,1,-0.298236684,2.00153952592745e-17,0.306527427800472,0.402,0.27,6.97876786505125e-13,0.306527427800472,"sig","#E7B800"
"35","Aff2",2.43e-16,-0.36275423,0.41,0.536,8.48e-12,NA,"Trim33","Trim33",0.038004911,1,-0.36275423,1.33163468075438e-18,0.353346649298066,0.56,0.41,4.64301064138631e-14,0.353346649298066,"sig","#E7B800"
"36","Agbl4",2.77e-28,-0.363246432,0.61,0.814,9.65e-24,NA,"Jun","Jun",0.017332122,1,-0.363246432,1.41329203994155e-32,0.41492308393002,0.799,0.61,4.9277253556642e-28,0.41492308393002,"sig","#E7B800"
"37","Ahi1",9.57e-10,0.20326007,0.931,0.935,3.34e-05,NA,"","",NA,NA,0.20326007,0.132047585544443,-0.0580054690940557,0.948,0.931,1,-0.0580054690940557,"non-sig","#00AFBB"
"38","Akap7",2.5e-07,-0.211976773,0.242,0.306,0.008712079,NA,"","",NA,NA,-0.211976773,1.18971720813051e-07,0.170640322065476,0.317,0.242,0.00414818698958864,0.170640322065476,"sig","#E7B800"
"39","Alk",1.44e-26,-0.448013398,0.385,0.569,5.02e-22,NA,"Ssrp1","Ssrp1",-0.013233105,1,-0.448013398,1.87550628400327e-31,0.493373905030565,0.585,0.385,6.53932776043421e-27,0.493373905030565,"sig","#E7B800"
"40","Amigo2",8.83e-07,0.09929915,0.022,0.003,0.030777303,NA,"","",NA,NA,0.09929915,2.414133644785e-06,-0.090426103300087,0.003,0.022,0.0841735977927187,-0.090426103300087,"non-sig","#00AFBB"
"41","Ankfn1",3.27e-07,0.597683679,0.129,0.079,0.011386985,NA,"","",NA,NA,0.597683679,7.98259533210296e-06,-0.576634165537741,0.086,0.129,0.278329151444434,-0.576634165537741,"non-sig","#00AFBB"
"42","Ankrd24",1.81e-07,-0.193690525,0.284,0.358,0.006303755,NA,"","",NA,NA,-0.193690525,1.07950602332555e-05,0.120272555700916,0.356,0.284,0.37639136515292,0.120272555700916,"non-sig","#00AFBB"
"43","Ankrd55",8.55e-07,-0.175117844,0.258,0.325,0.029825755,NA,"","",NA,NA,-0.175117844,6.04668588570836e-09,0.198713846698866,0.346,0.258,0.000210829796776993,0.198713846698866,"sig","#E7B800"
"44","Ankrd6",5.28e-22,0.635100502,0.209,0.095,1.84e-17,NA,"Zmiz1","Zmiz1",0.286728699,0.205207584,0.635100502,4.46477643393421e-19,-0.565364851077458,0.104,0.209,1.55673359921984e-14,-0.565364851077458,"sig","#E7B800"
"45","Ano3",4.41e-13,0.835402313,0.333,0.242,1.54e-08,NA,"Stat5b","Stat5b",0.100118687,1,0.835402313,1.52588643985646e-12,-0.849587923939482,0.25,0.333,5.32030824984753e-08,-0.849587923939482,"sig","#E7B800"
"46","Ano4",9.83e-08,0.443856169,0.585,0.545,0.003427135,NA,"","",NA,NA,0.443856169,1.57523284066783e-05,-0.365790308713577,0.565,0.585,0.549236434555654,-0.365790308713577,"non-sig","#00AFBB"
"47","Ap2b1",4.23e-08,-0.194527704,0.441,0.527,0.001475092,NA,"","",NA,NA,-0.194527704,4.70319245887184e-05,0.125673563663789,0.521,0.441,1,0.125673563663789,"non-sig","#00AFBB"
"48","Apba1",1.22e-10,-0.275334469,0.582,0.684,4.26e-06,NA,"Meis1","Meis1",0.783199203,2.79843e-36,-0.275334469,2.10984147644482e-12,0.226610876922593,0.721,0.582,7.35638427592015e-08,0.226610876922593,"sig","#E7B800"
"49","Apba2",6.14e-10,-0.21021073,0.419,0.519,2.14e-05,NA,"","",NA,NA,-0.21021073,2.05173379467992e-10,0.187307323438075,0.542,0.419,7.15378022191047e-06,0.187307323438075,"sig","#E7B800"
"50","Apbb2",2.75e-10,-0.23639381,0.349,0.44,9.6e-06,NA,"Gata2","Gata2",0,1,-0.23639381,6.07598274457337e-08,0.160084666699492,0.436,0.349,0.0021185129035504,0.160084666699492,"sig","#E7B800"
"51","Apc",3.15e-16,0.624158066,0.859,0.838,1.1e-11,NA,"Pcgf1","Pcgf1",0.038616355,1,0.624158066,3.7176845643677e-15,-0.603604220265295,0.843,0.859,1.29624507705809e-10,-0.603604220265295,"sig","#E7B800"
"52","Apoe",4.74e-23,0.545075545,0.461,0.314,1.65e-18,NA,"Myt1l","Myt1l",0.020225569,1,0.545075545,1.62239460765029e-07,-0.346713744532778,0.399,0.461,0.00565680327849428,-0.346713744532778,"sig","#E7B800"
"53","Arhgap18",6.88e-07,-0.223611062,0.212,0.278,0.023973297,NA,"","",NA,NA,-0.223611062,9.62271765403956e-07,0.19319904387371,0.279,0.212,0.0335515296443397,0.19319904387371,"sig","#E7B800"
"54","Arhgap26",4.1e-09,-0.263231276,0.306,0.389,0.000142969,NA,"","",NA,NA,-0.263231276,2.46312631906128e-16,0.340674696781201,0.432,0.306,8.58818253667095e-12,0.340674696781201,"sig","#E7B800"
"55","Arhgap26.1",3.42e-18,-0.315962889,0.376,0.511,1.19e-13,NA,"Crebbp","Crebbp",0.120023349,1,-0.315962889,3.12423902061534e-13,0.247788525137853,0.503,0.376,1.08932841931795e-08,0.247788525137853,"sig","#E7B800"
"56","Arhgap44",2.25e-11,-0.23333866,0.293,0.391,7.84e-07,NA,"Spi1","Spi1",0.011139126,1,-0.23333866,3.04471711977776e-08,0.172699477492608,0.378,0.293,0.00106160151815291,0.172699477492608,"sig","#E7B800"
"57","Arhgef37",1.96e-07,-0.209127523,0.071,0.12,0.006850871,NA,"","",NA,NA,-0.209127523,0.00369595146315837,0.0557179085884244,0.098,0.071,1,0.0557179085884244,"non-sig","#00AFBB"
"58","Arl4c",4.55e-11,-0.25454817,0.192,0.278,1.59e-06,NA,"Klf15","Klf15",0.011299887,1,-0.25454817,4.14784666495742e-06,0.180727275540527,0.254,0.192,0.14462296966707,0.180727275540527,"non-sig","#00AFBB"
"59","Arnt2",1.8e-22,-0.347917203,0.494,0.658,6.26e-18,NA,"Vdr","Vdr",-0.004111824,1,-0.347917203,4.36826166137072e-28,0.397948818940329,0.681,0.494,1.52308179347013e-23,0.397948818940329,"sig","#E7B800"
"60","Arpp21",1.71e-29,1.026777285,0.539,0.411,5.96e-25,NA,"Dnmt3a","Dnmt3a",-0.002272639,1,1.026777285,7.88143118832262e-37,-1.08017464828729,0.38,0.539,2.74801861243245e-32,-1.08017464828729,"sig","#E7B800"
"61","Asap1",1.2e-14,-0.254162986,0.556,0.692,4.2e-10,NA,"Phf6","Phf6",0.015858558,1,-0.254162986,2.04018359068542e-08,0.165134211174826,0.663,0.556,0.000711350812564285,0.165134211174826,"sig","#E7B800"
"62","Astn2",2.31e-26,-0.395616799,0.641,0.796,8.07e-22,NA,"Dnmt3b","Dnmt3b",0.011119862,1,-0.395616799,1.12557627478641e-18,0.324156070000087,0.774,0.641,3.92454679729779e-14,0.324156070000087,"sig","#E7B800"
