"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"730","Mthfd1l",2.7e-22,0.135856114,0.253,0.17,9.43e-18,NA,"Myt1l","Myt1l",0.204834079,2.08039e-30,0.135856114,0.00384541399314414,-0.0524909688281284,0.226,0.253,1,-0.0524909688281284,"non-sig","#00AFBB"
"731","Mthfs",6.84e-07,0.053613271,0.153,0.118,0.023846659,NA,"","",NA,NA,0.053613271,8.21105631330672e-06,-0.0512858154098083,0.121,0.153,0.286294900476065,-0.0512858154098083,"non-sig","#00AFBB"
"732","Mthfsl",2.1e-07,0.069759983,0.158,0.121,0.007322032,NA,"","",NA,NA,0.069759983,0.00612990126253158,-0.0467674832720648,0.138,0.158,1,-0.0467674832720648,"non-sig","#00AFBB"
"733","Mtif2",8.04e-08,0.076445084,0.468,0.403,0.002804288,NA,"","",NA,NA,0.076445084,2.84488922756867e-10,-0.1164176636055,0.408,0.468,9.91927526976367e-06,-0.1164176636055,"sig","#E7B800"
"734","Mtmr12",9.75e-07,-0.09810276,0.435,0.461,0.033979858,NA,"","",NA,NA,-0.09810276,0.000637476148119115,-0.0650847068858302,0.401,0.435,1,-0.0650847068858302,"non-sig","#00AFBB"
"735","Mtrf1",4.4e-07,0.04230779,0.061,0.039,0.01532841,NA,"","",NA,NA,0.04230779,0.00240724395861231,-0.0314256161322756,0.046,0.061,1,-0.0314256161322756,"non-sig","#00AFBB"
"736","Mttp",3.05e-09,0.087412678,0.233,0.181,0.000106205,NA,"","",NA,NA,0.087412678,0.458940263560229,-0.0254000127619169,0.227,0.233,1,-0.0254000127619169,"non-sig","#00AFBB"
"737","Muc15",1.74e-07,0.047602185,0.229,0.182,0.006078681,NA,"","",NA,NA,0.047602185,0.855496539927398,0.0108578385791203,0.228,0.229,1,0.0108578385791203,"non-sig","#00AFBB"
"738","Mycbp",5.01e-10,0.092485864,0.334,0.268,1.75e-05,NA,"","",NA,NA,0.092485864,0.00770260651290379,-0.0489018199983173,0.305,0.334,1,-0.0489018199983173,"non-sig","#00AFBB"
"739","Myo10",3.52e-11,0.054332495,0.122,0.081,1.23e-06,NA,"","",NA,NA,0.054332495,0.0134355222502216,-0.0124276131787419,0.105,0.122,1,-0.0124276131787419,"non-sig","#00AFBB"
"740","Myo16",5e-14,-0.16108631,0.438,0.491,1.74e-09,NA,"Nipbl","Nipbl",0.042126869,1,-0.16108631,4.12180899605228e-13,0.201669864925678,0.497,0.438,1.43715114265355e-08,0.201669864925678,"sig","#E7B800"
"741","Myo1b",2.37e-14,-0.157963856,0.226,0.282,8.27e-10,NA,"Shox2","#N/A",NA,NA,-0.157963856,1.47720304915386e-11,0.132975314822369,0.281,0.226,5.15056387148475e-07,0.132975314822369,"sig","#E7B800"
"742","Myt1l",5.97e-35,0.204834079,0.928,0.928,2.08e-30,NA,"Sox9","Sox9",0.013181082,1,0.204834079,1.06263760815311e-07,-0.0917688190258743,0.927,0.928,0.00370509854834745,-0.0917688190258743,"sig","#E7B800"
"743","N4bp2l2",2.06e-10,0.119315884,0.583,0.509,7.17e-06,NA,"","",NA,NA,0.119315884,0.0174729116562337,-0.0467979270681056,0.558,0.583,1,-0.0467979270681056,"non-sig","#00AFBB"
"744","Nab2",6.91e-09,-0.075848252,0.054,0.082,0.000240835,NA,"","",NA,NA,-0.075848252,0.15419023531419,-0.0124947913270673,0.048,0.054,1,-0.0124947913270673,"non-sig","#00AFBB"
"745","Nalf1",2.65e-19,0.187766249,0.939,0.965,9.24e-15,NA,"Nfe2l2","Nfe2l2",0.022629979,1,0.187766249,0.0477264411027982,-0.0456622367461001,0.947,0.939,1,-0.0456622367461001,"non-sig","#00AFBB"
"746","Napepld",2.7e-07,0.056052105,0.158,0.121,0.00942474,NA,"","",NA,NA,0.056052105,0.00164405535958891,-0.0387343501530966,0.135,0.158,1,-0.0387343501530966,"non-sig","#00AFBB"
"747","Narf",6.25e-09,0.065607795,0.26,0.204,0.000217881,NA,"","",NA,NA,0.065607795,0.000139603975492765,-0.0582288426676321,0.226,0.26,1,-0.0582288426676321,"non-sig","#00AFBB"
"748","Nav3",5.31e-172,-0.323561757,0.954,0.983,1.85e-167,NA,"Nucks1","Nucks1",0.064832294,1,-0.323561757,3.66930484904994e-177,0.359412750989682,0.964,0.954,1.27937652171824e-172,0.359412750989682,"sig","#E7B800"
"749","Ncoa7",2.14e-08,0.110464435,0.712,0.657,0.000746354,NA,"","",NA,NA,0.110464435,0.000350101836508913,-0.0753236423983754,0.689,0.712,1,-0.0753236423983754,"non-sig","#00AFBB"
"750","Ndnf",1.62e-08,0.070226664,0.027,0.012,0.00056594,NA,"","",NA,NA,0.070226664,0.00225304940145046,-0.0423433647003487,0.017,0.027,1,-0.0423433647003487,"non-sig","#00AFBB"
"751","Ndst3",9.91e-17,0.214686943,0.565,0.489,3.46e-12,NA,"Tbr1","Tbr1",0.001997521,1,0.214686943,1.99594988862671e-09,-0.143794490783479,0.517,0.565,6.95927847667474e-05,-0.143794490783479,"sig","#E7B800"
"752","Ndst4",4.61e-25,0.563094459,0.058,0.02,1.61e-20,NA,"Ncoa2","Ncoa2",-0.012973289,1,0.563094459,2.4799008505984e-25,-0.616731867939635,0.018,0.058,8.64667029578143e-21,-0.616731867939635,"sig","#E7B800"
"753","Nedd4l",4.48e-11,-0.089830875,0.791,0.817,1.56e-06,NA,"","",NA,NA,-0.089830875,0.000896211293346296,0.0531740578338007,0.806,0.791,1,0.0531740578338007,"non-sig","#00AFBB"
"754","Nell1",3.89e-25,-0.313756705,0.39,0.469,1.36e-20,NA,"Dnmt3b","Dnmt3b",0.004761497,1,-0.313756705,0.0113762505440593,0.0429180446950239,0.411,0.39,1,0.0429180446950239,"non-sig","#00AFBB"
