"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"164","Fstl1",1.45769614587537e-08,0.149158207286492,0.078,0.048,0.000508254915182364,0.149158207286492,2.11209635315819e-05,-0.128029672517466,0.056,0.078,0.736424635455665,-0.128029672517466,"non-sig","#00AFBB"
"165","Fth1",2.14246818777259e-11,-0.231623948177182,0.605,0.633,7.4701438303067e-07,-0.231623948177182,6.70658750117477e-06,0.145107352606091,0.63,0.605,0.233838586403461,0.145107352606091,"non-sig","#00AFBB"
"166","Fus",5.15883681314999e-08,0.105888972774242,0.351,0.279,0.00179873163164101,0.105888972774242,0.000704950870900317,-0.0724574978377772,0.309,0.351,1,-0.0724574978377772,"non-sig","#00AFBB"
"167","Fyco1",8.40965659253837e-07,0.154239287741587,0.149,0.111,0.0293219496412035,0.154239287741587,0.0117627850499321,-0.0204816259405943,0.129,0.149,1,-0.0204816259405943,"non-sig","#00AFBB"
"168","Fzd2",7.4332676101719e-11,0.150066181210944,0.054,0.026,2.59175741763864e-06,0.150066181210944,1.62347479647009e-09,-0.14755205328494,0.029,0.054,5.66056957285227e-05,-0.14755205328494,"sig","#E7B800"
"169","Gabrb1",9.15693191613176e-07,0.336000102333162,0.39,0.351,0.0319274745119766,0.336000102333162,0.0041969072672739,-0.134232911758549,0.363,0.39,1,-0.134232911758549,"non-sig","#00AFBB"
"170","Galnt18",3.4033234734891e-16,0.244400212486973,0.107,0.057,1.18663679550145e-11,0.244400212486973,1.24340584344083e-06,-0.183580759596589,0.078,0.107,0.0433538315432514,-0.183580759596589,"sig","#E7B800"
"171","Gas5",2.86424228749994e-08,0.137027574276026,0.166,0.12,0.000998675358382604,0.137027574276026,0.000822799230439143,-0.0787035560287694,0.14,0.166,1,-0.0787035560287694,"non-sig","#00AFBB"
"172","Ggact",4.69814027845578e-07,0.141369554149569,0.161,0.121,0.0163810057088918,0.141369554149569,0.000119568834511742,-0.118287192946068,0.132,0.161,1,-0.118287192946068,"non-sig","#00AFBB"
"173","Ggnbp2",5.91620611539671e-08,0.140799269980332,0.236,0.182,0.00206280358625537,0.140799269980332,9.13207189948788e-05,-0.0974580324497636,0.2,0.236,1,-0.0974580324497636,"non-sig","#00AFBB"
"174","Gja1",3.53007986939791e-07,0.112496405804363,0.151,0.111,0.0123083294806297,0.112496405804363,4.69153878938762e-05,-0.122108649839544,0.122,0.151,1,-0.122108649839544,"non-sig","#00AFBB"
"175","Gjb6",2.67778200915007e-10,0.177050184609188,0.106,0.067,9.33662253130356e-06,0.177050184609188,5.48449324408368e-05,-0.134681026083181,0.082,0.106,1,-0.134681026083181,"non-sig","#00AFBB"
"176","Gk",5.02169031144231e-08,0.151246579609974,0.143,0.103,0.00175091276089059,0.151246579609974,4.00845374356678e-06,-0.142209676274396,0.111,0.143,0.139762756676943,-0.142209676274396,"non-sig","#00AFBB"
"177","Gli2",9.68888204365151e-08,0.154547918909631,0.13,0.092,0.00337822250215997,0.154547918909631,0.00447090078018589,-0.0822735342791281,0.11,0.13,1,-0.0822735342791281,"non-sig","#00AFBB"
"178","Glis3",2.49536004117295e-10,0.23194690715525,0.216,0.161,8.70057185555771e-06,0.23194690715525,0.0411790348464363,-0.0743501186861852,0.198,0.216,1,-0.0743501186861852,"non-sig","#00AFBB"
"179","Glul",4.96102488620978e-14,0.270805398183146,0.409,0.325,1.72976054707476e-09,0.270805398183146,1.03509943909651e-19,-0.334103473845362,0.324,0.409,3.60908121429779e-15,-0.334103473845362,"sig","#E7B800"
"180","Gm11149",1.60250453425774e-08,0.189739312289885,0.277,0.218,0.000558745255959647,0.189739312289885,0.326331663115786,-0.0605248115727355,0.267,0.277,1,-0.0605248115727355,"non-sig","#00AFBB"
"181","Gm11266",3.10749001377181e-08,0.15197220510832,0.13,0.09,0.00108348854310182,0.15197220510832,0.0745257068284777,-0.0131141820822128,0.116,0.13,1,-0.0131141820822128,"non-sig","#00AFBB"
"182","Gm11417",2.82147529274091e-16,0.160633698440768,0.046,0.015,9.83763790319973e-12,0.160633698440768,1.05958902059293e-06,-0.0972596476404318,0.027,0.046,0.0369446903810136,-0.0972596476404318,"sig","#E7B800"
"183","Gm12353",5.24270501356006e-07,0.100191747233528,0.232,0.182,0.0182797395707798,0.100191747233528,0.000394843921937396,-0.0960610597787974,0.2,0.232,1,-0.0960610597787974,"non-sig","#00AFBB"
"184","Gm12394",7.51653245225343e-07,0.146131679059436,0.073,0.047,0.026207893701272,0.146131679059436,0.000626641066646903,-0.125890533924778,0.056,0.073,1,-0.125890533924778,"non-sig","#00AFBB"
