"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rgs5",0,3.00117757498311,0.45,0.005,0,"16","Rgs5"
"Abcc9",0,2.97045542227968,0.444,0.001,0,"16","Abcc9"
"Igfbp7",0,2.92075149047172,0.506,0.037,0,"16","Igfbp7"
"Sntb1",0,2.89092408473731,0.45,0.016,0,"16","Sntb1"
"Colec121",0,2.87540429301947,0.476,0.031,0,"16","Colec12"
"Rbpms1",0,2.82845440842897,0.447,0.015,0,"16","Rbpms"
"Phldb22",0,2.73986066222883,0.503,0.043,0,"16","Phldb2"
"Carmn",0,2.68095549732714,0.399,0.004,0,"16","Carmn"
"Dock61",0,2.65134054328337,0.42,0.022,0,"16","Dock6"
"Adap22",0,2.63090714069804,0.577,0.053,0,"16","Adap2"
"Morrbid",0,2.5996524877251,0.37,0.009,0,"16","Morrbid"
"Slc16a121",0,2.52500216136741,0.385,0.015,0,"16","Slc16a12"
"Ano1",0,2.5016340874577,0.337,0.004,0,"16","Ano1"
"Egflam",0,2.35462170997031,0.305,0.012,0,"16","Egflam"
"Art3",0,2.15482297319534,0.293,0.01,0,"16","Art3"
"Flt1",0,1.86089180846254,0.284,0.011,0,"16","Flt1"
"Fzd6",2.88753919745525e-293,2.01701561451557,0.257,0.014,1.00679829197672e-288,"16","Fzd6"
"Atp1a23",6.90275652884055e-270,3.21419904615645,0.876,0.219,2.40678411891084e-265,"16","Atp1a2"
"Arhgap62",4.76217683651874e-232,2.85893591297222,0.515,0.075,1.66042819758899e-227,"16","Arhgap6"
"Ecm2",2.73902375610468e-226,2.08761759076276,0.263,0.019,9.55015413041017e-222,"16","Ecm2"
"Dlc15",6.69039583144926e-225,3.86638439117907,0.923,0.385,2.33274031455141e-220,"16","Dlc1"
"Cspg41",7.20861338928761e-219,2.11233763446318,0.314,0.028,2.51342723044291e-214,"16","Cspg4"
"Cped12",4.75315759330474e-209,2.03669072476388,0.402,0.046,1.65728345805756e-204,"16","Cped1"
"Gm152612",2.22592672920871e-187,2.6748620272651,0.393,0.052,7.761138726732e-183,"16","Gm15261"
"9530026P05Rik2",9.43187047272263e-184,2.3372844017838,0.426,0.06,3.2886102777242e-179,"16","9530026P05Rik"
"Cobll13",9.65438057046527e-165,2.23545211476114,0.405,0.061,3.36619287350413e-160,"16","Cobll1"
"Map3k20",1.5534549714306e-159,1.93287066950563,0.275,0.029,5.41643144888707e-155,"16","Map3k20"
"Arhgap291",5.768328562839e-145,2.4063343865357,0.402,0.068,2.01124312000507e-140,"16","Arhgap29"
"Adap2os1",3.65958767282351e-132,1.7955749493144,0.299,0.039,1.27598843388337e-127,"16","Adap2os"
"Utrn5",2.49860499263763e-122,2.63535197443261,0.654,0.237,8.71188602782963e-118,"16","Utrn"
"Prkg13",6.24091718804913e-117,2.27316589925263,0.849,0.526,2.17602059595709e-112,"16","Prkg1"
"Myo1b1",6.31762657397744e-117,2.59602156556518,0.524,0.147,2.20276685754871e-112,"16","Myo1b"
"Rn18s-rs55",4.90589911964243e-114,1.08792781146248,1,0.999,1.71053984604572e-109,"16","Rn18s-rs5"
"Pitpnc13",6.01915304960361e-114,2.52808338003474,0.746,0.346,2.09869809380529e-109,"16","Pitpnc1"
"Pde8b2",1.1840265451672e-104,2.83809559628618,0.749,0.444,4.12834535503447e-100,"16","Pde8b"
"Ptn6",2.14519752767784e-103,2.06831679407939,0.852,0.609,7.47966021975431e-99,"16","Ptn"
"Trpc32",3.80849809602396e-102,2.60836551389578,0.385,0.086,1.32790903114067e-97,"16","Trpc3"
"Plcl13",7.95224673554525e-101,2.22982393754197,0.831,0.532,2.77270986928256e-96,"16","Plcl1"
"Airn2",1.30191484467668e-95,2.59015372853063,0.464,0.134,4.53938648893419e-91,"16","Airn"
"Zbtb206",5.62224526018756e-91,1.58955699102474,0.861,0.461,1.9603082548696e-86,"16","Zbtb20"
"Arhgap423",2.69920146343203e-83,2.54199970768459,0.512,0.188,9.41130574254846e-79,"16","Arhgap42"
"Lama24",7.87205855526354e-83,2.05701050364474,0.479,0.149,2.74475065646374e-78,"16","Lama2"
"Plxdc23",1.552835797579e-81,1.84598357552292,0.763,0.439,5.41427257541869e-77,"16","Plxdc2"
"Itpr24",1.60351067789289e-79,1.7906425052619,0.432,0.123,5.59096068060913e-75,"16","Itpr2"
"Inpp4b4",7.75166988813423e-73,2.09441056640038,0.58,0.252,2.70277473989576e-68,"16","Inpp4b"
"Fry2",7.40060677641093e-72,2.20870623836607,0.725,0.563,2.5803695647312e-67,"16","Fry"
"Pld14",2.76177281262237e-70,1.68654962979549,0.331,0.081,9.62947326577041e-66,"16","Pld1"
"Itga4",1.87169662281153e-67,1.89527206362771,0.26,0.055,6.52604461475696e-63,"16","Itga4"
"Slc30a101",7.67973118199829e-62,1.876174145293,0.263,0.06,2.67769187122734e-57,"16","Slc30a10"
"Ptprk7",1.20552064804307e-61,1.8772016299769,0.672,0.433,4.20328884353178e-57,"16","Ptprk"
"Ccdc1411",5.7166540336164e-58,1.64078630564992,0.257,0.059,1.99322576190103e-53,"16","Ccdc141"
"Grm75",5.66000019347961e-53,1.44233014635871,0.825,0.649,1.97347226746054e-48,"16","Grm7"
"Il341",7.28674329605026e-53,2.18259525793746,0.355,0.121,2.54066878503384e-48,"16","Il34"
"Rbms15",1.20945564693237e-48,2.19307429765186,0.482,0.242,4.21700900415911e-44,"16","Rbms1"
"Rora4",1.09499970979615e-45,1.20379185532589,0.802,0.712,3.81793548814624e-41,"16","Rora"
"Malat14",1.50253997653025e-44,0.407521072902934,1,1,5.23890613616801e-40,"16","Malat1"
"Pdzd24",8.4922164320904e-39,2.12240756485898,0.473,0.274,2.96098110337696e-34,"16","Pdzd2"
"Gab14",7.56546811721095e-33,1.36598396695816,0.322,0.126,2.63785176842794e-28,"16","Gab1"
"Denn2b2",3.78941822987689e-32,1.83232111641817,0.305,0.124,1.32125645421118e-27,"16","Denn2b"
"Unc13c5",4.42096132968841e-30,1.48197563345653,0.355,0.157,1.54145658682246e-25,"16","Unc13c"
"Septin42",5.65341051291588e-30,1.68578626528327,0.379,0.187,1.97117464353838e-25,"16","Septin4"
"Tbc1d1",5.95512702634008e-28,1.85302384262827,0.317,0.148,2.07637414027399e-23,"16","Tbc1d1"
"Lamc11",1.24354036517391e-27,1.90694734836407,0.314,0.146,4.33585219125187e-23,"16","Lamc1"
"Pard3b4",2.17799214591958e-27,1.394731495641,0.299,0.125,7.5940052151778e-23,"16","Pard3b"
"Slco3a14",1.55781774488477e-26,1.954666681398,0.423,0.269,5.43164313108972e-22,"16","Slco3a1"
"Dach11",2.99810510992657e-26,1.63545533666207,0.251,0.098,1.0453493086781e-21,"16","Dach1"
"Eps83",3.57392916400042e-25,1.49019134548802,0.26,0.107,1.24612188161203e-20,"16","Eps8"
