"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"1","Pbx3",1572.11853232065,1.68795850515122,33.367482199232,4.06355899765859e-244,8.30835272661275e-240,0.192772154146688,0.116402116402116,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"2","Echdc2",858.791509361069,2.16651771216136,29.5263713255811,1.3207925873107e-191,1.35024626200773e-187,0.245693482507547,0.0689537463731012,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"3","Gm47283",386.443944247281,3.54027038688102,26.2329049320489,1.1201299088608e-151,7.63405870552267e-148,0.142248268513586,0.0153609831029186,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"4","Zbtb20",6594.89131534098,0.632791262701912,23.8801443603356,4.9258149620494e-126,2.51783031785155e-122,0.546084176877997,0.429510155316607,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"5","Nav3",36330.9424276662,-0.464913902482303,-23.5474784261244,1.3322985947451e-122,5.44803541363167e-119,0.710619783342213,0.796040279911248,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"6","Slit2",2911.1833876199,-0.877896270587124,-23.3008795162114,4.34315974515929e-120,1.48000406915878e-116,0.231575208666311,0.351254480286738,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"7","Kcnma1",20052.4385785455,-0.452964047828797,-23.2545802500537,1.2785678362226e-119,3.73451399705818e-116,0.672882258923815,0.728707970643454,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"8","Apoe",3777.4811395928,0.826876499798694,23.016682110904,3.1731943890965e-117,8.10989155993339e-114,0.562067128396377,0.401092336576208,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"9","R3hdm1",17131.6496415966,-0.455669949924147,-22.6241115525562,2.50967162994598e-113,5.70141623843061e-110,0.688598827916889,0.733486943164362,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"10","Rn18s-rs5",67556.6614046186,-0.328452734023376,-22.1938719273596,3.93602776700907e-109,8.04760237242674e-106,0.999378440774285,0.999743983614951,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"11","Cpa6",772.563928205207,1.55875218210938,22.1356886308598,1.43307341534082e-108,2.66369264091441e-105,0.0845320546972119,0.0506059054446151,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"12","Dpp6",9028.23217206213,0.523668930725778,22.0697130638325,6.17823394298496e-108,1.05266809331892e-104,0.55922571479311,0.562553336746885,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"13","Pdzrn3",4465.30155634996,-0.654999568721416,-21.6361454301347,8.20852759335059e-104,1.2910119628742e-100,0.28192150594921,0.360300392558457,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"14","Gm20752",468.769296019794,-2.07140941208844,-21.5371372470927,6.9895046435466e-103,1.02076722815681e-99,0.029746048659208,0.0944700460829493,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"15","Meis2",6439.01966199174,0.590459896252146,21.3818105314762,1.97323863992403e-101,2.68965581545911e-98,0.505238856331025,0.459464072367298,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"16","Homer1",3752.02779439426,-0.675497340285848,-20.6959000945642,3.77120761822127e-95,4.81913193513451e-92,0.378707156810513,0.466120498378563,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"17","Etl4",24674.7237151965,-0.352635893965296,-19.3594410626828,1.69716874412307e-83,2.04119483190237e-80,0.542354821523708,0.644393241167435,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"18","Nrg3",78629.6298615997,-0.352916517905367,-19.1990319405528,3.77053876264153e-82,4.28291308560937e-79,0.682560824009945,0.775217613927291,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"19","Ptpro",937.385008714163,1.18754312261493,18.9862284698394,2.2169032979636e-80,2.38562130685073e-77,0.16595631326585,0.105820105820106,"SD3D 8h/day (ZT0-ZT8)","ZT6"
"20","Atp1a2",2186.9580551282,0.776024394996245,18.3173615751143,6.01595583275247e-75,6.15011164782285e-72,0.245959865032854,0.179467485919099,"SD3D 8h/day (ZT0-ZT8)","ZT6"
