"","   group","   log2TPM"
"","Length:22030      ","Min.   :-9.9658  "
"","Class :character  ","1st Qu.: 0.5588  "
"","Mode  :character  ","Median : 6.4138  "
"",NA,"Mean   : 3.7758  "
"",NA,"3rd Qu.: 8.8166  "
"",NA,"Max.   :17.9589  "
