"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016","SYMBOL"
"1","ENSMUSG00000000001",11505,"ENSMUSG00000000001.5",310.602659142092,0.0620033910780305,0.134537768600746,0.460862341652414,0.644897371233992,0.87447321275793,299.793522204409,244.172157922525,367.84109471333,314.937049374043,359.932114872215,300.498405089322,331.025239672705,351.156359572833,285.315177998996,294.566248926341,344.935149851172,353.261882351107,326.330446466467,263.554512985892,290.238948211757,242.084236060361,"Gnai3"
"2","ENSMUSG00000000003",15603,"ENSMUSG00000000003.16",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pbsn"
"3","ENSMUSG00000000028",15041,"ENSMUSG00000000028.16",11.7202023557609,0.032462608923368,0.510676466945085,0.063567857586159,0.94931432588982,0.984656436147651,8.04043929283855,8.97691757068107,17.4673145534263,5.64403314290399,9.08346031223257,5.95046346711529,20.0941838778958,12.3212757744854,8.21050871939556,8.89629610851366,14.7172330603167,9.29636532502914,10.1689374253007,23.7009454124004,8.51140610591662,16.4434575437226,"Cdc45"
"4","ENSMUSG00000000031",15604,"ENSMUSG00000000031.18",5.90978324160874,-1.07145695687618,0.764774988292024,-1.40100941228357,0.161211258515242,NA,16.0808785856771,7.18153405654486,3.08246727413405,6.77283977148479,6.81259523417442,11.9009269342306,2.11517725030482,1.02677298120712,8.21050871939556,2.96543203617122,1.83965413253958,2.78890959750874,1.84889771369103,10.4284159814562,5.10684366354997,6.39467793366991,"H19"
"5","ENSMUSG00000000037",14870,"ENSMUSG00000000037.18",14.7106102002039,-0.0377064898283673,0.459447211742719,-0.0820692538003303,0.934591642536077,0.980008642540707,21.8240495091332,16.1584516272259,8.21991273102412,9.03045302864639,17.0314880854361,20.8266221349035,14.8062407521338,25.6693245301779,10.2631358992444,11.8617281446849,10.1180977289677,21.381640247567,22.1867725642924,8.53234034846414,11.0648279376916,6.39467793366991,"Scml2"
"6","ENSMUSG00000000049",15605,"ENSMUSG00000000049.12",4.3822087320236,1.75896181082685,0.821970507927768,2.1399329949943,0.0323601821493402,NA,1.14863418469122,2.69307527120432,1.02748909137802,3.3864198857424,7.9480277732035,4.9587195559294,0,1.02677298120712,6.15788153954667,10.8732507992945,6.43878946388854,4.64818266251457,3.69779542738206,2.84411344948805,5.95798427414163,7.30820335276561,"Apoh"
"7","ENSMUSG00000000056",2204,"ENSMUSG00000000056.8",597.146460996749,0.165468756428086,0.0830537859451186,1.99230841249581,0.0463372292495617,0.327249143626624,575.465726530302,571.829649252384,595.943672999249,599.396319776404,597.237515529291,643.641798359637,593.307218710503,621.197653630305,579.867178307311,659.314389375401,732.182344750755,653.534482349548,566.687149246301,526.160988155289,512.38664757618,526.190641399124,"Narf"
"8","ENSMUSG00000000058",6371,"ENSMUSG00000000058.7",262.384291983101,0.175544252894636,0.155770123696719,1.12694429925739,0.259766032002009,0.636143404692411,248.104983893304,233.399856837708,275.367076489308,235.920585373387,299.754190303675,333.225954158456,247.475738285664,353.209905535248,243.236320812093,264.911928564629,298.023969471413,314.217147985985,283.805799051573,164.010542253811,203.422605931407,200.062066781958,"Cav2"
"9","ENSMUSG00000000078",11507,"ENSMUSG00000000078.8",360.574510089035,0.0627159732122308,0.136531986180878,0.459350039258526,0.64598281941603,0.874722340904055,322.766205898233,381.518996753946,320.576596509941,342.028408459982,338.358896630663,380.829661895378,431.496159062184,400.441462670775,320.209840056427,345.967070886642,374.369615971805,387.658434053715,446.508797856384,382.059240047894,278.322979663473,316.079795007112,"Klf6"
"10","ENSMUSG00000000085",8375,"ENSMUSG00000000085.17",648.08376804127,-0.0692232450467411,0.0816193837640053,-0.848122613212734,0.396369689192491,0.738250748169655,722.490902170779,701.99495402726,669.922887578466,636.64693851957,619.946166309873,584.137163688484,627.15005471538,603.742512949784,683.52485088968,594.074884579634,670.553931310678,655.393755414554,697.034438061519,643.717677400795,670.698801146229,588.310369897631,"Scmh1"
"11","ENSMUSG00000000088",8706,"ENSMUSG00000000088.8",623.985632549884,0.0880780167035739,0.110372006838931,0.798010466839738,0.424864416128715,0.760699405604798,511.142212187594,642.747298060765,655.538040299174,654.707844576863,560.903674280361,563.31054155358,558.406794080473,525.707766378043,665.05120627104,610.878999451271,634.680675726157,710.242310832226,550.971518679927,788.767463324685,678.359066641554,672.354708454436,"Cox5a"
"12","ENSMUSG00000000093",904,"ENSMUSG00000000093.7",43.377380005701,-0.62295716306502,0.240788037606804,-2.58715993226491,0.00967706645513613,0.166711496556387,70.0666852661645,52.0661219099502,47.2644982033887,37.2506187431663,47.688166639221,37.6862686250635,31.7276587545724,34.9102813610419,31.8157212876578,36.573661779445,34.9534285182521,30.6780055725962,55.4669314107309,50.2460042742888,53.6218584672747,42.0221692784022,"Tbx2"
"13","ENSMUSG00000000094",15606,"ENSMUSG00000000094.13",2.79217877552116,-0.629245134611373,0.897862280426121,-0.700825893156729,0.483411676794348,NA,4.59453673876489,3.59076702827243,2.05497818275603,3.3864198857424,2.27086507805814,1.98348782237176,5.28794312576206,0,3.07894076977333,3.95390938156163,0,1.85927306500583,2.77334657053655,2.84411344948805,4.25570305295831,2.7405762572871,"Tbx4"
"14","ENSMUSG00000000103",15607,"ENSMUSG00000000103.13",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zfy2"
"15","ENSMUSG00000000120",7522,"ENSMUSG00000000120.7",19.3671733528343,-0.36448617999271,0.378097171839252,-0.96400133917868,0.335045254467653,0.694719250112992,14.9322444009859,21.5446021696346,12.3298690965362,29.3489723431008,20.4377857025233,9.91743911185881,20.0941838778958,20.5354596241423,13.3420766690178,16.8041148716369,21.1560225242052,9.29636532502914,26.80901684852,22.7529075959044,20.4273746541999,30.1463388301581,"Ngfr"
"16","ENSMUSG00000000125",11848,"ENSMUSG00000000125.6",23.6979699190779,-0.143587250481772,0.339783679265221,-0.422584306557271,0.672598578558037,0.885593231479862,20.675415324442,26.9307527120432,21.5772709189383,31.6065856002624,32.9275436318431,17.8513904013459,24.3245383785055,16.4283676993138,14.3683902589422,28.6658430163218,26.674984921824,21.381640247567,17.5645282800648,36.0254370268486,22.9807964859749,19.1840338010097,"Wnt3"
"17","ENSMUSG00000000126",415,"ENSMUSG00000000126.12",355.079520587668,-0.338226301635411,0.111237128319929,-3.04058821675654,0.00236116510944562,0.0885550433595447,358.373865623661,375.235154454469,470.590003851131,361.218121145856,281.58726967921,326.283746780155,337.370771423619,330.620899948691,310.973017747107,298.520158307903,350.454112248791,278.890959750874,391.966315302499,404.812147643799,392.375821482756,411.999964012161,"Wnt9a"
"18","ENSMUSG00000000127",2633,"ENSMUSG00000000127.16",119.238026338534,0.281452912324757,0.150829928223462,1.86602828523375,0.062037408266386,0.36661663405804,95.3366373293714,112.211469633513,106.858865503314,109.494242972337,130.574741988343,115.042293697562,114.21957151646,118.078892838818,120.07869002116,150.248556499342,127.855962211501,118.06383962787,148.836265952128,116.60865142901,105.541435713366,118.758304482441,"Fer"
"19","ENSMUSG00000000131",14067,"ENSMUSG00000000131.16",1053.78880094228,0.0152971434879528,0.0883653473727336,0.173112469341947,0.86256302381109,0.956584948094194,1132.55330610554,1084.41164253827,1011.04926591597,915.462175779028,970.794820869856,922.321837402869,989.902953142657,974.407559165553,1016.0504540252,1018.13166575212,1067.91922393923,1085.8154699634,1045.55165709228,1159.45024957463,1342.24874290305,1124.54979090681,"Xpo6"
