"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SYMBOL"
"1","ENSMUSG00000000001",6603,"ENSMUSG00000000001.5",304.398762496237,0.132805071889443,0.139719360338223,0.950513025309857,0.341851638689454,0.733926958129991,284.682010560391,231.625629247553,347.224832467526,298.485942029302,341.594075239799,285.202039824011,314.01947410588,332.356096495433,"Gnai3"
"2","ENSMUSG00000000003",14191,"ENSMUSG00000000003.16",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Pbsn"
"3","ENSMUSG00000000028",14192,"ENSMUSG00000000028.16",10.3725095688351,0.236076859890412,0.556238186085335,0.424416851981813,0.671261832822103,NA,7.63514970851623,8.51564813410121,16.4883300333741,5.34921043063266,8.62067066851228,5.64756514502992,19.0618850096221,11.6616174208924,"Cdc45"
"4","ENSMUSG00000000031",14193,"ENSMUSG00000000031.18",6.51881558697551,-0.586101237313572,0.776169997956941,-0.755119675916778,0.450177178350634,NA,15.2702994170325,6.81251850728097,2.9097053000072,6.41905251675919,6.46550300138421,11.2951302900598,2.00651421153917,0.971801451741031,"H19"
"5","ENSMUSG00000000037",14194,"ENSMUSG00000000037.18",15.8301208161713,0.508491023393616,0.437320073952931,1.16274338563371,0.244933633222188,NA,20.7239777802583,15.3281666413822,7.75921413335253,8.55873668901225,16.1637575034605,19.7664780076047,14.0455994807742,24.2950362935258,"Scml2"
"6","ENSMUSG00000000049",14195,"ENSMUSG00000000049.12",2.6307563390173,0.743837430552734,1.11556964335665,0.666778120919993,0.50491387006153,NA,1.09073567264518,2.55469444023036,0.969901766669066,3.20952625837959,7.54308683494824,4.70630428752494,0,0.971801451741031,"Apoh"
"7","ENSMUSG00000000056",7617,"ENSMUSG00000000056.8",568.498629769276,0.0698676871546403,0.0869272510541702,0.803748954526367,0.421541975286545,0.784963102262517,546.458571995233,542.446786142247,562.543024668058,568.086147733188,566.809096454682,610.878296520737,562.827236336737,587.939878303324,"Narf"
"8","ENSMUSG00000000058",1133,"ENSMUSG00000000058.7",263.793008572165,0.315710860052372,0.138986983300155,2.27151386810495,0.0231158884125496,0.288658678187754,235.598905291358,221.406851486632,259.93367346731,223.596996000445,284.482132060905,316.263648121676,234.762162750083,334.299699398915,"Cav2"
"9","ENSMUSG00000000078",3406,"ENSMUSG00000000078.8",345.759861253334,0.182543619983937,0.119402650016443,1.52880710736989,0.12631226991459,0.526084857671862,306.496724013294,361.915045699302,302.609351200749,324.162152096339,321.119982402082,361.444169281915,409.328899153991,379.002566179002,"Klf6"
"10","ENSMUSG00000000085",2197,"ENSMUSG00000000085.17",612.109680770702,-0.164928665454855,0.0893676030724785,-1.84550843688954,0.0649636123449808,0.419587464349239,686.072738093816,665.923684086715,632.375951868231,603.390936575364,588.360773125963,554.402645070438,594.931463721364,571.419253623726,"Scmh1"
"11","ENSMUSG00000000088",3689,"ENSMUSG00000000088.8",553.581024224777,-0.157802282750042,0.107213415537546,-1.47185202485019,0.141060841210547,0.542306512267044,485.377374327103,609.720406401647,618.797327134864,620.508409953388,532.326413780633,534.636167062833,529.719751846341,497.562343291408,"Cox5a"
"12","ENSMUSG00000000093",3071,"ENSMUSG00000000093.7",42.5014126806571,-0.443332934513609,0.275555153720863,-1.60887186658358,0.107644362317951,0.497062642789368,66.5348760313557,49.390759177787,44.615481266777,35.3047888421755,45.2585210096894,35.7679125851895,30.0977131730876,33.041249359195,"Tbx2"
"13","ENSMUSG00000000094",14196,"ENSMUSG00000000094.13",2.74656333086561,-0.514676116287,0.989492334251045,-0.520141590259577,0.602964892436473,NA,4.3629426905807,3.40625925364049,1.93980353333813,3.20952625837959,2.15516766712807,1.88252171500997,5.01628552884793,0,"Tbx4"
"14","ENSMUSG00000000103",14197,"ENSMUSG00000000103.13",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Zfy2"
"15","ENSMUSG00000000120",14198,"ENSMUSG00000000120.7",17.6723582911493,-0.14138292982982,0.419885716682261,-0.336717645332071,0.736329760317434,NA,14.1795637443873,20.4375555218429,11.6388212000288,27.8158942392898,19.3965090041526,9.41260857504987,19.0618850096221,19.4360290348206,"Ngfr"
"16","ENSMUSG00000000125",10775,"ENSMUSG00000000125.6",22.7900081613142,-0.145566310648257,0.35549385218682,-0.409476309513671,0.682190148906499,0.897818420792359,19.6332421076132,25.5469444023036,20.3679371000504,29.9555784115429,31.249931173357,16.9426954350898,23.0749134327005,15.5488232278565,"Wnt3"
"17","ENSMUSG00000000126",1070,"ENSMUSG00000000126.12",336.587849451222,-0.293458161112877,0.127077844556177,-2.30927871131108,0.0209281202090271,0.277282937223244,340.309529865295,355.954092005431,444.215009134432,342.34946756049,267.240790723881,309.674822119141,320.039016740498,312.920067460612,"Wnt9a"
"18","ENSMUSG00000000127",5911,"ENSMUSG00000000127.16",106.854807912181,0.170887322076722,0.160843329676894,1.06244581245616,0.288033345434825,0.690793111338062,90.5310608295496,106.445601676265,100.869783733583,103.774682354274,123.922140859864,109.186259470579,108.351767423115,111.757166950219,"Fer"
"19","ENSMUSG00000000131",5652,"ENSMUSG00000000131.16",948.021992744751,-0.102477272804858,0.092584254989384,-1.10685421421394,0.268356964152044,0.673741210424186,1075.46537322814,1028.69029459943,954.383338402361,867.641931848617,921.334177697249,875.372597479638,939.048651000332,922.239577702238,"Xpo6"
"20","ENSMUSG00000000134",10937,"ENSMUSG00000000134.18",418.60800526798,-0.0429836771893622,0.110189935441738,-0.390087143776299,0.696472109089926,0.903459112166199,395.937049170199,478.579425136488,438.395598534418,385.143151005551,393.318099250873,396.2708210096,440.429869432848,420.790028603866,"Tfe3"
"21","ENSMUSG00000000142",294,"ENSMUSG00000000142.16",393.978151034136,-0.344232805306892,0.11393571367624,-3.02128976244503,0.00251700363606897,0.121072141002775,479.923695963877,449.626221480544,369.532573100914,464.311465378915,348.059578241183,333.206343556765,362.17581518282,344.989515368066,"Axin2"
"22","ENSMUSG00000000148",1914,"ENSMUSG00000000148.18",257.559942760179,-0.288707368541233,0.148658190583933,-1.94208854155418,0.0521263824228298,0.386131790681373,327.220701793553,286.977342119211,254.114262867295,264.250995273253,285.559715894469,222.137562371177,229.745877221235,190.473084541242,"Brat1"
"23","ENSMUSG00000000149",10676,"ENSMUSG00000000149.11",1145.73412775032,0.0399173977693726,0.0946443964814924,0.421761871313516,0.67319883880987,0.894400663283698,1162.72422703976,1104.47956299293,1164.85202176955,1086.95955950456,1232.75590559726,992.088943810257,1186.85315612542,1235.15964516285,"Gna12"
"24","ENSMUSG00000000154",14199,"ENSMUSG00000000154.17",9.85619962366725,-0.378438665090733,0.569875394967185,-0.664072652430493,0.506643812431853,NA,13.0888280717421,12.7734722011518,15.5184282667051,3.20952625837959,4.31033533425614,12.2363911475648,7.0227997403871,10.6898159691513,"Slc22a18"
"25","ENSMUSG00000000157",14200,"ENSMUSG00000000157.17",0.260105117416703,1.48551458022817,3.3830564696847,0.439104281450737,0.66058597695406,NA,0,0,0,0,1.07758383356403,0,1.00325710576959,0,"Itgb2l"
"26","ENSMUSG00000000159",14201,"ENSMUSG00000000159.17",9.00572108571716,0.0566194367379999,0.585166106230467,0.0967578882904412,0.922918667233627,NA,8.72588538116141,8.51564813410121,11.6388212000288,6.41905251675919,5.38791916782017,9.41260857504987,18.0586279038525,3.88720580696412,"Igsf5"
"27","ENSMUSG00000000167",14202,"ENSMUSG00000000167.15",12.5711931145647,0.319736443187824,0.461002681938832,0.69356742534146,0.487953528030434,NA,16.3610350896776,9.36721294751133,11.6388212000288,7.48889460288572,14.0085898363324,12.2363911475648,10.0325710576959,19.4360290348206,"Pih1d2"
"28","ENSMUSG00000000168",515,"ENSMUSG00000000168.11",653.312410262078,0.242729320429517,0.0897016222906119,2.70596355150782,0.00681065206762692,0.187656607455584,606.449033990718,620.790748975978,574.181845868087,592.692515714098,656.248554640497,705.004382271235,707.296259567558,763.83594106845,"Dlat"
"29","ENSMUSG00000000171",14014,"ENSMUSG00000000171.6",655.503963910015,0.00212604721607805,0.0963745573942833,0.0220602540085352,0.982399891460348,0.994737723692189,576.999170829298,669.329943340355,690.570057868375,682.559250948727,627.153791134268,633.468557100856,698.266945615631,665.683994442606,"Sdhd"
"30","ENSMUSG00000000182",14203,"ENSMUSG00000000182.10",5.91740756825864,0.633674053073458,0.764490816931975,0.82888379956805,0.407170163355571,NA,7.63514970851623,1.70312962682024,2.9097053000072,6.41905251675919,12.9310060027684,3.76504343001995,10.0325710576959,1.94360290348206,"Fgf23"
"31","ENSMUSG00000000183",14204,"ENSMUSG00000000183.7",0.133730260765816,-0.712076130774892,3.5338115409304,-0.201503708538858,0.84030472991159,NA,0,0,0,1.06984208612653,0,0,0,0,"Fgf6"
"32","ENSMUSG00000000184",1935,"ENSMUSG00000000184.13",744.834631733622,0.273902579000585,0.141534265014684,1.93523864325128,0.0529610177226567,0.388172579054374,565.001078430201,580.767202745703,860.302867035461,691.117987637739,858.834315350535,726.65338199385,763.478657490655,912.521563184828,"Ccnd2"
"33","ENSMUSG00000000194",3582,"ENSMUSG00000000194.14",954.449977644408,0.144661180493244,0.0967454180259063,1.49527681460332,0.13484221346187,0.534061408849322,821.323961501817,917.986868856111,998.028917902469,889.038773571148,896.549749525277,1069.27233412567,1013.28967682728,1030.10953884549,"Gpr107"
"34","ENSMUSG00000000197",3426,"ENSMUSG00000000197.9",1518.99141436373,0.205687792245756,0.135002250459485,1.52358787757753,0.127611693284865,0.527376733411599,1179.08526212944,1338.65988668071,1416.05657933684,1710.67749571632,1318.96261228238,1895.69936701504,1591.16576975056,1701.62434199855,"Nalcn"
"35","ENSMUSG00000000202",10504,"ENSMUSG00000000202.10",548.203673022077,-0.0581646407757132,0.131514349286401,-0.442268399542069,0.658294995155906,0.889260650069795,650.078460896525,504.126369538792,611.038113001511,471.8003599818,619.61070429932,542.166253922873,509.654609730949,477.154512804846,"Btbd17"
"36","ENSMUSG00000000204",14205,"ENSMUSG00000000204.17",0.496712468570032,-0.0337684916682675,2.28777301394646,-0.0147604204885764,0.988223316013808,NA,1.09073567264518,0,0.969901766669066,0,0,0.941260857504987,0,0.971801451741031,"Slfn4"
"37","ENSMUSG00000000214",4714,"ENSMUSG00000000214.12",20.2733472162834,0.718435894834457,0.566033451861592,1.26924635367687,0.204353213245201,0.613610585673445,16.3610350896776,17.8828610816125,5.8194106000144,21.3968417225306,4.31033533425614,19.7664780076047,27.0879418557788,49.5618740387926,"Th"
"38","ENSMUSG00000000215",14206,"ENSMUSG00000000215.12",0.272683918161294,-1.52423075025493,3.52356091057498,-0.432582489401666,0.665318112904804,NA,2.18147134529035,0,0,0,0,0,0,0,"Ins2"
"39","ENSMUSG00000000216",14207,"ENSMUSG00000000216.9",2.24669095948326,0.570891586533907,1.21089737854594,0.471461576058112,0.63731115254918,NA,4.3629426905807,0,1.93980353333813,1.06984208612653,0,5.64756514502992,3.00977131730876,1.94360290348206,"Scnn1g"
"40","ENSMUSG00000000223",1034,"ENSMUSG00000000223.14",1302.90521117929,-0.261407527618335,0.112053906726199,-2.33287294709927,0.0196548146229926,0.269329447850094,1628.46835925925,1385.49595141827,1451.94294470359,1216.41045192587,1209.04906125885,1078.68494270072,1344.36452173124,1108.82545643652,"Drp2"
"41","ENSMUSG00000000244",14208,"ENSMUSG00000000244.18",1.44841653433829,-0.405010072286525,1.30606143351428,-0.310100322920298,0.756484666705838,NA,0,3.40625925364049,0.969901766669066,2.13968417225306,2.15516766712807,0.941260857504987,1.00325710576959,0.971801451741031,"Tspan32"
"42","ENSMUSG00000000247",6624,"ENSMUSG00000000247.12",829.322790662002,0.157911535866854,0.166433314617122,0.948797638442323,0.342723543210358,0.734142744087404,917.308700694593,723.830091398603,935.955204835648,558.457568958049,1001.07538138099,679.590339118601,871.83042491377,946.534613995764,"Lhx2"
"43","ENSMUSG00000000248",14209,"ENSMUSG00000000248.17",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Clec2g"
"44","ENSMUSG00000000253",3395,"ENSMUSG00000000253.14",251.50382460948,-0.227411787751495,0.148483417352075,-1.53156353623159,0.125630176416287,0.52509343250283,219.23787020168,297.196119880132,275.452101734015,293.13673159867,192.887506207962,263.553040101396,254.827304865475,215.739922286509,"Gmpr"
"45","ENSMUSG00000000263",14210,"ENSMUSG00000000263.16",0.39251511974378,0.738923707719205,2.64408248581252,0.27946318304519,0.779889388545907,NA,1.09073567264518,0,0,0,1.07758383356403,0,0,0.971801451741031,"Glra1"
"46","ENSMUSG00000000266",6146,"ENSMUSG00000000266.12",209.065203425705,0.162307721196716,0.158553583113841,1.02367740929689,0.305987669041675,0.705097037541057,194.150949730841,201.820860778199,191.070648033806,202.200154277914,214.439182879243,182.604606355968,196.638392730839,289.596832618827,"Mid2"
"47","ENSMUSG00000000275",9344,"ENSMUSG00000000275.17",73.4937469156174,-0.135774633469533,0.23250335189345,-0.583968499222994,0.559241505698221,0.849276216380324,102.529153228647,79.1955276471413,50.4348918667914,75.9587881149837,75.4308683494824,76.242129457904,58.188912134636,69.9697045253542,"Trim25"
"48","ENSMUSG00000000276",9681,"ENSMUSG00000000276.12",1875.41780577635,0.0503980172614859,0.0932095550191741,0.540695825134221,0.588717256548325,0.861965833064439,1752.8122259408,1766.996987826,1861.24149023794,1990.97612228147,1654.09118452079,2079.24523422852,1955.34809914492,1942.63110203032,"Dgke"
"49","ENSMUSG00000000278",6104,"ENSMUSG00000000278.11",323.430998374533,-0.107029166006905,0.103706143165656,-1.03204268078835,0.302052123677154,0.702067098276629,328.311437466198,338.922795737228,350.134537767533,324.162152096339,298.490721897238,305.909778689121,314.01947410588,327.497089236727,"Scpep1"
